projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/manila-image-elements,openstack/blazar-specs,Core,5.555555555555555,2.9850746268656714,2,2
openstack/manila-image-elements,openstack/blazar-specs,Non core,0.0,0.0,2,2
openstack/manila-image-elements,openstack/molteniron,Core,10.81081081081081,1.3888888888888888,4,2
openstack/manila-image-elements,openstack/molteniron,Non core,0.0,1.3888888888888888,4,2
openstack/manila-image-elements,openstack/solum-specs,Core,9.75609756097561,0.0,4,2
openstack/manila-image-elements,openstack/solum-specs,Non core,0.0,2.898550724637681,4,2
openstack/manila-image-elements,openstack/patrole,Core,3.508771929824561,2.6143790849673203,5,7
openstack/manila-image-elements,openstack/patrole,Non core,0.8771929824561403,1.9607843137254901,5,7
openstack/manila-image-elements,openstack/performance-docs,Core,2.9850746268656714,0.9900990099009901,2,5
openstack/manila-image-elements,openstack/performance-docs,Non core,0.0,3.9603960396039604,2,5
openstack/manila-image-elements,openstack/sphinx-feature-classification,Core,4.3478260869565215,2.5316455696202533,3,4
openstack/manila-image-elements,openstack/sphinx-feature-classification,Non core,2.1739130434782608,2.5316455696202533,3,4
openstack/manila-image-elements,openstack/etcd3gw,Core,0.0,1.7241379310344827,0,1
openstack/manila-image-elements,openstack/etcd3gw,Non core,0.0,0.0,0,1
openstack/manila-image-elements,openstack/watcher-specs,Core,5.633802816901409,1.6,6,6
openstack/manila-image-elements,openstack/watcher-specs,Non core,2.8169014084507045,3.2,6,6
openstack/manila-image-elements,openstack/yaql,Core,6.666666666666667,1.0101010101010102,5,5
openstack/manila-image-elements,openstack/yaql,Non core,1.6666666666666667,4.040404040404041,5,5
openstack/manila-image-elements,openstack/puppet-openstack-guide,Core,7.6923076923076925,1.1764705882352942,4,3
openstack/manila-image-elements,openstack/puppet-openstack-guide,Non core,0.0,2.3529411764705883,4,3
openstack/manila-image-elements,openstack/puppet-panko,Core,6.349206349206349,1.3333333333333335,5,6
openstack/manila-image-elements,openstack/puppet-panko,Non core,1.5873015873015872,6.666666666666667,5,6
openstack/manila-image-elements,openstack/heat-cfnclient,Core,8.51063829787234,1.282051282051282,4,3
openstack/manila-image-elements,openstack/heat-cfnclient,Non core,0.0,2.564102564102564,4,3
openstack/manila-image-elements,openstack/heat-cfntools,Core,6.944444444444445,1.8018018018018018,6,6
openstack/manila-image-elements,openstack/heat-cfntools,Non core,1.3888888888888888,3.6036036036036037,6,6
openstack/manila-image-elements,openstack/heat-templates,Core,3.875968992248062,0.9216589861751152,5,10
openstack/manila-image-elements,openstack/heat-templates,Non core,0.0,3.686635944700461,5,10
openstack/manila-image-elements,openstack/governance-sigs,Core,8.771929824561402,2.097902097902098,6,7
openstack/manila-image-elements,openstack/governance-sigs,Non core,1.7543859649122806,2.797202797202797,6,7
openstack/manila-image-elements,openstack/openstack-zuul-roles,Core,3.125,3.571428571428571,1,3
openstack/manila-image-elements,openstack/openstack-zuul-roles,Non core,0.0,1.7857142857142856,1,3
openstack/manila-image-elements,openstack/nova-powervm,Core,5.0,0.0,6,4
openstack/manila-image-elements,openstack/nova-powervm,Non core,2.5,2.797202797202797,6,4
openstack/manila-image-elements,openstack/openstack-helm-addons,Core,0.0,1.2903225806451613,1,6
openstack/manila-image-elements,openstack/openstack-helm-addons,Non core,1.5384615384615385,2.5806451612903225,1,6
openstack/manila-image-elements,openstack/python-pankoclient,Core,8.333333333333332,2.380952380952381,6,4
openstack/manila-image-elements,openstack/python-pankoclient,Non core,4.166666666666666,2.380952380952381,6,4
openstack/manila-image-elements,openstack/qa-specs,Core,5.555555555555555,1.3157894736842104,5,7
openstack/manila-image-elements,openstack/qa-specs,Non core,1.3888888888888888,3.289473684210526,5,7
openstack/manila-image-elements,openstack/zaqar-specs,Core,8.333333333333332,2.803738317757009,5,6
openstack/manila-image-elements,openstack/zaqar-specs,Non core,0.0,2.803738317757009,5,6
openstack/manila-image-elements,openstack/swift-bench,Core,0.0,0.0,1,3
openstack/manila-image-elements,openstack/swift-bench,Non core,2.1739130434782608,3.6585365853658534,1,3
openstack/manila-image-elements,openstack/whereto,Core,4.651162790697675,3.0303030303030303,3,4
openstack/manila-image-elements,openstack/whereto,Non core,2.3255813953488373,3.0303030303030303,3,4
