projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/masakari,openstack/python-venusclient,Core,2.1739130434782608,1.5037593984962405,6,3
openstack/masakari,openstack/python-venusclient,Non core,4.3478260869565215,0.7518796992481203,6,3
openstack/masakari,openstack/ansible-role-container-registry,Core,3.669724770642202,1.7964071856287425,5,7
openstack/masakari,openstack/ansible-role-container-registry,Non core,0.9174311926605505,2.3952095808383236,5,7
openstack/masakari,openstack/puppet-ovn,Core,3.389830508474576,1.1976047904191618,6,10
openstack/masakari,openstack/puppet-ovn,Non core,1.694915254237288,4.790419161676647,6,10
openstack/masakari,openstack/charm-rabbitmq-server,Core,2.4390243902439024,1.8181818181818181,11,12
openstack/masakari,openstack/charm-rabbitmq-server,Non core,6.504065040650407,5.454545454545454,11,12
openstack/masakari,openstack/senlin,Core,5.508474576271186,6.333333333333334,29,44
openstack/masakari,openstack/senlin,Non core,6.779661016949152,8.333333333333332,29,44
openstack/masakari,openstack/python-designateclient,Core,6.790123456790123,6.511627906976744,22,29
openstack/masakari,openstack/python-designateclient,Non core,6.790123456790123,6.976744186046512,22,29
openstack/masakari,openstack/puppet-horizon,Core,2.5380710659898478,1.858736059479554,8,14
openstack/masakari,openstack/puppet-horizon,Non core,1.5228426395939088,3.3457249070631967,8,14
openstack/masakari,openstack/openstack-ansible-lxc_hosts,Core,4.166666666666666,3.8095238095238098,12,17
openstack/masakari,openstack/openstack-ansible-lxc_hosts,Non core,4.166666666666666,4.285714285714286,12,17
openstack/masakari,openstack/keystone-tempest-plugin,Core,2.912621359223301,3.0303030303030303,5,11
openstack/masakari,openstack/keystone-tempest-plugin,Non core,1.9417475728155338,3.6363636363636362,5,11
openstack/masakari,openstack/python-barbicanclient,Core,5.084745762711865,6.538461538461539,20,34
openstack/masakari,openstack/python-barbicanclient,Non core,6.214689265536723,6.538461538461539,20,34
openstack/masakari,openstack/openstack-ansible-os_ironic,Core,4.026845637583892,5.5,14,22
openstack/masakari,openstack/openstack-ansible-os_ironic,Non core,5.369127516778524,5.5,14,22
openstack/masakari,openstack/charm-trilio-wlm,Core,0.0,0.0,4,2
openstack/masakari,openstack/charm-trilio-wlm,Non core,4.3478260869565215,1.5037593984962405,4,2
openstack/masakari,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,4,2
openstack/masakari,openstack/charm-trilio-horizon-plugin,Non core,4.3478260869565215,1.5151515151515151,4,2
openstack/masakari,openstack/openstack-ansible-os_barbican,Core,4.545454545454546,5.555555555555555,13,21
openstack/masakari,openstack/openstack-ansible-os_barbican,Non core,5.303030303030303,6.111111111111111,13,21
openstack/masakari,openstack/skyline-apiserver,Core,0.0,0.0,0,2
openstack/masakari,openstack/skyline-apiserver,Non core,0.0,1.3986013986013985,0,2
openstack/masakari,openstack/oslo.policy,Core,6.470588235294119,7.037037037037037,22,37
openstack/masakari,openstack/oslo.policy,Non core,6.470588235294119,6.666666666666667,22,37
openstack/masakari,openstack/openstack-ansible-tests,Core,3.4246575342465753,6.796116504854369,16,26
openstack/masakari,openstack/openstack-ansible-tests,Non core,7.534246575342466,5.825242718446602,16,26
openstack/masakari,openstack/openstack-ansible-os_rally,Core,4.958677685950414,5.202312138728324,15,18
openstack/masakari,openstack/openstack-ansible-os_rally,Non core,7.43801652892562,5.202312138728324,15,18
openstack/masakari,openstack/openstack-ansible-rabbitmq_server,Core,4.37956204379562,4.145077720207254,12,21
openstack/masakari,openstack/openstack-ansible-rabbitmq_server,Non core,4.37956204379562,6.7357512953367875,12,21
openstack/masakari,openstack/openstack-ansible-os_horizon,Core,3.5294117647058822,5.829596412556054,15,22
openstack/masakari,openstack/openstack-ansible-os_horizon,Non core,5.294117647058823,4.0358744394618835,15,22
openstack/masakari,openstack/heat-dashboard,Core,8.035714285714286,9.036144578313253,16,27
openstack/masakari,openstack/heat-dashboard,Non core,6.25,7.228915662650602,16,27
openstack/masakari,openstack/oslo.log,Core,6.153846153846154,5.084745762711865,19,33
openstack/masakari,openstack/oslo.log,Non core,3.5897435897435894,6.101694915254238,19,33
openstack/masakari,openstack/charm-ceph-dashboard,Core,0.0,0.0,4,2
openstack/masakari,openstack/charm-ceph-dashboard,Non core,4.2105263157894735,1.5037593984962405,4,2
openstack/masakari,openstack/openstack-ansible-lxc_container_create,Core,4.444444444444445,4.25531914893617,14,18
openstack/masakari,openstack/openstack-ansible-lxc_container_create,Non core,5.9259259259259265,5.319148936170213,14,18
openstack/masakari,openstack/openstack-ansible-ops,Core,4.242424242424243,2.8708133971291865,14,13
openstack/masakari,openstack/openstack-ansible-ops,Non core,4.242424242424243,3.349282296650718,14,13
openstack/masakari,openstack/openstack-ansible-os_sahara,Core,4.615384615384616,5.434782608695652,13,20
openstack/masakari,openstack/openstack-ansible-os_sahara,Non core,5.384615384615385,5.434782608695652,13,20
openstack/masakari,openstack/python-glanceclient,Core,3.870967741935484,3.7254901960784315,24,38
openstack/masakari,openstack/python-glanceclient,Non core,3.870967741935484,3.7254901960784315,24,38
openstack/masakari,openstack/charm-vault,Core,0.8264462809917356,0.625,6,8
openstack/masakari,openstack/charm-vault,Non core,4.132231404958678,4.375,6,8
openstack/masakari,openstack/puppet-glance,Core,2.3923444976076556,3.0716723549488054,8,22
