projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/monasca-api,openstack/monasca-persister,Core,15.602836879432624,9.502262443438914,59,83
openstack/monasca-api,openstack/monasca-persister,Non core,26.24113475177305,28.054298642533936,59,83
openstack/monasca-api,openstack/monasca-notification,Core,12.925170068027212,10.2803738317757,56,80
openstack/monasca-api,openstack/monasca-notification,Non core,25.170068027210885,27.102803738317753,56,80
openstack/monasca-api,openstack/python-saharaclient,Core,5.365853658536586,2.356902356902357,18,21
openstack/monasca-api,openstack/python-saharaclient,Non core,3.414634146341464,4.713804713804714,18,21
openstack/monasca-api,openstack/charm-magpie,Core,0.0,0.0,0,0
openstack/monasca-api,openstack/charm-magpie,Non core,0.0,0.0,0,0
openstack/monasca-api,openstack/openstack-ansible-os_placement,Core,2.054794520547945,1.4018691588785046,5,8
openstack/monasca-api,openstack/openstack-ansible-os_placement,Non core,1.36986301369863,2.336448598130841,5,8
openstack/monasca-api,openstack/openstackdocstheme,Core,4.838709677419355,3.900709219858156,12,19
openstack/monasca-api,openstack/openstackdocstheme,Non core,1.6129032258064515,2.8368794326241136,12,19
openstack/monasca-api,openstack/sahara,Core,4.632152588555858,2.3032629558541267,32,36
openstack/monasca-api,openstack/sahara,Non core,4.087193460490464,4.606525911708253,32,36
openstack/monasca-api,openstack/ironic-ui,Core,5.142857142857142,3.149606299212598,14,20
openstack/monasca-api,openstack/ironic-ui,Non core,2.857142857142857,4.724409448818897,14,20
openstack/monasca-api,openstack/oslo.serialization,Core,6.145251396648044,3.3457249070631967,18,21
openstack/monasca-api,openstack/oslo.serialization,Non core,3.910614525139665,4.4609665427509295,18,21
openstack/monasca-api,openstack/oslo.context,Core,5.263157894736842,2.18978102189781,16,19
openstack/monasca-api,openstack/oslo.context,Non core,4.093567251461988,4.744525547445255,16,19
openstack/monasca-api,openstack/oslo.limit,Core,2.547770700636943,2.631578947368421,7,12
openstack/monasca-api,openstack/oslo.limit,Non core,1.910828025477707,2.631578947368421,7,12
openstack/monasca-api,openstack/oslo.middleware,Core,4.040404040404041,2.348993288590604,14,18
openstack/monasca-api,openstack/oslo.middleware,Non core,3.0303030303030303,3.691275167785235,14,18
openstack/monasca-api,openstack/oslo.reports,Core,5.063291139240507,2.7450980392156863,16,18
openstack/monasca-api,openstack/oslo.reports,Non core,5.063291139240507,4.313725490196078,16,18
openstack/monasca-api,openstack/futurist,Core,4.968944099378882,2.0746887966804977,13,14
openstack/monasca-api,openstack/futurist,Non core,3.1055900621118013,3.7344398340248963,13,14
openstack/monasca-api,openstack/oslo.i18n,Core,4.571428571428571,2.952029520295203,16,23
openstack/monasca-api,openstack/oslo.i18n,Non core,4.571428571428571,5.535055350553505,16,23
openstack/monasca-api,openstack/sushy-oem-idrac,Core,0.0,0.9302325581395349,0,2
openstack/monasca-api,openstack/sushy-oem-idrac,Non core,0.0,0.0,0,2
openstack/monasca-api,openstack/python-dracclient,Core,2.4691358024691357,2.0491803278688523,7,17
openstack/monasca-api,openstack/python-dracclient,Non core,1.8518518518518516,4.918032786885246,7,17
openstack/monasca-api,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,1,0
openstack/monasca-api,openstack/openstack-ansible-os_adjutant,Non core,0.7352941176470588,0.0,1,0
openstack/monasca-api,openstack/openstack-ansible-os_masakari,Core,3.2679738562091507,2.608695652173913,10,14
openstack/monasca-api,openstack/openstack-ansible-os_masakari,Non core,3.2679738562091507,3.4782608695652173,10,14
openstack/monasca-api,openstack/ansible-role-systemd_mount,Core,2.054794520547945,1.4150943396226416,4,7
openstack/monasca-api,openstack/ansible-role-systemd_mount,Non core,0.684931506849315,1.8867924528301887,4,7
openstack/monasca-api,openstack/python-senlinclient,Core,6.965174129353234,3.3333333333333335,21,29
openstack/monasca-api,openstack/python-senlinclient,Non core,3.482587064676617,7.4074074074074066,21,29
openstack/monasca-api,openstack/senlin-dashboard,Core,4.624277456647398,3.861003861003861,14,25
openstack/monasca-api,openstack/senlin-dashboard,Non core,3.4682080924855487,5.7915057915057915,14,25
openstack/monasca-api,openstack/networking-generic-switch,Core,4.444444444444445,3.543307086614173,14,18
openstack/monasca-api,openstack/networking-generic-switch,Non core,3.3333333333333335,3.543307086614173,14,18
openstack/monasca-api,openstack/sahara-image-elements,Core,4.864864864864865,0.7434944237918215,12,9
openstack/monasca-api,openstack/sahara-image-elements,Non core,1.6216216216216217,2.6022304832713754,12,9
openstack/monasca-api,openstack/ansible-role-thales-hsm,Core,0.0,0.0,0,0
openstack/monasca-api,openstack/ansible-role-thales-hsm,Non core,0.0,0.0,0,0
openstack/monasca-api,openstack/ansible-role-atos-hsm,Core,0.0,0.48543689320388345,0,1
openstack/monasca-api,openstack/ansible-role-atos-hsm,Non core,0.0,0.0,0,1
openstack/monasca-api,openstack/adjutant-ui,Core,2.898550724637681,2.955665024630542,4,9
