projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/monasca-events-api,openstack/python-zaqarclient,Core,3.7735849056603774,2.0408163265306123,7,6
openstack/monasca-events-api,openstack/python-zaqarclient,Non core,2.8301886792452833,2.0408163265306123,7,6
openstack/monasca-events-api,openstack/monasca-api,Core,5.9259259259259265,5.0761421319796955,17,31
openstack/monasca-events-api,openstack/monasca-api,Non core,6.666666666666667,10.65989847715736,17,31
openstack/monasca-events-api,openstack/monasca-persister,Core,9.45945945945946,8.849557522123893,18,33
openstack/monasca-events-api,openstack/monasca-persister,Non core,14.864864864864865,20.353982300884958,18,33
openstack/monasca-events-api,openstack/monasca-notification,Core,10.256410256410255,8.181818181818182,17,26
openstack/monasca-events-api,openstack/monasca-notification,Non core,11.538461538461538,15.454545454545453,17,26
openstack/monasca-events-api,openstack/python-saharaclient,Core,4.587155963302752,1.282051282051282,6,4
openstack/monasca-events-api,openstack/python-saharaclient,Non core,0.9174311926605505,1.282051282051282,6,4
openstack/monasca-events-api,openstack/charm-magpie,Core,0.0,0.0,1,0
openstack/monasca-events-api,openstack/charm-magpie,Non core,2.941176470588235,0.0,1,0
openstack/monasca-events-api,openstack/openstack-ansible-os_placement,Core,5.128205128205128,1.6666666666666667,4,4
openstack/monasca-events-api,openstack/openstack-ansible-os_placement,Non core,5.128205128205128,5.0,4,4
openstack/monasca-events-api,openstack/openstackdocstheme,Core,4.705882352941177,2.1739130434782608,5,5
openstack/monasca-events-api,openstack/openstackdocstheme,Non core,1.1764705882352942,1.4492753623188406,5,5
openstack/monasca-events-api,openstack/sahara,Core,2.5179856115107913,0.7653061224489796,13,7
openstack/monasca-events-api,openstack/sahara,Non core,2.158273381294964,1.0204081632653061,13,7
openstack/monasca-events-api,openstack/ironic-ui,Core,7.042253521126761,2.7777777777777777,10,8
openstack/monasca-events-api,openstack/ironic-ui,Non core,7.042253521126761,4.62962962962963,10,8
openstack/monasca-events-api,openstack/oslo.serialization,Core,4.938271604938271,1.6129032258064515,8,8
openstack/monasca-events-api,openstack/oslo.serialization,Non core,4.938271604938271,4.838709677419355,8,8
openstack/monasca-events-api,openstack/oslo.context,Core,5.633802816901409,1.5625,8,7
openstack/monasca-events-api,openstack/oslo.context,Non core,5.633802816901409,3.90625,8,7
openstack/monasca-events-api,openstack/oslo.limit,Core,6.25,2.631578947368421,8,6
openstack/monasca-events-api,openstack/oslo.limit,Non core,10.416666666666668,5.263157894736842,8,6
openstack/monasca-events-api,openstack/oslo.middleware,Core,4.2105263157894735,2.0,9,8
openstack/monasca-events-api,openstack/oslo.middleware,Non core,5.263157894736842,3.3333333333333335,9,8
openstack/monasca-events-api,openstack/oslo.reports,Core,6.896551724137931,1.8691588785046727,8,8
openstack/monasca-events-api,openstack/oslo.reports,Non core,6.896551724137931,5.607476635514018,8,8
openstack/monasca-events-api,openstack/futurist,Core,6.896551724137931,1.0752688172043012,8,4
openstack/monasca-events-api,openstack/futurist,Non core,6.896551724137931,3.225806451612903,8,4
openstack/monasca-events-api,openstack/oslo.i18n,Core,5.333333333333334,1.5625,8,8
openstack/monasca-events-api,openstack/oslo.i18n,Non core,5.333333333333334,4.6875,8,8
openstack/monasca-events-api,openstack/sushy-oem-idrac,Core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/sushy-oem-idrac,Non core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/python-dracclient,Core,1.7241379310344827,2.083333333333333,3,7
openstack/monasca-events-api,openstack/python-dracclient,Non core,3.4482758620689653,5.208333333333334,3,7
openstack/monasca-events-api,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/openstack-ansible-os_masakari,Core,8.51063829787234,2.564102564102564,8,8
openstack/monasca-events-api,openstack/openstack-ansible-os_masakari,Non core,8.51063829787234,7.6923076923076925,8,8
openstack/monasca-events-api,openstack/ansible-role-systemd_mount,Core,8.108108108108109,1.7241379310344827,5,3
openstack/monasca-events-api,openstack/ansible-role-systemd_mount,Non core,5.405405405405405,3.4482758620689653,5,3
openstack/monasca-events-api,openstack/python-senlinclient,Core,5.769230769230769,2.2900763358778624,10,10
openstack/monasca-events-api,openstack/python-senlinclient,Non core,3.8461538461538463,5.343511450381679,10,10
openstack/monasca-events-api,openstack/senlin-dashboard,Core,5.797101449275362,1.680672268907563,10,7
openstack/monasca-events-api,openstack/senlin-dashboard,Non core,8.695652173913043,4.201680672268908,10,7
openstack/monasca-events-api,openstack/networking-generic-switch,Core,7.6923076923076925,2.7522935779816518,8,5
openstack/monasca-events-api,openstack/networking-generic-switch,Non core,2.564102564102564,1.834862385321101,8,5
openstack/monasca-events-api,openstack/sahara-image-elements,Core,6.024096385542169,0.0,6,2
openstack/monasca-events-api,openstack/sahara-image-elements,Non core,1.2048192771084338,1.694915254237288,6,2
openstack/monasca-events-api,openstack/ansible-role-thales-hsm,Core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/ansible-role-thales-hsm,Non core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/ansible-role-atos-hsm,Core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/ansible-role-atos-hsm,Non core,0.0,0.0,0,0
openstack/monasca-events-api,openstack/adjutant-ui,Core,10.0,4.0,4,4
openstack/monasca-events-api,openstack/adjutant-ui,Non core,3.3333333333333335,4.0,4,4
openstack/monasca-events-api,openstack/sahara-extra,Core,5.084745762711865,2.247191011235955,5,3
openstack/monasca-events-api,openstack/sahara-extra,Non core,3.389830508474576,1.1235955056179776,5,3
openstack/monasca-events-api,openstack/blazar-nova,Core,10.638297872340425,3.488372093023256,8,7
openstack/monasca-events-api,openstack/blazar-nova,Non core,6.382978723404255,4.651162790697675,8,7
openstack/monasca-events-api,openstack/oslo.service,Core,3.7735849056603774,1.7964071856287425,9,11
openstack/monasca-events-api,openstack/oslo.service,Non core,4.716981132075472,4.790419161676647,9,11
openstack/monasca-events-api,openstack/blazar-dashboard,Core,7.5,2.564102564102564,7,10
openstack/monasca-events-api,openstack/blazar-dashboard,Non core,10.0,10.256410256410255,7,10
openstack/monasca-events-api,openstack/paunch,Core,4.615384615384616,2.1739130434782608,6,7
openstack/monasca-events-api,openstack/paunch,Non core,4.615384615384616,2.898550724637681,6,7
openstack/monasca-events-api,openstack/service-types-authority,Core,10.526315789473683,4.25531914893617,6,8
openstack/monasca-events-api,openstack/service-types-authority,Non core,5.263157894736842,4.25531914893617,6,8
openstack/monasca-events-api,openstack/python-ironic-inspector-client,Core,10.0,2.6785714285714284,11,7
openstack/monasca-events-api,openstack/python-ironic-inspector-client,Non core,8.333333333333332,3.571428571428571,11,7
openstack/monasca-events-api,openstack/openstack-ansible-memcached_server,Core,8.333333333333332,2.2988505747126435,10,9
openstack/monasca-events-api,openstack/openstack-ansible-memcached_server,Non core,8.333333333333332,8.045977011494253,10,9
openstack/monasca-events-api,openstack/os-testr,Core,4.6875,2.7522935779816518,8,11
openstack/monasca-events-api,openstack/os-testr,Non core,7.8125,7.339449541284404,8,11
openstack/monasca-events-api,openstack/openstack-ansible-ceph_client,Core,7.6923076923076925,2.0408163265306123,10,10
openstack/monasca-events-api,openstack/openstack-ansible-ceph_client,Non core,7.6923076923076925,8.16326530612245,10,10
openstack/monasca-events-api,openstack/openstack-ansible-os_magnum,Core,7.142857142857142,2.8301886792452833,9,10
openstack/monasca-events-api,openstack/openstack-ansible-os_magnum,Non core,5.714285714285714,6.60377358490566,9,10
openstack/monasca-events-api,openstack/openstack-ansible-os_blazar,Core,8.88888888888889,2.73972602739726,8,6
openstack/monasca-events-api,openstack/openstack-ansible-os_blazar,Non core,8.88888888888889,5.47945205479452,8,6
openstack/monasca-events-api,openstack/openstack-ansible-os_designate,Core,6.666666666666667,2.6548672566371683,9,10
openstack/monasca-events-api,openstack/openstack-ansible-os_designate,Non core,5.333333333333334,6.1946902654867255,9,10
openstack/monasca-events-api,openstack/openstack-ansible-os_gnocchi,Core,6.944444444444445,3.0927835051546393,10,10
