projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/monasca-notification,openstack/python-saharaclient,Core,6.622516556291391,2.3696682464454977,15,15
openstack/monasca-notification,openstack/python-saharaclient,Non core,3.3112582781456954,4.739336492890995,15,15
openstack/monasca-notification,openstack/charm-magpie,Core,0.0,0.0,1,0
openstack/monasca-notification,openstack/charm-magpie,Non core,1.1764705882352942,0.0,1,0
openstack/monasca-notification,openstack/openstack-ansible-os_placement,Core,2.197802197802198,2.380952380952381,3,4
openstack/monasca-notification,openstack/openstack-ansible-os_placement,Non core,1.098901098901099,0.7936507936507936,3,4
openstack/monasca-notification,openstack/openstackdocstheme,Core,7.751937984496124,3.5175879396984926,12,10
openstack/monasca-notification,openstack/openstackdocstheme,Non core,1.550387596899225,1.507537688442211,12,10
openstack/monasca-notification,openstack/sahara,Core,4.430379746835443,1.809954751131222,26,23
openstack/monasca-notification,openstack/sahara,Non core,3.79746835443038,3.3936651583710407,26,23
openstack/monasca-notification,openstack/ironic-ui,Core,7.6923076923076925,2.312138728323699,15,9
openstack/monasca-notification,openstack/ironic-ui,Non core,5.128205128205128,2.8901734104046244,15,9
openstack/monasca-notification,openstack/oslo.serialization,Core,8.0,3.296703296703297,15,16
openstack/monasca-notification,openstack/oslo.serialization,Non core,4.0,5.4945054945054945,15,16
openstack/monasca-notification,openstack/oslo.context,Core,5.932203389830509,2.6737967914438503,12,14
openstack/monasca-notification,openstack/oslo.context,Non core,4.23728813559322,4.81283422459893,12,14
openstack/monasca-notification,openstack/oslo.limit,Core,4.081632653061225,3.597122302158273,9,9
openstack/monasca-notification,openstack/oslo.limit,Non core,5.1020408163265305,2.877697841726619,9,9
openstack/monasca-notification,openstack/oslo.middleware,Core,5.673758865248227,2.8708133971291865,14,15
openstack/monasca-notification,openstack/oslo.middleware,Non core,4.25531914893617,4.30622009569378,14,15
openstack/monasca-notification,openstack/oslo.reports,Core,6.730769230769231,4.2682926829268295,13,17
openstack/monasca-notification,openstack/oslo.reports,Non core,5.769230769230769,6.097560975609756,13,17
