projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/monasca-transform,openstack/monasca-ceilometer,Core,16.666666666666664,12.121212121212121,19,29
openstack/monasca-transform,openstack/monasca-ceilometer,Non core,9.722222222222223,17.17171717171717,19,29
openstack/monasca-transform,openstack/monasca-log-api,Core,10.256410256410255,10.344827586206897,19,32
openstack/monasca-transform,openstack/monasca-log-api,Non core,14.102564102564102,17.24137931034483,19,32
openstack/monasca-transform,openstack/nose-html-output,Core,4.166666666666666,3.0303030303030303,2,3
openstack/monasca-transform,openstack/nose-html-output,Non core,0.0,1.5151515151515151,2,3
openstack/monasca-transform,openstack/kolla-cli,Core,1.7543859649122806,3.7037037037037033,6,11
openstack/monasca-transform,openstack/kolla-cli,Non core,8.771929824561402,9.876543209876543,6,11
openstack/monasca-transform,openstack/neutron-lbaas-dashboard,Core,7.6923076923076925,2.2388059701492535,11,9
openstack/monasca-transform,openstack/neutron-lbaas-dashboard,Non core,6.41025641025641,4.477611940298507,11,9
openstack/monasca-transform,openstack/searchlight,Core,4.929577464788732,2.8735632183908044,17,16
openstack/monasca-transform,openstack/searchlight,Non core,7.042253521126761,6.321839080459771,17,16
openstack/monasca-transform,openstack/searchlight-ui,Core,10.666666666666668,2.0,12,6
openstack/monasca-transform,openstack/searchlight-ui,Non core,5.333333333333334,4.0,12,6
openstack/monasca-transform,openstack/searchlight-specs,Core,8.620689655172415,2.3255813953488373,7,4
openstack/monasca-transform,openstack/searchlight-specs,Non core,3.4482758620689653,2.3255813953488373,7,4
openstack/monasca-transform,openstack/python-searchlightclient,Core,12.676056338028168,2.0202020202020203,15,10
openstack/monasca-transform,openstack/python-searchlightclient,Non core,8.450704225352112,8.080808080808081,15,10
openstack/monasca-transform,openstack/charm-tempest,Core,3.389830508474576,1.3333333333333335,4,4
openstack/monasca-transform,openstack/charm-tempest,Non core,3.389830508474576,4.0,4,4
openstack/monasca-transform,openstack/charm-barbican-softhsm,Core,3.508771929824561,1.4285714285714286,3,4
openstack/monasca-transform,openstack/charm-barbican-softhsm,Non core,1.7543859649122806,4.285714285714286,3,4
openstack/monasca-transform,openstack/cookbook-openstack-client,Core,2.083333333333333,0.0,1,1
openstack/monasca-transform,openstack/cookbook-openstack-client,Non core,0.0,1.4705882352941175,1,1
openstack/monasca-transform,openstack/instack-undercloud,Core,3.787878787878788,1.2096774193548387,11,11
openstack/monasca-transform,openstack/instack-undercloud,Non core,4.545454545454546,3.225806451612903,11,11
openstack/monasca-transform,openstack/publiccloud-sig,Core,4.3478260869565215,3.278688524590164,2,3
openstack/monasca-transform,openstack/publiccloud-sig,Non core,0.0,1.639344262295082,2,3
openstack/monasca-transform,openstack/ideas,Core,4.545454545454546,3.7037037037037033,2,3
openstack/monasca-transform,openstack/ideas,Non core,0.0,0.0,2,3
openstack/monasca-transform,openstack/uc-recognition,Core,2.3255813953488373,3.278688524590164,1,3
openstack/monasca-transform,openstack/uc-recognition,Non core,0.0,1.639344262295082,1,3
