projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/murano-apps,openstack/puppet-senlin,Core,4.545454545454546,1.1111111111111112,3,1
openstack/murano-apps,openstack/puppet-senlin,Non core,0.0,0.0,3,1
openstack/murano-apps,openstack/cookbook-openstack-application-catalog,Core,1.7543859649122806,0.0,2,2
openstack/murano-apps,openstack/cookbook-openstack-application-catalog,Non core,1.7543859649122806,2.5316455696202533,2,2
openstack/murano-apps,openstack/training-labs,Core,4.651162790697675,2.7027027027027026,5,7
openstack/murano-apps,openstack/training-labs,Non core,1.1627906976744187,3.6036036036036037,5,7
openstack/murano-apps,openstack/karbor,Core,3.1446540880503147,1.7543859649122806,8,9
openstack/murano-apps,openstack/karbor,Non core,1.8867924528301887,2.1929824561403506,8,9
openstack/murano-apps,openstack/devstack-plugin-open-cas,Core,3.7037037037037033,1.2195121951219512,2,1
openstack/murano-apps,openstack/devstack-plugin-open-cas,Non core,0.0,0.0,2,1
openstack/murano-apps,openstack/openstack-ansible-os_congress,Core,5.405405405405405,2.631578947368421,5,3
openstack/murano-apps,openstack/openstack-ansible-os_congress,Non core,1.3513513513513513,0.0,5,3
openstack/murano-apps,openstack/charm-ops-interface-ceph-client,Core,0.0,0.0,0,0
openstack/murano-apps,openstack/charm-ops-interface-ceph-client,Non core,0.0,0.0,0,0
openstack/murano-apps,openstack/charm-interface-keystone-notifications,Core,0.0,1.3513513513513513,0,1
openstack/murano-apps,openstack/charm-interface-keystone-notifications,Non core,0.0,0.0,0,1
openstack/murano-apps,openstack/os-collect-config,Core,4.901960784313726,2.3391812865497075,5,6
openstack/murano-apps,openstack/os-collect-config,Non core,0.0,1.1695906432748537,5,6
openstack/murano-apps,openstack/os-apply-config,Core,4.9504950495049505,2.4539877300613497,5,6
openstack/murano-apps,openstack/os-apply-config,Non core,0.0,1.2269938650306749,5,6
openstack/murano-apps,openstack/puppet-freezer,Core,5.47945205479452,1.0204081632653061,5,2
openstack/murano-apps,openstack/puppet-freezer,Non core,1.36986301369863,1.0204081632653061,5,2
openstack/murano-apps,openstack/vitrage-specs,Core,3.488372093023256,0.8333333333333334,5,4
openstack/murano-apps,openstack/vitrage-specs,Non core,2.3255813953488373,2.5,5,4
openstack/murano-apps,openstack/specs-cookiecutter,Core,6.896551724137931,3.571428571428571,4,4
openstack/murano-apps,openstack/specs-cookiecutter,Non core,0.0,1.1904761904761905,4,4
openstack/murano-apps,openstack/rpm-packaging-tools,Core,3.1746031746031744,1.0526315789473684,2,4
openstack/murano-apps,openstack/rpm-packaging-tools,Non core,0.0,3.1578947368421053,2,4
openstack/murano-apps,openstack/ansible-role-openstack-operations,Core,2.9850746268656714,0.0,2,0
openstack/murano-apps,openstack/ansible-role-openstack-operations,Non core,0.0,0.0,2,0
openstack/murano-apps,openstack/os-refresh-config,Core,4.545454545454546,1.3888888888888888,4,4
openstack/murano-apps,openstack/os-refresh-config,Non core,0.0,1.3888888888888888,4,4
openstack/murano-apps,openstack/mistral-specs,Core,5.194805194805195,1.9047619047619049,5,7
openstack/murano-apps,openstack/mistral-specs,Non core,1.2987012987012987,4.761904761904762,5,7
openstack/murano-apps,openstack/scientific-wg,Core,3.6363636363636362,2.631578947368421,2,3
openstack/murano-apps,openstack/scientific-wg,Non core,0.0,1.3157894736842104,2,3
openstack/murano-apps,openstack/charm-interface-keystone-fid-service-provider,Core,0.0,1.282051282051282,0,1
openstack/murano-apps,openstack/charm-interface-keystone-fid-service-provider,Non core,0.0,0.0,0,1
openstack/murano-apps,openstack/manila-test-image,Core,3.6363636363636362,2.3255813953488373,2,3
openstack/murano-apps,openstack/manila-test-image,Non core,0.0,1.1627906976744187,2,3
openstack/murano-apps,openstack/governance-website,Core,3.278688524590164,2.197802197802198,2,3
openstack/murano-apps,openstack/governance-website,Non core,0.0,1.098901098901099,2,3
openstack/murano-apps,openstack/bugdaystats,Core,0.0,2.3255813953488373,0,3
openstack/murano-apps,openstack/bugdaystats,Non core,0.0,1.1627906976744187,0,3
openstack/murano-apps,openstack/upstream-institute-virtual-environment,Core,0.0,1.1764705882352942,0,1
openstack/murano-apps,openstack/upstream-institute-virtual-environment,Non core,0.0,0.0,0,1
openstack/murano-apps,openstack/karbor-dashboard,Core,2.272727272727273,2.380952380952381,3,6
openstack/murano-apps,openstack/karbor-dashboard,Non core,1.1363636363636365,2.380952380952381,3,6
openstack/murano-apps,openstack/django_openstack_auth,Core,4.8,3.056768558951965,6,9
openstack/murano-apps,openstack/django_openstack_auth,Non core,0.0,0.8733624454148471,6,9
openstack/murano-apps,openstack/monasca-transform,Core,4.545454545454546,2.479338842975207,6,4
openstack/murano-apps,openstack/monasca-transform,Non core,2.272727272727273,0.8264462809917356,6,4
openstack/murano-apps,openstack/monasca-ceilometer,Core,6.25,2.112676056338028,7,5
openstack/murano-apps,openstack/monasca-ceilometer,Non core,1.0416666666666665,1.4084507042253522,7,5
openstack/murano-apps,openstack/monasca-log-api,Core,7.000000000000001,1.8633540372670807,9,6
openstack/murano-apps,openstack/monasca-log-api,Non core,2.0,1.8633540372670807,9,6
openstack/murano-apps,openstack/nose-html-output,Core,5.084745762711865,3.614457831325301,3,5
openstack/murano-apps,openstack/nose-html-output,Non core,0.0,2.4096385542168677,3,5
openstack/murano-apps,openstack/kolla-cli,Core,1.36986301369863,0.9090909090909091,2,1
openstack/murano-apps,openstack/kolla-cli,Non core,1.36986301369863,0.0,2,1
openstack/murano-apps,openstack/neutron-lbaas-dashboard,Core,3.061224489795918,0.628930817610063,3,3
openstack/murano-apps,openstack/neutron-lbaas-dashboard,Non core,0.0,1.257861635220126,3,3
openstack/murano-apps,openstack/searchlight,Core,2.4096385542168677,1.4851485148514851,5,7
openstack/murano-apps,openstack/searchlight,Non core,0.6024096385542169,1.9801980198019802,5,7
openstack/murano-apps,openstack/searchlight-ui,Core,3.1914893617021276,2.5,5,5
openstack/murano-apps,openstack/searchlight-ui,Non core,2.127659574468085,1.6666666666666667,5,5
openstack/murano-apps,openstack/searchlight-specs,Core,4.054054054054054,1.9417475728155338,3,6
openstack/murano-apps,openstack/searchlight-specs,Non core,0.0,3.8834951456310676,3,6
openstack/murano-apps,openstack/python-searchlightclient,Core,3.225806451612903,1.6129032258064515,5,4
openstack/murano-apps,openstack/python-searchlightclient,Non core,2.1505376344086025,1.6129032258064515,5,4
openstack/murano-apps,openstack/charm-tempest,Core,4.166666666666666,1.0416666666666665,3,2
openstack/murano-apps,openstack/charm-tempest,Non core,0.0,1.0416666666666665,3,2
openstack/murano-apps,openstack/charm-barbican-softhsm,Core,2.857142857142857,1.098901098901099,2,2
openstack/murano-apps,openstack/charm-barbican-softhsm,Non core,0.0,1.098901098901099,2,2
openstack/murano-apps,openstack/cookbook-openstack-client,Core,3.389830508474576,0.0,2,1
openstack/murano-apps,openstack/cookbook-openstack-client,Non core,0.0,1.1494252873563218,2,1
openstack/murano-apps,openstack/instack-undercloud,Core,1.9736842105263157,0.7299270072992701,3,4
openstack/murano-apps,openstack/instack-undercloud,Non core,0.0,0.7299270072992701,3,4
openstack/murano-apps,openstack/publiccloud-sig,Core,3.4482758620689653,1.2345679012345678,2,2
openstack/murano-apps,openstack/publiccloud-sig,Non core,0.0,1.2345679012345678,2,2
openstack/murano-apps,openstack/ideas,Core,3.571428571428571,1.9801980198019802,2,2
openstack/murano-apps,openstack/ideas,Non core,0.0,0.0,2,2
openstack/murano-apps,openstack/uc-recognition,Core,1.8181818181818181,2.5,1,3
openstack/murano-apps,openstack/uc-recognition,Non core,0.0,1.25,1,3
openstack/murano-apps,openstack/ops-tags-team,Core,3.278688524590164,3.0,2,6
openstack/murano-apps,openstack/ops-tags-team,Non core,0.0,3.0,2,6
openstack/murano-apps,openstack/enterprise-wg,Core,1.8867924528301887,1.36986301369863,1,1
openstack/murano-apps,openstack/enterprise-wg,Non core,0.0,0.0,1,1
openstack/murano-apps,openstack/governance-uc,Core,5.714285714285714,4.166666666666666,5,8
openstack/murano-apps,openstack/governance-uc,Non core,1.4285714285714286,2.5,5,8
openstack/murano-apps,openstack/workload-ref-archs,Core,4.761904761904762,2.3255813953488373,3,3
openstack/murano-apps,openstack/workload-ref-archs,Non core,0.0,1.1627906976744187,3,3
openstack/murano-apps,openstack/arch-wg,Core,3.6363636363636362,1.1363636363636365,2,2
openstack/murano-apps,openstack/arch-wg,Non core,0.0,1.1363636363636365,2,2
openstack/murano-apps,openstack/project-navigator-data,Core,4.3478260869565215,2.083333333333333,3,3
openstack/murano-apps,openstack/project-navigator-data,Non core,0.0,1.0416666666666665,3,3
openstack/murano-apps,openstack/openstack-specs,Core,5.797101449275362,2.8455284552845526,4,9
openstack/murano-apps,openstack/openstack-specs,Non core,0.0,0.8130081300813009,4,9
openstack/murano-apps,openstack/openstack-ansible-os_monasca,Core,5.88235294117647,2.479338842975207,5,6
openstack/murano-apps,openstack/openstack-ansible-os_monasca,Non core,0.0,2.479338842975207,5,6
openstack/murano-apps,openstack/openstack-ansible-os_monasca-agent,Core,5.47945205479452,1.8867924528301887,5,3
openstack/murano-apps,openstack/openstack-ansible-os_monasca-agent,Non core,1.36986301369863,0.9433962264150944,5,3
openstack/murano-apps,openstack/ironic-inspector-specs,Core,2.666666666666667,0.0,3,1
openstack/murano-apps,openstack/ironic-inspector-specs,Non core,1.3333333333333335,0.8403361344537815,3,1
openstack/murano-apps,openstack/sushy-cli,Core,1.639344262295082,0.0,1,0
openstack/murano-apps,openstack/sushy-cli,Non core,0.0,0.0,1,0
openstack/murano-apps,openstack/puppet-glare,Core,5.063291139240507,2.0202020202020203,4,4
openstack/murano-apps,openstack/puppet-glare,Non core,0.0,2.0202020202020203,4,4
openstack/murano-apps,openstack/xstatic-bootstrap-scss,Core,3.4482758620689653,0.0,2,2
openstack/murano-apps,openstack/xstatic-bootstrap-scss,Non core,0.0,2.3255813953488373,2,2
openstack/murano-apps,openstack/openstack-planet,Core,2.6022304832713754,2.2988505747126435,7,7
openstack/murano-apps,openstack/openstack-planet,Non core,0.0,1.7241379310344827,7,7
openstack/murano-apps,openstack/charm-interface-keystone-credentials,Core,5.084745762711865,1.25,4,2
openstack/murano-apps,openstack/charm-interface-keystone-credentials,Non core,1.694915254237288,1.25,4,2
openstack/murano-apps,openstack/monasca-kibana-plugin,Core,6.666666666666667,1.098901098901099,4,2
openstack/murano-apps,openstack/monasca-kibana-plugin,Non core,0.0,1.098901098901099,4,2
openstack/murano-apps,openstack/charm-interface-keystone-domain-backend,Core,5.357142857142857,1.2987012987012987,4,1
openstack/murano-apps,openstack/charm-interface-keystone-domain-backend,Non core,1.7857142857142856,0.0,4,1
openstack/murano-apps,openstack/devstack-plugin-amqp1,Core,6.557377049180328,2.2222222222222223,4,4
openstack/murano-apps,openstack/devstack-plugin-amqp1,Non core,0.0,2.2222222222222223,4,4
openstack/murano-apps,openstack/devstack-plugin-kafka,Core,3.389830508474576,2.2988505747126435,2,3
openstack/murano-apps,openstack/devstack-plugin-kafka,Non core,0.0,1.1494252873563218,2,3
openstack/murano-apps,openstack/tripleo-ipsec,Core,3.1746031746031744,0.0,2,0
openstack/murano-apps,openstack/tripleo-ipsec,Non core,0.0,0.0,2,0
openstack/murano-apps,openstack/monasca-grafana-datasource,Core,0.0,0.0,0,1
openstack/murano-apps,openstack/monasca-grafana-datasource,Non core,0.0,1.0416666666666665,0,1
openstack/murano-apps,openstack/charm-interface-bind-rndc,Core,5.172413793103448,1.2658227848101267,4,2
openstack/murano-apps,openstack/charm-interface-bind-rndc,Non core,1.7241379310344827,1.2658227848101267,4,2
openstack/murano-apps,openstack/charm-interface-rabbitmq,Core,5.172413793103448,1.25,3,2
openstack/murano-apps,openstack/charm-interface-rabbitmq,Non core,0.0,1.25,3,2
openstack/murano-apps,openstack/charm-interface-openstack-ha,Core,3.4482758620689653,2.5316455696202533,2,3
openstack/murano-apps,openstack/charm-interface-openstack-ha,Non core,0.0,1.2658227848101267,2,3
openstack/murano-apps,openstack/charm-interface-gnocchi,Core,5.357142857142857,2.3255813953488373,3,2
openstack/murano-apps,openstack/charm-interface-gnocchi,Non core,0.0,0.0,3,2
openstack/murano-apps,openstack/charm-interface-bgp,Core,3.389830508474576,1.25,2,1
openstack/murano-apps,openstack/charm-interface-bgp,Non core,0.0,0.0,2,1
openstack/murano-apps,openstack/charm-interface-websso-fid-service-provider,Core,0.0,1.3157894736842104,0,1
openstack/murano-apps,openstack/charm-interface-websso-fid-service-provider,Non core,0.0,0.0,0,1
openstack/murano-apps,openstack/charm-interface-designate,Core,1.7857142857142856,1.2987012987012987,1,1
openstack/murano-apps,openstack/charm-interface-designate,Non core,0.0,0.0,1,1
openstack/murano-apps,openstack/tempest-horizon,Core,5.797101449275362,1.0752688172043012,5,2
openstack/murano-apps,openstack/tempest-horizon,Non core,1.4492753623188406,1.0752688172043012,5,2
openstack/murano-apps,openstack/logstash-filters,Core,0.0,1.3157894736842104,0,2
openstack/murano-apps,openstack/logstash-filters,Non core,0.0,1.3157894736842104,0,2
openstack/murano-apps,openstack/xstatic-jquery-migrate,Core,1.7857142857142856,0.0,1,1
openstack/murano-apps,openstack/xstatic-jquery-migrate,Non core,0.0,1.282051282051282,1,1
openstack/murano-apps,openstack/qinling-dashboard,Core,3.389830508474576,2.2988505747126435,2,2
openstack/murano-apps,openstack/qinling-dashboard,Non core,0.0,0.0,2,2
openstack/murano-apps,openstack/python-qinlingclient,Core,3.75,2.083333333333333,4,3
openstack/murano-apps,openstack/python-qinlingclient,Non core,1.25,1.0416666666666665,4,3
openstack/murano-apps,openstack/qinling,Core,5.4945054945054945,2.8301886792452833,7,4
openstack/murano-apps,openstack/qinling,Non core,2.197802197802198,0.9433962264150944,7,4
openstack/murano-apps,openstack/monasca-analytics,Core,5.47945205479452,2.727272727272727,6,5
openstack/murano-apps,openstack/monasca-analytics,Non core,2.73972602739726,1.8181818181818181,6,5
openstack/murano-apps,openstack/oslo-incubator,Core,2.5236593059936907,1.8442622950819672,8,14
openstack/murano-apps,openstack/oslo-incubator,Non core,0.0,1.0245901639344261,8,14
openstack/murano-apps,openstack/puppet-congress,Core,5.063291139240507,1.0526315789473684,4,2
openstack/murano-apps,openstack/puppet-congress,Non core,0.0,1.0526315789473684,4,2
openstack/murano-apps,openstack/openstack-ansible-os_monasca-ui,Core,4.838709677419355,2.247191011235955,4,3
openstack/murano-apps,openstack/openstack-ansible-os_monasca-ui,Non core,1.6129032258064515,1.1235955056179776,4,3
openstack/murano-apps,openstack/auto-scaling-sig,Core,1.7241379310344827,0.0,1,0
openstack/murano-apps,openstack/auto-scaling-sig,Non core,0.0,0.0,1,0
openstack/murano-apps,openstack/os-loganalyze,Core,3.79746835443038,2.5210084033613445,3,5
openstack/murano-apps,openstack/os-loganalyze,Non core,0.0,1.680672268907563,3,5
openstack/murano-apps,openstack/devstack-plugin-pika,Core,1.7543859649122806,2.4691358024691357,1,3
openstack/murano-apps,openstack/devstack-plugin-pika,Non core,0.0,1.2345679012345678,1,3
openstack/murano-apps,openstack/devstack-plugin-zmq,Core,5.0,2.4096385542168677,3,4
openstack/murano-apps,openstack/devstack-plugin-zmq,Non core,0.0,2.4096385542168677,3,4
openstack/murano-apps,openstack/networking-l2gw,Core,6.1946902654867255,1.3761467889908259,8,6
openstack/murano-apps,openstack/networking-l2gw,Non core,0.8849557522123894,1.3761467889908259,8,6
openstack/murano-apps,openstack/networking-l2gw-tempest-plugin,Core,6.666666666666667,3.225806451612903,5,3
openstack/murano-apps,openstack/networking-l2gw-tempest-plugin,Non core,1.6666666666666667,0.0,5,3
openstack/murano-apps,openstack/charm-interface-ceph-mds,Core,5.172413793103448,0.0,3,1
openstack/murano-apps,openstack/charm-interface-ceph-mds,Non core,0.0,1.282051282051282,3,1
openstack/murano-apps,openstack/xstatic-angular-ui-router,Core,1.8181818181818181,1.282051282051282,1,2
openstack/murano-apps,openstack/xstatic-angular-ui-router,Non core,0.0,1.282051282051282,1,2
openstack/murano-apps,openstack/xstatic-vis,Core,3.6363636363636362,1.2987012987012987,2,1
openstack/murano-apps,openstack/xstatic-vis,Non core,0.0,0.0,2,1
openstack/murano-apps,openstack/cookbook-openstack-database,Core,3.3333333333333335,2.1505376344086025,2,3
openstack/murano-apps,openstack/cookbook-openstack-database,Non core,0.0,1.0752688172043012,2,3
openstack/murano-apps,openstack/cookbook-openstack-data-processing,Core,3.508771929824561,2.3255813953488373,2,4
openstack/murano-apps,openstack/cookbook-openstack-data-processing,Non core,0.0,2.3255813953488373,2,4
openstack/murano-apps,openstack/trove-integration,Core,1.7241379310344827,1.7857142857142856,3,6
openstack/murano-apps,openstack/trove-integration,Non core,0.8620689655172413,1.7857142857142856,3,6
openstack/murano-apps,openstack/ansible-role-tripleo-sensu,Core,3.508771929824561,1.282051282051282,3,1
openstack/murano-apps,openstack/ansible-role-tripleo-sensu,Non core,1.7543859649122806,0.0,3,1
openstack/murano-apps,openstack/python-ceilometerclient,Core,3.067484662576687,2.0161290322580645,5,9
openstack/murano-apps,openstack/python-ceilometerclient,Non core,0.0,1.6129032258064515,5,9
openstack/murano-apps,openstack/keystoneauth-saml2,Core,4.761904761904762,2.9702970297029703,3,5
openstack/murano-apps,openstack/keystoneauth-saml2,Non core,0.0,1.9801980198019802,3,5
openstack/murano-apps,openstack/murano-deployment,Core,7.59493670886076,14.117647058823529,10,24
openstack/murano-apps,openstack/murano-deployment,Non core,5.063291139240507,14.117647058823529,10,24
openstack/murano-apps,openstack/python-keystoneclient-kerberos,Core,4.761904761904762,2.0,3,4
openstack/murano-apps,openstack/python-keystoneclient-kerberos,Non core,0.0,2.0,3,4
openstack/murano-apps,openstack/python-wsmanclient,Core,1.7857142857142856,1.2658227848101267,1,2
openstack/murano-apps,openstack/python-wsmanclient,Non core,0.0,1.2658227848101267,1,2
openstack/murano-apps,openstack/fuel-upgrade,Core,5.0,4.301075268817205,3,6
openstack/murano-apps,openstack/fuel-upgrade,Non core,0.0,2.1505376344086025,3,6
openstack/murano-apps,openstack/cookbook-openstack-object-storage,Core,2.5316455696202533,1.7857142857142856,2,3
openstack/murano-apps,openstack/cookbook-openstack-object-storage,Non core,0.0,0.8928571428571428,2,3
openstack/murano-apps,openstack/fairy-slipper,Core,3.389830508474576,3.571428571428571,2,5
openstack/murano-apps,openstack/fairy-slipper,Non core,0.0,2.380952380952381,2,5
openstack/murano-apps,openstack/django-openstack-auth-kerberos,Core,3.508771929824561,1.1627906976744187,2,3
openstack/murano-apps,openstack/django-openstack-auth-kerberos,Non core,0.0,2.3255813953488373,2,3
openstack/murano-apps,openstack/horizon-cisco-ui,Core,3.125,2.4691358024691357,2,5
openstack/murano-apps,openstack/horizon-cisco-ui,Non core,0.0,3.7037037037037033,2,5
openstack/murano-apps,openstack/zuul-packaging,Core,3.7037037037037033,3.79746835443038,2,4
openstack/murano-apps,openstack/zuul-packaging,Non core,0.0,1.2658227848101267,2,4
openstack/murano-apps,openstack/networking-generic-switch-tempest-plugin,Core,1.8518518518518516,1.36986301369863,1,1
openstack/murano-apps,openstack/networking-generic-switch-tempest-plugin,Non core,0.0,0.0,1,1
openstack/murano-apps,openstack/tripleo-incubator,Core,2.0408163265306123,1.3157894736842104,3,7
openstack/murano-apps,openstack/tripleo-incubator,Non core,0.0,1.7543859649122806,3,7
openstack/murano-apps,openstack/ironic-webclient,Core,1.694915254237288,2.0408163265306123,1,5
