projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/murano,openstack/murano-dashboard,Core,11.96911196911197,8.947368421052632,90,119
openstack/murano,openstack/murano-dashboard,Non core,22.779922779922778,22.36842105263158,90,119
openstack/murano,openstack/murano-pkg-check,Core,4.310344827586207,3.6923076923076925,19,24
openstack/murano,openstack/murano-pkg-check,Non core,3.8793103448275863,3.6923076923076925,19,24
openstack/murano,openstack/murano-agent,Core,11.814345991561181,6.547619047619048,61,66
openstack/murano,openstack/murano-agent,Non core,13.924050632911392,13.095238095238097,61,66
openstack/murano,openstack/octavia,Core,5.275229357798166,5.873493975903615,53,97
openstack/murano,openstack/octavia,Non core,6.8807339449541285,8.734939759036145,53,97
openstack/murano,openstack/charm-nova-compute,Core,1.0344827586206897,1.0389610389610389,8,12
openstack/murano,openstack/charm-nova-compute,Non core,1.7241379310344827,2.0779220779220777,8,12
openstack/murano,openstack/keystone,Core,4.221635883905013,4.2517006802721085,72,143
openstack/murano,openstack/keystone,Non core,5.277044854881266,7.908163265306123,72,143
openstack/murano,openstack/openstack-helm-images,Core,1.056338028169014,1.1086474501108647,4,13
openstack/murano,openstack/openstack-helm-images,Non core,0.35211267605633806,1.7738359201773837,4,13
openstack/murano,openstack/python-cinderclient,Core,4.9281314168377826,4.225352112676056,43,86
openstack/murano,openstack/python-cinderclient,Non core,3.9014373716632447,6.786171574903969,43,86
openstack/murano,openstack/cinderlib,Core,3.404255319148936,2.9154518950437316,10,17
openstack/murano,openstack/cinderlib,Non core,0.851063829787234,2.0408163265306123,10,17
openstack/murano,openstack/keystone-specs,Core,2.6755852842809364,4.23572744014733,17,55
openstack/murano,openstack/keystone-specs,Non core,3.0100334448160537,5.893186003683241,17,55
openstack/murano,openstack/os-brick,Core,3.825136612021858,3.776683087027915,28,56
openstack/murano,openstack/os-brick,Non core,3.825136612021858,5.41871921182266,28,56
openstack/murano,openstack/ansible-collection-kolla,Core,0.0,0.2985074626865672,0,3
openstack/murano,openstack/ansible-collection-kolla,Non core,0.0,0.5970149253731344,0,3
openstack/murano,openstack/horizon,Core,3.1982942430703627,3.7012987012987013,76,178
openstack/murano,openstack/horizon,Non core,4.904051172707889,7.857142857142857,76,178
openstack/murano,openstack/mistral-extra,Core,4.508196721311475,2.2408963585434174,22,29
openstack/murano,openstack/mistral-extra,Non core,4.508196721311475,5.88235294117647,22,29
openstack/murano,openstack/puppet-pacemaker,Core,2.34375,2.0671834625323,11,22
openstack/murano,openstack/puppet-pacemaker,Non core,1.953125,3.6175710594315245,11,22
openstack/murano,openstack/charm-trilio-data-mover,Core,0.0,0.0,2,1
openstack/murano,openstack/charm-trilio-data-mover,Non core,0.8620689655172413,0.2985074626865672,2,1
openstack/murano,openstack/glance-tempest-plugin,Core,0.8695652173913043,0.6042296072507553,2,2
openstack/murano,openstack/glance-tempest-plugin,Non core,0.0,0.0,2,2
openstack/murano,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
openstack/murano,openstack/charm-ops-sunbeam,Non core,0.0,0.0,0,0
openstack/murano,openstack/mistral,Core,7.196029776674938,7.347670250896058,63,105
openstack/murano,openstack/mistral,Non core,8.436724565756824,11.469534050179211,63,105
openstack/murano,openstack/validations-common,Core,2.0325203252032518,2.4657534246575343,6,12
openstack/murano,openstack/validations-common,Non core,0.40650406504065045,0.821917808219178,6,12
openstack/murano,openstack/ci-log-processing,Core,0.0,0.8797653958944283,0,5
openstack/murano,openstack/ci-log-processing,Non core,0.0,0.5865102639296188,0,5
openstack/murano,openstack/openstack-ansible-os_ceilometer,Core,2.7777777777777777,1.7632241813602016,13,20
openstack/murano,openstack/openstack-ansible-os_ceilometer,Non core,1.7361111111111112,3.27455919395466,13,20
openstack/murano,openstack/openstack-ansible-os_aodh,Core,2.898550724637681,1.3020833333333335,13,20
openstack/murano,openstack/openstack-ansible-os_aodh,Non core,1.8115942028985508,3.90625,13,20
openstack/murano,openstack/python-swiftclient,Core,4.56989247311828,3.984819734345351,33,45
openstack/murano,openstack/python-swiftclient,Non core,4.301075268817205,4.554079696394687,33,45
openstack/murano,openstack/rpm-packaging,Core,3.4375000000000004,2.268041237113402,24,35
openstack/murano,openstack/rpm-packaging,Non core,4.0625,4.948453608247423,24,35
openstack/murano,openstack/placement,Core,2.6717557251908395,3.2098765432098766,11,26
openstack/murano,openstack/placement,Non core,1.5267175572519083,3.2098765432098766,11,26
openstack/murano,openstack/os-resource-classes,Core,0.8620689655172413,1.749271137026239,5,8
openstack/murano,openstack/os-resource-classes,Non core,1.293103448275862,0.5830903790087464,5,8
openstack/murano,openstack/blazar,Core,5.762711864406779,4.640371229698376,32,47
openstack/murano,openstack/blazar,Non core,5.084745762711865,6.2645011600928076,32,47
openstack/murano,openstack/openstack-ansible-os_glance,Core,2.877697841726619,1.7766497461928936,17,20
openstack/murano,openstack/openstack-ansible-os_glance,Non core,3.237410071942446,3.2994923857868024,17,20
openstack/murano,openstack/governance,Core,5.691056910569105,5.348460291734198,52,135
openstack/murano,openstack/governance,Non core,2.7642276422764227,5.591572123176661,52,135
openstack/murano,openstack/cloudkitty,Core,7.4324324324324325,4.587155963302752,47,57
openstack/murano,openstack/cloudkitty,Non core,8.445945945945946,8.486238532110093,47,57
openstack/murano,openstack/neutron-dynamic-routing,Core,3.8596491228070176,2.564102564102564,19,29
openstack/murano,openstack/neutron-dynamic-routing,Non core,2.807017543859649,4.195804195804196,19,29
openstack/murano,openstack/kayobe,Core,1.509433962264151,1.8276762402088773,8,16
openstack/murano,openstack/kayobe,Non core,1.509433962264151,2.3498694516971277,8,16
openstack/murano,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/murano,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/murano,openstack/python-manilaclient,Core,6.176470588235294,4.276985743380855,40,51
openstack/murano,openstack/python-manilaclient,Non core,5.588235294117648,6.109979633401222,40,51
openstack/murano,openstack/tripleo-operator-ansible,Core,1.6064257028112447,1.6260162601626018,5,6
openstack/murano,openstack/tripleo-operator-ansible,Non core,0.4016064257028112,0.0,5,6
openstack/murano,openstack/octavia-dashboard,Core,3.501945525291829,2.406417112299465,15,21
openstack/murano,openstack/octavia-dashboard,Non core,2.3346303501945527,3.2085561497326207,15,21
openstack/murano,openstack/blazar-tempest-plugin,Core,2.5316455696202533,2.023121387283237,9,10
openstack/murano,openstack/blazar-tempest-plugin,Non core,1.2658227848101267,0.8670520231213872,9,10
openstack/murano,openstack/neutron-specs,Core,2.030456852791878,2.358490566037736,15,50
openstack/murano,openstack/neutron-specs,Non core,1.7766497461928936,3.5377358490566038,15,50
openstack/murano,openstack/tooz,Core,3.7800687285223367,4.651162790697675,21,42
openstack/murano,openstack/tooz,Non core,3.436426116838488,5.116279069767442,21,42
openstack/murano,openstack/manila-specs,Core,1.1673151750972763,0.7672634271099744,7,8
openstack/murano,openstack/manila-specs,Non core,1.556420233463035,1.278772378516624,7,8
openstack/murano,openstack/glance_store,Core,4.057971014492753,4.3399638336347195,19,68
openstack/murano,openstack/glance_store,Non core,1.4492753623188406,7.956600361663653,19,68
openstack/murano,openstack/openstack-ansible-os_neutron,Core,2.1604938271604937,1.5053763440860215,19,30
