projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/networking-l2gw-tempest-plugin,openstack/charm-interface-ceph-mds,Core,5.263157894736842,0.0,1,0
openstack/networking-l2gw-tempest-plugin,openstack/charm-interface-ceph-mds,Non core,0.0,0.0,1,0
openstack/networking-l2gw-tempest-plugin,openstack/xstatic-angular-ui-router,Core,0.0,6.666666666666667,0,2
openstack/networking-l2gw-tempest-plugin,openstack/xstatic-angular-ui-router,Non core,0.0,0.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/xstatic-vis,Core,0.0,7.142857142857142,0,2
openstack/networking-l2gw-tempest-plugin,openstack/xstatic-vis,Non core,0.0,0.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/cookbook-openstack-database,Core,0.0,4.3478260869565215,0,2
openstack/networking-l2gw-tempest-plugin,openstack/cookbook-openstack-database,Non core,0.0,0.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/cookbook-openstack-data-processing,Core,0.0,5.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/cookbook-openstack-data-processing,Non core,0.0,0.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/trove-integration,Core,1.2987012987012987,2.4390243902439024,1,3
openstack/networking-l2gw-tempest-plugin,openstack/trove-integration,Non core,0.0,0.0,1,3
openstack/networking-l2gw-tempest-plugin,openstack/ansible-role-tripleo-sensu,Core,0.0,3.3333333333333335,2,1
openstack/networking-l2gw-tempest-plugin,openstack/ansible-role-tripleo-sensu,Non core,11.76470588235294,0.0,2,1
openstack/networking-l2gw-tempest-plugin,openstack/python-ceilometerclient,Core,1.6,1.4563106796116505,2,3
openstack/networking-l2gw-tempest-plugin,openstack/python-ceilometerclient,Non core,0.0,0.0,2,3
openstack/networking-l2gw-tempest-plugin,openstack/keystoneauth-saml2,Core,0.0,3.571428571428571,0,2
openstack/networking-l2gw-tempest-plugin,openstack/keystoneauth-saml2,Non core,0.0,0.0,0,2
openstack/networking-l2gw-tempest-plugin,openstack/murano-deployment,Core,0.0,1.6666666666666667,0,1
openstack/networking-l2gw-tempest-plugin,openstack/murano-deployment,Non core,0.0,0.0,0,1
openstack/networking-l2gw-tempest-plugin,openstack/python-keystoneclient-kerberos,Core,0.0,3.7037037037037033,0,2
openstack/networking-l2gw-tempest-plugin,openstack/python-keystoneclient-kerberos,Non core,0.0,0.0,0,2
