projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/networking-sfc,openstack/charm-cinder-three-par,Core,0.0,0.0,0,1
openstack/networking-sfc,openstack/charm-cinder-three-par,Non core,0.0,0.45454545454545453,0,1
openstack/networking-sfc,openstack/cyborg-tempest-plugin,Core,1.680672268907563,1.6528925619834711,3,8
openstack/networking-sfc,openstack/cyborg-tempest-plugin,Non core,0.8403361344537815,1.6528925619834711,3,8
openstack/networking-sfc,openstack/charm-ceph-iscsi,Core,0.0,0.0,1,2
openstack/networking-sfc,openstack/charm-ceph-iscsi,Non core,0.9803921568627451,0.8733624454148471,1,2
openstack/networking-sfc,openstack/charm-cinder-solidfire,Core,0.0,0.0,1,0
openstack/networking-sfc,openstack/charm-cinder-solidfire,Non core,1.0309278350515463,0.0,1,0
openstack/networking-sfc,openstack/puppet-qdr,Core,5.217391304347826,0.0,8,4
openstack/networking-sfc,openstack/puppet-qdr,Non core,1.7391304347826086,1.6666666666666667,8,4
openstack/networking-sfc,openstack/vitrage-tempest-plugin,Core,1.639344262295082,1.2552301255230125,8,7
openstack/networking-sfc,openstack/vitrage-tempest-plugin,Non core,4.918032786885246,1.6736401673640167,8,7
openstack/networking-sfc,openstack/tripleo-specs,Core,2.197802197802198,2.2587268993839835,6,25
openstack/networking-sfc,openstack/tripleo-specs,Non core,1.098901098901099,2.8747433264887063,6,25
openstack/networking-sfc,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,1,1
openstack/networking-sfc,openstack/charm-neutron-api-plugin-arista,Non core,0.9900990099009901,0.4405286343612335,1,1
openstack/networking-sfc,openstack/charm-ceph-fs,Core,1.7391304347826086,1.2875536480686696,4,7
openstack/networking-sfc,openstack/charm-ceph-fs,Non core,1.7391304347826086,1.7167381974248928,4,7
openstack/networking-sfc,openstack/stevedore,Core,5.9259259259259265,3.4722222222222223,14,21
openstack/networking-sfc,openstack/stevedore,Non core,4.444444444444445,3.8194444444444446,14,21
openstack/networking-sfc,openstack/charm-ceph-proxy,Core,1.7241379310344827,1.6528925619834711,4,8
openstack/networking-sfc,openstack/charm-ceph-proxy,Non core,1.7241379310344827,1.6528925619834711,4,8
openstack/networking-sfc,openstack/charm-cloudkitty,Core,0.0,0.0,0,0
openstack/networking-sfc,openstack/charm-cloudkitty,Non core,0.0,0.0,0,0
openstack/networking-sfc,openstack/charm-ops-openstack,Core,0.0,0.0,1,0
openstack/networking-sfc,openstack/charm-ops-openstack,Non core,0.9803921568627451,0.0,1,0
openstack/networking-sfc,openstack/zun-tempest-plugin,Core,2.6785714285714284,1.25,6,8
openstack/networking-sfc,openstack/zun-tempest-plugin,Non core,2.6785714285714284,2.083333333333333,6,8
openstack/networking-sfc,openstack/storlets,Core,4.37956204379562,2.6415094339622645,16,18
openstack/networking-sfc,openstack/storlets,Non core,7.2992700729927,4.150943396226415,16,18
openstack/networking-sfc,openstack/training-guides,Core,2.976190476190476,3.4161490683229814,11,23
openstack/networking-sfc,openstack/training-guides,Non core,3.571428571428571,3.7267080745341614,11,23
openstack/networking-sfc,openstack/openstack-ansible-plugins,Core,4.57516339869281,2.422145328719723,10,16
openstack/networking-sfc,openstack/openstack-ansible-plugins,Non core,1.9607843137254901,3.1141868512110724,10,16
openstack/networking-sfc,openstack/python-muranoclient,Core,3.9800995024875623,2.4024024024024024,16,28
openstack/networking-sfc,openstack/python-muranoclient,Non core,3.9800995024875623,6.006006006006006,16,28
openstack/networking-sfc,openstack/solum-dashboard,Core,6.557377049180328,2.7450980392156863,13,14
openstack/networking-sfc,openstack/solum-dashboard,Non core,4.098360655737705,2.7450980392156863,13,14
openstack/networking-sfc,openstack/python-solumclient,Core,5.594405594405594,2.2556390977443606,13,21
openstack/networking-sfc,openstack/python-solumclient,Non core,3.4965034965034967,5.639097744360902,13,21
openstack/networking-sfc,openstack/solum-tempest-plugin,Core,1.9417475728155338,1.82648401826484,4,9
