projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/neutron-lib,openstack/puppet-tempest,Core,2.9661016949152543,3.1784841075794623,14,26
openstack/neutron-lib,openstack/puppet-tempest,Non core,2.9661016949152543,3.1784841075794623,14,26
openstack/neutron-lib,openstack/nova-specs,Core,4.156479217603912,5.527123848515865,28,110
openstack/neutron-lib,openstack/nova-specs,Non core,2.689486552567237,5.731832139201638,28,110
openstack/neutron-lib,openstack/puppet-designate,Core,2.109704641350211,1.25,9,19
openstack/neutron-lib,openstack/puppet-designate,Non core,1.6877637130801686,3.5000000000000004,9,19
openstack/neutron-lib,openstack/trove,Core,4.288939051918736,3.934871099050204,39,83
openstack/neutron-lib,openstack/trove,Non core,4.514672686230249,7.327001356852103,39,83
openstack/neutron-lib,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-keystone-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-keystone-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/ceilometer,Core,3.535353535353535,4.032258064516129,41,101
openstack/neutron-lib,openstack/ceilometer,Non core,3.3670033670033668,6.149193548387097,41,101
openstack/neutron-lib,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/neutron-lib,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
openstack/neutron-lib,openstack/puppet-zaqar,Core,3.30188679245283,1.0666666666666667,13,14
openstack/neutron-lib,openstack/puppet-zaqar,Non core,2.8301886792452833,2.666666666666667,13,14
openstack/neutron-lib,openstack/puppet-openstack_extras,Core,2.7149321266968327,1.5424164524421593,10,17
openstack/neutron-lib,openstack/puppet-openstack_extras,Non core,1.809954751131222,2.827763496143959,10,17
openstack/neutron-lib,openstack/puppet-openstack-integration,Core,1.9157088122605364,4.1067761806981515,10,49
openstack/neutron-lib,openstack/puppet-openstack-integration,Non core,1.9157088122605364,5.95482546201232,10,49
openstack/neutron-lib,openstack/puppet-octavia,Core,3.056768558951965,2.406417112299465,14,26
openstack/neutron-lib,openstack/puppet-octavia,Non core,3.056768558951965,4.545454545454546,14,26
openstack/neutron-lib,openstack/heat,Core,3.582089552238806,4.0201005025125625,52,134
