projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/neutron,openstack/charm-neutron-k8s,Core,0.0,0.0,2,3
openstack/neutron,openstack/charm-neutron-k8s,Non core,0.19342359767891684,0.15463917525773196,2,3
openstack/neutron,openstack/puppet-swift,Core,2.1004566210045663,1.5453639082751744,44,94
openstack/neutron,openstack/puppet-swift,Non core,1.9178082191780823,3.140578265204387,44,94
openstack/neutron,openstack/devstack,Core,9.986595174262733,9.755149630781188,336,760
openstack/neutron,openstack/devstack,Non core,12.533512064343164,19.782355227361055,336,760
openstack/neutron,openstack/skyline-console,Core,0.09541984732824427,0.0,2,15
openstack/neutron,openstack/skyline-console,Non core,0.09541984732824427,0.7649158592554819,2,15
openstack/neutron,openstack/nova,Core,8.577298407806882,8.226144181872568,477,1100
openstack/neutron,openstack/nova,Non core,15.921931176168464,24.67843254561771,477,1100
openstack/neutron,openstack/puppet-nova,Core,3.3447684391080617,2.719465648854962,77,174
openstack/neutron,openstack/puppet-nova,Non core,3.2590051457975986,5.5820610687022905,77,174
openstack/neutron,openstack/swift,Core,3.9412673879443583,4.166666666666666,133,289
openstack/neutron,openstack/swift,Non core,6.3369397217928904,8.643617021276597,133,289
openstack/neutron,openstack/tripleo-ansible,Core,2.5316455696202533,2.7106949236076887,45,116
openstack/neutron,openstack/tripleo-ansible,Non core,1.5370705244122964,3.0064070970921635,45,116
openstack/neutron,openstack/sushy,Core,1.4925373134328357,1.2127337038908539,21,59
openstack/neutron,openstack/sushy,Non core,0.46641791044776115,1.7685699848408287,21,59
openstack/neutron,openstack/puppet-tripleo,Core,4.299226139294927,4.071127749181095,93,236
openstack/neutron,openstack/puppet-tripleo,Non core,3.697334479793637,6.9723912026204955,93,236
openstack/neutron,openstack/cinder,Core,6.235955056179775,6.351791530944626,310,724
openstack/neutron,openstack/cinder,Non core,11.179775280898877,17.23127035830619,310,724
openstack/neutron,openstack/ironic,Core,6.074074074074074,6.322580645161291,188,436
openstack/neutron,openstack/ironic,Non core,7.851851851851851,12.43010752688172,188,436
openstack/neutron,openstack/tacker,Core,2.76100086281277,2.413127413127413,79,164
openstack/neutron,openstack/tacker,Non core,4.055220017256255,5.501930501930502,79,164
openstack/neutron,openstack/manila,Core,3.8880248833592534,3.8817820908689895,123,281
openstack/neutron,openstack/manila,Non core,5.67651632970451,8.513453903837672,123,281
openstack/neutron,openstack/tripleo-heat-templates,Core,5.222135619641465,5.093378607809847,139,368
openstack/neutron,openstack/tripleo-heat-templates,Non core,5.611847233047545,10.526315789473683,139,368
openstack/neutron,openstack/tripleo-upgrade,Core,1.303538175046555,1.6401590457256463,24,93
openstack/neutron,openstack/tripleo-upgrade,Non core,0.931098696461825,2.982107355864811,24,93
