projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/nova,openstack/puppet-nova,Core,2.906208718626156,2.8158295281582952,89,207
openstack/nova,openstack/puppet-nova,Non core,2.97225891677675,5.060882800608828,89,207
openstack/nova,openstack/swift,Core,3.955500618046971,4.040771751001092,169,363
openstack/nova,openstack/swift,Non core,6.489493201483312,9.173643975245723,169,363
openstack/nova,openstack/tripleo-ansible,Core,1.2898845892735913,2.1505376344086025,38,106
openstack/nova,openstack/tripleo-ansible,Non core,1.2898845892735913,1.9201228878648235,38,106
openstack/nova,openstack/sushy,Core,1.4054813773717498,1.1829652996845426,30,67
openstack/nova,openstack/sushy,Non core,0.7027406886858749,1.4589905362776026,30,67
openstack/nova,openstack/puppet-tripleo,Core,2.803129074315515,3.494423791821561,82,248
openstack/nova,openstack/puppet-tripleo,Non core,2.5423728813559325,5.724907063197026,82,248
openstack/nova,openstack/cinder,Core,8.068714211348256,7.3012939001848425,529,1113
openstack/nova,openstack/cinder,Non core,19.469026548672566,26.98706099815157,529,1113
openstack/nova,openstack/ironic,Core,7.164727495407226,6.444605358435916,265,564
openstack/nova,openstack/ironic,Non core,9.06307409675444,13.975380159304851,265,564
openstack/nova,openstack/tacker,Core,2.287581699346405,1.8154311649016641,68,157
openstack/nova,openstack/tacker,Non core,2.156862745098039,4.122541603630863,68,157
openstack/nova,openstack/manila,Core,3.5315985130111525,3.5119478638667636,155,351
openstack/nova,openstack/manila,Non core,6.071871127633209,9.196234612599566,155,351
openstack/nova,openstack/tripleo-heat-templates,Core,4.25273390036452,4.727146332985749,136,412
openstack/nova,openstack/tripleo-heat-templates,Non core,4.0097205346294045,9.593326381647548,136,412
openstack/nova,openstack/tripleo-upgrade,Core,0.9046624913013221,1.3183404420317952,21,91
openstack/nova,openstack/tripleo-upgrade,Non core,0.5567153792623522,2.2101589763474214,21,91
openstack/nova,openstack/tripleo-common,Core,3.608923884514436,3.9399624765478425,92,241
openstack/nova,openstack/tripleo-common,Non core,2.4278215223097113,5.103189493433396,92,241
openstack/nova,openstack/openstack-helm-infra,Core,0.9696186166774402,1.1725906925613778,27,92
openstack/nova,openstack/openstack-helm-infra,Non core,0.7756948933419522,2.1986075485525833,27,92
openstack/nova,openstack/os-vif,Core,2.2598870056497176,2.023006743355811,49,119
openstack/nova,openstack/os-vif,Non core,1.2005649717514124,2.697342324474415,49,119
openstack/nova,openstack/charm-cinder,Core,0.35285815102328866,0.4763795156808257,17,38
openstack/nova,openstack/charm-cinder,Non core,0.8468595624558928,1.0321556173084558,17,38
openstack/nova,openstack/tripleo-ci,Core,2.7434842249657065,3.453568687643899,60,192
openstack/nova,openstack/tripleo-ci,Non core,1.3717421124828533,3.9140445126630854,60,192
openstack/nova,openstack/openstack-helm,Core,1.7408123791102514,1.7266715650257163,47,138
openstack/nova,openstack/openstack-helm,Non core,1.2894906511927788,3.3431300514327704,47,138
openstack/nova,openstack/ironic-inspector,Core,2.904564315352697,2.540054708870653,80,163
openstack/nova,openstack/ironic-inspector,Non core,2.627939142461964,3.8296209456819073,80,163
openstack/nova,openstack/designate-specs,Core,0.3546099290780142,0.43633478778262597,16,24
openstack/nova,openstack/designate-specs,Non core,0.7801418439716312,0.5156683855612851,16,24
openstack/nova,openstack/ironic-python-agent,Core,3.462321792260693,2.7820710973724885,101,198
openstack/nova,openstack/ironic-python-agent,Non core,3.3944331296673456,4.868624420401855,101,198
openstack/nova,openstack/glance,Core,7.697201017811704,6.989644970414201,362,718
openstack/nova,openstack/glance,Non core,15.330788804071247,19.563609467455624,362,718
openstack/nova,openstack/tripleo-validations,Core,1.639344262295082,1.979045401629802,49,110
openstack/nova,openstack/tripleo-validations,Non core,1.707650273224044,2.2894838960031043,49,110
openstack/nova,openstack/kolla-ansible,Core,3.3846153846153846,3.822574828705373,114,312
openstack/nova,openstack/kolla-ansible,Non core,3.6307692307692303,7.428777497295348,114,312
openstack/nova,openstack/barbican,Core,4.270696452036794,4.123711340206185,129,272
openstack/nova,openstack/barbican,Non core,4.204993429697766,6.261932035127911,129,272
openstack/nova,openstack/manila-tempest-plugin,Core,0.6302521008403361,0.47244094488188976,14,38
openstack/nova,openstack/manila-tempest-plugin,Non core,0.350140056022409,1.0236220472440944,14,38
openstack/nova,openstack/networking-ovn,Core,2.615278733654508,2.405898331393093,66,164
openstack/nova,openstack/networking-ovn,Non core,1.9270474879559532,3.958090803259604,66,164
openstack/nova,openstack/designate,Core,3.606557377049181,3.526255270218474,128,244
openstack/nova,openstack/designate,Non core,4.786885245901639,5.825986968187045,128,244
openstack/nova,openstack/ansible-role-uwsgi,Core,0.35842293906810035,0.4387714399680893,5,12
openstack/nova,openstack/ansible-role-uwsgi,Non core,0.0,0.03988831272437176,5,12
openstack/nova,openstack/ironic-specs,Core,2.361111111111111,3.225806451612903,59,205
openstack/nova,openstack/ironic-specs,Non core,1.7361111111111112,4.646697388632873,59,205
openstack/nova,openstack/tap-as-a-service,Core,1.0623229461756374,1.0248324793062673,25,76
openstack/nova,openstack/tap-as-a-service,Non core,0.708215297450425,1.9708316909735908,25,76
openstack/nova,openstack/tripleo-quickstart-extras,Core,2.1843003412969284,2.6153846153846154,59,161
openstack/nova,openstack/tripleo-quickstart-extras,Non core,1.8430034129692834,3.5769230769230766,59,161
openstack/nova,openstack/openstacksdk,Core,5.317769130998703,5.730550284629981,137,264
openstack/nova,openstack/openstacksdk,Non core,3.5667963683527883,4.28842504743833,137,264
openstack/nova,openstack/openstack-ansible-os_octavia,Core,1.1235955056179776,1.2243285939968405,25,55
openstack/nova,openstack/openstack-ansible-os_octavia,Non core,0.6320224719101123,0.9478672985781991,25,55
openstack/nova,openstack/requirements,Core,10.19219569015725,10.135135135135135,342,776
openstack/nova,openstack/requirements,Non core,9.72626674432149,16.08108108108108,342,776
openstack/nova,openstack/puppet-ironic,Core,1.8736988202637055,1.4913657770800628,55,110
openstack/nova,openstack/puppet-ironic,Non core,1.9430950728660652,2.8257456828885403,55,110
openstack/nova,openstack/charm-glance-k8s,Core,0.0,0.0,3,4
openstack/nova,openstack/charm-glance-k8s,Non core,0.21536252692031585,0.1597444089456869,3,4
openstack/nova,openstack/python-tripleoclient,Core,2.8514588859416445,3.1854379977246867,78,205
openstack/nova,openstack/python-tripleoclient,Non core,2.320954907161804,4.588547591960562,78,205
openstack/nova,openstack/puppet-keystone,Core,2.0819341840161183,2.314814814814815,69,157
openstack/nova,openstack/puppet-keystone,Non core,2.552048354600403,3.742283950617284,69,157
openstack/nova,openstack/networking-bgpvpn,Core,2.0027624309392267,1.9968676585747847,48,120
openstack/nova,openstack/networking-bgpvpn,Non core,1.3121546961325967,2.701644479248238,48,120
openstack/nova,openstack/ovn-octavia-provider,Core,0.7132667617689016,0.8333333333333334,12,28
openstack/nova,openstack/ovn-octavia-provider,Non core,0.14265335235378032,0.2777777777777778,12,28
openstack/nova,openstack/python-openstackclient,Core,6.38036809815951,6.293197526373226,228,439
openstack/nova,openstack/python-openstackclient,Non core,7.6073619631901845,9.676245907602766,228,439
openstack/nova,openstack/puppet-openstacklib,Core,1.389854065323141,1.803921568627451,36,97
openstack/nova,openstack/puppet-openstacklib,Non core,1.111883252258513,2.0,36,97
openstack/nova,openstack/puppet-aodh,Core,1.1946591707659873,1.3861386138613863,32,76
openstack/nova,openstack/puppet-aodh,Non core,1.0541110330288124,1.6237623762376239,32,76
openstack/nova,openstack/neutron-lib,Core,3.1799729364005414,3.1405591727307542,95,223
openstack/nova,openstack/neutron-lib,Non core,3.247631935047361,5.4002297970126385,95,223
openstack/nova,openstack/puppet-tempest,Core,1.7568517217146873,1.4636075949367089,38,81
openstack/nova,openstack/puppet-tempest,Non core,0.9135628952916374,1.740506329113924,38,81
openstack/nova,openstack/nova-specs,Core,5.20393811533052,7.42441637964026,226,648
openstack/nova,openstack/nova-specs,Non core,10.68917018284107,17.374665135859164,226,648
openstack/nova,openstack/puppet-designate,Core,1.1228070175438596,0.8688783570300158,32,61
openstack/nova,openstack/puppet-designate,Non core,1.1228070175438596,1.5402843601895735,32,61
openstack/nova,openstack/trove,Core,4.085603112840467,3.8289962825278807,151,304
openstack/nova,openstack/trove,Non core,5.706874189364462,7.4721189591078065,151,304
openstack/nova,openstack/charm-nova-k8s,Core,0.0,0.0,3,4
openstack/nova,openstack/charm-nova-k8s,Non core,0.21536252692031585,0.1597444089456869,3,4
openstack/nova,openstack/charm-keystone-k8s,Core,0.0,0.0,3,5
openstack/nova,openstack/charm-keystone-k8s,Non core,0.21536252692031585,0.19960079840319359,3,5
openstack/nova,openstack/charm-placement-k8s,Core,0.0,0.0,3,4
openstack/nova,openstack/charm-placement-k8s,Non core,0.21536252692031585,0.1597444089456869,3,4
openstack/nova,openstack/charm-horizon-k8s,Core,0.0,0.0,2,4
openstack/nova,openstack/charm-horizon-k8s,Non core,0.14357501794687724,0.1597444089456869,2,4
openstack/nova,openstack/charm-cinder-k8s,Core,0.0,0.0,4,4
openstack/nova,openstack/charm-cinder-k8s,Non core,0.2871500358937545,0.1597444089456869,4,4
openstack/nova,openstack/ceilometer,Core,5.381727158948686,5.638413968715897,248,518
openstack/nova,openstack/ceilometer,Non core,10.137672090112641,13.204801746089487,248,518
openstack/nova,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,2,4
openstack/nova,openstack/charm-cinder-ceph-k8s,Non core,0.14357501794687724,0.1597444089456869,2,4
openstack/nova,openstack/puppet-zaqar,Core,1.0645848119233499,0.8339952343129466,27,45
openstack/nova,openstack/puppet-zaqar,Non core,0.8516678495386799,0.9531374106433679,27,45
openstack/nova,openstack/puppet-openstack_extras,Core,1.1997177134791814,1.0309278350515463,25,58
openstack/nova,openstack/puppet-openstack_extras,Non core,0.5645730416372619,1.26883425852498,25,58
openstack/nova,openstack/puppet-openstack-integration,Core,2.1587743732590527,2.926258291065158,46,147
openstack/nova,openstack/puppet-openstack-integration,Non core,1.0445682451253482,2.809207959422552,46,147
openstack/nova,openstack/puppet-octavia,Core,0.9129213483146067,0.8326724821570183,30,52
openstack/nova,openstack/puppet-octavia,Non core,1.193820224719101,1.2291831879460746,30,52
openstack/nova,openstack/heat,Core,6.5021071643588195,6.796116504854369,272,618
openstack/nova,openstack/heat,Non core,9.873570138470802,14.63245492371706,272,618
openstack/nova,openstack/openstack-ansible-os_nova,Core,2.1305841924398625,1.518100428182172,52,107
openstack/nova,openstack/openstack-ansible-os_nova,Non core,1.443298969072165,2.6469443363176333,52,107
openstack/nova,openstack/openstack-ansible-os_heat,Core,1.397624039133473,1.22336227308603,31,55
openstack/nova,openstack/openstack-ansible-os_heat,Non core,0.7686932215234101,0.9471191791633782,31,55
openstack/nova,openstack/project-config,Core,10.382775119617225,9.87012987012987,402,885
openstack/nova,openstack/project-config,Non core,8.851674641148326,15.670995670995671,402,885
openstack/nova,openstack/tripleo-quickstart,Core,2.5,2.951322345726332,66,189
openstack/nova,openstack/tripleo-quickstart,Non core,1.9594594594594597,4.292832502874664,66,189
openstack/nova,openstack/ansible-collections-openstack,Core,0.697350069735007,1.0284810126582278,15,33
