projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/octavia-tempest-plugin,openstack/kolla,Core,1.8329938900203666,3.0788177339901477,13,61
openstack/octavia-tempest-plugin,openstack/kolla,Non core,0.8146639511201629,4.433497536945813,13,61
openstack/octavia-tempest-plugin,openstack/glance-specs,Core,1.6528925619834711,1.257861635220126,4,12
openstack/octavia-tempest-plugin,openstack/glance-specs,Non core,1.6528925619834711,2.515723270440252,4,12
openstack/octavia-tempest-plugin,openstack/telemetry-tempest-plugin,Core,15.0,5.263157894736842,12,13
openstack/octavia-tempest-plugin,openstack/telemetry-tempest-plugin,Non core,5.0,4.511278195488721,12,13
openstack/octavia-tempest-plugin,openstack/os-net-config,Core,4.098360655737705,2.857142857142857,8,25
openstack/octavia-tempest-plugin,openstack/os-net-config,Non core,2.459016393442623,7.346938775510205,8,25
openstack/octavia-tempest-plugin,openstack/kuryr-kubernetes,Core,4.081632653061225,5.343511450381679,11,38
openstack/octavia-tempest-plugin,openstack/kuryr-kubernetes,Non core,3.4013605442176873,9.16030534351145,11,38
openstack/octavia-tempest-plugin,openstack/charms.openstack,Core,2.857142857142857,2.307692307692308,3,6
openstack/octavia-tempest-plugin,openstack/charms.openstack,Non core,1.4285714285714286,2.307692307692308,3,6
openstack/octavia-tempest-plugin,openstack/puppet-trove,Core,3.8834951456310676,2.6737967914438503,5,14
openstack/octavia-tempest-plugin,openstack/puppet-trove,Non core,0.9708737864077669,4.81283422459893,5,14
openstack/octavia-tempest-plugin,openstack/tripleo-image-elements,Core,3.3175355450236967,2.7848101265822782,10,28
openstack/octavia-tempest-plugin,openstack/tripleo-image-elements,Non core,1.4218009478672986,4.30379746835443,10,28
openstack/octavia-tempest-plugin,openstack/bifrost,Core,2.5316455696202533,3.11284046692607,9,19
openstack/octavia-tempest-plugin,openstack/bifrost,Non core,3.1645569620253164,4.280155642023346,9,19
openstack/octavia-tempest-plugin,openstack/designate-tempest-plugin,Core,9.859154929577464,6.293706293706294,12,21
openstack/octavia-tempest-plugin,openstack/designate-tempest-plugin,Non core,7.042253521126761,8.391608391608392,12,21
openstack/octavia-tempest-plugin,openstack/osc-placement,Core,6.451612903225806,3.2679738562091507,5,19
openstack/octavia-tempest-plugin,openstack/osc-placement,Non core,1.6129032258064515,9.15032679738562,5,19
openstack/octavia-tempest-plugin,openstack/loci,Core,1.3333333333333335,0.0,1,4
openstack/octavia-tempest-plugin,openstack/loci,Non core,0.0,2.13903743315508,1,4
openstack/octavia-tempest-plugin,openstack/devstack-plugin-ceph,Core,3.571428571428571,3.804347826086957,3,9
openstack/octavia-tempest-plugin,openstack/devstack-plugin-ceph,Non core,0.0,1.0869565217391304,3,9
openstack/octavia-tempest-plugin,openstack/charm-guide,Core,1.0101010101010102,0.6896551724137931,2,4
openstack/octavia-tempest-plugin,openstack/charm-guide,Non core,1.0101010101010102,2.0689655172413794,2,4
openstack/octavia-tempest-plugin,openstack/openstack-zuul-jobs,Core,4.371584699453552,6.441717791411043,8,31
openstack/octavia-tempest-plugin,openstack/openstack-zuul-jobs,Non core,0.0,3.067484662576687,8,31
openstack/octavia-tempest-plugin,openstack/os-traits,Core,2.5316455696202533,2.4691358024691357,5,12
openstack/octavia-tempest-plugin,openstack/os-traits,Non core,3.79746835443038,4.938271604938271,5,12
openstack/octavia-tempest-plugin,openstack/python-novaclient,Core,1.702127659574468,1.6877637130801686,9,32
openstack/octavia-tempest-plugin,openstack/python-novaclient,Non core,0.2127659574468085,2.8129395218002813,9,32
openstack/octavia-tempest-plugin,openstack/solum,Core,2.097902097902098,2.6200873362445414,7,17
openstack/octavia-tempest-plugin,openstack/solum,Non core,2.797202797202797,4.8034934497816595,7,17
openstack/octavia-tempest-plugin,openstack/murano,Core,1.968503937007874,2.2222222222222223,7,24
openstack/octavia-tempest-plugin,openstack/murano,Non core,0.7874015748031495,3.7037037037037033,7,24
openstack/octavia-tempest-plugin,openstack/murano-dashboard,Core,1.910828025477707,2.2641509433962264,5,15
openstack/octavia-tempest-plugin,openstack/murano-dashboard,Non core,1.2738853503184715,3.3962264150943398,5,15
openstack/octavia-tempest-plugin,openstack/murano-pkg-check,Core,3.278688524590164,0.7874015748031495,3,3
openstack/octavia-tempest-plugin,openstack/murano-pkg-check,Non core,1.639344262295082,1.574803149606299,3,3
openstack/octavia-tempest-plugin,openstack/murano-agent,Core,2.8301886792452833,1.7045454545454544,5,7
openstack/octavia-tempest-plugin,openstack/murano-agent,Non core,1.8867924528301887,2.272727272727273,5,7
openstack/octavia-tempest-plugin,openstack/octavia,Core,5.776173285198556,6.866952789699571,25,76
openstack/octavia-tempest-plugin,openstack/octavia,Non core,3.2490974729241873,9.44206008583691,25,76
openstack/octavia-tempest-plugin,openstack/charm-nova-compute,Core,0.9174311926605505,2.9940119760479043,2,11
openstack/octavia-tempest-plugin,openstack/charm-nova-compute,Non core,0.9174311926605505,3.592814371257485,2,11
openstack/octavia-tempest-plugin,openstack/keystone,Core,1.263823064770932,2.0872865275142316,10,46
openstack/octavia-tempest-plugin,openstack/keystone,Non core,0.315955766192733,2.2770398481973433,10,46
openstack/octavia-tempest-plugin,openstack/openstack-helm-images,Core,1.0204081632653061,0.425531914893617,3,10
openstack/octavia-tempest-plugin,openstack/openstack-helm-images,Non core,2.0408163265306123,3.829787234042553,3,10
openstack/octavia-tempest-plugin,openstack/python-cinderclient,Core,1.5015015015015014,1.9448946515397085,10,31
openstack/octavia-tempest-plugin,openstack/python-cinderclient,Non core,1.5015015015015014,3.079416531604538,10,31
openstack/octavia-tempest-plugin,openstack/cinderlib,Core,7.4074074074074066,3.7593984962406015,4,8
openstack/octavia-tempest-plugin,openstack/cinderlib,Non core,0.0,2.2556390977443606,4,8
openstack/octavia-tempest-plugin,openstack/keystone-specs,Core,2.4193548387096775,1.6574585635359116,5,17
openstack/octavia-tempest-plugin,openstack/keystone-specs,Non core,1.6129032258064515,3.0386740331491713,5,17
openstack/octavia-tempest-plugin,openstack/os-brick,Core,2.0,1.9184652278177456,7,29
openstack/octavia-tempest-plugin,openstack/os-brick,Non core,1.5,5.0359712230215825,7,29
openstack/octavia-tempest-plugin,openstack/ansible-collection-kolla,Core,0.0,1.7241379310344827,0,3
openstack/octavia-tempest-plugin,openstack/ansible-collection-kolla,Non core,0.0,0.8620689655172413,0,3
openstack/octavia-tempest-plugin,openstack/horizon,Core,1.2315270935960592,1.4502762430939227,15,51
openstack/octavia-tempest-plugin,openstack/horizon,Non core,0.6157635467980296,2.071823204419889,15,51
openstack/octavia-tempest-plugin,openstack/mistral-extra,Core,5.555555555555555,2.564102564102564,7,11
openstack/octavia-tempest-plugin,openstack/mistral-extra,Non core,4.166666666666666,4.487179487179487,7,11
openstack/octavia-tempest-plugin,openstack/puppet-pacemaker,Core,4.0,3.4682080924855487,5,17
openstack/octavia-tempest-plugin,openstack/puppet-pacemaker,Non core,2.666666666666667,6.358381502890173,5,17
openstack/octavia-tempest-plugin,openstack/charm-trilio-data-mover,Core,0.0,0.0,0,0
openstack/octavia-tempest-plugin,openstack/charm-trilio-data-mover,Non core,0.0,0.0,0,0
