projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-lxc_hosts,openstack/keystone-tempest-plugin,Core,2.4096385542168677,2.027027027027027,5,7
openstack/openstack-ansible-lxc_hosts,openstack/keystone-tempest-plugin,Non core,3.614457831325301,2.7027027027027026,5,7
openstack/openstack-ansible-lxc_hosts,openstack/python-barbicanclient,Core,1.7857142857142856,2.371541501976284,9,20
openstack/openstack-ansible-lxc_hosts,openstack/python-barbicanclient,Non core,3.571428571428571,5.533596837944664,9,20
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_ironic,Core,21.568627450980394,22.142857142857142,41,61
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_ironic,Non core,18.627450980392158,21.428571428571427,41,61
openstack/openstack-ansible-lxc_hosts,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_barbican,Core,21.34831460674157,20.930232558139537,36,51
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_barbican,Non core,19.101123595505616,18.6046511627907,36,51
openstack/openstack-ansible-lxc_hosts,openstack/skyline-apiserver,Core,0.0,0.0,0,3
openstack/openstack-ansible-lxc_hosts,openstack/skyline-apiserver,Non core,0.0,2.479338842975207,0,3
openstack/openstack-ansible-lxc_hosts,openstack/oslo.policy,Core,3.75,2.2304832713754648,12,17
openstack/openstack-ansible-lxc_hosts,openstack/oslo.policy,Non core,3.75,4.089219330855019,12,17
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-tests,Core,19.41747572815534,20.945945945945947,39,63
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-tests,Non core,18.446601941747574,21.62162162162162,39,63
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_rally,Core,23.75,20.967741935483872,36,46
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_rally,Non core,21.25,16.129032258064516,36,46
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-rabbitmq_server,Core,24.418604651162788,18.84057971014493,43,55
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-rabbitmq_server,Non core,25.581395348837212,21.014492753623188,43,55
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_horizon,Core,18.181818181818183,18.51851851851852,44,62
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_horizon,Non core,18.181818181818183,19.753086419753085,44,62
openstack/openstack-ansible-lxc_hosts,openstack/heat-dashboard,Core,4.081632653061225,3.125,10,12
openstack/openstack-ansible-lxc_hosts,openstack/heat-dashboard,Non core,6.122448979591836,4.375,10,12
openstack/openstack-ansible-lxc_hosts,openstack/oslo.log,Core,3.867403314917127,2.4475524475524475,13,21
openstack/openstack-ansible-lxc_hosts,openstack/oslo.log,Non core,3.314917127071823,4.895104895104895,13,21
openstack/openstack-ansible-lxc_hosts,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-lxc_container_create,Core,28.04878048780488,19.68503937007874,47,58
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-lxc_container_create,Non core,29.268292682926827,25.984251968503933,47,58
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-ops,Core,17.5,17.006802721088434,39,54
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-ops,Non core,15.0,19.727891156462583,39,54
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_sahara,Core,20.224719101123593,19.402985074626866,34,49
openstack/openstack-ansible-lxc_hosts,openstack/openstack-ansible-os_sahara,Non core,17.97752808988764,17.16417910447761,34,49
openstack/openstack-ansible-lxc_hosts,openstack/python-glanceclient,Core,2.341137123745819,2.1868787276341948,15,24
openstack/openstack-ansible-lxc_hosts,openstack/python-glanceclient,Non core,2.6755852842809364,2.584493041749503,15,24
openstack/openstack-ansible-lxc_hosts,openstack/charm-vault,Core,0.0,0.0,1,4
openstack/openstack-ansible-lxc_hosts,openstack/charm-vault,Non core,0.9433962264150944,2.797202797202797,1,4
openstack/openstack-ansible-lxc_hosts,openstack/puppet-glance,Core,3.2432432432432434,2.1505376344086025,12,15
openstack/openstack-ansible-lxc_hosts,openstack/puppet-glance,Non core,3.2432432432432434,3.225806451612903,12,15
openstack/openstack-ansible-lxc_hosts,openstack/ironic-tempest-plugin,Core,2.7522935779816518,1.7857142857142856,7,12
openstack/openstack-ansible-lxc_hosts,openstack/ironic-tempest-plugin,Non core,3.669724770642202,5.357142857142857,7,12
openstack/openstack-ansible-lxc_hosts,openstack/oslo.utils,Core,4.49438202247191,1.3986013986013985,13,16
openstack/openstack-ansible-lxc_hosts,openstack/oslo.utils,Non core,2.8089887640449436,4.195804195804196,13,16
openstack/openstack-ansible-lxc_hosts,openstack/charm-mysql-innodb-cluster,Core,0.0,0.0,0,0
openstack/openstack-ansible-lxc_hosts,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,0,0
