projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_aodh,Core,26.744186046511626,24.074074074074073,56,65
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_aodh,Non core,38.372093023255815,36.11111111111111,56,65
openstack/openstack-ansible-os_ceilometer,openstack/python-swiftclient,Core,2.42914979757085,2.515723270440252,11,23
openstack/openstack-ansible-os_ceilometer,openstack/python-swiftclient,Non core,2.0242914979757085,4.716981132075472,11,23
openstack/openstack-ansible-os_ceilometer,openstack/rpm-packaging,Core,3.783783783783784,3.4220532319391634,12,26
openstack/openstack-ansible-os_ceilometer,openstack/rpm-packaging,Non core,2.7027027027027026,6.4638783269961975,12,26
openstack/openstack-ansible-os_ceilometer,openstack/placement,Core,2.5,4.891304347826087,6,16
openstack/openstack-ansible-os_ceilometer,openstack/placement,Non core,2.5,3.804347826086957,6,16
openstack/openstack-ansible-os_ceilometer,openstack/os-resource-classes,Core,2.272727272727273,1.7241379310344827,2,4
openstack/openstack-ansible-os_ceilometer,openstack/os-resource-classes,Non core,0.0,1.7241379310344827,2,4
openstack/openstack-ansible-os_ceilometer,openstack/blazar,Core,2.366863905325444,3.0973451327433628,11,21
openstack/openstack-ansible-os_ceilometer,openstack/blazar,Non core,4.142011834319527,6.1946902654867255,11,21
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_glance,Core,23.0,23.577235772357724,48,60
openstack/openstack-ansible-os_ceilometer,openstack/openstack-ansible-os_glance,Non core,25.0,25.203252032520325,48,60
openstack/openstack-ansible-os_ceilometer,openstack/governance,Core,3.4343434343434343,2.0146520146520146,25,46
openstack/openstack-ansible-os_ceilometer,openstack/governance,Non core,1.6161616161616161,2.197802197802198,25,46
openstack/openstack-ansible-os_ceilometer,openstack/cloudkitty,Core,3.314917127071823,2.928870292887029,15,23
openstack/openstack-ansible-os_ceilometer,openstack/cloudkitty,Non core,4.972375690607735,6.694560669456067,15,23
openstack/openstack-ansible-os_ceilometer,openstack/neutron-dynamic-routing,Core,4.794520547945205,4.368932038834951,11,21
openstack/openstack-ansible-os_ceilometer,openstack/neutron-dynamic-routing,Non core,2.73972602739726,5.825242718446602,11,21
openstack/openstack-ansible-os_ceilometer,openstack/kayobe,Core,2.5423728813559325,3.9473684210526314,8,16
openstack/openstack-ansible-os_ceilometer,openstack/kayobe,Non core,4.23728813559322,6.578947368421052,8,16
openstack/openstack-ansible-os_ceilometer,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_ceilometer,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_ceilometer,openstack/python-manilaclient,Core,3.1390134529147984,2.0761245674740483,10,22
openstack/openstack-ansible-os_ceilometer,openstack/python-manilaclient,Non core,1.345291479820628,5.536332179930796,10,22
openstack/openstack-ansible-os_ceilometer,openstack/tripleo-operator-ansible,Core,0.9433962264150944,2.127659574468085,1,3
openstack/openstack-ansible-os_ceilometer,openstack/tripleo-operator-ansible,Non core,0.0,0.0,1,3
openstack/openstack-ansible-os_ceilometer,openstack/octavia-dashboard,Core,3.418803418803419,3.2679738562091507,8,11
openstack/openstack-ansible-os_ceilometer,openstack/octavia-dashboard,Non core,3.418803418803419,3.9215686274509802,8,11
openstack/openstack-ansible-os_ceilometer,openstack/blazar-tempest-plugin,Core,3.1914893617021276,3.418803418803419,5,8
openstack/openstack-ansible-os_ceilometer,openstack/blazar-tempest-plugin,Non core,2.127659574468085,3.418803418803419,5,8
openstack/openstack-ansible-os_ceilometer,openstack/neutron-specs,Core,1.9607843137254901,1.2345679012345678,7,19
openstack/openstack-ansible-os_ceilometer,openstack/neutron-specs,Non core,0.7843137254901961,1.6975308641975309,7,19
openstack/openstack-ansible-os_ceilometer,openstack/tooz,Core,4.487179487179487,3.125,9,17
openstack/openstack-ansible-os_ceilometer,openstack/tooz,Non core,1.282051282051282,4.464285714285714,9,17
openstack/openstack-ansible-os_ceilometer,openstack/manila-specs,Core,1.7857142857142856,1.25,5,8
openstack/openstack-ansible-os_ceilometer,openstack/manila-specs,Non core,2.6785714285714284,3.75,5,8
openstack/openstack-ansible-os_ceilometer,openstack/glance_store,Core,2.8846153846153846,1.9021739130434785,9,22
