projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_cinder,Core,17.272727272727273,21.052631578947366,35,45
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_cinder,Non core,14.545454545454545,12.781954887218044,35,45
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-health,Core,4.597701149425287,3.007518796992481,7,9
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-health,Non core,3.4482758620689653,3.7593984962406015,7,9
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_swift,Core,22.105263157894736,23.636363636363637,37,41
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_swift,Non core,16.842105263157894,13.636363636363635,37,41
openstack/openstack-ansible-os_cloudkitty,openstack/masakari-specs,Core,4.477611940298507,3.296703296703297,4,4
openstack/openstack-ansible-os_cloudkitty,openstack/masakari-specs,Non core,1.4925373134328357,1.098901098901099,4,4
openstack/openstack-ansible-os_cloudkitty,openstack/telemetry-specs,Core,2.7777777777777777,1.2121212121212122,3,5
openstack/openstack-ansible-os_cloudkitty,openstack/telemetry-specs,Non core,0.0,1.8181818181818181,3,5
openstack/openstack-ansible-os_cloudkitty,openstack/osprofiler,Core,4.918032786885246,2.564102564102564,10,8
openstack/openstack-ansible-os_cloudkitty,openstack/osprofiler,Non core,3.278688524590164,2.564102564102564,10,8
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_trove,Core,26.47058823529412,31.25,35,40
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_trove,Non core,25.0,18.75,35,40
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_manila,Core,16.363636363636363,34.48275862068966,15,24
openstack/openstack-ansible-os_cloudkitty,openstack/openstack-ansible-os_manila,Non core,10.909090909090908,6.896551724137931,15,24
openstack/openstack-ansible-os_cloudkitty,openstack/ansible-hardening,Core,22.727272727272727,30.0,21,33
openstack/openstack-ansible-os_cloudkitty,openstack/ansible-hardening,Non core,9.090909090909092,11.25,21,33
openstack/openstack-ansible-os_cloudkitty,openstack/barbican-specs,Core,3.260869565217391,2.2058823529411766,5,4
openstack/openstack-ansible-os_cloudkitty,openstack/barbican-specs,Non core,2.1739130434782608,0.7352941176470588,5,4
openstack/openstack-ansible-os_cloudkitty,openstack/python-heatclient,Core,3.286384976525822,2.4390243902439024,13,20
openstack/openstack-ansible-os_cloudkitty,openstack/python-heatclient,Non core,2.8169014084507045,3.6585365853658534,13,20
openstack/openstack-ansible-os_cloudkitty,openstack/oslo.versionedobjects,Core,5.46875,2.8735632183908044,14,12
openstack/openstack-ansible-os_cloudkitty,openstack/oslo.versionedobjects,Non core,5.46875,4.022988505747127,14,12
openstack/openstack-ansible-os_cloudkitty,openstack/os-api-ref,Core,6.172839506172839,5.0,12,10
openstack/openstack-ansible-os_cloudkitty,openstack/os-api-ref,Non core,8.641975308641975,5.0,12,10
openstack/openstack-ansible-os_cloudkitty,openstack/devstack-plugin-container,Core,6.451612903225806,1.3333333333333335,4,3
openstack/openstack-ansible-os_cloudkitty,openstack/devstack-plugin-container,Non core,0.0,2.666666666666667,4,3
openstack/openstack-ansible-os_cloudkitty,openstack/venus-dashboard,Core,0.0,1.5873015873015872,0,1
openstack/openstack-ansible-os_cloudkitty,openstack/venus-dashboard,Non core,0.0,0.0,0,1
openstack/openstack-ansible-os_cloudkitty,openstack/manila-ui,Core,4.3478260869565215,3.9735099337748347,9,12
openstack/openstack-ansible-os_cloudkitty,openstack/manila-ui,Non core,3.4782608695652173,3.9735099337748347,9,12
openstack/openstack-ansible-os_cloudkitty,openstack/devstack-plugin-nfs,Core,3.571428571428571,3.9473684210526314,2,4
openstack/openstack-ansible-os_cloudkitty,openstack/devstack-plugin-nfs,Non core,0.0,1.3157894736842104,2,4
openstack/openstack-ansible-os_cloudkitty,openstack/taskflow,Core,3.4722222222222223,2.3923444976076556,7,10
openstack/openstack-ansible-os_cloudkitty,openstack/taskflow,Non core,1.3888888888888888,2.3923444976076556,7,10
openstack/openstack-ansible-os_cloudkitty,openstack/python-cyborgclient,Core,4.285714285714286,5.434782608695652,7,8
openstack/openstack-ansible-os_cloudkitty,openstack/python-cyborgclient,Non core,5.714285714285714,3.260869565217391,7,8
openstack/openstack-ansible-os_cloudkitty,openstack/zun,Core,4.093567251461988,2.586206896551724,16,14
openstack/openstack-ansible-os_cloudkitty,openstack/zun,Non core,5.263157894736842,3.4482758620689653,16,14
openstack/openstack-ansible-os_cloudkitty,openstack/charm-openstack-loadbalancer,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_cloudkitty,openstack/charm-openstack-loadbalancer,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_cloudkitty,openstack/ansible-role-python_venv_build,Core,18.0327868852459,25.333333333333336,16,22
openstack/openstack-ansible-os_cloudkitty,openstack/ansible-role-python_venv_build,Non core,8.19672131147541,4.0,16,22
openstack/openstack-ansible-os_cloudkitty,openstack/mistral-dashboard,Core,4.854368932038835,2.4,6,11
openstack/openstack-ansible-os_cloudkitty,openstack/mistral-dashboard,Non core,0.9708737864077669,6.4,6,11
openstack/openstack-ansible-os_cloudkitty,openstack/mistral-lib,Core,6.329113924050633,4.0,10,10
