projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_blazar,Core,19.696969696969695,20.0,22,30
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_blazar,Non core,13.636363636363635,11.578947368421053,22,30
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_designate,Core,30.666666666666664,24.778761061946902,44,56
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_designate,Non core,28.000000000000004,24.778761061946902,44,56
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_gnocchi,Core,30.263157894736842,27.722772277227726,41,52
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_gnocchi,Non core,23.684210526315788,23.762376237623762,41,52
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_senlin,Core,7.017543859649122,9.75609756097561,5,11
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_senlin,Non core,1.7543859649122806,3.6585365853658534,5,11
openstack/openstack-ansible-os_magnum,openstack/ptgbot,Core,5.797101449275362,5.825242718446602,4,7
openstack/openstack-ansible-os_magnum,openstack/ptgbot,Non core,0.0,0.9708737864077669,4,7
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_zun,Core,21.875,23.333333333333332,23,31
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-os_zun,Non core,14.0625,11.11111111111111,23,31
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-repo_server,Core,24.390243902439025,21.62162162162162,33,48
openstack/openstack-ansible-os_magnum,openstack/openstack-ansible-repo_server,Non core,15.853658536585366,21.62162162162162,33,48
openstack/openstack-ansible-os_magnum,openstack/python-watcherclient,Core,5.46875,4.054054054054054,14,16
openstack/openstack-ansible-os_magnum,openstack/python-watcherclient,Non core,5.46875,6.756756756756757,14,16
openstack/openstack-ansible-os_magnum,openstack/heat-agents,Core,4.444444444444445,3.1645569620253164,6,11
openstack/openstack-ansible-os_magnum,openstack/heat-agents,Non core,2.2222222222222223,3.79746835443038,6,11
openstack/openstack-ansible-os_magnum,openstack/oslo.rootwrap,Core,5.0,3.225806451612903,11,14
openstack/openstack-ansible-os_magnum,openstack/oslo.rootwrap,Non core,4.166666666666666,4.301075268817205,11,14
openstack/openstack-ansible-os_magnum,openstack/automaton,Core,4.761904761904762,1.6666666666666667,6,6
