projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_masakari,openstack/ansible-role-systemd_mount,Core,25.0,30.909090909090907,13,22
openstack/openstack-ansible-os_masakari,openstack/ansible-role-systemd_mount,Non core,7.5,9.090909090909092,13,22
openstack/openstack-ansible-os_masakari,openstack/python-senlinclient,Core,3.508771929824561,2.8169014084507045,11,15
openstack/openstack-ansible-os_masakari,openstack/python-senlinclient,Non core,6.140350877192982,7.746478873239436,11,15
openstack/openstack-ansible-os_masakari,openstack/senlin-dashboard,Core,3.6585365853658534,3.10077519379845,8,13
openstack/openstack-ansible-os_masakari,openstack/senlin-dashboard,Non core,6.097560975609756,6.976744186046512,8,13
openstack/openstack-ansible-os_masakari,openstack/networking-generic-switch,Core,5.617977528089887,3.2520325203252036,8,7
openstack/openstack-ansible-os_masakari,openstack/networking-generic-switch,Non core,3.3707865168539324,2.4390243902439024,8,7
openstack/openstack-ansible-os_masakari,openstack/sahara-image-elements,Core,4.166666666666666,1.5037593984962405,4,3
openstack/openstack-ansible-os_masakari,openstack/sahara-image-elements,Non core,0.0,0.7518796992481203,4,3
openstack/openstack-ansible-os_masakari,openstack/ansible-role-thales-hsm,Core,2.7027027027027026,10.0,1,7
openstack/openstack-ansible-os_masakari,openstack/ansible-role-thales-hsm,Non core,0.0,1.6666666666666667,1,7
openstack/openstack-ansible-os_masakari,openstack/ansible-role-atos-hsm,Core,0.0,4.838709677419355,0,3
openstack/openstack-ansible-os_masakari,openstack/ansible-role-atos-hsm,Non core,0.0,0.0,0,3
openstack/openstack-ansible-os_masakari,openstack/adjutant-ui,Core,4.761904761904762,4.545454545454546,3,4
openstack/openstack-ansible-os_masakari,openstack/adjutant-ui,Non core,2.380952380952381,1.5151515151515151,3,4
openstack/openstack-ansible-os_masakari,openstack/sahara-extra,Core,4.225352112676056,3.9215686274509802,4,6
openstack/openstack-ansible-os_masakari,openstack/sahara-extra,Non core,1.4084507042253522,1.9607843137254901,4,6
openstack/openstack-ansible-os_masakari,openstack/blazar-nova,Core,4.918032786885246,4.040404040404041,5,10
openstack/openstack-ansible-os_masakari,openstack/blazar-nova,Non core,3.278688524590164,6.0606060606060606,5,10
openstack/openstack-ansible-os_masakari,openstack/oslo.service,Core,3.4482758620689653,3.35195530726257,10,15
openstack/openstack-ansible-os_masakari,openstack/oslo.service,Non core,5.172413793103448,5.027932960893855,10,15
openstack/openstack-ansible-os_masakari,openstack/blazar-dashboard,Core,5.88235294117647,3.296703296703297,7,13
openstack/openstack-ansible-os_masakari,openstack/blazar-dashboard,Non core,7.8431372549019605,10.989010989010989,7,13
openstack/openstack-ansible-os_masakari,openstack/paunch,Core,2.5316455696202533,2.6490066225165565,3,10
openstack/openstack-ansible-os_masakari,openstack/paunch,Non core,1.2658227848101267,3.9735099337748347,3,10
openstack/openstack-ansible-os_masakari,openstack/service-types-authority,Core,5.88235294117647,3.508771929824561,4,4
openstack/openstack-ansible-os_masakari,openstack/service-types-authority,Non core,1.9607843137254901,0.0,4,4
openstack/openstack-ansible-os_masakari,openstack/python-ironic-inspector-client,Core,5.263157894736842,3.225806451612903,6,11
openstack/openstack-ansible-os_masakari,openstack/python-ironic-inspector-client,Non core,2.631578947368421,5.64516129032258,6,11
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-memcached_server,Core,20.0,21.25,21,32
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-memcached_server,Non core,15.0,18.75,21,32
openstack/openstack-ansible-os_masakari,openstack/os-testr,Core,4.0,2.4193548387096775,8,12
openstack/openstack-ansible-os_masakari,openstack/os-testr,Non core,6.666666666666667,7.258064516129033,8,12
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-ceph_client,Core,19.047619047619047,20.87912087912088,23,33
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-ceph_client,Non core,17.46031746031746,15.384615384615385,23,33
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-os_magnum,Core,20.8955223880597,21.649484536082475,23,35
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-os_magnum,Non core,13.432835820895523,14.432989690721648,23,35
openstack/openstack-ansible-os_masakari,openstack/openstack-ansible-os_blazar,Core,34.21052631578947,32.78688524590164,26,34
