projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_sahara,openstack/python-glanceclient,Core,3.4965034965034967,2.7196652719665275,15,26
openstack/openstack-ansible-os_sahara,openstack/python-glanceclient,Non core,1.7482517482517483,2.7196652719665275,15,26
openstack/openstack-ansible-os_sahara,openstack/charm-vault,Core,0.0,0.0,1,2
openstack/openstack-ansible-os_sahara,openstack/charm-vault,Non core,1.0752688172043012,1.639344262295082,1,2
openstack/openstack-ansible-os_sahara,openstack/puppet-glance,Core,4.069767441860465,1.5625,12,15
openstack/openstack-ansible-os_sahara,openstack/puppet-glance,Non core,2.9069767441860463,4.296875,12,15
openstack/openstack-ansible-os_sahara,openstack/ironic-tempest-plugin,Core,5.319148936170213,2.083333333333333,9,13
openstack/openstack-ansible-os_sahara,openstack/ironic-tempest-plugin,Non core,4.25531914893617,6.944444444444445,9,13
openstack/openstack-ansible-os_sahara,openstack/oslo.utils,Core,4.878048780487805,1.9083969465648856,14,17
openstack/openstack-ansible-os_sahara,openstack/oslo.utils,Non core,3.6585365853658534,4.580152671755725,14,17
openstack/openstack-ansible-os_sahara,openstack/charm-mysql-innodb-cluster,Core,1.2658227848101267,0.0,1,0
openstack/openstack-ansible-os_sahara,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,1,0
openstack/openstack-ansible-os_sahara,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/cinder-tempest-plugin,Core,7.0588235294117645,3.816793893129771,8,8
openstack/openstack-ansible-os_sahara,openstack/cinder-tempest-plugin,Non core,2.3529411764705883,2.2900763358778624,8,8
openstack/openstack-ansible-os_sahara,openstack/barbican-tempest-plugin,Core,6.741573033707865,4.137931034482759,8,16
openstack/openstack-ansible-os_sahara,openstack/barbican-tempest-plugin,Non core,2.247191011235955,6.896551724137931,8,16
openstack/openstack-ansible-os_sahara,openstack/magnum-specs,Core,1.4705882352941175,2.608695652173913,1,8
openstack/openstack-ansible-os_sahara,openstack/magnum-specs,Non core,0.0,4.3478260869565215,1,8
openstack/openstack-ansible-os_sahara,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_sahara,openstack/venus,Core,2.564102564102564,2.0618556701030926,3,4
openstack/openstack-ansible-os_sahara,openstack/venus,Non core,1.282051282051282,2.0618556701030926,3,4
openstack/openstack-ansible-os_sahara,openstack/charm-neutron-api,Core,2.803738317757009,2.2058823529411766,4,9
openstack/openstack-ansible-os_sahara,openstack/charm-neutron-api,Non core,0.9345794392523363,4.411764705882353,4,9
openstack/openstack-ansible-os_sahara,openstack/tacker-specs,Core,3.6363636363636362,0.9090909090909091,5,7
openstack/openstack-ansible-os_sahara,openstack/tacker-specs,Non core,0.9090909090909091,2.272727272727273,5,7
openstack/openstack-ansible-os_sahara,openstack/openstack-ansible-galera_server,Core,22.340425531914892,19.852941176470587,38,50
openstack/openstack-ansible-os_sahara,openstack/openstack-ansible-galera_server,Non core,18.085106382978726,16.911764705882355,38,50
