projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-os_swift,openstack/masakari-specs,Core,4.0,3.076923076923077,5,8
openstack/openstack-ansible-os_swift,openstack/masakari-specs,Non core,1.0,3.076923076923077,5,8
openstack/openstack-ansible-os_swift,openstack/telemetry-specs,Core,2.112676056338028,0.9615384615384616,3,5
openstack/openstack-ansible-os_swift,openstack/telemetry-specs,Non core,0.0,1.4423076923076923,3,5
openstack/openstack-ansible-os_swift,openstack/osprofiler,Core,5.194805194805195,2.604166666666667,12,15
openstack/openstack-ansible-os_swift,openstack/osprofiler,Non core,2.5974025974025974,5.208333333333334,12,15
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_trove,Core,22.105263157894736,24.107142857142858,42,51
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_trove,Non core,22.105263157894736,21.428571428571427,42,51
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_manila,Core,11.235955056179774,18.269230769230766,15,21
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_manila,Non core,5.617977528089887,1.9230769230769231,15,21
openstack/openstack-ansible-os_swift,openstack/ansible-hardening,Core,17.525773195876287,20.168067226890756,24,37
openstack/openstack-ansible-os_swift,openstack/ansible-hardening,Non core,7.216494845360824,10.92436974789916,24,37
openstack/openstack-ansible-os_swift,openstack/barbican-specs,Core,2.380952380952381,1.675977653631285,5,4
openstack/openstack-ansible-os_swift,openstack/barbican-specs,Non core,1.5873015873015872,0.5586592178770949,5,4
openstack/openstack-ansible-os_swift,openstack/python-heatclient,Core,4.0650406504065035,3.278688524590164,14,25
openstack/openstack-ansible-os_swift,openstack/python-heatclient,Non core,1.6260162601626018,3.551912568306011,14,25
openstack/openstack-ansible-os_swift,openstack/oslo.versionedobjects,Core,6.211180124223603,5.314009661835748,15,22
openstack/openstack-ansible-os_swift,openstack/oslo.versionedobjects,Non core,3.1055900621118013,5.314009661835748,15,22
openstack/openstack-ansible-os_swift,openstack/os-api-ref,Core,6.086956521739131,3.4722222222222223,12,9
openstack/openstack-ansible-os_swift,openstack/os-api-ref,Non core,4.3478260869565215,2.7777777777777777,12,9
openstack/openstack-ansible-os_swift,openstack/devstack-plugin-container,Core,4.166666666666666,0.0,4,1
openstack/openstack-ansible-os_swift,openstack/devstack-plugin-container,Non core,0.0,0.8333333333333334,4,1
openstack/openstack-ansible-os_swift,openstack/venus-dashboard,Core,0.0,1.9047619047619049,0,2
openstack/openstack-ansible-os_swift,openstack/venus-dashboard,Non core,0.0,0.0,0,2
openstack/openstack-ansible-os_swift,openstack/manila-ui,Core,3.3783783783783785,3.723404255319149,10,18
openstack/openstack-ansible-os_swift,openstack/manila-ui,Non core,3.3783783783783785,5.851063829787234,10,18
openstack/openstack-ansible-os_swift,openstack/devstack-plugin-nfs,Core,2.2222222222222223,2.5423728813559325,2,5
openstack/openstack-ansible-os_swift,openstack/devstack-plugin-nfs,Non core,0.0,1.694915254237288,2,5
openstack/openstack-ansible-os_swift,openstack/taskflow,Core,5.172413793103448,3.2653061224489797,11,17
openstack/openstack-ansible-os_swift,openstack/taskflow,Non core,1.1494252873563218,3.6734693877551026,11,17
openstack/openstack-ansible-os_swift,openstack/python-cyborgclient,Core,3.8834951456310676,4.511278195488721,8,10
openstack/openstack-ansible-os_swift,openstack/python-cyborgclient,Non core,3.8834951456310676,3.007518796992481,8,10
openstack/openstack-ansible-os_swift,openstack/zun,Core,3.9408866995073892,2.5925925925925926,18,19
openstack/openstack-ansible-os_swift,openstack/zun,Non core,4.926108374384237,4.444444444444445,18,19
openstack/openstack-ansible-os_swift,openstack/charm-openstack-loadbalancer,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_swift,openstack/charm-openstack-loadbalancer,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_swift,openstack/ansible-role-python_venv_build,Core,14.285714285714285,16.8141592920354,20,27
openstack/openstack-ansible-os_swift,openstack/ansible-role-python_venv_build,Non core,7.6923076923076925,7.079646017699115,20,27
openstack/openstack-ansible-os_swift,openstack/mistral-dashboard,Core,4.411764705882353,1.7751479289940828,7,10
openstack/openstack-ansible-os_swift,openstack/mistral-dashboard,Non core,0.7352941176470588,4.142011834319527,7,10
openstack/openstack-ansible-os_swift,openstack/mistral-lib,Core,5.263157894736842,4.316546762589928,9,14
openstack/openstack-ansible-os_swift,openstack/mistral-lib,Non core,2.631578947368421,5.755395683453238,9,14
openstack/openstack-ansible-os_swift,openstack/monasca-events-api,Core,5.208333333333334,2.4390243902439024,9,9
openstack/openstack-ansible-os_swift,openstack/monasca-events-api,Non core,4.166666666666666,4.878048780487805,9,9
openstack/openstack-ansible-os_swift,openstack/python-zaqarclient,Core,4.9079754601226995,2.4752475247524752,11,13
openstack/openstack-ansible-os_swift,openstack/python-zaqarclient,Non core,1.8404907975460123,3.9603960396039604,11,13
openstack/openstack-ansible-os_swift,openstack/monasca-api,Core,5.583756345177665,2.941176470588235,16,18
openstack/openstack-ansible-os_swift,openstack/monasca-api,Non core,2.5380710659898478,3.6764705882352944,16,18
openstack/openstack-ansible-os_swift,openstack/monasca-persister,Core,6.382978723404255,3.6269430051813467,12,15
openstack/openstack-ansible-os_swift,openstack/monasca-persister,Non core,2.127659574468085,4.145077720207254,12,15
openstack/openstack-ansible-os_swift,openstack/monasca-notification,Core,6.293706293706294,3.2085561497326207,13,11
openstack/openstack-ansible-os_swift,openstack/monasca-notification,Non core,2.797202797202797,2.6737967914438503,13,11
openstack/openstack-ansible-os_swift,openstack/python-saharaclient,Core,4.166666666666666,3.349282296650718,8,13
openstack/openstack-ansible-os_swift,openstack/python-saharaclient,Non core,0.5952380952380952,2.8708133971291865,8,13
openstack/openstack-ansible-os_swift,openstack/charm-magpie,Core,0.0,0.0,0,0
openstack/openstack-ansible-os_swift,openstack/charm-magpie,Non core,0.0,0.0,0,0
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_placement,Core,12.643678160919542,16.50485436893204,17,23
openstack/openstack-ansible-os_swift,openstack/openstack-ansible-os_placement,Non core,6.896551724137931,5.825242718446602,17,23
openstack/openstack-ansible-os_swift,openstack/openstackdocstheme,Core,6.428571428571428,6.878306878306878,11,16
openstack/openstack-ansible-os_swift,openstack/openstackdocstheme,Non core,1.4285714285714286,1.5873015873015872,11,16
openstack/openstack-ansible-os_swift,openstack/sahara,Core,4.878048780487805,3.233256351039261,24,28
openstack/openstack-ansible-os_swift,openstack/sahara,Non core,2.4390243902439024,3.233256351039261,24,28
openstack/openstack-ansible-os_swift,openstack/ironic-ui,Core,7.936507936507936,3.0303030303030303,16,13
