projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-rsyslog_client,openstack/charm-cinder-backup,Core,2.666666666666667,3.7037037037037033,3,6
openstack/openstack-ansible-rsyslog_client,openstack/charm-cinder-backup,Non core,1.3333333333333335,3.7037037037037033,3,6
openstack/openstack-ansible-rsyslog_client,openstack/charm-cinder-backup-swift-proxy,Core,0.0,1.3333333333333335,0,1
openstack/openstack-ansible-rsyslog_client,openstack/charm-cinder-backup-swift-proxy,Non core,0.0,0.0,0,1
openstack/openstack-ansible-rsyslog_client,openstack/tripleo-ci-health-queries,Core,0.0,1.3157894736842104,0,1
openstack/openstack-ansible-rsyslog_client,openstack/tripleo-ci-health-queries,Non core,0.0,0.0,0,1
openstack/openstack-ansible-rsyslog_client,openstack/castellan,Core,6.299212598425196,5.056179775280898,10,16
openstack/openstack-ansible-rsyslog_client,openstack/castellan,Non core,1.574803149606299,3.932584269662921,10,16
openstack/openstack-ansible-rsyslog_client,openstack/kuryr,Core,5.147058823529411,3.1390134529147984,11,19
openstack/openstack-ansible-rsyslog_client,openstack/kuryr,Non core,2.941176470588235,5.381165919282512,11,19
openstack/openstack-ansible-rsyslog_client,openstack/masakari-monitors,Core,4.25531914893617,4.958677685950414,7,12
openstack/openstack-ansible-rsyslog_client,openstack/masakari-monitors,Non core,3.1914893617021276,4.958677685950414,7,12
openstack/openstack-ansible-rsyslog_client,openstack/adjutant,Core,4.166666666666666,3.75,7,10
openstack/openstack-ansible-rsyslog_client,openstack/adjutant,Non core,5.555555555555555,8.75,7,10
openstack/openstack-ansible-rsyslog_client,openstack/keystonemiddleware,Core,3.1055900621118013,3.088803088803089,10,15
openstack/openstack-ansible-rsyslog_client,openstack/keystonemiddleware,Non core,3.1055900621118013,2.7027027027027026,10,15
openstack/openstack-ansible-rsyslog_client,openstack/charm-barbican-vault,Core,0.0,2.5316455696202533,1,3
openstack/openstack-ansible-rsyslog_client,openstack/charm-barbican-vault,Non core,1.3888888888888888,1.2658227848101267,1,3
openstack/openstack-ansible-rsyslog_client,openstack/charm-aodh,Core,2.5974025974025974,1.1363636363636365,3,3
openstack/openstack-ansible-rsyslog_client,openstack/charm-aodh,Non core,1.2987012987012987,2.272727272727273,3,3
openstack/openstack-ansible-rsyslog_client,openstack/charm-keystone,Core,1.6666666666666667,1.7857142857142856,4,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-keystone,Non core,1.6666666666666667,4.464285714285714,4,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-designate-bind,Core,1.2195121951219512,3.3333333333333335,2,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-designate-bind,Non core,1.2195121951219512,4.444444444444445,2,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-magnum,Core,0.0,0.0,0,0
openstack/openstack-ansible-rsyslog_client,openstack/charm-magnum,Non core,0.0,0.0,0,0
openstack/openstack-ansible-rsyslog_client,openstack/charm-manila-ganesha,Core,1.4285714285714286,1.2987012987012987,1,1
openstack/openstack-ansible-rsyslog_client,openstack/charm-manila-ganesha,Non core,0.0,0.0,1,1
openstack/openstack-ansible-rsyslog_client,openstack/ldappool,Core,2.631578947368421,4.705882352941177,4,9
openstack/openstack-ansible-rsyslog_client,openstack/ldappool,Non core,2.631578947368421,5.88235294117647,4,9
openstack/openstack-ansible-rsyslog_client,openstack/charm-nova-compute-nvidia-vgpu,Core,0.0,0.0,0,0
openstack/openstack-ansible-rsyslog_client,openstack/charm-nova-compute-nvidia-vgpu,Non core,0.0,0.0,0,0
openstack/openstack-ansible-rsyslog_client,openstack/charm-zuul-jobs,Core,0.0,0.0,0,1
openstack/openstack-ansible-rsyslog_client,openstack/charm-zuul-jobs,Non core,0.0,1.4925373134328357,0,1
openstack/openstack-ansible-rsyslog_client,openstack/charm-swift-storage,Core,3.4090909090909087,2.9702970297029703,7,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-swift-storage,Non core,4.545454545454546,3.9603960396039604,7,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-swift-proxy,Core,4.597701149425287,3.1578947368421053,7,4
openstack/openstack-ansible-rsyslog_client,openstack/charm-swift-proxy,Non core,3.4482758620689653,1.0526315789473684,7,4
openstack/openstack-ansible-rsyslog_client,openstack/openstack-virtual-baremetal,Core,2.7777777777777777,2.1052631578947367,3,2
openstack/openstack-ansible-rsyslog_client,openstack/openstack-virtual-baremetal,Non core,1.3888888888888888,0.0,3,2
openstack/openstack-ansible-rsyslog_client,openstack/charm-neutron-openvswitch,Core,2.9702970297029703,2.8301886792452833,5,7
openstack/openstack-ansible-rsyslog_client,openstack/charm-neutron-openvswitch,Non core,1.9801980198019802,3.7735849056603774,5,7
openstack/openstack-ansible-rsyslog_client,openstack/kuryr-libnetwork,Core,6.666666666666667,2.7777777777777777,13,16
openstack/openstack-ansible-rsyslog_client,openstack/kuryr-libnetwork,Non core,5.714285714285714,8.333333333333332,13,16
