projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstack-ansible-rsyslog_server,openstack/openstack-ansible-rsyslog_client,Core,33.33333333333333,32.467532467532465,40,48
openstack/openstack-ansible-rsyslog_server,openstack/openstack-ansible-rsyslog_client,Non core,30.158730158730158,29.87012987012987,40,48
openstack/openstack-ansible-rsyslog_server,openstack/charm-cinder-backup,Core,2.941176470588235,2.4096385542168677,3,5
openstack/openstack-ansible-rsyslog_server,openstack/charm-cinder-backup,Non core,1.4705882352941175,3.614457831325301,3,5
openstack/openstack-ansible-rsyslog_server,openstack/charm-cinder-backup-swift-proxy,Core,0.0,1.3157894736842104,0,1
openstack/openstack-ansible-rsyslog_server,openstack/charm-cinder-backup-swift-proxy,Non core,0.0,0.0,0,1
openstack/openstack-ansible-rsyslog_server,openstack/tripleo-ci-health-queries,Core,0.0,1.2987012987012987,0,1
openstack/openstack-ansible-rsyslog_server,openstack/tripleo-ci-health-queries,Non core,0.0,0.0,0,1
openstack/openstack-ansible-rsyslog_server,openstack/castellan,Core,6.666666666666667,3.8461538461538463,10,13
openstack/openstack-ansible-rsyslog_server,openstack/castellan,Non core,1.6666666666666667,3.296703296703297,10,13
openstack/openstack-ansible-rsyslog_server,openstack/kuryr,Core,4.651162790697675,2.2123893805309733,11,17
openstack/openstack-ansible-rsyslog_server,openstack/kuryr,Non core,3.875968992248062,5.3097345132743365,11,17
openstack/openstack-ansible-rsyslog_server,openstack/masakari-monitors,Core,4.545454545454546,3.2,6,9
openstack/openstack-ansible-rsyslog_server,openstack/masakari-monitors,Non core,2.272727272727273,4.0,6,9
openstack/openstack-ansible-rsyslog_server,openstack/adjutant,Core,4.545454545454546,2.5,6,11
openstack/openstack-ansible-rsyslog_server,openstack/adjutant,Non core,4.545454545454546,11.25,6,11
openstack/openstack-ansible-rsyslog_server,openstack/keystonemiddleware,Core,3.1847133757961785,2.681992337164751,7,14
openstack/openstack-ansible-rsyslog_server,openstack/keystonemiddleware,Non core,1.2738853503184715,2.681992337164751,7,14
openstack/openstack-ansible-rsyslog_server,openstack/charm-barbican-vault,Core,0.0,1.2345679012345678,1,2
openstack/openstack-ansible-rsyslog_server,openstack/charm-barbican-vault,Non core,1.5384615384615385,1.2345679012345678,1,2
openstack/openstack-ansible-rsyslog_server,openstack/charm-aodh,Core,2.857142857142857,1.1363636363636365,3,4
