projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/openstackclient,openstack/ossa,Core,4.651162790697675,6.741573033707865,4,9
openstack/openstackclient,openstack/ossa,Non core,4.651162790697675,3.3707865168539324,4,9
openstack/openstackclient,openstack/reviewstats,Core,6.185567010309279,4.697986577181208,6,9
openstack/openstackclient,openstack/reviewstats,Non core,0.0,1.342281879194631,6,9
openstack/openstackclient,openstack/oslo-cookiecutter,Core,4.3478260869565215,8.333333333333332,2,9
openstack/openstackclient,openstack/oslo-cookiecutter,Non core,0.0,6.666666666666667,2,9
openstack/openstackclient,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/openstackclient,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/openstackclient,openstack/security-analysis,Core,6.25,5.263157894736842,2,4
openstack/openstackclient,openstack/security-analysis,Non core,0.0,1.7543859649122806,2,4
openstack/openstackclient,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/openstackclient,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/openstackclient,openstack/ansible-role-tripleo-keystone,Core,6.666666666666667,0.0,2,0
openstack/openstackclient,openstack/ansible-role-tripleo-keystone,Non core,0.0,0.0,2,0
openstack/openstackclient,openstack/openstack-ansible-apt_package_pinning,Core,7.142857142857142,4.10958904109589,6,7
openstack/openstackclient,openstack/openstack-ansible-apt_package_pinning,Non core,3.571428571428571,5.47945205479452,6,7
openstack/openstackclient,openstack/ansible-role-qdrouterd,Core,5.555555555555555,6.557377049180328,2,6
openstack/openstackclient,openstack/ansible-role-qdrouterd,Non core,0.0,3.278688524590164,2,6
openstack/openstackclient,openstack/openstack-ansible-openstack_openrc,Core,5.970149253731343,3.7037037037037033,6,8
openstack/openstackclient,openstack/openstack-ansible-openstack_openrc,Non core,2.9850746268656714,6.172839506172839,6,8
openstack/openstackclient,openstack/openstack-ansible-nspawn_container_create,Core,6.8181818181818175,4.838709677419355,3,7
openstack/openstackclient,openstack/openstack-ansible-nspawn_container_create,Non core,0.0,6.451612903225806,3,7
openstack/openstackclient,openstack/devstack-tools,Core,11.11111111111111,4.166666666666666,7,6
openstack/openstackclient,openstack/devstack-tools,Non core,8.333333333333332,8.333333333333332,7,6
openstack/openstackclient,openstack/coverage2sql,Core,6.521739130434782,8.16326530612245,4,8
openstack/openstackclient,openstack/coverage2sql,Non core,2.1739130434782608,8.16326530612245,4,8
openstack/openstackclient,openstack/bashate,Core,8.823529411764707,7.0588235294117645,7,7
openstack/openstackclient,openstack/bashate,Non core,1.4705882352941175,1.1764705882352942,7,7
openstack/openstackclient,openstack/hacking,Core,8.823529411764707,5.617977528089887,11,15
openstack/openstackclient,openstack/hacking,Non core,1.9607843137254901,2.8089887640449436,11,15
openstack/openstackclient,openstack/xstatic-mdi,Core,3.225806451612903,2.127659574468085,1,2
openstack/openstackclient,openstack/xstatic-mdi,Non core,0.0,2.127659574468085,1,2
openstack/openstackclient,openstack/xstatic-roboto-fontface,Core,3.3333333333333335,2.083333333333333,1,2
openstack/openstackclient,openstack/xstatic-roboto-fontface,Non core,0.0,2.083333333333333,1,2
openstack/openstackclient,openstack/openstack-chef,Core,6.521739130434782,5.88235294117647,5,5
openstack/openstackclient,openstack/openstack-chef,Non core,4.3478260869565215,3.9215686274509802,5,5
openstack/openstackclient,openstack/cookbook-openstackclient,Core,0.0,0.0,0,1
openstack/openstackclient,openstack/cookbook-openstackclient,Non core,0.0,2.127659574468085,0,1
openstack/openstackclient,openstack/xstatic-angular,Core,2.7777777777777777,1.7857142857142856,1,2
openstack/openstackclient,openstack/xstatic-angular,Non core,0.0,1.7857142857142856,1,2
openstack/openstackclient,openstack/charm-interface-hacluster,Core,2.380952380952381,0.0,2,2
