projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/operations-guide,openstack/contributor-guide,Core,2.9629629629629632,6.763285024154589,7,21
openstack/operations-guide,openstack/contributor-guide,Non core,2.2222222222222223,3.3816425120772946,7,21
openstack/operations-guide,openstack/charm-ceph-radosgw,Core,0.7092198581560284,1.0471204188481675,1,5
openstack/operations-guide,openstack/charm-ceph-radosgw,Non core,0.0,1.5706806282722512,1,5
openstack/operations-guide,openstack/python-aodhclient,Core,3.3333333333333335,3.571428571428571,8,12
openstack/operations-guide,openstack/python-aodhclient,Non core,2.0,1.7857142857142856,8,12
openstack/operations-guide,openstack/ec2-api,Core,3.048780487804878,2.7149321266968327,6,14
openstack/operations-guide,openstack/ec2-api,Non core,0.6097560975609756,3.619909502262444,6,14
openstack/operations-guide,openstack/ec2api-tempest-plugin,Core,0.8547008547008548,0.0,2,1
openstack/operations-guide,openstack/ec2api-tempest-plugin,Non core,0.8547008547008548,0.5813953488372093,2,1
openstack/operations-guide,openstack/openstack-manuals,Core,1.9367991845056065,3.5205992509363293,78,136
openstack/operations-guide,openstack/openstack-manuals,Non core,6.014271151885831,6.666666666666667,78,136
openstack/operations-guide,openstack/security-doc,Core,4.62962962962963,6.666666666666667,26,61
openstack/operations-guide,openstack/security-doc,Non core,7.4074074074074066,9.6,26,61
openstack/operations-guide,openstack/openstack-ansible-openstack_hosts,Core,0.5952380952380952,1.6877637130801686,5,9
openstack/operations-guide,openstack/openstack-ansible-openstack_hosts,Non core,2.380952380952381,2.109704641350211,5,9
openstack/operations-guide,openstack/magnum-ui,Core,2.564102564102564,3.187250996015936,8,16
openstack/operations-guide,openstack/magnum-ui,Non core,2.564102564102564,3.187250996015936,8,16
openstack/operations-guide,openstack/charm-specs,Core,0.6993006993006993,1.015228426395939,2,4
openstack/operations-guide,openstack/charm-specs,Non core,0.6993006993006993,1.015228426395939,2,4
openstack/operations-guide,openstack/ceilometer-powervm,Core,3.0303030303030303,3.3333333333333335,4,13
openstack/operations-guide,openstack/ceilometer-powervm,Non core,0.0,2.857142857142857,4,13
openstack/operations-guide,openstack/sahara-dashboard,Core,3.954802259887006,3.2653061224489797,13,13
openstack/operations-guide,openstack/sahara-dashboard,Non core,3.389830508474576,2.0408163265306123,13,13
openstack/operations-guide,openstack/freezer-web-ui,Core,3.225806451612903,1.7241379310344827,7,15
openstack/operations-guide,openstack/freezer-web-ui,Non core,1.2903225806451613,4.741379310344827,7,15
