projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/os-api-ref,openstack/devstack-plugin-container,Core,5.172413793103448,2.5974025974025974,3,3
openstack/os-api-ref,openstack/devstack-plugin-container,Non core,0.0,1.2987012987012987,3,3
openstack/os-api-ref,openstack/venus-dashboard,Core,0.0,1.5625,0,2
openstack/os-api-ref,openstack/venus-dashboard,Non core,0.0,1.5625,0,2
openstack/os-api-ref,openstack/manila-ui,Core,7.547169811320755,7.333333333333333,13,15
openstack/os-api-ref,openstack/manila-ui,Non core,4.716981132075472,2.666666666666667,13,15
openstack/os-api-ref,openstack/devstack-plugin-nfs,Core,6.0,9.45945945945946,3,8
openstack/os-api-ref,openstack/devstack-plugin-nfs,Non core,0.0,1.3513513513513513,3,8
openstack/os-api-ref,openstack/taskflow,Core,9.30232558139535,5.88235294117647,17,17
openstack/os-api-ref,openstack/taskflow,Non core,3.875968992248062,2.450980392156863,17,17
openstack/os-api-ref,openstack/python-cyborgclient,Core,7.6923076923076925,8.60215053763441,7,9
openstack/os-api-ref,openstack/python-cyborgclient,Non core,3.076923076923077,1.0752688172043012,7,9
openstack/os-api-ref,openstack/zun,Core,4.191616766467066,3.463203463203463,15,17
openstack/os-api-ref,openstack/zun,Non core,4.790419161676647,3.896103896103896,15,17
openstack/os-api-ref,openstack/charm-openstack-loadbalancer,Core,0.0,0.0,1,0
openstack/os-api-ref,openstack/charm-openstack-loadbalancer,Non core,2.0408163265306123,0.0,1,0
openstack/os-api-ref,openstack/ansible-role-python_venv_build,Core,4.477611940298507,1.0204081632653061,5,1
openstack/os-api-ref,openstack/ansible-role-python_venv_build,Non core,2.9850746268656714,0.0,5,1
openstack/os-api-ref,openstack/mistral-dashboard,Core,10.869565217391305,3.125,12,10
openstack/os-api-ref,openstack/mistral-dashboard,Non core,2.1739130434782608,4.6875,12,10
openstack/os-api-ref,openstack/mistral-lib,Core,9.58904109589041,4.854368932038835,11,9
openstack/os-api-ref,openstack/mistral-lib,Non core,5.47945205479452,3.8834951456310676,11,9
openstack/os-api-ref,openstack/monasca-events-api,Core,6.896551724137931,2.3255813953488373,8,5
openstack/os-api-ref,openstack/monasca-events-api,Non core,6.896551724137931,3.488372093023256,8,5
openstack/os-api-ref,openstack/python-zaqarclient,Core,9.166666666666666,6.25,15,14
openstack/os-api-ref,openstack/python-zaqarclient,Non core,3.3333333333333335,2.5,15,14
openstack/os-api-ref,openstack/monasca-api,Core,6.875000000000001,2.5316455696202533,14,12
openstack/os-api-ref,openstack/monasca-api,Non core,1.875,2.5316455696202533,14,12
openstack/os-api-ref,openstack/monasca-persister,Core,8.91089108910891,2.515723270440252,13,8
openstack/os-api-ref,openstack/monasca-persister,Non core,3.9603960396039604,2.515723270440252,13,8
openstack/os-api-ref,openstack/monasca-notification,Core,9.70873786407767,2.0,14,7
openstack/os-api-ref,openstack/monasca-notification,Non core,3.8834951456310676,2.666666666666667,14,7
openstack/os-api-ref,openstack/python-saharaclient,Core,9.75609756097561,7.18562874251497,14,14
openstack/os-api-ref,openstack/python-saharaclient,Non core,1.6260162601626018,1.1976047904191618,14,14
openstack/os-api-ref,openstack/charm-magpie,Core,0.0,0.0,1,0
openstack/os-api-ref,openstack/charm-magpie,Non core,1.7857142857142856,0.0,1,0
openstack/os-api-ref,openstack/openstack-ansible-os_placement,Core,5.172413793103448,2.4096385542168677,7,2
openstack/os-api-ref,openstack/openstack-ansible-os_placement,Non core,6.896551724137931,0.0,7,2
openstack/os-api-ref,openstack/openstackdocstheme,Core,13.684210526315791,13.86861313868613,17,27
openstack/os-api-ref,openstack/openstackdocstheme,Non core,4.2105263157894735,5.839416058394161,17,27
openstack/os-api-ref,openstack/sahara,Core,5.172413793103448,4.580152671755725,23,27
openstack/os-api-ref,openstack/sahara,Non core,2.7586206896551726,2.2900763358778624,23,27
openstack/os-api-ref,openstack/ironic-ui,Core,11.494252873563218,4.761904761904762,16,11
openstack/os-api-ref,openstack/ironic-ui,Non core,6.896551724137931,3.968253968253968,16,11
openstack/os-api-ref,openstack/oslo.serialization,Core,14.285714285714285,8.270676691729323,20,20
openstack/os-api-ref,openstack/oslo.serialization,Non core,7.6923076923076925,6.7669172932330826,20,20
openstack/os-api-ref,openstack/oslo.context,Core,14.285714285714285,8.148148148148149,17,21
openstack/os-api-ref,openstack/oslo.context,Non core,5.952380952380952,7.4074074074074066,17,21
openstack/os-api-ref,openstack/oslo.limit,Core,7.575757575757576,8.88888888888889,12,13
openstack/os-api-ref,openstack/oslo.limit,Non core,10.606060606060606,5.555555555555555,12,13
openstack/os-api-ref,openstack/oslo.middleware,Core,10.909090909090908,7.59493670886076,16,21
openstack/os-api-ref,openstack/oslo.middleware,Non core,3.6363636363636362,5.69620253164557,16,21
openstack/os-api-ref,openstack/oslo.reports,Core,10.81081081081081,6.837606837606838,14,19
openstack/os-api-ref,openstack/oslo.reports,Non core,8.108108108108109,9.401709401709402,14,19
openstack/os-api-ref,openstack/futurist,Core,16.666666666666664,6.481481481481481,16,10
openstack/os-api-ref,openstack/futurist,Non core,5.555555555555555,2.7777777777777777,16,10
openstack/os-api-ref,openstack/oslo.i18n,Core,12.643678160919542,9.62962962962963,18,22
openstack/os-api-ref,openstack/oslo.i18n,Non core,8.045977011494253,6.666666666666667,18,22
openstack/os-api-ref,openstack/sushy-oem-idrac,Core,0.0,1.2658227848101267,0,1
openstack/os-api-ref,openstack/sushy-oem-idrac,Non core,0.0,0.0,0,1
openstack/os-api-ref,openstack/python-dracclient,Core,5.263157894736842,2.631578947368421,7,10
openstack/os-api-ref,openstack/python-dracclient,Non core,3.9473684210526314,6.140350877192982,7,10
openstack/os-api-ref,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,0,0
openstack/os-api-ref,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,0,0
openstack/os-api-ref,openstack/openstack-ansible-os_masakari,Core,4.411764705882353,4.040404040404041,9,8
