projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/os-client-config,openstack/monasca-specs,Core,2.247191011235955,0.7352941176470588,4,2
openstack/os-client-config,openstack/monasca-specs,Non core,2.247191011235955,0.7352941176470588,4,2
openstack/os-client-config,openstack/os-performance-tools,Core,3.1914893617021276,5.084745762711865,6,11
openstack/os-client-config,openstack/os-performance-tools,Non core,3.1914893617021276,4.23728813559322,6,11
openstack/os-client-config,openstack/trove-specs,Core,5.217391304347826,3.888888888888889,6,12
openstack/os-client-config,openstack/trove-specs,Non core,0.0,2.7777777777777777,6,12
openstack/os-client-config,openstack/manila-image-elements,Core,3.9603960396039604,2.73972602739726,7,8
openstack/os-client-config,openstack/manila-image-elements,Non core,2.9702970297029703,2.73972602739726,7,8
openstack/os-client-config,openstack/blazar-specs,Core,1.1235955056179776,2.380952380952381,1,3
openstack/os-client-config,openstack/blazar-specs,Non core,0.0,0.0,1,3
openstack/os-client-config,openstack/molteniron,Core,3.3707865168539324,3.10077519379845,4,5
openstack/os-client-config,openstack/molteniron,Non core,1.1235955056179776,0.7751937984496124,4,5
openstack/os-client-config,openstack/solum-specs,Core,4.301075268817205,0.0,4,3
openstack/os-client-config,openstack/solum-specs,Non core,0.0,2.34375,4,3
openstack/os-client-config,openstack/patrole,Core,3.067484662576687,3.3980582524271843,8,14
openstack/os-client-config,openstack/patrole,Non core,1.8404907975460123,3.3980582524271843,8,14
openstack/os-client-config,openstack/performance-docs,Core,3.508771929824561,2.564102564102564,7,10
openstack/os-client-config,openstack/performance-docs,Non core,2.631578947368421,3.8461538461538463,7,10
openstack/os-client-config,openstack/sphinx-feature-classification,Core,6.521739130434782,4.511278195488721,9,10
openstack/os-client-config,openstack/sphinx-feature-classification,Non core,3.260869565217391,3.007518796992481,9,10
openstack/os-client-config,openstack/etcd3gw,Core,2.2988505747126435,3.4782608695652173,2,4
openstack/os-client-config,openstack/etcd3gw,Non core,0.0,0.0,2,4
openstack/os-client-config,openstack/watcher-specs,Core,1.6129032258064515,1.092896174863388,5,8
openstack/os-client-config,openstack/watcher-specs,Non core,2.4193548387096775,3.278688524590164,5,8
openstack/os-client-config,openstack/yaql,Core,6.5420560747663545,1.9607843137254901,10,11
openstack/os-client-config,openstack/yaql,Non core,2.803738317757009,5.228758169934641,10,11
openstack/os-client-config,openstack/puppet-openstack-guide,Core,3.9215686274509802,5.147058823529411,6,12
openstack/os-client-config,openstack/puppet-openstack-guide,Non core,1.9607843137254901,3.6764705882352944,6,12
openstack/os-client-config,openstack/puppet-panko,Core,4.504504504504505,3.875968992248062,9,12
openstack/os-client-config,openstack/puppet-panko,Non core,3.6036036036036037,5.426356589147287,9,12
openstack/os-client-config,openstack/heat-cfnclient,Core,6.315789473684211,3.0303030303030303,8,9
openstack/os-client-config,openstack/heat-cfnclient,Non core,2.1052631578947367,3.787878787878788,8,9
openstack/os-client-config,openstack/heat-cfntools,Core,7.894736842105263,3.6585365853658534,16,13
openstack/os-client-config,openstack/heat-cfntools,Non core,6.140350877192982,4.2682926829268295,16,13
openstack/os-client-config,openstack/heat-templates,Core,3.977272727272727,4.511278195488721,10,21
openstack/os-client-config,openstack/heat-templates,Non core,1.7045454545454544,3.3834586466165413,10,21
openstack/os-client-config,openstack/governance-sigs,Core,8.571428571428571,9.523809523809524,10,21
openstack/os-client-config,openstack/governance-sigs,Non core,0.9523809523809524,1.5873015873015872,10,21
openstack/os-client-config,openstack/openstack-zuul-roles,Core,4.938271604938271,8.411214953271028,4,12
openstack/os-client-config,openstack/openstack-zuul-roles,Non core,0.0,2.803738317757009,4,12
openstack/os-client-config,openstack/nova-powervm,Core,3.7593984962406015,3.1088082901554404,5,14
