projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/os-collect-config,openstack/os-apply-config,Core,32.857142857142854,22.727272727272727,37,70
openstack/os-collect-config,openstack/os-apply-config,Non core,20.0,30.303030303030305,37,70
openstack/os-collect-config,openstack/puppet-freezer,Core,7.042253521126761,3.149606299212598,8,6
openstack/os-collect-config,openstack/puppet-freezer,Non core,4.225352112676056,1.574803149606299,8,6
openstack/os-collect-config,openstack/vitrage-specs,Core,3.4482758620689653,0.0,5,8
openstack/os-collect-config,openstack/vitrage-specs,Non core,2.2988505747126435,5.369127516778524,5,8
openstack/os-collect-config,openstack/specs-cookiecutter,Core,5.0,4.3478260869565215,3,6
openstack/os-collect-config,openstack/specs-cookiecutter,Non core,0.0,0.8695652173913043,3,6
openstack/os-collect-config,openstack/rpm-packaging-tools,Core,4.838709677419355,2.4193548387096775,4,8
openstack/os-collect-config,openstack/rpm-packaging-tools,Non core,1.6129032258064515,4.032258064516129,4,8
openstack/os-collect-config,openstack/ansible-role-openstack-operations,Core,8.064516129032258,5.217391304347826,8,9
openstack/os-collect-config,openstack/ansible-role-openstack-operations,Non core,4.838709677419355,2.608695652173913,8,9
openstack/os-collect-config,openstack/os-refresh-config,Core,27.86885245901639,19.2,32,56
openstack/os-collect-config,openstack/os-refresh-config,Non core,24.59016393442623,25.6,32,56
openstack/os-collect-config,openstack/mistral-specs,Core,5.194805194805195,1.4705882352941175,6,9
openstack/os-collect-config,openstack/mistral-specs,Non core,2.5974025974025974,5.147058823529411,6,9
openstack/os-collect-config,openstack/scientific-wg,Core,1.7543859649122806,1.834862385321101,1,3
openstack/os-collect-config,openstack/scientific-wg,Non core,0.0,0.9174311926605505,1,3
openstack/os-collect-config,openstack/charm-interface-keystone-fid-service-provider,Core,0.0,0.9009009009009009,0,1
openstack/os-collect-config,openstack/charm-interface-keystone-fid-service-provider,Non core,0.0,0.0,0,1
openstack/os-collect-config,openstack/manila-test-image,Core,3.571428571428571,1.7094017094017095,2,5
openstack/os-collect-config,openstack/manila-test-image,Non core,0.0,2.564102564102564,2,5
openstack/os-collect-config,openstack/governance-website,Core,3.389830508474576,3.3333333333333335,5,7
openstack/os-collect-config,openstack/governance-website,Non core,5.084745762711865,2.5,5,7
openstack/os-collect-config,openstack/bugdaystats,Core,0.0,0.847457627118644,0,4
openstack/os-collect-config,openstack/bugdaystats,Non core,0.0,2.5423728813559325,0,4
openstack/os-collect-config,openstack/upstream-institute-virtual-environment,Core,0.0,1.7094017094017095,0,2
openstack/os-collect-config,openstack/upstream-institute-virtual-environment,Non core,0.0,0.0,0,2
openstack/os-collect-config,openstack/karbor-dashboard,Core,3.614457831325301,2.5974025974025974,9,11
openstack/os-collect-config,openstack/karbor-dashboard,Non core,7.228915662650602,4.545454545454546,9,11
openstack/os-collect-config,openstack/django_openstack_auth,Core,5.737704918032787,2.34375,10,15
openstack/os-collect-config,openstack/django_openstack_auth,Non core,2.459016393442623,3.515625,10,15
openstack/os-collect-config,openstack/monasca-transform,Core,8.536585365853659,2.73972602739726,13,12
openstack/os-collect-config,openstack/monasca-transform,Non core,7.317073170731707,5.47945205479452,13,12
openstack/os-collect-config,openstack/monasca-ceilometer,Core,7.6923076923076925,2.9940119760479043,13,13
openstack/os-collect-config,openstack/monasca-ceilometer,Non core,6.593406593406594,4.790419161676647,13,13
openstack/os-collect-config,openstack/monasca-log-api,Core,8.16326530612245,2.6881720430107525,12,14
openstack/os-collect-config,openstack/monasca-log-api,Non core,4.081632653061225,4.838709677419355,12,14
openstack/os-collect-config,openstack/nose-html-output,Core,6.779661016949152,2.631578947368421,4,7
openstack/os-collect-config,openstack/nose-html-output,Non core,0.0,3.508771929824561,4,7
openstack/os-collect-config,openstack/kolla-cli,Core,0.0,0.7352941176470588,3,8
openstack/os-collect-config,openstack/kolla-cli,Non core,4.10958904109589,5.147058823529411,3,8
openstack/os-collect-config,openstack/neutron-lbaas-dashboard,Core,5.434782608695652,2.7777777777777777,10,15
openstack/os-collect-config,openstack/neutron-lbaas-dashboard,Non core,5.434782608695652,5.555555555555555,10,15
openstack/os-collect-config,openstack/searchlight,Core,3.125,2.7149321266968327,12,21
openstack/os-collect-config,openstack/searchlight,Non core,4.375,6.787330316742081,12,21
openstack/os-collect-config,openstack/searchlight-ui,Core,6.593406593406594,1.9867549668874174,9,7
