projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/os-testr,openstack/openstack-ansible-ceph_client,Core,4.301075268817205,0.684931506849315,10,12
openstack/os-testr,openstack/openstack-ansible-ceph_client,Non core,6.451612903225806,7.534246575342466,10,12
openstack/os-testr,openstack/openstack-ansible-os_magnum,Core,4.166666666666666,2.6143790849673203,11,13
openstack/os-testr,openstack/openstack-ansible-os_magnum,Non core,7.291666666666667,5.88235294117647,11,13
openstack/os-testr,openstack/openstack-ansible-os_blazar,Core,4.10958904109589,2.5210084033613445,8,10
openstack/os-testr,openstack/openstack-ansible-os_blazar,Non core,6.8493150684931505,5.88235294117647,8,10
openstack/os-testr,openstack/openstack-ansible-os_designate,Core,2.941176470588235,2.515723270440252,10,14
openstack/os-testr,openstack/openstack-ansible-os_designate,Non core,6.862745098039216,6.289308176100629,10,14
openstack/os-testr,openstack/openstack-ansible-os_gnocchi,Core,4.0,2.8169014084507045,10,15
openstack/os-testr,openstack/openstack-ansible-os_gnocchi,Non core,6.0,7.746478873239436,10,15
openstack/os-testr,openstack/openstack-ansible-os_senlin,Core,0.0,0.0,0,1
openstack/os-testr,openstack/openstack-ansible-os_senlin,Non core,0.0,1.0416666666666665,0,1
openstack/os-testr,openstack/ptgbot,Core,4.761904761904762,6.666666666666667,3,9
openstack/os-testr,openstack/ptgbot,Non core,0.0,1.9047619047619049,3,9
openstack/os-testr,openstack/openstack-ansible-os_zun,Core,4.10958904109589,2.608695652173913,7,10
openstack/os-testr,openstack/openstack-ansible-os_zun,Non core,5.47945205479452,6.086956521739131,7,10
openstack/os-testr,openstack/openstack-ansible-repo_server,Core,4.040404040404041,2.631578947368421,9,11
openstack/os-testr,openstack/openstack-ansible-repo_server,Non core,5.05050505050505,4.605263157894736,9,11
openstack/os-testr,openstack/python-watcherclient,Core,4.098360655737705,6.8493150684931505,13,22
openstack/os-testr,openstack/python-watcherclient,Non core,6.557377049180328,8.21917808219178,13,22
openstack/os-testr,openstack/heat-agents,Core,6.097560975609756,5.063291139240507,7,15
openstack/os-testr,openstack/heat-agents,Non core,2.4390243902439024,4.430379746835443,7,15
openstack/os-testr,openstack/oslo.rootwrap,Core,9.25925925925926,9.826589595375722,16,31
openstack/os-testr,openstack/oslo.rootwrap,Non core,5.555555555555555,8.092485549132949,16,31
openstack/os-testr,openstack/automaton,Core,6.8493150684931505,7.017543859649122,10,16
openstack/os-testr,openstack/automaton,Non core,6.8493150684931505,7.017543859649122,10,16
openstack/os-testr,openstack/debtcollector,Core,11.25,10.091743119266056,15,20
openstack/os-testr,openstack/debtcollector,Non core,7.5,8.256880733944955,15,20
openstack/os-testr,openstack/vitrage-dashboard,Core,4.761904761904762,4.964539007092199,13,14
openstack/os-testr,openstack/vitrage-dashboard,Non core,7.6190476190476195,4.964539007092199,13,14
openstack/os-testr,openstack/oslotest,Core,11.578947368421053,11.03448275862069,17,30
openstack/os-testr,openstack/oslotest,Non core,6.315789473684211,9.655172413793103,17,30
openstack/os-testr,openstack/kayobe-config,Core,3.3333333333333335,1.0752688172043012,2,1
openstack/os-testr,openstack/kayobe-config,Non core,0.0,0.0,2,1
openstack/os-testr,openstack/compute-hyperv,Core,6.41025641025641,5.3097345132743365,7,14
openstack/os-testr,openstack/compute-hyperv,Non core,2.564102564102564,7.079646017699115,7,14
openstack/os-testr,openstack/python-cloudkittyclient,Core,5.05050505050505,5.072463768115942,14,19
openstack/os-testr,openstack/python-cloudkittyclient,Non core,9.090909090909092,8.695652173913043,14,19
openstack/os-testr,openstack/charm-interface-keystone,Core,5.0,1.0309278350515463,6,6
openstack/os-testr,openstack/charm-interface-keystone,Non core,5.0,5.154639175257731,6,6
openstack/os-testr,openstack/cloudkitty-dashboard,Core,4.444444444444445,4.827586206896552,8,18
openstack/os-testr,openstack/cloudkitty-dashboard,Non core,4.444444444444445,7.586206896551724,8,18
openstack/os-testr,openstack/networking-hyperv,Core,6.451612903225806,3.225806451612903,11,14
openstack/os-testr,openstack/networking-hyperv,Non core,5.376344086021505,8.064516129032258,11,14
openstack/os-testr,openstack/i18n,Core,5.747126436781609,4.081632653061225,7,10
openstack/os-testr,openstack/i18n,Non core,2.2988505747126435,2.7210884353741496,7,10
