projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/osc-lib,openstack/charm-magnum-dashboard,Core,0.0,0.0,1,0
openstack/osc-lib,openstack/charm-magnum-dashboard,Non core,1.2195121951219512,0.0,1,0
openstack/osc-lib,openstack/charms.ceph,Core,1.8018018018018018,2.1739130434782608,4,5
openstack/osc-lib,openstack/charms.ceph,Non core,1.8018018018018018,1.4492753623188406,4,5
openstack/osc-lib,openstack/python-troveclient,Core,6.310679611650485,6.7114093959731544,17,36
openstack/osc-lib,openstack/python-troveclient,Non core,1.9417475728155338,5.369127516778524,17,36
openstack/osc-lib,openstack/release-test,Core,4.49438202247191,3.6036036036036037,5,8
openstack/osc-lib,openstack/release-test,Non core,1.1235955056179776,3.6036036036036037,5,8
openstack/osc-lib,openstack/charm-layer-openstack,Core,2.0618556701030926,0.7936507936507936,3,3
openstack/osc-lib,openstack/charm-layer-openstack,Non core,1.0309278350515463,1.5873015873015872,3,3
openstack/osc-lib,openstack/charm-layer-openstack-api,Core,2.2988505747126435,0.0,3,1
openstack/osc-lib,openstack/charm-layer-openstack-api,Non core,1.1494252873563218,0.8403361344537815,3,1
openstack/osc-lib,openstack/cliff,Core,12.5,10.084033613445378,26,50
openstack/osc-lib,openstack/cliff,Non core,4.605263157894736,10.92436974789916,26,50
openstack/osc-lib,openstack/virtualbmc,Core,5.263157894736842,6.896551724137931,9,19
openstack/osc-lib,openstack/virtualbmc,Non core,2.631578947368421,6.206896551724138,9,19
openstack/osc-lib,openstack/watcher-tempest-plugin,Core,4.040404040404041,4.3478260869565215,6,12
openstack/osc-lib,openstack/watcher-tempest-plugin,Non core,2.0202020202020203,4.3478260869565215,6,12
openstack/osc-lib,openstack/charm-nova-cloud-controller,Core,1.5873015873015872,1.2987012987012987,4,5
openstack/osc-lib,openstack/charm-nova-cloud-controller,Non core,1.5873015873015872,1.948051948051948,4,5
openstack/osc-lib,openstack/devstack-gate,Core,8.21917808219178,7.28051391862955,20,46
openstack/osc-lib,openstack/devstack-gate,Non core,0.91324200913242,2.569593147751606,20,46
openstack/osc-lib,openstack/ansible-role-pki,Core,0.0,0.0,0,0
openstack/osc-lib,openstack/ansible-role-pki,Non core,0.0,0.0,0,0
openstack/osc-lib,openstack/charm-masakari-monitors,Core,0.0,0.8264462809917356,1,1
openstack/osc-lib,openstack/charm-masakari-monitors,Non core,1.0869565217391304,0.0,1,1
openstack/osc-lib,openstack/networking-baremetal,Core,7.547169811320755,10.0,9,22
openstack/osc-lib,openstack/networking-baremetal,Non core,0.9433962264150944,5.714285714285714,9,22
openstack/osc-lib,openstack/reno,Core,9.836065573770492,8.928571428571429,15,25
openstack/osc-lib,openstack/reno,Non core,2.459016393442623,5.952380952380952,15,25
openstack/osc-lib,openstack/project-team-guide,Core,10.236220472440944,10.126582278481013,14,34
openstack/osc-lib,openstack/project-team-guide,Non core,0.7874015748031495,4.219409282700422,14,34
openstack/osc-lib,openstack/ui-cookiecutter,Core,7.0588235294117645,3.225806451612903,6,8
openstack/osc-lib,openstack/ui-cookiecutter,Non core,0.0,3.225806451612903,6,8
openstack/osc-lib,openstack/networking-odl,Core,5.339805825242718,4.201680672268908,18,33
openstack/osc-lib,openstack/networking-odl,Non core,3.3980582524271843,5.042016806722689,18,33
openstack/osc-lib,openstack/monasca-agent,Core,3.614457831325301,3.170028818443804,16,21
openstack/osc-lib,openstack/monasca-agent,Non core,2.8112449799196786,2.881844380403458,16,21
openstack/osc-lib,openstack/shade,Core,6.58682634730539,8.050847457627118,17,32
openstack/osc-lib,openstack/shade,Non core,3.592814371257485,5.508474576271186,17,32
openstack/osc-lib,openstack/python-freezerclient,Core,4.166666666666666,5.031446540880504,10,17
openstack/osc-lib,openstack/python-freezerclient,Non core,4.166666666666666,5.660377358490567,10,17
openstack/osc-lib,openstack/js-openstack-lib,Core,2.247191011235955,0.7633587786259541,2,3
openstack/osc-lib,openstack/js-openstack-lib,Non core,0.0,1.5267175572519083,2,3
openstack/osc-lib,openstack/rally,Core,3.4965034965034967,2.841918294849023,21,33
openstack/osc-lib,openstack/rally,Non core,1.3986013986013985,3.019538188277087,21,33
openstack/osc-lib,openstack/cinder-specs,Core,2.512562814070352,2.6178010471204187,7,22
openstack/osc-lib,openstack/cinder-specs,Non core,1.0050251256281406,3.1413612565445024,7,22
openstack/osc-lib,openstack/reviewday,Core,3.061224489795918,3.6764705882352944,3,6
openstack/osc-lib,openstack/reviewday,Non core,0.0,0.7352941176470588,3,6
openstack/osc-lib,openstack/freezer-api,Core,5.369127516778524,3.1413612565445024,15,18
openstack/osc-lib,openstack/freezer-api,Non core,4.697986577181208,6.282722513089005,15,18
openstack/osc-lib,openstack/networking-powervm,Core,6.60377358490566,3.125,8,14
openstack/osc-lib,openstack/networking-powervm,Non core,0.9433962264150944,5.625,8,14
openstack/osc-lib,openstack/openstack-doc-tools,Core,4.195804195804196,5.1020408163265305,11,16
openstack/osc-lib,openstack/openstack-doc-tools,Non core,3.4965034965034967,3.061224489795918,11,16
openstack/osc-lib,openstack/freezer,Core,3.902439024390244,4.166666666666666,16,25
openstack/osc-lib,openstack/freezer,Non core,3.902439024390244,4.513888888888888,16,25
openstack/osc-lib,openstack/puppet-openstack-cookiecutter,Core,3.8095238095238098,4.316546762589928,7,12
openstack/osc-lib,openstack/puppet-openstack-cookiecutter,Non core,2.857142857142857,4.316546762589928,7,12
openstack/osc-lib,openstack/zaqar-ui,Core,9.345794392523365,6.8493150684931505,11,17
openstack/osc-lib,openstack/zaqar-ui,Non core,0.9345794392523363,4.794520547945205,11,17
openstack/osc-lib,openstack/oslo.concurrency,Core,8.904109589041095,7.253886010362693,18,29
openstack/osc-lib,openstack/oslo.concurrency,Non core,3.4246575342465753,7.772020725388601,18,29
openstack/osc-lib,openstack/charm-octavia,Core,0.9433962264150944,1.4184397163120568,2,4
openstack/osc-lib,openstack/charm-octavia,Non core,0.9433962264150944,1.4184397163120568,2,4
openstack/osc-lib,openstack/charm-ironic-conductor,Core,0.0,0.0,1,0
openstack/osc-lib,openstack/charm-ironic-conductor,Non core,1.1235955056179776,0.0,1,0
