projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/oslo-incubator,openstack/puppet-congress,Core,1.6891891891891893,0.22123893805309736,6,3
openstack/oslo-incubator,openstack/puppet-congress,Non core,0.33783783783783783,0.4424778761061947,6,3
openstack/oslo-incubator,openstack/openstack-ansible-os_monasca-ui,Core,1.0638297872340425,0.44742729306487694,3,3
openstack/oslo-incubator,openstack/openstack-ansible-os_monasca-ui,Non core,0.0,0.22371364653243847,3,3
openstack/oslo-incubator,openstack/auto-scaling-sig,Core,0.36101083032490977,0.44943820224719105,1,2
openstack/oslo-incubator,openstack/auto-scaling-sig,Non core,0.0,0.0,1,2
openstack/oslo-incubator,openstack/os-loganalyze,Core,4.240282685512367,3.5164835164835164,18,27
openstack/oslo-incubator,openstack/os-loganalyze,Non core,2.1201413427561837,2.417582417582418,18,27
openstack/oslo-incubator,openstack/devstack-plugin-pika,Core,0.36363636363636365,1.1494252873563218,2,7
openstack/oslo-incubator,openstack/devstack-plugin-pika,Non core,0.36363636363636365,0.45977011494252873,2,7
openstack/oslo-incubator,openstack/devstack-plugin-zmq,Core,1.8115942028985508,1.8475750577367205,6,12
openstack/oslo-incubator,openstack/devstack-plugin-zmq,Non core,0.36231884057971014,0.9237875288683602,6,12
openstack/oslo-incubator,openstack/networking-l2gw,Core,3.076923076923077,2.3255813953488373,15,23
openstack/oslo-incubator,openstack/networking-l2gw,Non core,1.5384615384615385,1.7889087656529516,15,23
openstack/oslo-incubator,openstack/networking-l2gw-tempest-plugin,Core,1.0676156583629894,1.1185682326621924,3,7
openstack/oslo-incubator,openstack/networking-l2gw-tempest-plugin,Non core,0.0,0.44742729306487694,3,7
openstack/oslo-incubator,openstack/charm-interface-ceph-mds,Core,1.083032490974729,0.0,3,1
openstack/oslo-incubator,openstack/charm-interface-ceph-mds,Non core,0.0,0.22935779816513763,3,1
openstack/oslo-incubator,openstack/xstatic-angular-ui-router,Core,0.7326007326007326,0.9237875288683602,2,5
openstack/oslo-incubator,openstack/xstatic-angular-ui-router,Non core,0.0,0.23094688221709006,2,5
openstack/oslo-incubator,openstack/xstatic-vis,Core,0.7299270072992701,0.6928406466512702,2,3
openstack/oslo-incubator,openstack/xstatic-vis,Non core,0.0,0.0,2,3
openstack/oslo-incubator,openstack/cookbook-openstack-database,Core,1.083032490974729,0.44742729306487694,4,7
openstack/oslo-incubator,openstack/cookbook-openstack-database,Non core,0.36101083032490977,1.1185682326621924,4,7
openstack/oslo-incubator,openstack/cookbook-openstack-data-processing,Core,0.7246376811594203,0.45351473922902497,2,7
openstack/oslo-incubator,openstack/cookbook-openstack-data-processing,Non core,0.0,1.1337868480725624,2,7
openstack/oslo-incubator,openstack/trove-integration,Core,1.5432098765432098,1.9880715705765408,14,29
openstack/oslo-incubator,openstack/trove-integration,Non core,2.7777777777777777,3.7773359840954273,14,29
openstack/oslo-incubator,openstack/ansible-role-tripleo-sensu,Core,0.7220216606498195,0.22935779816513763,2,1
openstack/oslo-incubator,openstack/ansible-role-tripleo-sensu,Non core,0.0,0.0,2,1
openstack/oslo-incubator,openstack/python-ceilometerclient,Core,6.552706552706552,7.129455909943714,36,82
openstack/oslo-incubator,openstack/python-ceilometerclient,Non core,3.7037037037037033,8.25515947467167,36,82
openstack/oslo-incubator,openstack/keystoneauth-saml2,Core,2.158273381294964,2.7149321266968327,7,22
openstack/oslo-incubator,openstack/keystoneauth-saml2,Non core,0.3597122302158274,2.262443438914027,7,22
openstack/oslo-incubator,openstack/murano-deployment,Core,1.3245033112582782,0.4357298474945534,6,8
openstack/oslo-incubator,openstack/murano-deployment,Non core,0.6622516556291391,1.3071895424836601,6,8
openstack/oslo-incubator,openstack/python-keystoneclient-kerberos,Core,2.909090909090909,2.262443438914027,10,20
openstack/oslo-incubator,openstack/python-keystoneclient-kerberos,Non core,0.7272727272727273,2.262443438914027,10,20
openstack/oslo-incubator,openstack/python-wsmanclient,Core,0.7299270072992701,0.6896551724137931,2,4
openstack/oslo-incubator,openstack/python-wsmanclient,Non core,0.0,0.22988505747126436,2,4
openstack/oslo-incubator,openstack/fuel-upgrade,Core,1.0752688172043012,0.8908685968819599,3,8
openstack/oslo-incubator,openstack/fuel-upgrade,Non core,0.0,0.8908685968819599,3,8
openstack/oslo-incubator,openstack/cookbook-openstack-object-storage,Core,1.3651877133105803,0.6493506493506493,7,11
openstack/oslo-incubator,openstack/cookbook-openstack-object-storage,Non core,1.023890784982935,1.7316017316017316,7,11
openstack/oslo-incubator,openstack/fairy-slipper,Core,0.7194244604316548,2.5345622119815667,2,13
openstack/oslo-incubator,openstack/fairy-slipper,Non core,0.0,0.4608294930875576,2,13
openstack/oslo-incubator,openstack/django-openstack-auth-kerberos,Core,1.090909090909091,0.683371298405467,3,8
openstack/oslo-incubator,openstack/django-openstack-auth-kerberos,Non core,0.0,1.1389521640091116,3,8
openstack/oslo-incubator,openstack/horizon-cisco-ui,Core,1.0638297872340425,0.684931506849315,3,6
openstack/oslo-incubator,openstack/horizon-cisco-ui,Non core,0.0,0.684931506849315,3,6
openstack/oslo-incubator,openstack/zuul-packaging,Core,0.7326007326007326,1.3856812933025404,2,8
openstack/oslo-incubator,openstack/zuul-packaging,Non core,0.0,0.4618937644341801,2,8
openstack/oslo-incubator,openstack/networking-generic-switch-tempest-plugin,Core,0.7352941176470588,0.23201856148491878,2,1
openstack/oslo-incubator,openstack/networking-generic-switch-tempest-plugin,Non core,0.0,0.0,2,1
openstack/oslo-incubator,openstack/tripleo-incubator,Core,4.63768115942029,5.827067669172932,24,61
openstack/oslo-incubator,openstack/tripleo-incubator,Non core,2.318840579710145,5.639097744360902,24,61
openstack/oslo-incubator,openstack/ironic-webclient,Core,0.7220216606498195,0.881057268722467,2,7
