projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/oslo.middleware,openstack/oslo.reports,Core,10.784313725490197,12.738853503184714,24,46
openstack/oslo.middleware,openstack/oslo.reports,Non core,12.745098039215685,16.560509554140125,24,46
openstack/oslo.middleware,openstack/futurist,Core,13.592233009708737,9.15032679738562,23,32
openstack/oslo.middleware,openstack/futurist,Non core,8.737864077669903,11.76470588235294,23,32
openstack/oslo.middleware,openstack/oslo.i18n,Core,17.92452830188679,14.117647058823529,37,54
openstack/oslo.middleware,openstack/oslo.i18n,Non core,16.9811320754717,17.647058823529413,37,54
openstack/oslo.middleware,openstack/sushy-oem-idrac,Core,0.0,2.097902097902098,0,4
openstack/oslo.middleware,openstack/sushy-oem-idrac,Non core,0.0,0.6993006993006993,0,4
openstack/oslo.middleware,openstack/python-dracclient,Core,1.7241379310344827,2.2346368715083798,5,12
openstack/oslo.middleware,openstack/python-dracclient,Non core,2.586206896551724,4.4692737430167595,5,12
openstack/oslo.middleware,openstack/openstack-ansible-os_adjutant,Core,0.0,0.0,0,0
openstack/oslo.middleware,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,0,0
openstack/oslo.middleware,openstack/openstack-ansible-os_masakari,Core,2.7777777777777777,3.125,7,14
openstack/oslo.middleware,openstack/openstack-ansible-os_masakari,Non core,3.7037037037037033,5.625,7,14
openstack/oslo.middleware,openstack/ansible-role-systemd_mount,Core,3.061224489795918,2.054794520547945,4,3
openstack/oslo.middleware,openstack/ansible-role-systemd_mount,Non core,1.0204081632653061,0.0,4,3
openstack/oslo.middleware,openstack/python-senlinclient,Core,6.535947712418301,5.365853658536586,21,24
openstack/oslo.middleware,openstack/python-senlinclient,Non core,7.18954248366013,6.341463414634147,21,24
openstack/oslo.middleware,openstack/senlin-dashboard,Core,6.722689075630252,7.4866310160427805,20,27
openstack/oslo.middleware,openstack/senlin-dashboard,Non core,10.084033613445378,6.951871657754011,20,27
openstack/oslo.middleware,openstack/networking-generic-switch,Core,4.477611940298507,3.7037037037037033,12,13
openstack/oslo.middleware,openstack/networking-generic-switch,Non core,4.477611940298507,3.1746031746031744,12,13
openstack/oslo.middleware,openstack/sahara-image-elements,Core,7.352941176470589,2.0202020202020203,13,10
openstack/oslo.middleware,openstack/sahara-image-elements,Non core,2.2058823529411766,3.0303030303030303,13,10
openstack/oslo.middleware,openstack/ansible-role-thales-hsm,Core,0.0,0.0,1,3
openstack/oslo.middleware,openstack/ansible-role-thales-hsm,Non core,1.1627906976744187,2.2058823529411766,1,3
openstack/oslo.middleware,openstack/ansible-role-atos-hsm,Core,0.0,1.5151515151515151,1,5
openstack/oslo.middleware,openstack/ansible-role-atos-hsm,Non core,1.1764705882352942,2.272727272727273,1,5
openstack/oslo.middleware,openstack/adjutant-ui,Core,5.681818181818182,3.731343283582089,6,8
openstack/oslo.middleware,openstack/adjutant-ui,Non core,1.1363636363636365,2.2388059701492535,6,8
openstack/oslo.middleware,openstack/sahara-extra,Core,7.079646017699115,4.191616766467066,11,13
openstack/oslo.middleware,openstack/sahara-extra,Non core,2.6548672566371683,3.592814371257485,11,13
openstack/oslo.middleware,openstack/blazar-nova,Core,8.91089108910891,5.521472392638037,14,18
openstack/oslo.middleware,openstack/blazar-nova,Non core,4.9504950495049505,5.521472392638037,14,18
openstack/oslo.middleware,openstack/oslo.service,Core,11.11111111111111,14.634146341463413,40,61
openstack/oslo.middleware,openstack/oslo.service,Non core,18.51851851851852,15.121951219512194,40,61
openstack/oslo.middleware,openstack/blazar-dashboard,Core,6.185567010309279,5.0,10,16
openstack/oslo.middleware,openstack/blazar-dashboard,Non core,4.123711340206185,5.0,10,16
openstack/oslo.middleware,openstack/paunch,Core,5.833333333333333,6.103286384976526,11,20
openstack/oslo.middleware,openstack/paunch,Non core,3.3333333333333335,3.286384976525822,11,20
openstack/oslo.middleware,openstack/service-types-authority,Core,5.05050505050505,8.670520231213873,5,17
openstack/oslo.middleware,openstack/service-types-authority,Non core,0.0,1.1560693641618496,5,17
openstack/oslo.middleware,openstack/python-ironic-inspector-client,Core,5.88235294117647,3.7037037037037033,12,18
openstack/oslo.middleware,openstack/python-ironic-inspector-client,Non core,4.201680672268908,5.82010582010582,12,18
openstack/oslo.middleware,openstack/openstack-ansible-memcached_server,Core,3.278688524590164,1.1560693641618496,8,11
openstack/oslo.middleware,openstack/openstack-ansible-memcached_server,Non core,3.278688524590164,5.202312138728324,8,11
openstack/oslo.middleware,openstack/os-testr,Core,7.82608695652174,7.734806629834254,17,27
openstack/oslo.middleware,openstack/os-testr,Non core,6.956521739130435,7.18232044198895,17,27
openstack/oslo.middleware,openstack/openstack-ansible-ceph_client,Core,3.149606299212598,1.6216216216216217,8,11
openstack/oslo.middleware,openstack/openstack-ansible-ceph_client,Non core,3.149606299212598,4.324324324324325,8,11
openstack/oslo.middleware,openstack/openstack-ansible-os_magnum,Core,3.076923076923077,2.631578947368421,9,14
openstack/oslo.middleware,openstack/openstack-ansible-os_magnum,Non core,3.8461538461538463,4.736842105263158,9,14
openstack/oslo.middleware,openstack/openstack-ansible-os_blazar,Core,2.8301886792452833,3.2467532467532463,7,13
openstack/oslo.middleware,openstack/openstack-ansible-os_blazar,Non core,3.7735849056603774,5.194805194805195,7,13
openstack/oslo.middleware,openstack/openstack-ansible-os_designate,Core,2.2058823529411766,2.5773195876288657,8,17
openstack/oslo.middleware,openstack/openstack-ansible-os_designate,Non core,3.6764705882352944,6.185567010309279,8,17
openstack/oslo.middleware,openstack/openstack-ansible-os_gnocchi,Core,3.007518796992481,2.197802197802198,9,13
