projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/oslo.vmware,openstack/oslo.upgradecheck,Core,7.954545454545454,8.609271523178808,12,22
openstack/oslo.vmware,openstack/oslo.upgradecheck,Non core,5.681818181818182,5.960264900662252,12,22
openstack/oslo.vmware,openstack/python-masakariclient,Core,6.25,5.113636363636364,12,21
openstack/oslo.vmware,openstack/python-masakariclient,Non core,4.464285714285714,6.8181818181818175,12,21
openstack/oslo.vmware,openstack/python-vitrageclient,Core,5.88235294117647,0.5681818181818182,17,8
openstack/oslo.vmware,openstack/python-vitrageclient,Non core,8.403361344537815,3.977272727272727,17,8
openstack/oslo.vmware,openstack/python-blazarclient,Core,7.563025210084033,7.936507936507936,16,33
openstack/oslo.vmware,openstack/python-blazarclient,Non core,5.88235294117647,9.523809523809524,16,33
openstack/oslo.vmware,openstack/zaqar-tempest-plugin,Core,4.395604395604396,3.0864197530864197,4,8
openstack/oslo.vmware,openstack/zaqar-tempest-plugin,Non core,0.0,1.8518518518518516,4,8
openstack/oslo.vmware,openstack/tripleo-common-tempest-plugin,Core,3.225806451612903,1.2048192771084338,6,12
openstack/oslo.vmware,openstack/tripleo-common-tempest-plugin,Non core,3.225806451612903,6.024096385542169,6,12
openstack/oslo.vmware,openstack/mistral-tempest-plugin,Core,3.0303030303030303,1.7647058823529411,7,10
openstack/oslo.vmware,openstack/mistral-tempest-plugin,Non core,4.040404040404041,4.117647058823529,7,10
openstack/oslo.vmware,openstack/barbican-ui,Core,1.2195121951219512,1.3071895424836601,1,4
openstack/oslo.vmware,openstack/barbican-ui,Non core,0.0,1.3071895424836601,1,4
openstack/oslo.vmware,openstack/liberasurecode,Core,1.0869565217391304,0.6172839506172839,2,3
openstack/oslo.vmware,openstack/liberasurecode,Non core,1.0869565217391304,1.2345679012345678,2,3
openstack/oslo.vmware,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/oslo.vmware,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/oslo.vmware,openstack/os-client-config,Core,10.0,7.174887892376682,21,28
openstack/oslo.vmware,openstack/os-client-config,Non core,5.0,5.381165919282512,21,28
openstack/oslo.vmware,openstack/monasca-specs,Core,2.1739130434782608,1.1695906432748537,2,4
openstack/oslo.vmware,openstack/monasca-specs,Non core,0.0,1.1695906432748537,2,4
openstack/oslo.vmware,openstack/os-performance-tools,Core,4.25531914893617,3.870967741935484,7,11
openstack/oslo.vmware,openstack/os-performance-tools,Non core,3.1914893617021276,3.225806451612903,7,11
openstack/oslo.vmware,openstack/trove-specs,Core,5.172413793103448,2.293577981651376,6,11
openstack/oslo.vmware,openstack/trove-specs,Non core,0.0,2.7522935779816518,6,11
openstack/oslo.vmware,openstack/manila-image-elements,Core,5.9405940594059405,1.6574585635359116,8,10
openstack/oslo.vmware,openstack/manila-image-elements,Non core,1.9801980198019802,3.867403314917127,8,10
openstack/oslo.vmware,openstack/blazar-specs,Core,2.247191011235955,2.4691358024691357,2,4
openstack/oslo.vmware,openstack/blazar-specs,Non core,0.0,0.0,2,4
openstack/oslo.vmware,openstack/molteniron,Core,5.681818181818182,1.8072289156626504,6,5
openstack/oslo.vmware,openstack/molteniron,Non core,1.1363636363636365,1.2048192771084338,6,5
openstack/oslo.vmware,openstack/solum-specs,Core,5.376344086021505,0.6060606060606061,5,3
openstack/oslo.vmware,openstack/solum-specs,Non core,0.0,1.2121212121212122,5,3
openstack/oslo.vmware,openstack/patrole,Core,3.7267080745341614,3.71900826446281,11,15
openstack/oslo.vmware,openstack/patrole,Non core,3.1055900621118013,2.479338842975207,11,15
openstack/oslo.vmware,openstack/performance-docs,Core,1.7094017094017095,1.0416666666666665,5,11
openstack/oslo.vmware,openstack/performance-docs,Non core,2.564102564102564,4.6875,5,11
openstack/oslo.vmware,openstack/sphinx-feature-classification,Core,5.376344086021505,8.280254777070063,9,23
openstack/oslo.vmware,openstack/sphinx-feature-classification,Non core,4.301075268817205,6.369426751592357,9,23
openstack/oslo.vmware,openstack/etcd3gw,Core,1.1235955056179776,4.026845637583892,1,7
openstack/oslo.vmware,openstack/etcd3gw,Non core,0.0,0.6711409395973155,1,7
openstack/oslo.vmware,openstack/watcher-specs,Core,2.4390243902439024,2.3041474654377883,7,11
openstack/oslo.vmware,openstack/watcher-specs,Non core,3.2520325203252036,2.7649769585253456,7,11
openstack/oslo.vmware,openstack/yaql,Core,9.615384615384617,2.6881720430107525,14,15
openstack/oslo.vmware,openstack/yaql,Non core,3.8461538461538463,5.376344086021505,14,15
openstack/oslo.vmware,openstack/puppet-openstack-guide,Core,3.9603960396039604,1.7142857142857144,8,10
openstack/oslo.vmware,openstack/puppet-openstack-guide,Non core,3.9603960396039604,4.0,8,10
openstack/oslo.vmware,openstack/puppet-panko,Core,3.5398230088495577,1.7964071856287425,8,11
openstack/oslo.vmware,openstack/puppet-panko,Non core,3.5398230088495577,4.790419161676647,8,11
openstack/oslo.vmware,openstack/heat-cfnclient,Core,7.368421052631578,4.878048780487805,9,14
openstack/oslo.vmware,openstack/heat-cfnclient,Non core,2.1052631578947367,3.6585365853658534,9,14
openstack/oslo.vmware,openstack/heat-cfntools,Core,7.627118644067797,4.145077720207254,13,21
openstack/oslo.vmware,openstack/heat-cfntools,Non core,3.389830508474576,6.7357512953367875,13,21
openstack/oslo.vmware,openstack/heat-templates,Core,3.35195530726257,2.941176470588235,8,18
openstack/oslo.vmware,openstack/heat-templates,Non core,1.1173184357541899,2.941176470588235,8,18
openstack/oslo.vmware,openstack/governance-sigs,Core,9.615384615384617,6.696428571428571,12,23
openstack/oslo.vmware,openstack/governance-sigs,Non core,1.9230769230769231,3.571428571428571,12,23
openstack/oslo.vmware,openstack/openstack-zuul-roles,Core,2.380952380952381,1.3071895424836601,2,3
openstack/oslo.vmware,openstack/openstack-zuul-roles,Non core,0.0,0.6535947712418301,2,3
openstack/oslo.vmware,openstack/nova-powervm,Core,5.343511450381679,3.524229074889868,8,17
openstack/oslo.vmware,openstack/nova-powervm,Non core,0.7633587786259541,3.9647577092511015,8,17
openstack/oslo.vmware,openstack/openstack-helm-addons,Core,0.0,0.8064516129032258,3,10
openstack/oslo.vmware,openstack/openstack-helm-addons,Non core,2.586206896551724,3.225806451612903,3,10
