projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/oslosphinx,openstack/python-gnocchiclient,Core,6.8493150684931505,5.263157894736842,5,8
openstack/oslosphinx,openstack/python-gnocchiclient,Non core,0.0,3.1578947368421053,5,8
openstack/oslosphinx,openstack/ansible-role-k8s-cinder,Core,2.0408163265306123,2.7777777777777777,1,2
openstack/oslosphinx,openstack/ansible-role-k8s-cinder,Non core,0.0,0.0,1,2
openstack/oslosphinx,openstack/ansible-role-k8s-cookiecutter,Core,4.166666666666666,4.166666666666666,2,3
openstack/oslosphinx,openstack/ansible-role-k8s-cookiecutter,Non core,0.0,0.0,2,3
openstack/oslosphinx,openstack/ansible-role-k8s-glance,Core,6.25,4.166666666666666,3,3
openstack/oslosphinx,openstack/ansible-role-k8s-glance,Non core,0.0,0.0,3,3
openstack/oslosphinx,openstack/ansible-role-k8s-keystone,Core,6.25,2.666666666666667,3,2
openstack/oslosphinx,openstack/ansible-role-k8s-keystone,Non core,0.0,0.0,3,2
openstack/oslosphinx,openstack/ansible-role-k8s-mariadb,Core,6.122448979591836,4.054054054054054,3,3
openstack/oslosphinx,openstack/ansible-role-k8s-mariadb,Non core,0.0,0.0,3,3
openstack/oslosphinx,openstack/ansible-role-k8s-rabbitmq,Core,2.083333333333333,1.4084507042253522,1,1
openstack/oslosphinx,openstack/ansible-role-k8s-rabbitmq,Non core,0.0,0.0,1,1
openstack/oslosphinx,openstack/ansible-role-k8s-tripleo,Core,6.25,4.10958904109589,3,3
openstack/oslosphinx,openstack/ansible-role-k8s-tripleo,Non core,0.0,0.0,3,3
openstack/oslosphinx,openstack/ansible-role-tripleo-ui,Core,3.8461538461538463,2.631578947368421,2,2
openstack/oslosphinx,openstack/ansible-role-tripleo-ui,Non core,0.0,0.0,2,2
openstack/oslosphinx,openstack/ansible-role-tripleo-aodh,Core,3.8461538461538463,1.3157894736842104,2,2
openstack/oslosphinx,openstack/ansible-role-tripleo-aodh,Non core,0.0,1.3157894736842104,2,2
