projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/paunch,openstack/service-types-authority,Core,2.941176470588235,4.761904761904762,3,9
openstack/paunch,openstack/service-types-authority,Non core,1.4705882352941175,0.5952380952380952,3,9
openstack/paunch,openstack/python-ironic-inspector-client,Core,6.666666666666667,4.519774011299435,8,17
openstack/paunch,openstack/python-ironic-inspector-client,Non core,2.2222222222222223,5.084745762711865,8,17
openstack/paunch,openstack/openstack-ansible-memcached_server,Core,4.395604395604396,1.8518518518518516,6,9
openstack/paunch,openstack/openstack-ansible-memcached_server,Non core,2.197802197802198,3.7037037037037033,6,9
openstack/paunch,openstack/os-testr,Core,4.301075268817205,5.617977528089887,6,17
openstack/paunch,openstack/os-testr,Non core,2.1505376344086025,3.932584269662921,6,17
openstack/paunch,openstack/openstack-ansible-ceph_client,Core,3.061224489795918,2.3255813953488373,4,11
openstack/paunch,openstack/openstack-ansible-ceph_client,Non core,1.0204081632653061,4.069767441860465,4,11
openstack/paunch,openstack/openstack-ansible-os_magnum,Core,3.9603960396039604,3.35195530726257,5,12
openstack/paunch,openstack/openstack-ansible-os_magnum,Non core,0.9900990099009901,3.35195530726257,5,12
openstack/paunch,openstack/openstack-ansible-os_blazar,Core,2.5974025974025974,3.4482758620689653,3,9
openstack/paunch,openstack/openstack-ansible-os_blazar,Non core,1.2987012987012987,2.7586206896551726,3,9
openstack/paunch,openstack/openstack-ansible-os_designate,Core,3.7735849056603774,2.7472527472527473,5,16
openstack/paunch,openstack/openstack-ansible-os_designate,Non core,0.9433962264150944,6.043956043956044,5,16
openstack/paunch,openstack/openstack-ansible-os_gnocchi,Core,3.8461538461538463,2.9585798816568047,5,13
openstack/paunch,openstack/openstack-ansible-os_gnocchi,Non core,0.9615384615384616,4.733727810650888,5,13
openstack/paunch,openstack/openstack-ansible-os_senlin,Core,0.0,0.0,0,1
openstack/paunch,openstack/openstack-ansible-os_senlin,Non core,0.0,0.8264462809917356,0,1
openstack/paunch,openstack/ptgbot,Core,6.666666666666667,6.2015503875969,5,10
openstack/paunch,openstack/ptgbot,Non core,1.6666666666666667,1.550387596899225,5,10
openstack/paunch,openstack/openstack-ansible-os_zun,Core,2.631578947368421,2.877697841726619,3,11
openstack/paunch,openstack/openstack-ansible-os_zun,Non core,1.3157894736842104,5.0359712230215825,3,11
openstack/paunch,openstack/openstack-ansible-repo_server,Core,3.9215686274509802,3.4090909090909087,5,12
