projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/performance-docs,openstack/sphinx-feature-classification,Core,1.6666666666666667,2.2222222222222223,2,5
openstack/performance-docs,openstack/sphinx-feature-classification,Non core,1.6666666666666667,3.3333333333333335,2,5
openstack/performance-docs,openstack/etcd3gw,Core,0.0,1.4285714285714286,0,1
openstack/performance-docs,openstack/etcd3gw,Non core,0.0,0.0,0,1
openstack/performance-docs,openstack/watcher-specs,Core,2.380952380952381,1.5037593984962405,6,10
openstack/performance-docs,openstack/watcher-specs,Non core,4.761904761904762,6.015037593984962,6,10
openstack/performance-docs,openstack/yaql,Core,1.3157894736842104,0.0,2,6
openstack/performance-docs,openstack/yaql,Non core,1.3157894736842104,5.454545454545454,2,6
openstack/performance-docs,openstack/puppet-openstack-guide,Core,4.6875,2.127659574468085,5,6
openstack/performance-docs,openstack/puppet-openstack-guide,Non core,3.125,4.25531914893617,5,6
openstack/performance-docs,openstack/puppet-panko,Core,2.5974025974025974,2.2988505747126435,4,6
openstack/performance-docs,openstack/puppet-panko,Non core,2.5974025974025974,4.597701149425287,4,6
openstack/performance-docs,openstack/heat-cfnclient,Core,1.5873015873015872,1.1363636363636365,1,5
openstack/performance-docs,openstack/heat-cfnclient,Non core,0.0,4.545454545454546,1,5
openstack/performance-docs,openstack/heat-cfntools,Core,2.3255813953488373,0.8333333333333334,5,9
openstack/performance-docs,openstack/heat-cfntools,Non core,3.488372093023256,6.666666666666667,5,9
openstack/performance-docs,openstack/heat-templates,Core,2.127659574468085,0.8658008658008658,6,8
openstack/performance-docs,openstack/heat-templates,Non core,2.127659574468085,2.5974025974025974,6,8
openstack/performance-docs,openstack/governance-sigs,Core,1.3513513513513513,1.2738853503184715,2,5
openstack/performance-docs,openstack/governance-sigs,Non core,1.3513513513513513,1.910828025477707,2,5
openstack/performance-docs,openstack/openstack-zuul-roles,Core,2.2222222222222223,0.0,1,1
openstack/performance-docs,openstack/openstack-zuul-roles,Non core,0.0,1.4285714285714286,1,1
openstack/performance-docs,openstack/nova-powervm,Core,2.1052631578947367,1.3245033112582782,4,8
openstack/performance-docs,openstack/nova-powervm,Non core,2.1052631578947367,3.9735099337748347,4,8
openstack/performance-docs,openstack/openstack-helm-addons,Core,1.2987012987012987,0.0,2,5
openstack/performance-docs,openstack/openstack-helm-addons,Non core,1.2987012987012987,2.976190476190476,2,5
openstack/performance-docs,openstack/python-pankoclient,Core,1.5384615384615385,2.127659574468085,2,6
openstack/performance-docs,openstack/python-pankoclient,Non core,1.5384615384615385,4.25531914893617,2,6
openstack/performance-docs,openstack/qa-specs,Core,3.571428571428571,1.8633540372670807,6,10
openstack/performance-docs,openstack/qa-specs,Non core,3.571428571428571,4.3478260869565215,6,10
openstack/performance-docs,openstack/zaqar-specs,Core,2.73972602739726,1.7241379310344827,5,9
openstack/performance-docs,openstack/zaqar-specs,Non core,4.10958904109589,6.0344827586206895,5,9
openstack/performance-docs,openstack/swift-bench,Core,0.0,0.0,2,4
openstack/performance-docs,openstack/swift-bench,Non core,3.4482758620689653,4.301075268817205,2,4
openstack/performance-docs,openstack/whereto,Core,1.7857142857142856,1.25,3,2
openstack/performance-docs,openstack/whereto,Non core,3.571428571428571,1.25,3,2
openstack/performance-docs,openstack/murano-specs,Core,2.564102564102564,0.8547008547008548,6,5
openstack/performance-docs,openstack/murano-specs,Non core,5.128205128205128,3.418803418803419,6,5
openstack/performance-docs,openstack/ansible-role-tripleo-modify-image,Core,1.4492753623188406,1.694915254237288,2,5
openstack/performance-docs,openstack/ansible-role-tripleo-modify-image,Non core,1.4492753623188406,2.5423728813559325,2,5
openstack/performance-docs,openstack/requestsexceptions,Core,2.083333333333333,0.0,1,3
openstack/performance-docs,openstack/requestsexceptions,Non core,0.0,4.054054054054054,1,3
openstack/performance-docs,openstack/panko,Core,1.8518518518518516,2.684563758389262,6,13
openstack/performance-docs,openstack/panko,Non core,3.7037037037037033,6.0402684563758395,6,13
openstack/performance-docs,openstack/api-sig,Core,1.1111111111111112,0.4032258064516129,3,7
openstack/performance-docs,openstack/api-sig,Non core,2.2222222222222223,2.4193548387096775,3,7
openstack/performance-docs,openstack/openstack-chef-specs,Core,3.225806451612903,2.2222222222222223,3,5
openstack/performance-docs,openstack/openstack-chef-specs,Non core,1.6129032258064515,3.3333333333333335,3,5
openstack/performance-docs,openstack/freezer-specs,Core,3.389830508474576,1.2048192771084338,4,4
openstack/performance-docs,openstack/freezer-specs,Non core,3.389830508474576,3.614457831325301,4,4
openstack/performance-docs,openstack/oslo.tools,Core,2.857142857142857,2.4096385542168677,4,6
openstack/performance-docs,openstack/oslo.tools,Non core,2.857142857142857,4.819277108433735,4,6
openstack/performance-docs,openstack/microversion-parse,Core,2.0408163265306123,1.36986301369863,2,2
openstack/performance-docs,openstack/microversion-parse,Non core,2.0408163265306123,1.36986301369863,2,2
openstack/performance-docs,openstack/openstackclient,Core,1.5384615384615385,2.2222222222222223,1,5
openstack/performance-docs,openstack/openstackclient,Non core,0.0,3.3333333333333335,1,5
openstack/performance-docs,openstack/ossa,Core,1.6129032258064515,0.8547008547008548,1,4
openstack/performance-docs,openstack/ossa,Non core,0.0,2.564102564102564,1,4
openstack/performance-docs,openstack/reviewstats,Core,1.7094017094017095,2.3391812865497075,2,10
openstack/performance-docs,openstack/reviewstats,Non core,0.0,3.508771929824561,2,10
openstack/performance-docs,openstack/oslo-cookiecutter,Core,5.084745762711865,2.3255813953488373,5,6
openstack/performance-docs,openstack/oslo-cookiecutter,Non core,3.389830508474576,4.651162790697675,5,6
openstack/performance-docs,openstack/openstack-helm-deployments,Core,0.0,0.0,0,0
openstack/performance-docs,openstack/openstack-helm-deployments,Non core,0.0,0.0,0,0
openstack/performance-docs,openstack/security-analysis,Core,2.083333333333333,1.2345679012345678,2,3
openstack/performance-docs,openstack/security-analysis,Non core,2.083333333333333,2.4691358024691357,2,3
openstack/performance-docs,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/performance-docs,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/performance-docs,openstack/ansible-role-tripleo-keystone,Core,0.0,0.0,1,0
openstack/performance-docs,openstack/ansible-role-tripleo-keystone,Non core,2.127659574468085,0.0,1,0
openstack/performance-docs,openstack/openstack-ansible-apt_package_pinning,Core,4.166666666666666,2.083333333333333,6,7
openstack/performance-docs,openstack/openstack-ansible-apt_package_pinning,Non core,4.166666666666666,5.208333333333334,6,7
openstack/performance-docs,openstack/ansible-role-qdrouterd,Core,1.9607843137254901,2.3529411764705883,3,5
openstack/performance-docs,openstack/ansible-role-qdrouterd,Non core,3.9215686274509802,3.5294117647058822,3,5
openstack/performance-docs,openstack/openstack-ansible-openstack_openrc,Core,3.571428571428571,2.8846153846153846,5,8
openstack/performance-docs,openstack/openstack-ansible-openstack_openrc,Non core,2.380952380952381,4.807692307692308,5,8
openstack/performance-docs,openstack/openstack-ansible-nspawn_container_create,Core,1.6666666666666667,2.2988505747126435,3,5
openstack/performance-docs,openstack/openstack-ansible-nspawn_container_create,Non core,3.3333333333333335,3.4482758620689653,3,5
openstack/performance-docs,openstack/devstack-tools,Core,1.7543859649122806,4.285714285714286,2,7
openstack/performance-docs,openstack/devstack-tools,Non core,1.7543859649122806,5.714285714285714,2,7
openstack/performance-docs,openstack/coverage2sql,Core,3.225806451612903,2.7777777777777777,4,8
openstack/performance-docs,openstack/coverage2sql,Non core,3.225806451612903,8.333333333333332,4,8
openstack/performance-docs,openstack/bashate,Core,2.247191011235955,2.7522935779816518,2,6
openstack/performance-docs,openstack/bashate,Non core,0.0,2.7522935779816518,2,6
openstack/performance-docs,openstack/hacking,Core,2.380952380952381,2.450980392156863,3,12
openstack/performance-docs,openstack/hacking,Non core,0.0,3.431372549019608,3,12
openstack/performance-docs,openstack/xstatic-mdi,Core,0.0,0.0,0,2
openstack/performance-docs,openstack/xstatic-mdi,Non core,0.0,2.857142857142857,0,2
openstack/performance-docs,openstack/xstatic-roboto-fontface,Core,0.0,0.0,0,2
openstack/performance-docs,openstack/xstatic-roboto-fontface,Non core,0.0,2.8169014084507045,0,2
openstack/performance-docs,openstack/openstack-chef,Core,1.5625,1.3157894736842104,3,3
openstack/performance-docs,openstack/openstack-chef,Non core,3.125,2.631578947368421,3,3
openstack/performance-docs,openstack/cookbook-openstackclient,Core,0.0,0.0,0,3
openstack/performance-docs,openstack/cookbook-openstackclient,Non core,0.0,4.411764705882353,0,3
openstack/performance-docs,openstack/xstatic-angular,Core,0.0,0.0,0,2
openstack/performance-docs,openstack/xstatic-angular,Non core,0.0,2.5316455696202533,0,2
openstack/performance-docs,openstack/charm-interface-hacluster,Core,0.0,0.0,0,4
openstack/performance-docs,openstack/charm-interface-hacluster,Non core,0.0,5.555555555555555,0,4
openstack/performance-docs,openstack/puppet-openstack-specs,Core,3.1746031746031744,1.8181818181818181,4,6
openstack/performance-docs,openstack/puppet-openstack-specs,Non core,3.1746031746031744,3.6363636363636362,4,6
openstack/performance-docs,openstack/puppet-monasca,Core,1.4084507042253522,0.7299270072992701,2,3
openstack/performance-docs,openstack/puppet-monasca,Non core,1.4084507042253522,1.4598540145985401,2,3
openstack/performance-docs,openstack/eslint-config-openstack,Core,3.6363636363636362,0.9615384615384616,3,3
openstack/performance-docs,openstack/eslint-config-openstack,Non core,1.8181818181818181,1.9230769230769231,3,3
