projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/publiccloud-sig,openstack/ideas,Core,9.090909090909092,2.4390243902439024,1,1
openstack/publiccloud-sig,openstack/ideas,Non core,0.0,0.0,1,1
openstack/publiccloud-sig,openstack/uc-recognition,Core,0.0,5.0,0,2
openstack/publiccloud-sig,openstack/uc-recognition,Non core,0.0,5.0,0,2
openstack/publiccloud-sig,openstack/ops-tags-team,Core,0.0,2.3255813953488373,0,2
openstack/publiccloud-sig,openstack/ops-tags-team,Non core,0.0,2.3255813953488373,0,2
openstack/publiccloud-sig,openstack/enterprise-wg,Core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/enterprise-wg,Non core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/governance-uc,Core,11.538461538461538,6.451612903225806,3,5
openstack/publiccloud-sig,openstack/governance-uc,Non core,0.0,1.6129032258064515,3,5
openstack/publiccloud-sig,openstack/workload-ref-archs,Core,11.76470588235294,3.8461538461538463,3,2
openstack/publiccloud-sig,openstack/workload-ref-archs,Non core,5.88235294117647,3.8461538461538463,3,2
openstack/publiccloud-sig,openstack/arch-wg,Core,0.0,0.0,0,1
openstack/publiccloud-sig,openstack/arch-wg,Non core,0.0,3.571428571428571,0,1
openstack/publiccloud-sig,openstack/project-navigator-data,Core,8.333333333333332,2.7777777777777777,2,2
openstack/publiccloud-sig,openstack/project-navigator-data,Non core,0.0,2.7777777777777777,2,2
openstack/publiccloud-sig,openstack/openstack-specs,Core,8.0,0.5208333333333333,2,2
openstack/publiccloud-sig,openstack/openstack-specs,Non core,0.0,0.5208333333333333,2,2
openstack/publiccloud-sig,openstack/openstack-ansible-os_monasca,Core,4.761904761904762,3.1746031746031744,2,3
openstack/publiccloud-sig,openstack/openstack-ansible-os_monasca,Non core,0.0,1.5873015873015872,2,3
openstack/publiccloud-sig,openstack/openstack-ansible-os_monasca-agent,Core,6.666666666666667,2.1739130434782608,2,2
openstack/publiccloud-sig,openstack/openstack-ansible-os_monasca-agent,Non core,0.0,2.1739130434782608,2,2
openstack/publiccloud-sig,openstack/ironic-inspector-specs,Core,6.666666666666667,0.0,2,1
openstack/publiccloud-sig,openstack/ironic-inspector-specs,Non core,0.0,1.7241379310344827,2,1
openstack/publiccloud-sig,openstack/sushy-cli,Core,6.666666666666667,0.0,1,0
openstack/publiccloud-sig,openstack/sushy-cli,Non core,0.0,0.0,1,0
openstack/publiccloud-sig,openstack/puppet-glare,Core,5.88235294117647,2.5,3,2
openstack/publiccloud-sig,openstack/puppet-glare,Non core,2.941176470588235,2.5,3,2
openstack/publiccloud-sig,openstack/xstatic-bootstrap-scss,Core,7.6923076923076925,0.0,1,1
openstack/publiccloud-sig,openstack/xstatic-bootstrap-scss,Non core,0.0,3.8461538461538463,1,1
openstack/publiccloud-sig,openstack/openstack-planet,Core,0.8771929824561403,0.847457627118644,2,2
openstack/publiccloud-sig,openstack/openstack-planet,Non core,0.0,0.847457627118644,2,2
openstack/publiccloud-sig,openstack/charm-interface-keystone-credentials,Core,13.333333333333334,0.0,2,1
openstack/publiccloud-sig,openstack/charm-interface-keystone-credentials,Non core,0.0,5.0,2,1
openstack/publiccloud-sig,openstack/monasca-kibana-plugin,Core,5.88235294117647,6.896551724137931,1,3
openstack/publiccloud-sig,openstack/monasca-kibana-plugin,Non core,0.0,3.4482758620689653,1,3
openstack/publiccloud-sig,openstack/charm-interface-keystone-domain-backend,Core,16.666666666666664,0.0,2,0
openstack/publiccloud-sig,openstack/charm-interface-keystone-domain-backend,Non core,0.0,0.0,2,0
openstack/publiccloud-sig,openstack/devstack-plugin-amqp1,Core,5.88235294117647,3.225806451612903,2,2
openstack/publiccloud-sig,openstack/devstack-plugin-amqp1,Non core,5.88235294117647,3.225806451612903,2,2
openstack/publiccloud-sig,openstack/devstack-plugin-kafka,Core,7.6923076923076925,3.7037037037037033,2,2
openstack/publiccloud-sig,openstack/devstack-plugin-kafka,Non core,7.6923076923076925,3.7037037037037033,2,2
openstack/publiccloud-sig,openstack/tripleo-ipsec,Core,12.5,3.225806451612903,3,1
openstack/publiccloud-sig,openstack/tripleo-ipsec,Non core,6.25,0.0,3,1
openstack/publiccloud-sig,openstack/monasca-grafana-datasource,Core,0.0,2.941176470588235,0,2
openstack/publiccloud-sig,openstack/monasca-grafana-datasource,Non core,0.0,2.941176470588235,0,2
openstack/publiccloud-sig,openstack/charm-interface-bind-rndc,Core,14.285714285714285,0.0,2,1
openstack/publiccloud-sig,openstack/charm-interface-bind-rndc,Non core,0.0,5.263157894736842,2,1
openstack/publiccloud-sig,openstack/charm-interface-rabbitmq,Core,15.384615384615385,0.0,2,1
openstack/publiccloud-sig,openstack/charm-interface-rabbitmq,Non core,0.0,5.0,2,1
openstack/publiccloud-sig,openstack/charm-interface-openstack-ha,Core,7.6923076923076925,5.263157894736842,1,2
openstack/publiccloud-sig,openstack/charm-interface-openstack-ha,Non core,0.0,5.263157894736842,1,2
openstack/publiccloud-sig,openstack/charm-interface-gnocchi,Core,18.181818181818183,3.8461538461538463,2,1
openstack/publiccloud-sig,openstack/charm-interface-gnocchi,Non core,0.0,0.0,2,1
openstack/publiccloud-sig,openstack/charm-interface-bgp,Core,7.142857142857142,0.0,1,0
openstack/publiccloud-sig,openstack/charm-interface-bgp,Non core,0.0,0.0,1,0
openstack/publiccloud-sig,openstack/charm-interface-websso-fid-service-provider,Core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/charm-interface-websso-fid-service-provider,Non core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/charm-interface-designate,Core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/charm-interface-designate,Non core,0.0,0.0,0,0
openstack/publiccloud-sig,openstack/tempest-horizon,Core,8.0,3.125,3,2
openstack/publiccloud-sig,openstack/tempest-horizon,Non core,4.0,3.125,3,2
openstack/publiccloud-sig,openstack/logstash-filters,Core,0.0,0.0,0,1
