projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-barbican,openstack/tenks,Core,5.88235294117647,1.098901098901099,4,1
openstack/puppet-barbican,openstack/tenks,Non core,0.0,0.0,4,1
openstack/puppet-barbican,openstack/charm-cinder-ceph,Core,1.2195121951219512,1.9417475728155338,2,5
openstack/puppet-barbican,openstack/charm-cinder-ceph,Non core,1.2195121951219512,2.912621359223301,2,5
openstack/puppet-barbican,openstack/charm-heat,Core,1.1904761904761905,1.8518518518518516,3,5
openstack/puppet-barbican,openstack/charm-heat,Non core,2.380952380952381,2.7777777777777777,3,5
openstack/puppet-barbican,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-neutron-api-plugin-ironic,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-openstack-dashboard,Core,0.9174311926605505,1.7241379310344827,2,6
openstack/puppet-barbican,openstack/charm-openstack-dashboard,Non core,0.9174311926605505,3.4482758620689653,2,6
openstack/puppet-barbican,openstack/charm-keystone-kerberos,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-keystone-kerberos,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/python-keystoneclient,Core,2.9702970297029703,2.414486921529175,14,30
openstack/puppet-barbican,openstack/python-keystoneclient,Non core,1.65016501650165,3.6217303822937628,14,30
openstack/puppet-barbican,openstack/charm-gnocchi,Core,1.282051282051282,0.9615384615384616,1,2
openstack/puppet-barbican,openstack/charm-gnocchi,Non core,0.0,0.9615384615384616,1,2
openstack/puppet-barbican,openstack/ironic-lib,Core,5.737704918032787,3.225806451612903,9,12
openstack/puppet-barbican,openstack/ironic-lib,Non core,1.639344262295082,3.225806451612903,9,12
openstack/puppet-barbican,openstack/ovsdbapp,Core,3.0,2.0689655172413794,5,11
openstack/puppet-barbican,openstack/ovsdbapp,Non core,2.0,5.517241379310345,5,11
openstack/puppet-barbican,openstack/python-octaviaclient,Core,4.123711340206185,2.1739130434782608,8,8
openstack/puppet-barbican,openstack/python-octaviaclient,Non core,4.123711340206185,3.6231884057971016,8,8
openstack/puppet-barbican,openstack/octavia-lib,Core,2.7777777777777777,2.631578947368421,3,5
openstack/puppet-barbican,openstack/octavia-lib,Non core,1.3888888888888888,1.7543859649122806,3,5
openstack/puppet-barbican,openstack/charm-neutron-gateway,Core,1.0,1.7094017094017095,2,5
openstack/puppet-barbican,openstack/charm-neutron-gateway,Non core,1.0,2.564102564102564,2,5
openstack/puppet-barbican,openstack/charm-hacluster,Core,1.098901098901099,1.8181818181818181,1,7
openstack/puppet-barbican,openstack/charm-hacluster,Non core,0.0,4.545454545454546,1,7
openstack/puppet-barbican,openstack/charm-manila,Core,2.5974025974025974,1.0526315789473684,2,3
openstack/puppet-barbican,openstack/charm-manila,Non core,0.0,2.1052631578947367,2,3
openstack/puppet-barbican,openstack/ironic-prometheus-exporter,Core,5.970149253731343,3.296703296703297,4,3
openstack/puppet-barbican,openstack/ironic-prometheus-exporter,Non core,0.0,0.0,4,3
openstack/puppet-barbican,openstack/charm-manila-netapp,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-manila-netapp,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-pacemaker-remote,Core,1.5873015873015872,1.1111111111111112,1,2
openstack/puppet-barbican,openstack/charm-pacemaker-remote,Non core,0.0,1.1111111111111112,1,2
openstack/puppet-barbican,openstack/charm-glance-simplestreams-sync,Core,1.282051282051282,2.083333333333333,2,3
openstack/puppet-barbican,openstack/charm-glance-simplestreams-sync,Non core,1.282051282051282,1.0416666666666665,2,3
openstack/puppet-barbican,openstack/oslo-specs,Core,3.2520325203252036,2.5559105431309903,8,16
openstack/puppet-barbican,openstack/oslo-specs,Non core,3.2520325203252036,2.5559105431309903,8,16
openstack/puppet-barbican,openstack/openstack-ansible-rsyslog_server,Core,6.666666666666667,2.3255813953488373,10,8
openstack/puppet-barbican,openstack/openstack-ansible-rsyslog_server,Non core,4.444444444444445,3.875968992248062,10,8
openstack/puppet-barbican,openstack/openstack-ansible-rsyslog_client,Core,6.122448979591836,3.149606299212598,9,9
openstack/puppet-barbican,openstack/openstack-ansible-rsyslog_client,Non core,3.061224489795918,3.937007874015748,9,9
openstack/puppet-barbican,openstack/charm-cinder-backup,Core,1.3888888888888888,2.1052631578947367,3,4
openstack/puppet-barbican,openstack/charm-cinder-backup,Non core,2.7777777777777777,2.1052631578947367,3,4
openstack/puppet-barbican,openstack/charm-cinder-backup-swift-proxy,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-backup-swift-proxy,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/tripleo-ci-health-queries,Core,0.0,2.2988505747126435,0,2
openstack/puppet-barbican,openstack/tripleo-ci-health-queries,Non core,0.0,0.0,0,2
openstack/puppet-barbican,openstack/castellan,Core,7.377049180327869,3.2085561497326207,12,19
openstack/puppet-barbican,openstack/castellan,Non core,2.459016393442623,6.951871657754011,12,19
openstack/puppet-barbican,openstack/kuryr,Core,3.6764705882352944,1.6666666666666667,8,14
openstack/puppet-barbican,openstack/kuryr,Non core,2.2058823529411766,4.166666666666666,8,14
openstack/puppet-barbican,openstack/masakari-monitors,Core,4.3478260869565215,3.6764705882352944,6,9
openstack/puppet-barbican,openstack/masakari-monitors,Non core,2.1739130434782608,2.941176470588235,6,9
openstack/puppet-barbican,openstack/adjutant,Core,4.225352112676056,2.1052631578947367,5,7
openstack/puppet-barbican,openstack/adjutant,Non core,2.8169014084507045,5.263157894736842,5,7
openstack/puppet-barbican,openstack/keystonemiddleware,Core,3.7735849056603774,4.166666666666666,9,22
openstack/puppet-barbican,openstack/keystonemiddleware,Non core,1.8867924528301887,4.166666666666666,9,22
openstack/puppet-barbican,openstack/charm-barbican-vault,Core,0.0,1.0869565217391304,0,2
openstack/puppet-barbican,openstack/charm-barbican-vault,Non core,0.0,1.0869565217391304,0,2
openstack/puppet-barbican,openstack/charm-aodh,Core,2.7027027027027026,0.0,3,1
openstack/puppet-barbican,openstack/charm-aodh,Non core,1.3513513513513513,0.9803921568627451,3,1
openstack/puppet-barbican,openstack/charm-keystone,Core,0.847457627118644,0.7874015748031495,3,4
openstack/puppet-barbican,openstack/charm-keystone,Non core,1.694915254237288,2.3622047244094486,3,4
openstack/puppet-barbican,openstack/charm-designate-bind,Core,1.25,1.9417475728155338,1,6
openstack/puppet-barbican,openstack/charm-designate-bind,Non core,0.0,3.8834951456310676,1,6
openstack/puppet-barbican,openstack/charm-magnum,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-magnum,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-manila-ganesha,Core,1.4925373134328357,0.0,1,0
openstack/puppet-barbican,openstack/charm-manila-ganesha,Non core,0.0,0.0,1,0
openstack/puppet-barbican,openstack/ldappool,Core,2.73972602739726,4.166666666666666,4,10
openstack/puppet-barbican,openstack/ldappool,Non core,2.73972602739726,6.25,4,10
openstack/puppet-barbican,openstack/charm-nova-compute-nvidia-vgpu,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-nova-compute-nvidia-vgpu,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-zuul-jobs,Core,0.0,0.0,0,1
openstack/puppet-barbican,openstack/charm-zuul-jobs,Non core,0.0,1.2658227848101267,0,1
openstack/puppet-barbican,openstack/charm-swift-storage,Core,2.247191011235955,1.7391304347826086,3,5
openstack/puppet-barbican,openstack/charm-swift-storage,Non core,1.1235955056179776,2.608695652173913,3,5
openstack/puppet-barbican,openstack/charm-swift-proxy,Core,3.4482758620689653,1.8518518518518516,4,3
openstack/puppet-barbican,openstack/charm-swift-proxy,Non core,1.1494252873563218,0.9259259259259258,4,3
openstack/puppet-barbican,openstack/openstack-virtual-baremetal,Core,2.857142857142857,3.8461538461538463,2,5
openstack/puppet-barbican,openstack/openstack-virtual-baremetal,Non core,0.0,0.9615384615384616,2,5
openstack/puppet-barbican,openstack/charm-neutron-openvswitch,Core,2.0,1.6528925619834711,3,4
openstack/puppet-barbican,openstack/charm-neutron-openvswitch,Non core,1.0,1.6528925619834711,3,4
openstack/puppet-barbican,openstack/kuryr-libnetwork,Core,4.672897196261682,1.8518518518518516,8,10
openstack/puppet-barbican,openstack/kuryr-libnetwork,Non core,2.803738317757009,4.320987654320987,8,10
openstack/puppet-barbican,openstack/charm-placement,Core,1.5873015873015872,0.0,1,0
openstack/puppet-barbican,openstack/charm-placement,Non core,0.0,0.0,1,0
openstack/puppet-barbican,openstack/cyborg,Core,3.389830508474576,2.4752475247524752,7,11
openstack/puppet-barbican,openstack/cyborg,Non core,2.5423728813559325,2.9702970297029703,7,11
openstack/puppet-barbican,openstack/charm-nova-cell-controller,Core,1.4925373134328357,1.098901098901099,1,2
openstack/puppet-barbican,openstack/charm-nova-cell-controller,Non core,0.0,1.098901098901099,1,2
openstack/puppet-barbican,openstack/charm-keystone-ldap,Core,2.7027027027027026,0.0,2,1
openstack/puppet-barbican,openstack/charm-keystone-ldap,Non core,0.0,1.0101010101010102,2,1
openstack/puppet-barbican,openstack/charm-keystone-saml-mellon,Core,0.0,1.0309278350515463,0,3
openstack/puppet-barbican,openstack/charm-keystone-saml-mellon,Non core,0.0,2.0618556701030926,0,3
openstack/puppet-barbican,openstack/charm-manila-generic,Core,2.7777777777777777,2.1505376344086025,2,4
openstack/puppet-barbican,openstack/charm-manila-generic,Non core,0.0,2.1505376344086025,2,4
openstack/puppet-barbican,openstack/charm-manila-dashboard,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-manila-dashboard,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ironic-api,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ironic-api,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-netapp,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-netapp,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ceilometer,Core,1.1363636363636365,1.8691588785046727,3,4
openstack/puppet-barbican,openstack/charm-ceilometer,Non core,2.272727272727273,1.8691588785046727,3,4
openstack/puppet-barbican,openstack/charm-keystone-openidc,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-keystone-openidc,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-mysql-router,Core,1.4285714285714286,0.0,1,0
openstack/puppet-barbican,openstack/charm-mysql-router,Non core,0.0,0.0,1,0
openstack/puppet-barbican,openstack/rally-openstack,Core,3.6363636363636362,2.5,8,6
openstack/puppet-barbican,openstack/rally-openstack,Non core,3.6363636363636362,1.25,8,6
openstack/puppet-barbican,openstack/os-win,Core,6.315789473684211,2.380952380952381,9,7
openstack/puppet-barbican,openstack/os-win,Non core,3.1578947368421053,3.1746031746031744,9,7
openstack/puppet-barbican,openstack/python-neutronclient,Core,2.2792022792022792,1.0703363914373087,13,21
openstack/puppet-barbican,openstack/python-neutronclient,Non core,1.4245014245014245,2.1406727828746175,13,21
openstack/puppet-barbican,openstack/sushy-tools,Core,6.172839506172839,2.586206896551724,8,9
openstack/puppet-barbican,openstack/sushy-tools,Non core,3.7037037037037033,5.172413793103448,8,9
openstack/puppet-barbican,openstack/charm-ceilometer-agent,Core,2.5974025974025974,2.0408163265306123,3,5
openstack/puppet-barbican,openstack/charm-ceilometer-agent,Non core,1.2987012987012987,3.061224489795918,3,5
openstack/puppet-barbican,openstack/charm-barbican,Core,1.3157894736842104,1.0204081632653061,2,3
openstack/puppet-barbican,openstack/charm-barbican,Non core,1.3157894736842104,2.0408163265306123,2,3
openstack/puppet-barbican,openstack/charm-octavia-diskimage-retrofit,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-octavia-diskimage-retrofit,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/ansible-role-redhat-subscription,Core,5.714285714285714,5.0,4,7
openstack/puppet-barbican,openstack/ansible-role-redhat-subscription,Non core,0.0,2.0,4,7
openstack/puppet-barbican,openstack/oslo.db,Core,3.296703296703297,1.3201320132013201,11,14
openstack/puppet-barbican,openstack/oslo.db,Non core,2.7472527472527473,3.3003300330033,11,14
openstack/puppet-barbican,openstack/tripleo-repos,Core,3.3707865168539324,5.6000000000000005,6,15
openstack/puppet-barbican,openstack/tripleo-repos,Non core,3.3707865168539324,6.4,6,15
openstack/puppet-barbican,openstack/openstack-ansible-os_mistral,Core,4.477611940298507,2.1052631578947367,4,6
openstack/puppet-barbican,openstack/openstack-ansible-os_mistral,Non core,1.4925373134328357,4.2105263157894735,4,6
openstack/puppet-barbican,openstack/oswin-tempest-plugin,Core,2.898550724637681,2.4390243902439024,3,4
openstack/puppet-barbican,openstack/oswin-tempest-plugin,Non core,1.4492753623188406,2.4390243902439024,3,4
openstack/puppet-barbican,openstack/pymod2pkg,Core,4.3478260869565215,3.0303030303030303,5,9
openstack/puppet-barbican,openstack/pymod2pkg,Non core,1.0869565217391304,3.787878787878788,5,9
openstack/puppet-barbican,openstack/large-scale,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/large-scale,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/neutron-fwaas,Core,1.9900497512437811,1.3297872340425532,6,18
openstack/puppet-barbican,openstack/neutron-fwaas,Non core,0.9950248756218906,3.4574468085106385,6,18
openstack/puppet-barbican,openstack/python-tackerclient,Core,3.3557046979865772,1.5789473684210527,10,14
openstack/puppet-barbican,openstack/python-tackerclient,Non core,3.3557046979865772,5.7894736842105265,10,14
openstack/puppet-barbican,openstack/charm-cinder-nimblestorage,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-nimblestorage,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/metalsmith,Core,7.142857142857142,3.8461538461538463,6,7
openstack/puppet-barbican,openstack/metalsmith,Non core,1.4285714285714286,2.8846153846153846,6,7
openstack/puppet-barbican,openstack/openstack-ansible-os_murano,Core,1.694915254237288,1.1627906976744187,1,1
openstack/puppet-barbican,openstack/openstack-ansible-os_murano,Non core,0.0,0.0,1,1
openstack/puppet-barbican,openstack/kuryr-tempest-plugin,Core,3.9473684210526314,4.504504504504505,4,10
openstack/puppet-barbican,openstack/kuryr-tempest-plugin,Non core,1.3157894736842104,4.504504504504505,4,10
openstack/puppet-barbican,openstack/networking-sfc,Core,3.571428571428571,0.7194244604316548,7,13
openstack/puppet-barbican,openstack/networking-sfc,Non core,1.4285714285714286,3.9568345323741005,7,13
openstack/puppet-barbican,openstack/charm-cinder-three-par,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-three-par,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/cyborg-tempest-plugin,Core,1.282051282051282,2.912621359223301,1,4
openstack/puppet-barbican,openstack/cyborg-tempest-plugin,Non core,0.0,0.9708737864077669,1,4
openstack/puppet-barbican,openstack/charm-ceph-iscsi,Core,0.0,0.0,0,1
openstack/puppet-barbican,openstack/charm-ceph-iscsi,Non core,0.0,1.1494252873563218,0,1
openstack/puppet-barbican,openstack/charm-cinder-solidfire,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cinder-solidfire,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/puppet-qdr,Core,15.625,10.465116279069768,16,15
openstack/puppet-barbican,openstack/puppet-qdr,Non core,9.375,6.976744186046512,16,15
openstack/puppet-barbican,openstack/vitrage-tempest-plugin,Core,3.614457831325301,1.0,4,3
openstack/puppet-barbican,openstack/vitrage-tempest-plugin,Non core,1.2048192771084338,2.0,4,3
openstack/puppet-barbican,openstack/tripleo-specs,Core,6.015037593984962,4.081632653061225,12,26
openstack/puppet-barbican,openstack/tripleo-specs,Non core,3.007518796992481,3.498542274052478,12,26
openstack/puppet-barbican,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-neutron-api-plugin-arista,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ceph-fs,Core,2.7027027027027026,2.1505376344086025,2,4
openstack/puppet-barbican,openstack/charm-ceph-fs,Non core,0.0,2.1505376344086025,2,4
openstack/puppet-barbican,openstack/stevedore,Core,6.185567010309279,3.205128205128205,9,10
openstack/puppet-barbican,openstack/stevedore,Non core,3.0927835051546393,3.205128205128205,9,10
openstack/puppet-barbican,openstack/charm-ceph-proxy,Core,1.3157894736842104,1.9607843137254901,1,5
openstack/puppet-barbican,openstack/charm-ceph-proxy,Non core,0.0,2.941176470588235,1,5
openstack/puppet-barbican,openstack/charm-cloudkitty,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-cloudkitty,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ops-openstack,Core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/charm-ops-openstack,Non core,0.0,0.0,0,0
openstack/puppet-barbican,openstack/zun-tempest-plugin,Core,4.225352112676056,3.0,4,5
openstack/puppet-barbican,openstack/zun-tempest-plugin,Non core,1.4084507042253522,2.0,4,5
openstack/puppet-barbican,openstack/storlets,Core,8.0,3.816793893129771,10,9
openstack/puppet-barbican,openstack/storlets,Non core,2.0,3.0534351145038165,10,9
openstack/puppet-barbican,openstack/training-guides,Core,3.10077519379845,2.631578947368421,7,12
openstack/puppet-barbican,openstack/training-guides,Non core,2.3255813953488373,3.684210526315789,7,12
openstack/puppet-barbican,openstack/openstack-ansible-plugins,Core,5.405405405405405,3.289473684210526,9,10
openstack/puppet-barbican,openstack/openstack-ansible-plugins,Non core,2.7027027027027026,3.289473684210526,9,10
openstack/puppet-barbican,openstack/python-muranoclient,Core,3.0303030303030303,1.9607843137254901,9,14
openstack/puppet-barbican,openstack/python-muranoclient,Non core,2.4242424242424243,4.901960784313726,9,14
openstack/puppet-barbican,openstack/solum-dashboard,Core,5.952380952380952,2.5423728813559325,8,8
openstack/puppet-barbican,openstack/solum-dashboard,Non core,3.571428571428571,4.23728813559322,8,8
openstack/puppet-barbican,openstack/python-solumclient,Core,4.807692307692308,3.816793893129771,9,13
openstack/puppet-barbican,openstack/python-solumclient,Non core,3.8461538461538463,6.106870229007633,9,13
openstack/puppet-barbican,openstack/solum-tempest-plugin,Core,3.278688524590164,2.4691358024691357,3,4
openstack/puppet-barbican,openstack/solum-tempest-plugin,Non core,1.639344262295082,2.4691358024691357,3,4
openstack/puppet-barbican,openstack/murano-tempest-plugin,Core,4.6875,3.571428571428571,4,5
openstack/puppet-barbican,openstack/murano-tempest-plugin,Non core,1.5625,2.380952380952381,4,5
openstack/puppet-barbican,openstack/heat-translator,Core,3.731343283582089,2.2988505747126435,8,12
