projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-crane,openstack/release-tools,Core,2.857142857142857,2.666666666666667,1,2
openstack/puppet-crane,openstack/release-tools,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/gnocchi,Core,1.4285714285714286,2.2900763358778624,1,3
openstack/puppet-crane,openstack/gnocchi,Non core,0.0,0.0,1,3
openstack/puppet-crane,openstack/networking-ofagent,Core,8.333333333333332,7.142857142857142,1,2
openstack/puppet-crane,openstack/networking-ofagent,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/python-neutron-pd-driver,Core,25.0,28.57142857142857,1,2
openstack/puppet-crane,openstack/python-neutron-pd-driver,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/charm-ceph,Core,4.761904761904762,4.3478260869565215,1,1
openstack/puppet-crane,openstack/charm-ceph,Non core,0.0,0.0,1,1
openstack/puppet-crane,openstack/openstack-ansible-os_freezer,Core,33.33333333333333,16.666666666666664,1,1
openstack/puppet-crane,openstack/openstack-ansible-os_freezer,Non core,0.0,0.0,1,1
openstack/puppet-crane,openstack/openstack-ansible-pip_lock_down,Core,6.666666666666667,11.11111111111111,1,2
openstack/puppet-crane,openstack/openstack-ansible-pip_lock_down,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/openstack-ansible-security,Core,2.5,2.7777777777777777,1,2
openstack/puppet-crane,openstack/openstack-ansible-security,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/oslosphinx,Core,2.083333333333333,2.7777777777777777,1,2
openstack/puppet-crane,openstack/oslosphinx,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/python-gnocchiclient,Core,3.125,5.714285714285714,1,2
openstack/puppet-crane,openstack/python-gnocchiclient,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-k8s-cinder,Core,66.66666666666666,33.33333333333333,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-cinder,Non core,0.0,0.0,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-cookiecutter,Core,66.66666666666666,50.0,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-cookiecutter,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-glance,Core,50.0,50.0,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-glance,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-keystone,Core,50.0,22.22222222222222,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-keystone,Non core,0.0,0.0,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-mariadb,Core,40.0,37.5,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-mariadb,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-rabbitmq,Core,100.0,50.0,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-rabbitmq,Non core,0.0,0.0,2,2
openstack/puppet-crane,openstack/ansible-role-k8s-tripleo,Core,50.0,42.857142857142854,2,3
openstack/puppet-crane,openstack/ansible-role-k8s-tripleo,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-tripleo-ui,Core,12.5,33.33333333333333,1,3
openstack/puppet-crane,openstack/ansible-role-tripleo-ui,Non core,0.0,0.0,1,3
openstack/puppet-crane,openstack/ansible-role-tripleo-aodh,Core,12.5,20.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-aodh,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-barbican,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-barbican,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-ceilometer,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-ceilometer,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-cinder,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-cinder,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-cookiecutter,Core,18.181818181818183,18.75,2,3
openstack/puppet-crane,openstack/ansible-role-tripleo-cookiecutter,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/tripleo-ui,Core,5.714285714285714,4.225352112676056,2,3
openstack/puppet-crane,openstack/tripleo-ui,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-tripleo-ovn,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-ovn,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-opendaylight,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-opendaylight,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-octavia,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-octavia,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-nova,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-nova,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/os-cloud-config,Core,3.8461538461538463,3.1578947368421053,2,3
openstack/puppet-crane,openstack/os-cloud-config,Non core,0.0,0.0,2,3
openstack/puppet-crane,openstack/ansible-role-tripleo-zaqar,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-zaqar,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-tempest,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-tempest,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-sahara,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-sahara,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-swift,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-swift,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-tacker,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-tacker,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-rsyslog-sidecar,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-rsyslog-sidecar,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-rabbitmq,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-rabbitmq,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-qdrouterd,Core,33.33333333333333,16.666666666666664,1,1
openstack/puppet-crane,openstack/ansible-role-tripleo-qdrouterd,Non core,0.0,0.0,1,1
openstack/puppet-crane,openstack/ansible-role-tripleo-panko,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-panko,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-heat,Core,12.5,25.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-heat,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-haproxy,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-haproxy,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-gnocchi,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-gnocchi,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-glance,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-glance,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-designate,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-designate,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-neutron,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-neutron,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-mistral,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-mistral,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-memcached,Core,12.5,20.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-memcached,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-manila,Core,12.5,20.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-manila,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-ironic,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-ironic,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-keepalived,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-keepalived,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-horizon,Core,12.5,22.22222222222222,1,2
openstack/puppet-crane,openstack/ansible-role-tripleo-horizon,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/pylockfile,Core,10.0,9.090909090909092,1,2
openstack/puppet-crane,openstack/pylockfile,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/xstatic-moment-timezone,Core,0.0,0.0,0,0
openstack/puppet-crane,openstack/xstatic-moment-timezone,Non core,0.0,0.0,0,0
openstack/puppet-crane,openstack/xstatic-dagre-d3,Core,0.0,0.0,0,0
openstack/puppet-crane,openstack/xstatic-dagre-d3,Non core,0.0,0.0,0,0
openstack/puppet-crane,openstack/xstatic-dagre,Core,0.0,0.0,0,0
openstack/puppet-crane,openstack/xstatic-dagre,Non core,0.0,0.0,0,0
openstack/puppet-crane,openstack/dragonflow,Core,0.7936507936507936,1.0309278350515463,1,2
openstack/puppet-crane,openstack/dragonflow,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/openstack,Core,0.0,4.761904761904762,0,1
openstack/puppet-crane,openstack/openstack,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/charm-interface-pacemaker-remote,Core,0.0,8.333333333333332,0,1
openstack/puppet-crane,openstack/charm-interface-pacemaker-remote,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/networking-onos,Core,0.0,1.8867924528301887,0,1
openstack/puppet-crane,openstack/networking-onos,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/solum-infra-guestagent,Core,0.0,5.88235294117647,0,1
openstack/puppet-crane,openstack/solum-infra-guestagent,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/openstack-ux,Core,0.0,4.545454545454546,0,1
openstack/puppet-crane,openstack/openstack-ux,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/mox3,Core,3.571428571428571,5.0,1,2
openstack/puppet-crane,openstack/mox3,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/charm-layer-ceph,Core,25.0,0.0,1,0
openstack/puppet-crane,openstack/charm-layer-ceph,Non core,0.0,0.0,1,0
openstack/puppet-crane,openstack/charm-layer-ceph-base,Core,16.666666666666664,0.0,1,0
openstack/puppet-crane,openstack/charm-layer-ceph-base,Non core,0.0,0.0,1,0
openstack/puppet-crane,openstack/python-tricircleclient,Core,5.0,6.25,1,2
openstack/puppet-crane,openstack/python-tricircleclient,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/tricircle,Core,1.2195121951219512,1.4184397163120568,1,2
openstack/puppet-crane,openstack/tricircle,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/swift-specs,Core,0.0,2.9850746268656714,0,2
openstack/puppet-crane,openstack/swift-specs,Non core,0.0,0.0,0,2
openstack/puppet-crane,openstack/congress,Core,0.6493506493506493,1.4218009478672986,1,4
openstack/puppet-crane,openstack/congress,Non core,0.0,0.47393364928909953,1,4
openstack/puppet-crane,openstack/congress-tempest-plugin,Core,4.761904761904762,7.142857142857142,1,2
openstack/puppet-crane,openstack/congress-tempest-plugin,Non core,0.0,0.0,1,2
openstack/puppet-crane,openstack/python-congressclient,Core,1.8867924528301887,3.7037037037037033,1,3
openstack/puppet-crane,openstack/python-congressclient,Non core,0.0,1.8518518518518516,1,3
openstack/puppet-crane,openstack/congress-specs,Core,2.7777777777777777,1.9607843137254901,1,1
openstack/puppet-crane,openstack/congress-specs,Non core,0.0,0.0,1,1
openstack/puppet-crane,openstack/congress-dashboard,Core,3.8461538461538463,5.555555555555555,1,3
openstack/puppet-crane,openstack/congress-dashboard,Non core,0.0,2.7777777777777777,1,3
openstack/puppet-crane,openstack/syntribos,Core,0.0,2.564102564102564,0,1
openstack/puppet-crane,openstack/syntribos,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/syntribos-payloads,Core,0.0,0.0,0,0
openstack/puppet-crane,openstack/syntribos-payloads,Non core,0.0,0.0,0,0
openstack/puppet-crane,openstack/syntribos-openstack-templates,Core,0.0,0.0,0,0
openstack/puppet-crane,openstack/syntribos-openstack-templates,Non core,0.0,0.0,0,0
openstack/puppet-crane,openstack/i18n-specs,Core,0.0,9.090909090909092,0,1
openstack/puppet-crane,openstack/i18n-specs,Non core,0.0,0.0,0,1
openstack/puppet-crane,openstack/tempest-plugin-cookiecutter,Core,16.666666666666664,13.333333333333334,1,2
