projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-freezer,openstack/vitrage-specs,Core,5.263157894736842,0.0,6,4
openstack/puppet-freezer,openstack/vitrage-specs,Non core,5.263157894736842,5.263157894736842,6,4
openstack/puppet-freezer,openstack/specs-cookiecutter,Core,9.67741935483871,7.5,3,4
openstack/puppet-freezer,openstack/specs-cookiecutter,Non core,0.0,2.5,3,4
openstack/puppet-freezer,openstack/rpm-packaging-tools,Core,5.88235294117647,1.8867924528301887,3,2
openstack/puppet-freezer,openstack/rpm-packaging-tools,Non core,2.941176470588235,1.8867924528301887,3,2
openstack/puppet-freezer,openstack/ansible-role-openstack-operations,Core,8.333333333333332,6.8181818181818175,5,3
openstack/puppet-freezer,openstack/ansible-role-openstack-operations,Non core,5.555555555555555,0.0,5,3
openstack/puppet-freezer,openstack/os-refresh-config,Core,8.928571428571429,5.208333333333334,8,8
openstack/puppet-freezer,openstack/os-refresh-config,Non core,5.357142857142857,3.125,8,8
openstack/puppet-freezer,openstack/mistral-specs,Core,6.122448979591836,1.5625,5,4
openstack/puppet-freezer,openstack/mistral-specs,Non core,4.081632653061225,4.6875,5,4
openstack/puppet-freezer,openstack/scientific-wg,Core,7.4074074074074066,3.0303030303030303,2,2
openstack/puppet-freezer,openstack/scientific-wg,Non core,0.0,3.0303030303030303,2,2
openstack/puppet-freezer,openstack/charm-interface-keystone-fid-service-provider,Core,0.0,2.941176470588235,0,1
openstack/puppet-freezer,openstack/charm-interface-keystone-fid-service-provider,Non core,0.0,0.0,0,1
openstack/puppet-freezer,openstack/manila-test-image,Core,3.571428571428571,2.380952380952381,1,3
openstack/puppet-freezer,openstack/manila-test-image,Non core,0.0,4.761904761904762,1,3
openstack/puppet-freezer,openstack/governance-website,Core,2.941176470588235,8.88888888888889,1,5
openstack/puppet-freezer,openstack/governance-website,Non core,0.0,2.2222222222222223,1,5
openstack/puppet-freezer,openstack/bugdaystats,Core,0.0,4.761904761904762,0,3
openstack/puppet-freezer,openstack/bugdaystats,Non core,0.0,2.380952380952381,0,3
openstack/puppet-freezer,openstack/upstream-institute-virtual-environment,Core,0.0,5.0,0,2
openstack/puppet-freezer,openstack/upstream-institute-virtual-environment,Non core,0.0,0.0,0,2
openstack/puppet-freezer,openstack/karbor-dashboard,Core,3.3333333333333335,5.0,3,8
