projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-glance,openstack/ironic-tempest-plugin,Core,4.790419161676647,3.571428571428571,10,16
openstack/puppet-glance,openstack/ironic-tempest-plugin,Non core,1.1976047904191618,2.7777777777777777,10,16
openstack/puppet-glance,openstack/oslo.utils,Core,6.866952789699571,4.4692737430167595,19,32
openstack/puppet-glance,openstack/oslo.utils,Non core,1.2875536480686696,4.4692737430167595,19,32
openstack/puppet-glance,openstack/charm-mysql-innodb-cluster,Core,0.6535947712418301,0.0,1,0
openstack/puppet-glance,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,1,0
openstack/puppet-glance,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/puppet-glance,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/puppet-glance,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/puppet-glance,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
openstack/puppet-glance,openstack/cinder-tempest-plugin,Core,3.75,2.5,7,10
openstack/puppet-glance,openstack/cinder-tempest-plugin,Non core,0.625,1.6666666666666667,7,10
openstack/puppet-glance,openstack/barbican-tempest-plugin,Core,6.289308176100629,2.7559055118110236,12,18
openstack/puppet-glance,openstack/barbican-tempest-plugin,Non core,1.257861635220126,4.330708661417323,12,18
openstack/puppet-glance,openstack/magnum-specs,Core,0.7092198581560284,1.762114537444934,2,7
openstack/puppet-glance,openstack/magnum-specs,Non core,0.7092198581560284,1.3215859030837005,2,7
openstack/puppet-glance,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/puppet-glance,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/puppet-glance,openstack/venus,Core,0.6493506493506493,0.9615384615384616,1,4
openstack/puppet-glance,openstack/venus,Non core,0.0,0.9615384615384616,1,4
openstack/puppet-glance,openstack/charm-neutron-api,Core,0.546448087431694,1.214574898785425,2,9
openstack/puppet-glance,openstack/charm-neutron-api,Non core,0.546448087431694,2.42914979757085,2,9
openstack/puppet-glance,openstack/tacker-specs,Core,2.1739130434782608,0.6134969325153374,5,12
openstack/puppet-glance,openstack/tacker-specs,Non core,0.5434782608695652,3.067484662576687,5,12
openstack/puppet-glance,openstack/openstack-ansible-galera_server,Core,3.5897435897435894,1.4388489208633095,11,19
openstack/puppet-glance,openstack/openstack-ansible-galera_server,Non core,2.051282051282051,5.39568345323741,11,19
openstack/puppet-glance,openstack/puppet-openstack_spec_helper,Core,11.678832116788321,8.21917808219178,25,35
openstack/puppet-glance,openstack/puppet-openstack_spec_helper,Non core,6.569343065693431,7.76255707762557,25,35
openstack/puppet-glance,openstack/trove-dashboard,Core,3.428571428571429,2.04778156996587,12,16
openstack/puppet-glance,openstack/trove-dashboard,Non core,3.428571428571429,3.4129692832764507,12,16
openstack/puppet-glance,openstack/pyeclib,Core,2.127659574468085,0.9433962264150944,3,3
openstack/puppet-glance,openstack/pyeclib,Non core,0.0,0.4716981132075472,3,3
openstack/puppet-glance,openstack/neutron-vpnaas,Core,2.734375,2.1479713603818613,10,29
openstack/puppet-glance,openstack/neutron-vpnaas,Non core,1.171875,4.77326968973747,10,29
openstack/puppet-glance,openstack/charm-designate,Core,1.2422360248447204,0.9090909090909091,3,7
openstack/puppet-glance,openstack/charm-designate,Non core,0.6211180124223602,2.272727272727273,3,7
openstack/puppet-glance,openstack/neutron-lbaas,Core,2.20125786163522,1.7408123791102514,10,29
openstack/puppet-glance,openstack/neutron-lbaas,Non core,0.9433962264150944,3.8684719535783367,10,29
openstack/puppet-glance,openstack/oslo.privsep,Core,5.027932960893855,2.6022304832713754,13,16
openstack/puppet-glance,openstack/oslo.privsep,Non core,2.2346368715083798,3.3457249070631967,13,16
openstack/puppet-glance,openstack/charm-glance,Core,0.5617977528089888,1.3215859030837005,2,10
openstack/puppet-glance,openstack/charm-glance,Non core,0.5617977528089888,3.0837004405286343,2,10
openstack/puppet-glance,openstack/charm-ceph-mon,Core,0.5405405405405406,0.8403361344537815,3,8
openstack/puppet-glance,openstack/charm-ceph-mon,Non core,1.0810810810810811,2.5210084033613445,3,8
openstack/puppet-glance,openstack/vitrage,Core,3.3472803347280333,2.0710059171597637,11,22
openstack/puppet-glance,openstack/vitrage,Non core,1.2552301255230125,4.437869822485207,11,22
openstack/puppet-glance,openstack/puppet-murano,Core,13.194444444444445,9.1324200913242,38,53
openstack/puppet-glance,openstack/puppet-murano,Non core,13.194444444444445,15.068493150684931,38,53
openstack/puppet-glance,openstack/networking-bagpipe,Core,2.824858757062147,2.2222222222222223,7,18
openstack/puppet-glance,openstack/networking-bagpipe,Non core,1.1299435028248588,4.444444444444445,7,18
openstack/puppet-glance,openstack/api-site,Core,1.9277108433734942,2.08,12,33
openstack/puppet-glance,openstack/api-site,Non core,0.9638554216867471,3.2,12,33
openstack/puppet-glance,openstack/charm-cinder-purestorage,Core,0.0,0.0,0,0
openstack/puppet-glance,openstack/charm-cinder-purestorage,Non core,0.0,0.0,0,0
openstack/puppet-glance,openstack/python-magnumclient,Core,3.614457831325301,2.694610778443114,12,22
