projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-ironic,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/python-tripleoclient,Core,8.560311284046692,7.655502392344498,41,74
openstack/puppet-ironic,openstack/python-tripleoclient,Non core,7.392996108949417,10.047846889952153,41,74
openstack/puppet-ironic,openstack/puppet-keystone,Core,12.195121951219512,10.097719869706841,65,92
openstack/puppet-ironic,openstack/puppet-keystone,Non core,19.51219512195122,19.86970684039088,65,92
openstack/puppet-ironic,openstack/networking-bgpvpn,Core,4.639175257731959,3.754266211604096,14,31
openstack/puppet-ironic,openstack/networking-bgpvpn,Non core,2.5773195876288657,6.825938566552901,14,31
openstack/puppet-ironic,openstack/ovn-octavia-provider,Core,3.278688524590164,2.604166666666667,4,6
openstack/puppet-ironic,openstack/ovn-octavia-provider,Non core,0.0,0.5208333333333333,4,6
openstack/puppet-ironic,openstack/python-openstackclient,Core,3.3333333333333335,3.875968992248062,30,64
openstack/puppet-ironic,openstack/python-openstackclient,Non core,2.2222222222222223,4.3927648578811365,30,64
openstack/puppet-ironic,openstack/puppet-openstacklib,Core,18.38235294117647,11.659192825112108,51,74
openstack/puppet-ironic,openstack/puppet-openstacklib,Non core,19.11764705882353,21.524663677130047,51,74
openstack/puppet-ironic,openstack/puppet-aodh,Core,15.0,12.834224598930483,47,64
openstack/puppet-ironic,openstack/puppet-aodh,Non core,24.166666666666668,21.390374331550802,47,64
openstack/puppet-ironic,openstack/neutron-lib,Core,3.3582089552238807,2.6785714285714284,17,36
openstack/puppet-ironic,openstack/neutron-lib,Non core,2.9850746268656714,5.357142857142857,17,36
openstack/puppet-ironic,openstack/puppet-tempest,Core,14.17910447761194,10.5,39,59
openstack/puppet-ironic,openstack/puppet-tempest,Non core,14.925373134328357,19.0,39,59
openstack/puppet-ironic,openstack/nova-specs,Core,2.005730659025788,2.314814814814815,11,47
openstack/puppet-ironic,openstack/nova-specs,Non core,1.146131805157593,3.125,11,47
openstack/puppet-ironic,openstack/puppet-designate,Core,14.960629921259844,10.869565217391305,42,59
openstack/puppet-ironic,openstack/puppet-designate,Non core,18.11023622047244,21.195652173913043,42,59
openstack/puppet-ironic,openstack/trove,Core,3.4031413612565444,3.0303030303030303,23,50
openstack/puppet-ironic,openstack/trove,Non core,2.6178010471204187,5.387205387205387,23,50
openstack/puppet-ironic,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-keystone-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-keystone-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/ceilometer,Core,2.8089887640449436,2.4447031431897557,24,58
openstack/puppet-ironic,openstack/ceilometer,Non core,1.6853932584269662,4.307334109429569,24,58
openstack/puppet-ironic,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
openstack/puppet-ironic,openstack/puppet-zaqar,Core,13.793103448275861,9.35672514619883,32,42
openstack/puppet-ironic,openstack/puppet-zaqar,Non core,13.793103448275861,15.204678362573098,32,42
openstack/puppet-ironic,openstack/puppet-openstack_extras,Core,15.254237288135593,10.857142857142858,36,55
openstack/puppet-ironic,openstack/puppet-openstack_extras,Non core,15.254237288135593,20.57142857142857,36,55
openstack/puppet-ironic,openstack/puppet-openstack-integration,Core,12.738853503184714,10.56338028169014,37,76
openstack/puppet-ironic,openstack/puppet-openstack-integration,Non core,10.828025477707007,16.19718309859155,37,76
openstack/puppet-ironic,openstack/puppet-octavia,Core,12.4031007751938,9.782608695652174,37,40
openstack/puppet-ironic,openstack/puppet-octavia,Non core,16.27906976744186,11.956521739130435,37,40
openstack/puppet-ironic,openstack/heat,Core,3.8016528925619832,2.9850746268656714,40,80
openstack/puppet-ironic,openstack/heat,Non core,2.809917355371901,4.477611940298507,40,80
openstack/puppet-ironic,openstack/openstack-ansible-os_nova,Core,2.912621359223301,1.9736842105263157,13,22
openstack/puppet-ironic,openstack/openstack-ansible-os_nova,Non core,3.3980582524271843,5.263157894736842,13,22
openstack/puppet-ironic,openstack/openstack-ansible-os_heat,Core,3.7267080745341614,2.7027027027027026,13,17
openstack/puppet-ironic,openstack/openstack-ansible-os_heat,Non core,4.3478260869565215,4.954954954954955,13,17
openstack/puppet-ironic,openstack/project-config,Core,3.14410480349345,2.4364406779661016,59,112
openstack/puppet-ironic,openstack/project-config,Non core,2.0087336244541487,3.4957627118644066,59,112
openstack/puppet-ironic,openstack/tripleo-quickstart,Core,8.482142857142858,7.199999999999999,34,73
openstack/puppet-ironic,openstack/tripleo-quickstart,Non core,6.696428571428571,12.266666666666666,34,73
openstack/puppet-ironic,openstack/ansible-collections-openstack,Core,1.910828025477707,8.333333333333332,4,19
openstack/puppet-ironic,openstack/ansible-collections-openstack,Non core,0.6369426751592357,1.5625,4,19
openstack/puppet-ironic,openstack/openstack-ansible,Core,2.452316076294278,2.083333333333333,21,48
openstack/puppet-ironic,openstack/openstack-ansible,Non core,3.2697547683923704,6.25,21,48
openstack/puppet-ironic,openstack/tripleo-puppet-elements,Core,7.6923076923076925,7.665505226480835,29,55
openstack/puppet-ironic,openstack/tripleo-puppet-elements,Non core,8.241758241758241,11.498257839721255,29,55
openstack/puppet-ironic,openstack/ansible-role-collect-logs,Core,3.875968992248062,5.88235294117647,7,21
openstack/puppet-ironic,openstack/ansible-role-collect-logs,Non core,1.550387596899225,4.411764705882353,7,21
openstack/puppet-ironic,openstack/releases,Core,5.858585858585859,4.166666666666666,38,84
openstack/puppet-ironic,openstack/releases,Non core,1.8181818181818181,4.807692307692308,38,84
openstack/puppet-ironic,openstack/puppet-ceph,Core,12.318840579710146,8.558558558558559,38,56
openstack/puppet-ironic,openstack/puppet-ceph,Non core,15.217391304347828,16.666666666666664,38,56
openstack/puppet-ironic,openstack/openstack-tempest-skiplist,Core,3.149606299212598,4.891304347826087,4,13
openstack/puppet-ironic,openstack/openstack-tempest-skiplist,Non core,0.0,2.1739130434782608,4,13
openstack/puppet-ironic,openstack/neutron-tempest-plugin,Core,4.27807486631016,3.1645569620253164,12,22
openstack/puppet-ironic,openstack/neutron-tempest-plugin,Non core,2.13903743315508,3.79746835443038,12,22
openstack/puppet-ironic,openstack/validations-libs,Core,4.098360655737705,6.214689265536723,7,17
openstack/puppet-ironic,openstack/validations-libs,Non core,1.639344262295082,3.389830508474576,7,17
openstack/puppet-ironic,openstack/octavia-tempest-plugin,Core,2.9850746268656714,1.6597510373443984,7,18
openstack/puppet-ironic,openstack/octavia-tempest-plugin,Non core,2.2388059701492535,5.809128630705394,7,18
openstack/puppet-ironic,openstack/kolla,Core,3.551401869158879,3.2181168057210967,36,83
openstack/puppet-ironic,openstack/kolla,Non core,3.177570093457944,6.6746126340882,36,83
openstack/puppet-ironic,openstack/glance-specs,Core,3.2432432432432434,1.9444444444444444,7,19
openstack/puppet-ironic,openstack/glance-specs,Non core,0.5405405405405406,3.3333333333333335,7,19
openstack/puppet-ironic,openstack/telemetry-tempest-plugin,Core,6.349206349206349,2.6737967914438503,13,8
openstack/puppet-ironic,openstack/telemetry-tempest-plugin,Non core,3.968253968253968,1.6042780748663104,13,8
openstack/puppet-ironic,openstack/os-net-config,Core,7.602339181286549,8.148148148148149,26,49
openstack/puppet-ironic,openstack/os-net-config,Non core,7.602339181286549,10.0,26,49
openstack/puppet-ironic,openstack/kuryr-kubernetes,Core,4.739336492890995,3.1347962382445136,14,30
openstack/puppet-ironic,openstack/kuryr-kubernetes,Non core,1.8957345971563981,6.269592476489027,14,30
openstack/puppet-ironic,openstack/charms.openstack,Core,2.2058823529411766,1.675977653631285,4,6
