projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-openstack-guide,openstack/puppet-panko,Core,19.230769230769234,18.96551724137931,16,17
openstack/puppet-openstack-guide,openstack/puppet-panko,Non core,11.538461538461538,10.344827586206897,16,17
openstack/puppet-openstack-guide,openstack/heat-cfnclient,Core,8.51063829787234,2.857142857142857,4,5
openstack/puppet-openstack-guide,openstack/heat-cfnclient,Non core,0.0,4.285714285714286,4,5
openstack/puppet-openstack-guide,openstack/heat-cfntools,Core,7.142857142857142,2.912621359223301,8,8
openstack/puppet-openstack-guide,openstack/heat-cfntools,Non core,4.285714285714286,4.854368932038835,8,8
openstack/puppet-openstack-guide,openstack/heat-templates,Core,5.555555555555555,2.3696682464454977,8,10
openstack/puppet-openstack-guide,openstack/heat-templates,Non core,0.7936507936507936,2.3696682464454977,8,10
openstack/puppet-openstack-guide,openstack/governance-sigs,Core,7.017543859649122,4.511278195488721,6,11
openstack/puppet-openstack-guide,openstack/governance-sigs,Non core,3.508771929824561,3.7593984962406015,6,11
openstack/puppet-openstack-guide,openstack/openstack-zuul-roles,Core,3.125,1.9607843137254901,1,2
openstack/puppet-openstack-guide,openstack/openstack-zuul-roles,Non core,0.0,1.9607843137254901,1,2
openstack/puppet-openstack-guide,openstack/nova-powervm,Core,4.938271604938271,2.272727272727273,5,9
openstack/puppet-openstack-guide,openstack/nova-powervm,Non core,1.2345679012345678,4.545454545454546,5,9
openstack/puppet-openstack-guide,openstack/openstack-helm-addons,Core,0.0,1.3513513513513513,1,7
openstack/puppet-openstack-guide,openstack/openstack-helm-addons,Non core,1.5384615384615385,3.3783783783783785,1,7
openstack/puppet-openstack-guide,openstack/python-pankoclient,Core,6.0,5.633802816901409,4,11
openstack/puppet-openstack-guide,openstack/python-pankoclient,Non core,2.0,9.859154929577464,4,11
openstack/puppet-openstack-guide,openstack/qa-specs,Core,5.714285714285714,1.3513513513513513,7,5
openstack/puppet-openstack-guide,openstack/qa-specs,Non core,4.285714285714286,2.027027027027027,7,5
openstack/puppet-openstack-guide,openstack/zaqar-specs,Core,8.47457627118644,0.9900990099009901,6,6
openstack/puppet-openstack-guide,openstack/zaqar-specs,Non core,1.694915254237288,4.9504950495049505,6,6
openstack/puppet-openstack-guide,openstack/swift-bench,Core,0.0,1.3157894736842104,0,3
openstack/puppet-openstack-guide,openstack/swift-bench,Non core,0.0,2.631578947368421,0,3
openstack/puppet-openstack-guide,openstack/whereto,Core,4.878048780487805,5.084745762711865,5,5
openstack/puppet-openstack-guide,openstack/whereto,Non core,7.317073170731707,3.389830508474576,5,5
openstack/puppet-openstack-guide,openstack/murano-specs,Core,5.970149253731343,1.0,4,4
openstack/puppet-openstack-guide,openstack/murano-specs,Non core,0.0,3.0,4,4
openstack/puppet-openstack-guide,openstack/ansible-role-tripleo-modify-image,Core,7.547169811320755,5.319148936170213,5,11
openstack/puppet-openstack-guide,openstack/ansible-role-tripleo-modify-image,Non core,1.8867924528301887,6.382978723404255,5,11
openstack/puppet-openstack-guide,openstack/requestsexceptions,Core,5.88235294117647,0.0,2,3
openstack/puppet-openstack-guide,openstack/requestsexceptions,Non core,0.0,5.357142857142857,2,3
openstack/puppet-openstack-guide,openstack/panko,Core,6.521739130434782,4.651162790697675,9,15
openstack/puppet-openstack-guide,openstack/panko,Non core,3.260869565217391,6.976744186046512,9,15
openstack/puppet-openstack-guide,openstack/api-sig,Core,4.0,1.2987012987012987,5,6
openstack/puppet-openstack-guide,openstack/api-sig,Non core,2.666666666666667,1.2987012987012987,5,6
openstack/puppet-openstack-guide,openstack/openstack-chef-specs,Core,6.122448979591836,2.7777777777777777,3,5
openstack/puppet-openstack-guide,openstack/openstack-chef-specs,Non core,0.0,4.166666666666666,3,5
openstack/puppet-openstack-guide,openstack/freezer-specs,Core,11.363636363636363,3.076923076923077,6,4
openstack/puppet-openstack-guide,openstack/freezer-specs,Non core,2.272727272727273,3.076923076923077,6,4
