projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-openstack-specs,openstack/puppet-monasca,Core,14.893617021276595,11.926605504587156,11,29
openstack/puppet-openstack-specs,openstack/puppet-monasca,Non core,8.51063829787234,14.678899082568808,11,29
openstack/puppet-openstack-specs,openstack/eslint-config-openstack,Core,7.6923076923076925,0.0,4,2
openstack/puppet-openstack-specs,openstack/eslint-config-openstack,Non core,2.564102564102564,1.9417475728155338,4,2
openstack/puppet-openstack-specs,openstack/karma-subunit-reporter,Core,6.896551724137931,0.0,2,1
openstack/puppet-openstack-specs,openstack/karma-subunit-reporter,Non core,0.0,1.5873015873015872,2,1
openstack/puppet-openstack-specs,openstack/openstack-helm-docs,Core,3.0303030303030303,1.2195121951219512,1,1
openstack/puppet-openstack-specs,openstack/openstack-helm-docs,Non core,0.0,0.0,1,1
openstack/puppet-openstack-specs,openstack/openstack-ansible-specs,Core,8.21917808219178,2.5316455696202533,9,11
openstack/puppet-openstack-specs,openstack/openstack-ansible-specs,Non core,4.10958904109589,4.430379746835443,9,11
openstack/puppet-openstack-specs,openstack/tempest-lib,Core,2.941176470588235,0.6993006993006993,2,6
openstack/puppet-openstack-specs,openstack/tempest-lib,Non core,0.0,3.4965034965034967,2,6
openstack/puppet-openstack-specs,openstack/tripleo-ha-utils,Core,0.0,3.79746835443038,1,4
openstack/puppet-openstack-specs,openstack/tripleo-ha-utils,Non core,2.941176470588235,1.2658227848101267,1,4
openstack/puppet-openstack-specs,openstack/devstack-vagrant,Core,5.128205128205128,0.0,2,4
openstack/puppet-openstack-specs,openstack/devstack-vagrant,Non core,0.0,5.128205128205128,2,4
openstack/puppet-openstack-specs,openstack/goal-tools,Core,6.25,2.7777777777777777,2,3
openstack/puppet-openstack-specs,openstack/goal-tools,Non core,0.0,1.3888888888888888,2,3
openstack/puppet-openstack-specs,openstack/cookiecutter,Core,4.545454545454546,1.6260162601626018,4,4
openstack/puppet-openstack-specs,openstack/cookiecutter,Non core,1.5151515151515151,1.6260162601626018,4,4
openstack/puppet-openstack-specs,openstack/dib-utils,Core,10.526315789473683,3.3333333333333335,4,6
openstack/puppet-openstack-specs,openstack/dib-utils,Non core,0.0,3.3333333333333335,4,6
openstack/puppet-openstack-specs,openstack/constellations,Core,6.896551724137931,2.898550724637681,3,4
openstack/puppet-openstack-specs,openstack/constellations,Non core,3.4482758620689653,2.898550724637681,3,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-integration-test,Core,7.142857142857142,1.1764705882352942,3,6
openstack/puppet-openstack-specs,openstack/cookbook-openstack-integration-test,Non core,0.0,5.88235294117647,3,6
openstack/puppet-openstack-specs,openstack/cookbook-openstack-dashboard,Core,4.3478260869565215,0.819672131147541,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-dashboard,Non core,0.0,3.278688524590164,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-telemetry,Core,4.3478260869565215,0.9615384615384616,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-telemetry,Non core,1.4492753623188406,2.8846153846153846,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-orchestration,Core,6.779661016949152,0.9174311926605505,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-orchestration,Non core,0.0,2.7522935779816518,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-bare-metal,Core,5.714285714285714,1.3333333333333335,2,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-bare-metal,Non core,0.0,4.0,2,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-dns,Core,0.0,1.4925373134328357,0,2
openstack/puppet-openstack-specs,openstack/cookbook-openstack-dns,Non core,0.0,1.4925373134328357,0,2
openstack/puppet-openstack-specs,openstack/cookbook-openstack-compute,Core,3.3707865168539324,0.684931506849315,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-compute,Non core,0.0,2.73972602739726,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-network,Core,4.444444444444445,0.7092198581560284,4,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-network,Non core,0.0,2.8368794326241136,4,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-block-storage,Core,4.819277108433735,0.819672131147541,5,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-block-storage,Non core,1.2048192771084338,3.278688524590164,5,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-image,Core,3.9473684210526314,0.8264462809917356,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-image,Non core,0.0,3.3057851239669422,3,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-identity,Core,6.666666666666667,0.7936507936507936,6,6
openstack/puppet-openstack-specs,openstack/cookbook-openstack-identity,Non core,1.3333333333333335,3.968253968253968,6,6
openstack/puppet-openstack-specs,openstack/cookbook-openstack-ops-database,Core,6.896551724137931,0.9708737864077669,4,3
openstack/puppet-openstack-specs,openstack/cookbook-openstack-ops-database,Non core,0.0,1.9417475728155338,4,3
openstack/puppet-openstack-specs,openstack/cookbook-openstack-ops-messaging,Core,7.8431372549019605,1.0526315789473684,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-ops-messaging,Non core,0.0,3.1578947368421053,4,4
openstack/puppet-openstack-specs,openstack/cookbook-openstack-common,Core,4.705882352941177,0.6944444444444444,4,5
openstack/puppet-openstack-specs,openstack/cookbook-openstack-common,Non core,0.0,2.7777777777777777,4,5
openstack/puppet-openstack-specs,openstack/self-healing-sig,Core,5.88235294117647,1.2345679012345678,3,2
openstack/puppet-openstack-specs,openstack/self-healing-sig,Non core,2.941176470588235,1.2345679012345678,3,2
openstack/puppet-openstack-specs,openstack/charm-ops-interface-tls-certificates,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-ops-interface-tls-certificates,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/security-specs,Core,11.11111111111111,2.4096385542168677,6,5
openstack/puppet-openstack-specs,openstack/security-specs,Non core,5.555555555555555,3.614457831325301,6,5
openstack/puppet-openstack-specs,openstack/openstack-ansible-os_panko,Core,6.521739130434782,2.1505376344086025,5,4
openstack/puppet-openstack-specs,openstack/openstack-ansible-os_panko,Non core,4.3478260869565215,2.1505376344086025,5,4
openstack/puppet-openstack-specs,openstack/openstack-ansible-nspawn_hosts,Core,6.976744186046512,2.272727272727273,6,4
openstack/puppet-openstack-specs,openstack/openstack-ansible-nspawn_hosts,Non core,6.976744186046512,2.272727272727273,6,4
openstack/puppet-openstack-specs,openstack/charm-layer-openstack-principle,Core,6.666666666666667,0.0,2,0
openstack/puppet-openstack-specs,openstack/charm-layer-openstack-principle,Non core,0.0,0.0,2,0
openstack/puppet-openstack-specs,openstack/charm-watcher-dashboard,Core,3.4482758620689653,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-watcher-dashboard,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-watcher,Core,3.225806451612903,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-watcher,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/openstack-ansible-galera_client,Core,6.8493150684931505,0.9090909090909091,8,5
openstack/puppet-openstack-specs,openstack/openstack-ansible-galera_client,Non core,4.10958904109589,3.6363636363636362,8,5
openstack/puppet-openstack-specs,openstack/cloudkitty-specs,Core,7.5,0.0,3,2
openstack/puppet-openstack-specs,openstack/cloudkitty-specs,Non core,0.0,2.3529411764705883,3,2
openstack/puppet-openstack-specs,openstack/osops,Core,3.225806451612903,0.0,1,0
openstack/puppet-openstack-specs,openstack/osops,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-mistral,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-mistral,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-ironic,Core,6.896551724137931,0.0,3,0
openstack/puppet-openstack-specs,openstack/charm-ironic,Non core,3.4482758620689653,0.0,3,0
openstack/puppet-openstack-specs,openstack/ansible-role-vault,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/ansible-role-vault,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/multi-arch-sig,Core,3.571428571428571,0.0,1,0
openstack/puppet-openstack-specs,openstack/multi-arch-sig,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-nova-compute-proxy,Core,2.857142857142857,0.0,3,1
openstack/puppet-openstack-specs,openstack/charm-nova-compute-proxy,Non core,5.714285714285714,1.4492753623188406,3,1
openstack/puppet-openstack-specs,openstack/charm-odl-controller,Core,2.7027027027027026,0.0,2,1
openstack/puppet-openstack-specs,openstack/charm-odl-controller,Non core,2.7027027027027026,1.4925373134328357,2,1
openstack/puppet-openstack-specs,openstack/charm-nova-lxd,Core,7.142857142857142,0.0,5,1
openstack/puppet-openstack-specs,openstack/charm-nova-lxd,Non core,4.761904761904762,1.2345679012345678,5,1
openstack/puppet-openstack-specs,openstack/charm-interface-nova-cell,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-nova-cell,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-magpie,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-magpie,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/xstatic-lodash,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/xstatic-lodash,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/xstatic-moment,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/xstatic-moment,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-barbican-secrets,Core,3.125,0.0,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-barbican-secrets,Non core,0.0,1.5625,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-mysql-innodb-cluster,Core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-mysql-innodb-cluster,Non core,0.0,0.0,0,0
openstack/puppet-openstack-specs,openstack/charm-interface-ceph-rbd-mirror,Core,3.225806451612903,0.0,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-ceph-rbd-mirror,Non core,0.0,1.5384615384615385,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-placement,Core,3.571428571428571,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-interface-placement,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/charm-interface-mysql-shared,Core,9.375,0.0,3,1
openstack/puppet-openstack-specs,openstack/charm-interface-mysql-shared,Non core,0.0,1.5384615384615385,3,1
openstack/puppet-openstack-specs,openstack/charm-interface-dashboard-plugin,Core,3.125,0.0,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-dashboard-plugin,Non core,0.0,1.5625,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-load-balancer,Core,3.125,0.0,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-load-balancer,Non core,0.0,1.5625,1,1
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-plugin-api-subordinate,Core,9.090909090909092,0.0,3,0
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-plugin-api-subordinate,Non core,0.0,0.0,3,0
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-plugin,Core,6.451612903225806,0.0,2,1
openstack/puppet-openstack-specs,openstack/charm-interface-neutron-plugin,Non core,0.0,1.5625,2,1
openstack/puppet-openstack-specs,openstack/xstatic-json2yaml,Core,3.7037037037037033,0.0,1,0
openstack/puppet-openstack-specs,openstack/xstatic-json2yaml,Non core,0.0,0.0,1,0
openstack/puppet-openstack-specs,openstack/xstatic-jquery.tablesorter,Core,3.571428571428571,0.0,1,1
openstack/puppet-openstack-specs,openstack/xstatic-jquery.tablesorter,Non core,0.0,1.6129032258064515,1,1
openstack/puppet-openstack-specs,openstack/xstatic-magic-search,Core,6.25,0.0,2,3
openstack/puppet-openstack-specs,openstack/xstatic-magic-search,Non core,0.0,4.285714285714286,2,3
openstack/puppet-openstack-specs,openstack/xstatic-jsencrypt,Core,6.666666666666667,0.0,2,3
openstack/puppet-openstack-specs,openstack/xstatic-jsencrypt,Non core,0.0,4.285714285714286,2,3
openstack/puppet-openstack-specs,openstack/xstatic-js-yaml,Core,3.571428571428571,0.0,1,0
