projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-ovn,openstack/charm-rabbitmq-server,Core,1.25,0.0,2,4
openstack/puppet-ovn,openstack/charm-rabbitmq-server,Non core,1.25,3.9215686274509802,2,4
openstack/puppet-ovn,openstack/senlin,Core,4.0201005025125625,0.38167938931297707,14,11
openstack/puppet-ovn,openstack/senlin,Non core,3.015075376884422,3.816793893129771,14,11
openstack/puppet-ovn,openstack/python-designateclient,Core,4.032258064516129,0.6024096385542169,8,7
openstack/puppet-ovn,openstack/python-designateclient,Non core,2.4193548387096775,3.614457831325301,8,7
openstack/puppet-ovn,openstack/puppet-horizon,Core,10.9375,8.791208791208792,25,30
openstack/puppet-ovn,openstack/puppet-horizon,Non core,8.59375,7.6923076923076925,25,30
openstack/puppet-ovn,openstack/openstack-ansible-lxc_hosts,Core,5.263157894736842,0.6896551724137931,9,11
openstack/puppet-ovn,openstack/openstack-ansible-lxc_hosts,Non core,4.2105263157894735,6.896551724137931,9,11
openstack/puppet-ovn,openstack/keystone-tempest-plugin,Core,5.88235294117647,2.0202020202020203,5,6
openstack/puppet-ovn,openstack/keystone-tempest-plugin,Non core,3.9215686274509802,4.040404040404041,5,6
openstack/puppet-ovn,openstack/python-barbicanclient,Core,2.9197080291970803,0.9433962264150944,8,11
openstack/puppet-ovn,openstack/python-barbicanclient,Non core,2.9197080291970803,4.245283018867925,8,11
openstack/puppet-ovn,openstack/openstack-ansible-os_ironic,Core,5.88235294117647,1.4285714285714286,9,11
openstack/puppet-ovn,openstack/openstack-ansible-os_ironic,Non core,2.941176470588235,6.428571428571428,9,11
openstack/puppet-ovn,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/openstack-ansible-os_barbican,Core,7.228915662650602,1.694915254237288,10,12
openstack/puppet-ovn,openstack/openstack-ansible-os_barbican,Non core,4.819277108433735,8.47457627118644,10,12
openstack/puppet-ovn,openstack/skyline-apiserver,Core,0.0,0.0,0,2
openstack/puppet-ovn,openstack/skyline-apiserver,Non core,0.0,2.7777777777777777,0,2
openstack/puppet-ovn,openstack/oslo.policy,Core,3.816793893129771,2.2522522522522523,9,14
openstack/puppet-ovn,openstack/oslo.policy,Non core,3.0534351145038165,4.054054054054054,9,14
openstack/puppet-ovn,openstack/openstack-ansible-tests,Core,4.9504950495049505,1.3245033112582782,9,10
openstack/puppet-ovn,openstack/openstack-ansible-tests,Non core,3.9603960396039604,5.298013245033113,9,10
openstack/puppet-ovn,openstack/openstack-ansible-os_rally,Core,8.0,1.8018018018018018,9,9
openstack/puppet-ovn,openstack/openstack-ansible-os_rally,Non core,4.0,6.306306306306306,9,9
openstack/puppet-ovn,openstack/openstack-ansible-rabbitmq_server,Core,6.896551724137931,1.5267175572519083,10,12
openstack/puppet-ovn,openstack/openstack-ansible-rabbitmq_server,Non core,4.597701149425287,7.633587786259542,10,12
openstack/puppet-ovn,openstack/openstack-ansible-os_horizon,Core,4.878048780487805,1.2269938650306749,10,11
openstack/puppet-ovn,openstack/openstack-ansible-os_horizon,Non core,3.2520325203252036,5.521472392638037,10,11
openstack/puppet-ovn,openstack/heat-dashboard,Core,7.352941176470589,2.608695652173913,8,7
openstack/puppet-ovn,openstack/heat-dashboard,Non core,4.411764705882353,3.4782608695652173,8,7
openstack/puppet-ovn,openstack/oslo.log,Core,4.635761589403973,3.319502074688797,11,16
openstack/puppet-ovn,openstack/oslo.log,Non core,2.6490066225165565,3.319502074688797,11,16
openstack/puppet-ovn,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/openstack-ansible-lxc_container_create,Core,6.896551724137931,1.6260162601626018,10,12
openstack/puppet-ovn,openstack/openstack-ansible-lxc_container_create,Non core,4.597701149425287,8.130081300813007,10,12
openstack/puppet-ovn,openstack/openstack-ansible-ops,Core,5.172413793103448,0.7042253521126761,11,9
openstack/puppet-ovn,openstack/openstack-ansible-ops,Non core,4.310344827586207,5.633802816901409,11,9
openstack/puppet-ovn,openstack/openstack-ansible-os_sahara,Core,7.317073170731707,1.6260162601626018,9,10
openstack/puppet-ovn,openstack/openstack-ansible-os_sahara,Non core,3.6585365853658534,6.504065040650407,9,10
openstack/puppet-ovn,openstack/python-glanceclient,Core,3.3457249070631967,1.2903225806451613,13,12
openstack/puppet-ovn,openstack/python-glanceclient,Non core,1.486988847583643,1.2903225806451613,13,12
openstack/puppet-ovn,openstack/charm-vault,Core,0.0,0.0,0,3
openstack/puppet-ovn,openstack/charm-vault,Non core,0.0,3.1914893617021276,0,3
openstack/puppet-ovn,openstack/puppet-glance,Core,10.79136690647482,6.046511627906977,26,29
openstack/puppet-ovn,openstack/puppet-glance,Non core,7.913669064748201,7.441860465116279,26,29
openstack/puppet-ovn,openstack/ironic-tempest-plugin,Core,6.578947368421052,3.3333333333333335,8,10
openstack/puppet-ovn,openstack/ironic-tempest-plugin,Non core,3.9473684210526314,5.0,8,10
openstack/puppet-ovn,openstack/oslo.utils,Core,4.697986577181208,3.375527426160337,10,15
openstack/puppet-ovn,openstack/oslo.utils,Non core,2.013422818791946,2.9535864978902953,10,15
openstack/puppet-ovn,openstack/charm-mysql-innodb-cluster,Core,1.6666666666666667,0.0,1,0
openstack/puppet-ovn,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,1,0
openstack/puppet-ovn,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/cinder-tempest-plugin,Core,4.285714285714286,0.9174311926605505,4,3
openstack/puppet-ovn,openstack/cinder-tempest-plugin,Non core,1.4285714285714286,1.834862385321101,4,3
openstack/puppet-ovn,openstack/barbican-tempest-plugin,Core,8.450704225352112,0.7874015748031495,7,7
openstack/puppet-ovn,openstack/barbican-tempest-plugin,Non core,1.4084507042253522,4.724409448818897,7,7
openstack/puppet-ovn,openstack/magnum-specs,Core,2.127659574468085,2.197802197802198,3,5
openstack/puppet-ovn,openstack/magnum-specs,Non core,4.25531914893617,3.296703296703297,3,5
openstack/puppet-ovn,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/puppet-ovn,openstack/venus,Core,1.639344262295082,0.0,1,3
openstack/puppet-ovn,openstack/venus,Non core,0.0,4.225352112676056,1,3
openstack/puppet-ovn,openstack/charm-neutron-api,Core,1.1111111111111112,0.0,2,3
openstack/puppet-ovn,openstack/charm-neutron-api,Non core,1.1111111111111112,2.608695652173913,2,3
openstack/puppet-ovn,openstack/tacker-specs,Core,3.260869565217391,0.5181347150259068,4,7
openstack/puppet-ovn,openstack/tacker-specs,Non core,1.0869565217391304,3.1088082901554404,4,7
openstack/puppet-ovn,openstack/openstack-ansible-galera_server,Core,5.769230769230769,1.3513513513513513,9,11
openstack/puppet-ovn,openstack/openstack-ansible-galera_server,Non core,2.8846153846153846,6.081081081081082,9,11
openstack/puppet-ovn,openstack/puppet-openstack_spec_helper,Core,21.153846153846153,14.444444444444443,17,26
openstack/puppet-ovn,openstack/puppet-openstack_spec_helper,Non core,11.538461538461538,14.444444444444443,17,26
openstack/puppet-ovn,openstack/trove-dashboard,Core,7.228915662650602,1.2422360248447204,11,10
openstack/puppet-ovn,openstack/trove-dashboard,Non core,6.024096385542169,4.968944099378882,11,10
openstack/puppet-ovn,openstack/pyeclib,Core,4.081632653061225,0.0,2,1
openstack/puppet-ovn,openstack/pyeclib,Non core,0.0,1.3157894736842104,2,1
openstack/puppet-ovn,openstack/neutron-vpnaas,Core,4.878048780487805,3.103448275862069,9,20
openstack/puppet-ovn,openstack/neutron-vpnaas,Non core,0.6097560975609756,3.793103448275862,9,20
openstack/puppet-ovn,openstack/charm-designate,Core,2.898550724637681,1.1904761904761905,2,5
openstack/puppet-ovn,openstack/charm-designate,Non core,0.0,4.761904761904762,2,5
openstack/puppet-ovn,openstack/neutron-lbaas,Core,3.111111111111111,1.5189873417721518,10,13
openstack/puppet-ovn,openstack/neutron-lbaas,Non core,1.3333333333333335,1.7721518987341773,10,13
openstack/puppet-ovn,openstack/oslo.privsep,Core,8.045977011494253,2.1739130434782608,12,9
openstack/puppet-ovn,openstack/oslo.privsep,Non core,5.747126436781609,4.3478260869565215,12,9
openstack/puppet-ovn,openstack/charm-glance,Core,1.1764705882352942,1.0638297872340425,2,5
openstack/puppet-ovn,openstack/charm-glance,Non core,1.1764705882352942,4.25531914893617,2,5
openstack/puppet-ovn,openstack/charm-ceph-mon,Core,1.0752688172043012,0.0,2,5
openstack/puppet-ovn,openstack/charm-ceph-mon,Non core,1.0752688172043012,4.854368932038835,2,5
openstack/puppet-ovn,openstack/vitrage,Core,4.761904761904762,0.9523809523809524,10,12
openstack/puppet-ovn,openstack/vitrage,Non core,2.0408163265306123,4.761904761904762,10,12
openstack/puppet-ovn,openstack/puppet-murano,Core,19.402985074626866,13.333333333333334,22,29
openstack/puppet-ovn,openstack/puppet-murano,Non core,13.432835820895523,14.285714285714285,22,29
openstack/puppet-ovn,openstack/networking-bagpipe,Core,4.761904761904762,5.970149253731343,7,16
openstack/puppet-ovn,openstack/networking-bagpipe,Non core,3.571428571428571,5.970149253731343,7,16
openstack/puppet-ovn,openstack/api-site,Core,1.529051987767584,1.183431952662722,7,13
openstack/puppet-ovn,openstack/api-site,Non core,0.6116207951070336,1.3806706114398422,7,13
openstack/puppet-ovn,openstack/charm-cinder-purestorage,Core,0.0,1.4705882352941175,0,1
openstack/puppet-ovn,openstack/charm-cinder-purestorage,Non core,0.0,0.0,0,1
openstack/puppet-ovn,openstack/python-magnumclient,Core,4.430379746835443,1.9138755980861244,10,9
openstack/puppet-ovn,openstack/python-magnumclient,Non core,1.89873417721519,2.3923444976076556,10,9
openstack/puppet-ovn,openstack/magnum-tempest-plugin,Core,11.538461538461538,3.7037037037037033,8,6
openstack/puppet-ovn,openstack/magnum-tempest-plugin,Non core,3.8461538461538463,3.7037037037037033,8,6
openstack/puppet-ovn,openstack/openstack-ansible-os_tempest,Core,6.557377049180328,2.2222222222222223,11,14
openstack/puppet-ovn,openstack/openstack-ansible-os_tempest,Non core,2.459016393442623,5.555555555555555,11,14
openstack/puppet-ovn,openstack/aodh,Core,4.166666666666666,1.7316017316017316,12,13
openstack/puppet-ovn,openstack/aodh,Non core,2.976190476190476,3.896103896103896,12,13
openstack/puppet-ovn,openstack/operations-guide,Core,1.5151515151515151,0.9708737864077669,3,5
openstack/puppet-ovn,openstack/operations-guide,Non core,0.7575757575757576,1.4563106796116505,3,5
openstack/puppet-ovn,openstack/contributor-guide,Core,4.054054054054054,0.0,5,7
openstack/puppet-ovn,openstack/contributor-guide,Non core,2.7027027027027026,6.0344827586206895,5,7
openstack/puppet-ovn,openstack/charm-ceph-radosgw,Core,2.666666666666667,0.0,4,2
openstack/puppet-ovn,openstack/charm-ceph-radosgw,Non core,2.666666666666667,2.247191011235955,4,2
openstack/puppet-ovn,openstack/python-aodhclient,Core,5.813953488372093,1.6666666666666667,9,11
openstack/puppet-ovn,openstack/python-aodhclient,Non core,4.651162790697675,7.5,9,11
openstack/puppet-ovn,openstack/ec2-api,Core,8.333333333333332,3.418803418803419,11,13
openstack/puppet-ovn,openstack/ec2-api,Non core,3.125,7.6923076923076925,11,13
openstack/puppet-ovn,openstack/ec2api-tempest-plugin,Core,6.122448979591836,1.5151515151515151,7,2
openstack/puppet-ovn,openstack/ec2api-tempest-plugin,Non core,8.16326530612245,1.5151515151515151,7,2
openstack/puppet-ovn,openstack/openstack-manuals,Core,1.023541453428864,0.8948545861297539,19,25
openstack/puppet-ovn,openstack/openstack-manuals,Non core,0.9211873080859775,0.9694258016405668,19,25
openstack/puppet-ovn,openstack/security-doc,Core,2.941176470588235,0.30864197530864196,9,7
