projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-qdr,openstack/vitrage-tempest-plugin,Core,5.263157894736842,0.0,6,2
openstack/puppet-qdr,openstack/vitrage-tempest-plugin,Non core,5.263157894736842,3.7037037037037033,6,2
openstack/puppet-qdr,openstack/tripleo-specs,Core,5.454545454545454,2.9315960912052117,11,15
openstack/puppet-qdr,openstack/tripleo-specs,Non core,4.545454545454546,1.9543973941368076,11,15
openstack/puppet-qdr,openstack/charm-neutron-api-plugin-arista,Core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/charm-neutron-api-plugin-arista,Non core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/charm-ceph-fs,Core,4.0,0.0,2,2
openstack/puppet-qdr,openstack/charm-ceph-fs,Non core,0.0,4.166666666666666,2,2
openstack/puppet-qdr,openstack/stevedore,Core,6.666666666666667,0.8695652173913043,7,4
openstack/puppet-qdr,openstack/stevedore,Non core,2.666666666666667,2.608695652173913,7,4
openstack/puppet-qdr,openstack/charm-ceph-proxy,Core,1.9230769230769231,0.0,1,1
openstack/puppet-qdr,openstack/charm-ceph-proxy,Non core,0.0,1.694915254237288,1,1
openstack/puppet-qdr,openstack/charm-cloudkitty,Core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/charm-cloudkitty,Non core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/charm-ops-openstack,Core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/charm-ops-openstack,Non core,0.0,0.0,0,0
openstack/puppet-qdr,openstack/zun-tempest-plugin,Core,6.382978723404255,0.0,4,2
openstack/puppet-qdr,openstack/zun-tempest-plugin,Non core,2.127659574468085,3.571428571428571,4,2
openstack/puppet-qdr,openstack/storlets,Core,9.210526315789473,2.272727272727273,10,5
openstack/puppet-qdr,openstack/storlets,Non core,3.9473684210526314,3.4090909090909087,10,5
openstack/puppet-qdr,openstack/training-guides,Core,2.8301886792452833,0.6622516556291391,6,4
openstack/puppet-qdr,openstack/training-guides,Non core,2.8301886792452833,1.9867549668874174,6,4
openstack/puppet-qdr,openstack/openstack-ansible-plugins,Core,6.896551724137931,2.7777777777777777,9,7
openstack/puppet-qdr,openstack/openstack-ansible-plugins,Non core,3.4482758620689653,3.7037037037037033,9,7
openstack/puppet-qdr,openstack/python-muranoclient,Core,2.797202797202797,0.0,7,5
openstack/puppet-qdr,openstack/python-muranoclient,Non core,2.097902097902098,3.0120481927710845,7,5
openstack/puppet-qdr,openstack/solum-dashboard,Core,6.557377049180328,1.3333333333333335,7,4
openstack/puppet-qdr,openstack/solum-dashboard,Non core,4.918032786885246,4.0,7,4
openstack/puppet-qdr,openstack/python-solumclient,Core,4.878048780487805,0.0,7,4
openstack/puppet-qdr,openstack/python-solumclient,Non core,3.6585365853658534,4.301075268817205,7,4
openstack/puppet-qdr,openstack/solum-tempest-plugin,Core,5.714285714285714,0.0,5,1
openstack/puppet-qdr,openstack/solum-tempest-plugin,Non core,8.571428571428571,2.7027027027027026,5,1
openstack/puppet-qdr,openstack/murano-tempest-plugin,Core,7.894736842105263,0.0,6,0
openstack/puppet-qdr,openstack/murano-tempest-plugin,Non core,7.894736842105263,0.0,6,0
openstack/puppet-qdr,openstack/heat-translator,Core,3.6036036036036037,0.7462686567164178,7,5
openstack/puppet-qdr,openstack/heat-translator,Non core,2.7027027027027026,2.9850746268656714,7,5
openstack/puppet-qdr,openstack/tosca-parser,Core,4.651162790697675,0.0,6,5
openstack/puppet-qdr,openstack/tosca-parser,Non core,2.3255813953488373,4.9504950495049505,6,5
openstack/puppet-qdr,openstack/tacker-horizon,Core,5.333333333333334,0.0,4,5
openstack/puppet-qdr,openstack/tacker-horizon,Non core,0.0,4.3478260869565215,4,5
openstack/puppet-qdr,openstack/ironic-python-agent-builder,Core,3.278688524590164,3.4482758620689653,5,5
openstack/puppet-qdr,openstack/ironic-python-agent-builder,Non core,4.918032786885246,2.2988505747126435,5,5
openstack/puppet-qdr,openstack/ansible-role-systemd_networkd,Core,8.88888888888889,3.7037037037037033,6,3
openstack/puppet-qdr,openstack/ansible-role-systemd_networkd,Non core,4.444444444444445,1.8518518518518516,6,3
openstack/puppet-qdr,openstack/ansible-role-systemd_service,Core,8.333333333333332,3.7735849056603774,5,3
openstack/puppet-qdr,openstack/ansible-role-systemd_service,Non core,2.083333333333333,1.8867924528301887,5,3
openstack/puppet-qdr,openstack/openstack-ansible-os_keystone,Core,5.405405405405405,1.4184397163120568,11,9
openstack/puppet-qdr,openstack/openstack-ansible-os_keystone,Non core,4.504504504504505,4.964539007092199,11,9
openstack/puppet-qdr,openstack/ansible-role-chrony,Core,2.564102564102564,6.8181818181818175,3,3
openstack/puppet-qdr,openstack/ansible-role-chrony,Non core,5.128205128205128,0.0,3,3
openstack/puppet-qdr,openstack/cloudkitty-tempest-plugin,Core,4.3478260869565215,0.0,4,3
openstack/puppet-qdr,openstack/cloudkitty-tempest-plugin,Non core,4.3478260869565215,5.660377358490567,4,3
openstack/puppet-qdr,openstack/oslo.config,Core,3.125,1.8808777429467085,8,13
openstack/puppet-qdr,openstack/oslo.config,Non core,1.0416666666666665,2.19435736677116,8,13
openstack/puppet-qdr,openstack/senlin-tempest-plugin,Core,8.88888888888889,0.0,6,2
openstack/puppet-qdr,openstack/senlin-tempest-plugin,Non core,4.444444444444445,3.278688524590164,6,2
openstack/puppet-qdr,openstack/heat-tempest-plugin,Core,10.638297872340425,2.941176470588235,6,2
openstack/puppet-qdr,openstack/heat-tempest-plugin,Non core,2.127659574468085,0.0,6,2
openstack/puppet-qdr,openstack/freezer-tempest-plugin,Core,4.444444444444445,0.0,5,3
openstack/puppet-qdr,openstack/freezer-tempest-plugin,Non core,6.666666666666667,5.769230769230769,5,3
openstack/puppet-qdr,openstack/monasca-tempest-plugin,Core,5.660377358490567,0.0,5,1
openstack/puppet-qdr,openstack/monasca-tempest-plugin,Non core,3.7735849056603774,1.5625,5,1
openstack/puppet-qdr,openstack/stackviz,Core,7.547169811320755,0.0,7,3
openstack/puppet-qdr,openstack/stackviz,Non core,5.660377358490567,4.761904761904762,7,3
openstack/puppet-qdr,openstack/kayobe-config-dev,Core,5.405405405405405,0.0,2,2
openstack/puppet-qdr,openstack/kayobe-config-dev,Non core,0.0,4.878048780487805,2,2
openstack/puppet-qdr,openstack/pbr,Core,2.3255813953488373,0.9900990099009901,5,5
openstack/puppet-qdr,openstack/pbr,Non core,1.550387596899225,1.4851485148514851,5,5
