projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-senlin,openstack/cookbook-openstack-application-catalog,Core,0.0,0.0,1,1
openstack/puppet-senlin,openstack/cookbook-openstack-application-catalog,Non core,4.761904761904762,3.7037037037037033,1,1
openstack/puppet-senlin,openstack/training-labs,Core,6.25,1.5873015873015872,6,2
openstack/puppet-senlin,openstack/training-labs,Non core,6.25,1.5873015873015872,6,2
openstack/puppet-senlin,openstack/karbor,Core,2.4193548387096775,1.694915254237288,6,7
openstack/puppet-senlin,openstack/karbor,Non core,2.4193548387096775,2.2598870056497176,6,7
openstack/puppet-senlin,openstack/devstack-plugin-open-cas,Core,5.555555555555555,7.142857142857142,1,2
openstack/puppet-senlin,openstack/devstack-plugin-open-cas,Non core,0.0,0.0,1,2
openstack/puppet-senlin,openstack/openstack-ansible-os_congress,Core,8.333333333333332,3.571428571428571,6,8
openstack/puppet-senlin,openstack/openstack-ansible-os_congress,Non core,8.333333333333332,10.714285714285714,6,8
openstack/puppet-senlin,openstack/charm-ops-interface-ceph-client,Core,0.0,0.0,0,0
openstack/puppet-senlin,openstack/charm-ops-interface-ceph-client,Non core,0.0,0.0,0,0
openstack/puppet-senlin,openstack/charm-interface-keystone-notifications,Core,0.0,4.761904761904762,0,1
openstack/puppet-senlin,openstack/charm-interface-keystone-notifications,Non core,0.0,0.0,0,1
openstack/puppet-senlin,openstack/os-collect-config,Core,4.6875,2.5,6,4
openstack/puppet-senlin,openstack/os-collect-config,Non core,4.6875,0.8333333333333334,6,4
openstack/puppet-senlin,openstack/os-apply-config,Core,4.761904761904762,3.6036036036036037,6,5
openstack/puppet-senlin,openstack/os-apply-config,Non core,4.761904761904762,0.9009009009009009,6,5
openstack/puppet-senlin,openstack/puppet-freezer,Core,21.428571428571427,24.242424242424242,13,14
openstack/puppet-senlin,openstack/puppet-freezer,Non core,25.0,18.181818181818183,13,14
openstack/puppet-senlin,openstack/vitrage-specs,Core,6.122448979591836,0.0,5,2
openstack/puppet-senlin,openstack/vitrage-specs,Non core,4.081632653061225,2.898550724637681,5,2
openstack/puppet-senlin,openstack/specs-cookiecutter,Core,13.636363636363635,6.0606060606060606,3,2
