projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-tacker,openstack/puppet-ec2api,Core,26.190476190476193,20.930232558139537,21,15
openstack/puppet-tacker,openstack/puppet-ec2api,Non core,23.809523809523807,13.953488372093023,21,15
openstack/puppet-tacker,openstack/puppet-mistral,Core,18.96551724137931,10.75268817204301,22,20
openstack/puppet-tacker,openstack/puppet-mistral,Non core,18.96551724137931,10.75268817204301,22,20
openstack/puppet-tacker,openstack/puppet-oslo,Core,18.64406779661017,11.904761904761903,22,20
openstack/puppet-tacker,openstack/puppet-oslo,Non core,18.64406779661017,11.904761904761903,22,20
openstack/puppet-tacker,openstack/puppet-manila,Core,12.359550561797752,7.199999999999999,22,18
openstack/puppet-tacker,openstack/puppet-manila,Non core,12.359550561797752,7.199999999999999,22,18
openstack/puppet-tacker,openstack/puppet-sahara,Core,15.942028985507244,7.258064516129033,25,22
openstack/puppet-tacker,openstack/puppet-sahara,Non core,20.28985507246377,10.483870967741936,25,22
openstack/puppet-tacker,openstack/puppet-vswitch,Core,14.084507042253522,8.771929824561402,17,17
openstack/puppet-tacker,openstack/puppet-vswitch,Non core,9.859154929577464,6.140350877192982,17,17
openstack/puppet-tacker,openstack/puppet-gnocchi,Core,15.068493150684931,9.0,23,16
openstack/puppet-tacker,openstack/puppet-gnocchi,Non core,16.43835616438356,7.000000000000001,23,16
openstack/puppet-tacker,openstack/puppet-vitrage,Core,23.404255319148938,17.24137931034483,23,18
openstack/puppet-tacker,openstack/puppet-vitrage,Non core,25.53191489361702,13.793103448275861,23,18
openstack/puppet-tacker,openstack/puppet-magnum,Core,21.153846153846153,10.666666666666668,22,15
openstack/puppet-tacker,openstack/puppet-magnum,Non core,21.153846153846153,9.333333333333334,22,15
openstack/puppet-tacker,openstack/puppet-rally,Core,27.500000000000004,20.454545454545457,18,17
openstack/puppet-tacker,openstack/puppet-rally,Non core,17.5,18.181818181818183,18,17
openstack/puppet-tacker,openstack/puppet-watcher,Core,25.581395348837212,15.0,26,22
openstack/puppet-tacker,openstack/puppet-watcher,Non core,34.883720930232556,21.666666666666668,26,22
openstack/puppet-tacker,openstack/puppet-cloudkitty,Core,21.428571428571427,13.636363636363635,20,14
openstack/puppet-tacker,openstack/puppet-cloudkitty,Non core,26.190476190476193,18.181818181818183,20,14
openstack/puppet-tacker,openstack/puppet-placement,Core,13.513513513513514,10.204081632653061,8,8
openstack/puppet-tacker,openstack/puppet-placement,Non core,8.108108108108109,6.122448979591836,8,8
openstack/puppet-tacker,openstack/puppet-ceilometer,Core,10.0,6.493506493506493,23,18
openstack/puppet-tacker,openstack/puppet-ceilometer,Non core,10.909090909090908,5.194805194805195,23,18
openstack/puppet-tacker,openstack/puppet-heat,Core,10.185185185185185,4.968944099378882,23,17
openstack/puppet-tacker,openstack/puppet-heat,Non core,11.11111111111111,5.590062111801243,23,17
openstack/puppet-tacker,openstack/puppet-cinder,Core,6.0109289617486334,4.044117647058823,23,20
openstack/puppet-tacker,openstack/puppet-cinder,Non core,6.557377049180328,3.308823529411765,23,20
openstack/puppet-tacker,openstack/puppet-barbican,Core,18.0327868852459,11.627906976744185,20,17
