projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-tripleo,openstack/cinder,Core,2.9605263157894735,3.3540967896502156,66,202
openstack/puppet-tripleo,openstack/cinder,Non core,2.4671052631578947,6.324868231911836,66,202
openstack/puppet-tripleo,openstack/ironic,Core,5.192878338278932,5.424954792043399,56,150
openstack/puppet-tripleo,openstack/ironic,Non core,3.115727002967359,8.1374321880651,56,150
openstack/puppet-tripleo,openstack/tacker,Core,3.194103194103194,2.514792899408284,23,55
openstack/puppet-tripleo,openstack/tacker,Non core,2.457002457002457,5.621301775147929,23,55
openstack/puppet-tripleo,openstack/manila,Core,4.070796460176991,4.366347177848776,36,104
openstack/puppet-tripleo,openstack/manila,Non core,2.3008849557522124,6.7092651757188495,36,104
openstack/puppet-tripleo,openstack/tripleo-heat-templates,Core,18.138424821002385,13.86255924170616,195,375
openstack/puppet-tripleo,openstack/tripleo-heat-templates,Non core,28.400954653937948,30.568720379146917,195,375
openstack/puppet-tripleo,openstack/tripleo-upgrade,Core,8.333333333333332,7.835051546391752,38,115
openstack/puppet-tripleo,openstack/tripleo-upgrade,Non core,6.746031746031746,15.876288659793813,38,115
openstack/puppet-tripleo,openstack/tripleo-common,Core,17.956656346749224,15.897435897435896,125,251
openstack/puppet-tripleo,openstack/tripleo-common,Non core,20.743034055727556,27.00854700854701,125,251
openstack/puppet-tripleo,openstack/openstack-helm-infra,Core,1.0050251256281406,1.6853932584269662,8,39
openstack/puppet-tripleo,openstack/openstack-helm-infra,Non core,1.0050251256281406,3.7921348314606744,8,39
openstack/puppet-tripleo,openstack/os-vif,Core,3.9285714285714284,4.892367906066536,17,59
openstack/puppet-tripleo,openstack/os-vif,Non core,2.142857142857143,6.653620352250488,17,59
openstack/puppet-tripleo,openstack/charm-cinder,Core,1.1494252873563218,0.8421052631578947,5,12
openstack/puppet-tripleo,openstack/charm-cinder,Non core,0.7662835249042145,1.6842105263157894,5,12
openstack/puppet-tripleo,openstack/tripleo-ci,Core,16.666666666666664,14.3646408839779,80,185
openstack/puppet-tripleo,openstack/tripleo-ci,Non core,12.962962962962962,19.70534069981584,80,185
openstack/puppet-tripleo,openstack/openstack-helm,Core,1.4285714285714286,2.3004059539918806,10,51
openstack/puppet-tripleo,openstack/openstack-helm,Non core,0.9523809523809524,4.600811907983761,10,51
openstack/puppet-tripleo,openstack/ironic-inspector,Core,5.740181268882175,4.991394148020654,27,71
openstack/puppet-tripleo,openstack/ironic-inspector,Non core,2.416918429003021,7.228915662650602,27,71
openstack/puppet-tripleo,openstack/designate-specs,Core,1.1811023622047243,0.641025641025641,4,7
openstack/puppet-tripleo,openstack/designate-specs,Non core,0.39370078740157477,0.8547008547008548,4,7
openstack/puppet-tripleo,openstack/ironic-python-agent,Core,5.080213903743315,5.063291139240507,32,84
openstack/puppet-tripleo,openstack/ironic-python-agent,Non core,3.4759358288770055,8.227848101265822,32,84
openstack/puppet-tripleo,openstack/glance,Core,4.005524861878453,4.586404586404586,42,131
openstack/puppet-tripleo,openstack/glance,Non core,1.7955801104972375,6.142506142506143,42,131
openstack/puppet-tripleo,openstack/tripleo-validations,Core,11.552346570397113,12.0,68,142
openstack/puppet-tripleo,openstack/tripleo-validations,Non core,12.996389891696749,17.894736842105264,68,142
openstack/puppet-tripleo,openstack/kolla-ansible,Core,2.7522935779816518,3.594771241830065,26,97
openstack/puppet-tripleo,openstack/kolla-ansible,Non core,2.0183486238532113,6.971677559912854,26,97
openstack/puppet-tripleo,openstack/barbican,Core,5.133928571428571,6.043956043956044,35,93
openstack/puppet-tripleo,openstack/barbican,Non core,2.6785714285714284,6.730769230769231,35,93
openstack/puppet-tripleo,openstack/manila-tempest-plugin,Core,3.4090909090909087,2.268041237113402,10,23
openstack/puppet-tripleo,openstack/manila-tempest-plugin,Non core,0.3787878787878788,2.4742268041237114,10,23
openstack/puppet-tripleo,openstack/networking-ovn,Core,6.289308176100629,7.167832167832168,33,99
openstack/puppet-tripleo,openstack/networking-ovn,Non core,4.088050314465408,10.13986013986014,33,99
openstack/puppet-tripleo,openstack/designate,Core,4.366812227074235,4.809052333804809,27,76
openstack/puppet-tripleo,openstack/designate,Non core,1.5283842794759825,5.9405940594059405,27,76
openstack/puppet-tripleo,openstack/ansible-role-uwsgi,Core,0.4329004329004329,0.6741573033707865,1,4
openstack/puppet-tripleo,openstack/ansible-role-uwsgi,Non core,0.0,0.22471910112359553,1,4
openstack/puppet-tripleo,openstack/ironic-specs,Core,2.20125786163522,3.5036496350364965,13,54
openstack/puppet-tripleo,openstack/ironic-specs,Non core,1.8867924528301887,4.37956204379562,13,54
openstack/puppet-tripleo,openstack/tap-as-a-service,Core,2.2900763358778624,1.1650485436893203,7,28
openstack/puppet-tripleo,openstack/tap-as-a-service,Non core,0.38167938931297707,4.271844660194175,7,28
openstack/puppet-tripleo,openstack/tripleo-quickstart-extras,Core,16.791044776119403,14.940239043824702,88,189
openstack/puppet-tripleo,openstack/tripleo-quickstart-extras,Non core,16.044776119402986,22.709163346613543,88,189
openstack/puppet-tripleo,openstack/openstacksdk,Core,5.88235294117647,7.377049180327869,35,97
openstack/puppet-tripleo,openstack/openstacksdk,Non core,1.4705882352941175,5.8743169398907105,35,97
openstack/puppet-tripleo,openstack/openstack-ansible-os_octavia,Core,2.5830258302583027,2.6694045174537986,10,30
openstack/puppet-tripleo,openstack/openstack-ansible-os_octavia,Non core,1.107011070110701,3.4907597535934287,10,30
openstack/puppet-tripleo,openstack/requirements,Core,6.427688504326329,7.157604955264969,82,213
openstack/puppet-tripleo,openstack/requirements,Non core,3.7082818294190356,7.501720578114246,82,213
openstack/puppet-tripleo,openstack/puppet-ironic,Core,7.526881720430108,6.288032454361055,49,95
openstack/puppet-tripleo,openstack/puppet-ironic,Non core,10.03584229390681,12.981744421906694,49,95
openstack/puppet-tripleo,openstack/charm-glance-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-glance-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/python-tripleoclient,Core,14.469453376205788,14.594594594594595,107,217
openstack/puppet-tripleo,openstack/python-tripleoclient,Non core,19.935691318327976,24.504504504504503,107,217
openstack/puppet-tripleo,openstack/puppet-keystone,Core,8.256880733944955,9.107468123861565,63,130
openstack/puppet-tripleo,openstack/puppet-keystone,Non core,11.009174311926607,14.571948998178508,63,130
openstack/puppet-tripleo,openstack/networking-bgpvpn,Core,5.245901639344262,4.181818181818182,23,54
openstack/puppet-tripleo,openstack/networking-bgpvpn,Non core,2.2950819672131146,5.636363636363637,23,54
openstack/puppet-tripleo,openstack/ovn-octavia-provider,Core,2.5210084033613445,4.656319290465632,8,27
openstack/puppet-tripleo,openstack/ovn-octavia-provider,Non core,0.8403361344537815,1.3303769401330376,8,27
openstack/puppet-tripleo,openstack/python-openstackclient,Core,4.496124031007752,6.180344478216818,45,131
openstack/puppet-tripleo,openstack/python-openstackclient,Non core,2.4806201550387597,7.092198581560284,45,131
openstack/puppet-tripleo,openstack/puppet-openstacklib,Core,7.984790874524715,9.12863070539419,44,95
openstack/puppet-tripleo,openstack/puppet-openstacklib,Non core,8.745247148288973,10.58091286307054,44,95
openstack/puppet-tripleo,openstack/puppet-aodh,Core,5.928853754940711,5.128205128205128,34,63
openstack/puppet-tripleo,openstack/puppet-aodh,Non core,7.5098814229249005,8.333333333333332,34,63
openstack/puppet-tripleo,openstack/neutron-lib,Core,3.3942558746736298,4.838709677419355,22,82
openstack/puppet-tripleo,openstack/neutron-lib,Non core,2.3498694516971277,7.184750733137831,22,82
openstack/puppet-tripleo,openstack/puppet-tempest,Core,7.782101167315175,6.896551724137931,36,75
openstack/puppet-tripleo,openstack/puppet-tempest,Non core,6.22568093385214,9.267241379310345,36,75
openstack/puppet-tripleo,openstack/nova-specs,Core,2.375809935205184,4.4036697247706424,17,101
openstack/puppet-tripleo,openstack/nova-specs,Non core,1.2958963282937366,4.862385321100918,17,101
openstack/puppet-tripleo,openstack/puppet-designate,Core,4.562737642585551,4.700854700854701,26,55
openstack/puppet-tripleo,openstack/puppet-designate,Non core,5.323193916349809,7.051282051282051,26,55
openstack/puppet-tripleo,openstack/trove,Core,3.5999999999999996,3.769140164899882,25,75
openstack/puppet-tripleo,openstack/trove,Non core,1.4000000000000001,5.064782096584216,25,75
openstack/puppet-tripleo,openstack/charm-nova-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-nova-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-keystone-k8s,Core,0.0,0.0,0,1
openstack/puppet-tripleo,openstack/charm-keystone-k8s,Non core,0.0,0.22779043280182232,0,1
openstack/puppet-tripleo,openstack/charm-placement-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-placement-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-horizon-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-horizon-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-cinder-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-cinder-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/ceilometer,Core,4.251968503937007,5.013927576601671,43,120
openstack/puppet-tripleo,openstack/ceilometer,Non core,2.5196850393700787,6.128133704735376,43,120
openstack/puppet-tripleo,openstack/charm-cinder-ceph-k8s,Core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/charm-cinder-ceph-k8s,Non core,0.0,0.0,0,0
openstack/puppet-tripleo,openstack/puppet-zaqar,Core,5.284552845528456,4.250559284116331,22,46
openstack/puppet-tripleo,openstack/puppet-zaqar,Non core,3.6585365853658534,6.0402684563758395,22,46
openstack/puppet-tripleo,openstack/puppet-openstack_extras,Core,5.622489959839357,4.148471615720524,25,52
openstack/puppet-tripleo,openstack/puppet-openstack_extras,Non core,4.417670682730924,7.20524017467249,25,52
openstack/puppet-tripleo,openstack/puppet-openstack-integration,Core,11.494252873563218,12.3015873015873,53,136
openstack/puppet-tripleo,openstack/puppet-openstack-integration,Non core,8.812260536398467,14.682539682539684,53,136
openstack/puppet-tripleo,openstack/puppet-octavia,Core,6.746031746031746,5.8165548098434,34,57
openstack/puppet-tripleo,openstack/puppet-octavia,Non core,6.746031746031746,6.935123042505594,34,57
openstack/puppet-tripleo,openstack/heat,Core,5.603448275862069,5.905826017557861,69,179
openstack/puppet-tripleo,openstack/heat,Non core,4.310344827586207,8.379888268156424,69,179
openstack/puppet-tripleo,openstack/openstack-ansible-os_nova,Core,3.7267080745341614,2.47787610619469,17,41
openstack/puppet-tripleo,openstack/openstack-ansible-os_nova,Non core,1.5527950310559007,4.778761061946903,17,41
openstack/puppet-tripleo,openstack/openstack-ansible-os_heat,Core,3.942652329749104,2.658486707566462,15,30
openstack/puppet-tripleo,openstack/openstack-ansible-os_heat,Non core,1.4336917562724014,3.476482617586912,15,30
openstack/puppet-tripleo,openstack/project-config,Core,5.405405405405405,6.021717670286279,103,254
openstack/puppet-tripleo,openstack/project-config,Non core,3.0303030303030303,6.515301085883514,103,254
openstack/puppet-tripleo,openstack/tripleo-quickstart,Core,17.314487632508836,15.105162523900573,95,205
openstack/puppet-tripleo,openstack/tripleo-quickstart,Non core,16.25441696113074,24.091778202676863,95,205
openstack/puppet-tripleo,openstack/ansible-collections-openstack,Core,2.564102564102564,4.761904761904762,8,29
openstack/puppet-tripleo,openstack/ansible-collections-openstack,Non core,0.3663003663003663,1.5151515151515151,8,29
openstack/puppet-tripleo,openstack/openstack-ansible,Core,3.9748953974895396,3.6900369003690034,30,91
openstack/puppet-tripleo,openstack/openstack-ansible,Non core,2.301255230125523,7.503075030750307,30,91
openstack/puppet-tripleo,openstack/tripleo-puppet-elements,Core,13.043478260869565,11.440677966101696,78,150
openstack/puppet-tripleo,openstack/tripleo-puppet-elements,Non core,17.786561264822133,20.33898305084746,78,150
openstack/puppet-tripleo,openstack/ansible-role-collect-logs,Core,6.808510638297872,7.606263982102908,21,58
openstack/puppet-tripleo,openstack/ansible-role-collect-logs,Non core,2.127659574468085,5.369127516778524,21,58
openstack/puppet-tripleo,openstack/releases,Core,9.16955017301038,10.175763182238667,75,219
openstack/puppet-tripleo,openstack/releases,Non core,3.8062283737024223,10.083256244218317,75,219
openstack/puppet-tripleo,openstack/puppet-ceph,Core,5.2434456928838955,5.578512396694215,29,74
openstack/puppet-tripleo,openstack/puppet-ceph,Non core,5.617977528089887,9.710743801652892,29,74
openstack/puppet-tripleo,openstack/openstack-tempest-skiplist,Core,4.721030042918455,5.442176870748299,18,36
openstack/puppet-tripleo,openstack/openstack-tempest-skiplist,Non core,3.004291845493562,2.7210884353741496,18,36
