projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-trove,openstack/tripleo-image-elements,Core,3.71900826446281,3.125,13,30
openstack/puppet-trove,openstack/tripleo-image-elements,Non core,1.6528925619834711,4.6875,13,30
openstack/puppet-trove,openstack/bifrost,Core,4.18848167539267,3.225806451612903,10,19
openstack/puppet-trove,openstack/bifrost,Non core,1.0471204188481675,4.435483870967742,10,19
openstack/puppet-trove,openstack/designate-tempest-plugin,Core,8.411214953271028,2.097902097902098,10,12
openstack/puppet-trove,openstack/designate-tempest-plugin,Non core,0.9345794392523363,6.293706293706294,10,12
openstack/puppet-trove,openstack/osc-placement,Core,4.123711340206185,2.5974025974025974,4,9
openstack/puppet-trove,openstack/osc-placement,Non core,0.0,3.2467532467532463,4,9
openstack/puppet-trove,openstack/loci,Core,2.857142857142857,2.3529411764705883,5,12
openstack/puppet-trove,openstack/loci,Non core,1.9047619047619049,4.705882352941177,5,12
openstack/puppet-trove,openstack/devstack-plugin-ceph,Core,4.310344827586207,2.840909090909091,5,8
openstack/puppet-trove,openstack/devstack-plugin-ceph,Non core,0.0,1.7045454545454544,5,8
openstack/puppet-trove,openstack/charm-guide,Core,2.307692307692308,0.7352941176470588,5,4
openstack/puppet-trove,openstack/charm-guide,Non core,1.5384615384615385,2.2058823529411766,5,4
openstack/puppet-trove,openstack/openstack-zuul-jobs,Core,6.666666666666667,5.956112852664576,15,29
openstack/puppet-trove,openstack/openstack-zuul-jobs,Non core,0.4761904761904762,3.1347962382445136,15,29
openstack/puppet-trove,openstack/os-traits,Core,3.571428571428571,1.2658227848101267,6,7
openstack/puppet-trove,openstack/os-traits,Non core,1.7857142857142856,3.1645569620253164,6,7
openstack/puppet-trove,openstack/python-novaclient,Core,1.8108651911468814,1.4245014245014245,16,32
openstack/puppet-trove,openstack/python-novaclient,Non core,1.4084507042253522,3.133903133903134,16,32
openstack/puppet-trove,openstack/solum,Core,3.488372093023256,1.809954751131222,12,16
openstack/puppet-trove,openstack/solum,Non core,3.488372093023256,5.429864253393665,12,16
openstack/puppet-trove,openstack/murano,Core,3.260869565217391,2.806122448979592,19,28
openstack/puppet-trove,openstack/murano,Non core,3.6231884057971016,4.336734693877551,19,28
openstack/puppet-trove,openstack/murano-dashboard,Core,3.8461538461538463,2.4096385542168677,14,22
openstack/puppet-trove,openstack/murano-dashboard,Non core,3.8461538461538463,6.425702811244979,14,22
openstack/puppet-trove,openstack/murano-pkg-check,Core,5.434782608695652,1.7094017094017095,6,4
openstack/puppet-trove,openstack/murano-pkg-check,Non core,1.0869565217391304,1.7094017094017095,6,4
openstack/puppet-trove,openstack/murano-agent,Core,5.970149253731343,2.4691358024691357,11,12
openstack/puppet-trove,openstack/murano-agent,Non core,2.2388059701492535,4.938271604938271,11,12
openstack/puppet-trove,openstack/octavia,Core,2.8391167192429023,2.579365079365079,19,29
openstack/puppet-trove,openstack/octavia,Non core,3.1545741324921135,3.1746031746031744,19,29
openstack/puppet-trove,openstack/charm-nova-compute,Core,0.6993006993006993,1.2269938650306749,2,6
openstack/puppet-trove,openstack/charm-nova-compute,Non core,0.6993006993006993,2.4539877300613497,2,6
openstack/puppet-trove,openstack/keystone,Core,2.1406727828746175,1.6190476190476188,23,41
openstack/puppet-trove,openstack/keystone,Non core,1.3761467889908259,2.2857142857142856,23,41
openstack/puppet-trove,openstack/openstack-helm-images,Core,1.5037593984962405,1.3157894736842104,2,8
openstack/puppet-trove,openstack/openstack-helm-images,Non core,0.0,2.1929824561403506,2,8
openstack/puppet-trove,openstack/python-cinderclient,Core,2.7777777777777777,1.3114754098360655,17,29
openstack/puppet-trove,openstack/python-cinderclient,Non core,1.9444444444444444,3.4426229508196724,17,29
openstack/puppet-trove,openstack/cinderlib,Core,4.597701149425287,3.2,5,7
openstack/puppet-trove,openstack/cinderlib,Non core,1.1494252873563218,2.4,5,7
openstack/puppet-trove,openstack/keystone-specs,Core,3.870967741935484,1.69971671388102,8,17
openstack/puppet-trove,openstack/keystone-specs,Non core,1.2903225806451613,3.1161473087818696,8,17
openstack/puppet-trove,openstack/os-brick,Core,2.643171806167401,1.694915254237288,14,24
openstack/puppet-trove,openstack/os-brick,Non core,3.524229074889868,4.116222760290557,14,24
openstack/puppet-trove,openstack/ansible-collection-kolla,Core,0.0,0.0,0,1
openstack/puppet-trove,openstack/ansible-collection-kolla,Non core,0.0,0.9174311926605505,0,1
openstack/puppet-trove,openstack/horizon,Core,1.5625,1.2474012474012475,29,47
openstack/puppet-trove,openstack/horizon,Non core,1.9230769230769231,2.0097020097020097,29,47
openstack/puppet-trove,openstack/mistral-extra,Core,5.88235294117647,2.0408163265306123,11,11
openstack/puppet-trove,openstack/mistral-extra,Non core,4.901960784313726,5.442176870748299,11,11
openstack/puppet-trove,openstack/puppet-pacemaker,Core,11.458333333333332,8.666666666666668,18,31
openstack/puppet-trove,openstack/puppet-pacemaker,Non core,7.291666666666667,12.0,18,31
openstack/puppet-trove,openstack/charm-trilio-data-mover,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-trilio-data-mover,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/glance-tempest-plugin,Core,1.282051282051282,0.9615384615384616,1,1
openstack/puppet-trove,openstack/glance-tempest-plugin,Non core,0.0,0.0,1,1
openstack/puppet-trove,openstack/charm-ops-sunbeam,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-ops-sunbeam,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/mistral,Core,4.123711340206185,3.816793893129771,22,42
openstack/puppet-trove,openstack/mistral,Non core,3.436426116838488,6.870229007633588,22,42
openstack/puppet-trove,openstack/validations-common,Core,5.555555555555555,7.352941176470589,9,13
openstack/puppet-trove,openstack/validations-common,Non core,4.444444444444445,2.2058823529411766,9,13
openstack/puppet-trove,openstack/ci-log-processing,Core,0.0,1.7391304347826086,0,3
openstack/puppet-trove,openstack/ci-log-processing,Non core,0.0,0.8695652173913043,0,3
openstack/puppet-trove,openstack/openstack-ansible-os_ceilometer,Core,4.411764705882353,1.7241379310344827,12,15
openstack/puppet-trove,openstack/openstack-ansible-os_ceilometer,Non core,4.411764705882353,6.896551724137931,12,15
openstack/puppet-trove,openstack/openstack-ansible-os_aodh,Core,4.878048780487805,1.8633540372670807,13,15
openstack/puppet-trove,openstack/openstack-ansible-os_aodh,Non core,5.691056910569105,7.453416149068323,13,15
openstack/puppet-trove,openstack/python-swiftclient,Core,3.389830508474576,2.1406727828746175,16,17
openstack/puppet-trove,openstack/python-swiftclient,Non core,3.389830508474576,3.058103975535168,16,17
openstack/puppet-trove,openstack/rpm-packaging,Core,5.780346820809249,3.3834586466165413,18,26
openstack/puppet-trove,openstack/rpm-packaging,Non core,4.624277456647398,6.390977443609022,18,26
openstack/puppet-trove,openstack/placement,Core,3.4782608695652173,3.684210526315789,5,13
openstack/puppet-trove,openstack/placement,Non core,0.8695652173913043,3.1578947368421053,5,13
openstack/puppet-trove,openstack/os-resource-classes,Core,2.4691358024691357,0.8333333333333334,3,3
openstack/puppet-trove,openstack/os-resource-classes,Non core,1.2345679012345678,1.6666666666666667,3,3
openstack/puppet-trove,openstack/blazar,Core,3.1055900621118013,1.293103448275862,13,18
openstack/puppet-trove,openstack/blazar,Non core,4.968944099378882,6.4655172413793105,13,18
openstack/puppet-trove,openstack/openstack-ansible-os_glance,Core,4.651162790697675,1.7543859649122806,13,15
openstack/puppet-trove,openstack/openstack-ansible-os_glance,Non core,5.426356589147287,7.017543859649122,13,15
openstack/puppet-trove,openstack/governance,Core,3.054989816700611,2.21606648199446,23,58
openstack/puppet-trove,openstack/governance,Non core,1.6293279022403258,3.139427516158818,23,58
openstack/puppet-trove,openstack/cloudkitty,Core,4.624277456647398,1.6326530612244898,17,20
openstack/puppet-trove,openstack/cloudkitty,Non core,5.202312138728324,6.530612244897959,17,20
openstack/puppet-trove,openstack/neutron-dynamic-routing,Core,5.072463768115942,1.8181818181818181,13,10
openstack/puppet-trove,openstack/neutron-dynamic-routing,Non core,4.3478260869565215,2.727272727272727,13,10
openstack/puppet-trove,openstack/kayobe,Core,2.608695652173913,2.5,5,11
openstack/puppet-trove,openstack/kayobe,Non core,1.7391304347826086,4.375,5,11
openstack/puppet-trove,openstack/ansible-role-zookeeper,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/ansible-role-zookeeper,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/python-manilaclient,Core,3.7209302325581395,1.6891891891891893,12,18
openstack/puppet-trove,openstack/python-manilaclient,Non core,1.8604651162790697,4.391891891891892,12,18
openstack/puppet-trove,openstack/tripleo-operator-ansible,Core,4.123711340206185,3.6231884057971016,4,9
openstack/puppet-trove,openstack/tripleo-operator-ansible,Non core,0.0,2.898550724637681,4,9
openstack/puppet-trove,openstack/octavia-dashboard,Core,4.545454545454546,3.1847133757961785,9,10
openstack/puppet-trove,openstack/octavia-dashboard,Non core,3.6363636363636362,3.1847133757961785,9,10
openstack/puppet-trove,openstack/blazar-tempest-plugin,Core,3.3707865168539324,2.4390243902439024,4,5
openstack/puppet-trove,openstack/blazar-tempest-plugin,Non core,1.1235955056179776,1.6260162601626018,4,5
openstack/puppet-trove,openstack/neutron-specs,Core,2.0161290322580645,0.7598784194528876,8,12
openstack/puppet-trove,openstack/neutron-specs,Non core,1.2096774193548387,1.0638297872340425,8,12
openstack/puppet-trove,openstack/tooz,Core,4.635761589403973,3.5398230088495577,8,18
openstack/puppet-trove,openstack/tooz,Non core,0.6622516556291391,4.424778761061947,8,18
openstack/puppet-trove,openstack/manila-specs,Core,1.8691588785046727,1.2195121951219512,4,7
openstack/puppet-trove,openstack/manila-specs,Non core,1.8691588785046727,3.048780487804878,4,7
openstack/puppet-trove,openstack/glance_store,Core,4.5,2.6737967914438503,11,19
openstack/puppet-trove,openstack/glance_store,Non core,1.0,2.406417112299465,11,19
openstack/puppet-trove,openstack/openstack-ansible-os_neutron,Core,2.840909090909091,1.2048192771084338,14,18
openstack/puppet-trove,openstack/openstack-ansible-os_neutron,Non core,5.113636363636364,6.024096385542169,14,18
openstack/puppet-trove,openstack/os-ken,Core,3.296703296703297,1.5873015873015872,3,4
openstack/puppet-trove,openstack/os-ken,Non core,0.0,1.5873015873015872,3,4
openstack/puppet-trove,openstack/keystoneauth,Core,4.891304347826087,2.536231884057971,14,21
openstack/puppet-trove,openstack/keystoneauth,Non core,2.717391304347826,5.072463768115942,14,21
openstack/puppet-trove,openstack/openstack-ansible-haproxy_server,Core,4.878048780487805,0.6211180124223602,11,9
openstack/puppet-trove,openstack/openstack-ansible-haproxy_server,Non core,4.0650406504065035,4.968944099378882,11,9
openstack/puppet-trove,openstack/grenade,Core,4.9079754601226995,3.1578947368421053,11,18
openstack/puppet-trove,openstack/grenade,Non core,1.8404907975460123,3.1578947368421053,11,18
openstack/puppet-trove,openstack/networking-midonet,Core,4.166666666666666,1.9157088122605364,13,18
openstack/puppet-trove,openstack/networking-midonet,Non core,4.861111111111112,4.980842911877394,13,18
openstack/puppet-trove,openstack/python-ironicclient,Core,4.3478260869565215,1.9444444444444444,14,21
openstack/puppet-trove,openstack/python-ironicclient,Non core,1.7391304347826086,3.888888888888889,14,21
openstack/puppet-trove,openstack/oslo.messaging,Core,2.422145328719723,2.7649769585253456,16,34
openstack/puppet-trove,openstack/oslo.messaging,Non core,3.1141868512110724,5.0691244239631335,16,34
openstack/puppet-trove,openstack/tripleo-docs,Core,4.10958904109589,3.9660056657223794,17,33
openstack/puppet-trove,openstack/tripleo-docs,Non core,3.65296803652968,5.382436260623229,17,33
openstack/puppet-trove,openstack/magnum,Core,3.149606299212598,1.6638935108153077,21,27
openstack/puppet-trove,openstack/magnum,Non core,2.3622047244094486,2.828618968386023,21,27
openstack/puppet-trove,openstack/diskimage-builder,Core,3.9215686274509802,3.5778175313059033,24,43
openstack/puppet-trove,openstack/diskimage-builder,Non core,2.801120448179272,4.114490161001789,24,43
openstack/puppet-trove,openstack/masakari,Core,3.3333333333333335,1.4563106796116505,9,14
openstack/puppet-trove,openstack/masakari,Non core,2.666666666666667,5.339805825242718,9,14
openstack/puppet-trove,openstack/python-venusclient,Core,0.0,0.0,1,1
openstack/puppet-trove,openstack/python-venusclient,Non core,1.25,0.9345794392523363,1,1
openstack/puppet-trove,openstack/ansible-role-container-registry,Core,5.617977528089887,4.511278195488721,8,13
openstack/puppet-trove,openstack/ansible-role-container-registry,Non core,3.3707865168539324,5.263157894736842,8,13
openstack/puppet-trove,openstack/puppet-ovn,Core,15.294117647058824,11.570247933884298,22,28
openstack/puppet-trove,openstack/puppet-ovn,Non core,10.588235294117647,11.570247933884298,22,28
openstack/puppet-trove,openstack/charm-rabbitmq-server,Core,0.8695652173913043,1.4084507042253522,2,7
openstack/puppet-trove,openstack/charm-rabbitmq-server,Non core,0.8695652173913043,3.5211267605633805,2,7
openstack/puppet-trove,openstack/senlin,Core,3.9647577092511015,1.0135135135135136,21,20
openstack/puppet-trove,openstack/senlin,Non core,5.286343612334802,5.743243243243244,21,20
openstack/puppet-trove,openstack/python-designateclient,Core,4.487179487179487,1.5,11,16
openstack/puppet-trove,openstack/python-designateclient,Non core,2.564102564102564,6.5,11,16
openstack/puppet-trove,openstack/puppet-horizon,Core,13.194444444444445,10.5,44,55
openstack/puppet-trove,openstack/puppet-horizon,Non core,17.36111111111111,17.0,44,55
openstack/puppet-trove,openstack/openstack-ansible-lxc_hosts,Core,3.90625,1.6216216216216217,11,14
openstack/puppet-trove,openstack/openstack-ansible-lxc_hosts,Non core,4.6875,5.9459459459459465,11,14
openstack/puppet-trove,openstack/keystone-tempest-plugin,Core,4.651162790697675,2.127659574468085,5,7
openstack/puppet-trove,openstack/keystone-tempest-plugin,Non core,1.1627906976744187,2.8368794326241136,5,7
openstack/puppet-trove,openstack/python-barbicanclient,Core,4.166666666666666,2.0408163265306123,12,21
openstack/puppet-trove,openstack/python-barbicanclient,Non core,2.976190476190476,6.530612244897959,12,21
openstack/puppet-trove,openstack/openstack-ansible-os_ironic,Core,4.444444444444445,1.6853932584269662,11,16
openstack/puppet-trove,openstack/openstack-ansible-os_ironic,Non core,3.7037037037037033,7.303370786516854,11,16
openstack/puppet-trove,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/openstack-ansible-os_barbican,Core,5.172413793103448,1.910828025477707,12,16
openstack/puppet-trove,openstack/openstack-ansible-os_barbican,Non core,5.172413793103448,8.280254777070063,12,16
openstack/puppet-trove,openstack/skyline-apiserver,Core,0.0,0.0,0,1
openstack/puppet-trove,openstack/skyline-apiserver,Non core,0.0,0.8620689655172413,0,1
openstack/puppet-trove,openstack/oslo.policy,Core,3.6585365853658534,2.3166023166023164,11,20
openstack/puppet-trove,openstack/oslo.policy,Non core,3.048780487804878,5.405405405405405,11,20
openstack/puppet-trove,openstack/openstack-ansible-tests,Core,3.787878787878788,2.1505376344086025,13,18
openstack/puppet-trove,openstack/openstack-ansible-tests,Non core,6.0606060606060606,7.526881720430108,13,18
openstack/puppet-trove,openstack/openstack-ansible-os_rally,Core,5.5045871559633035,1.3245033112582782,10,12
openstack/puppet-trove,openstack/openstack-ansible-os_rally,Non core,3.669724770642202,6.622516556291391,10,12
openstack/puppet-trove,openstack/openstack-ansible-rabbitmq_server,Core,5.0,1.1764705882352942,12,16
openstack/puppet-trove,openstack/openstack-ansible-rabbitmq_server,Non core,5.0,8.235294117647058,12,16
openstack/puppet-trove,openstack/openstack-ansible-os_horizon,Core,3.870967741935484,1.9801980198019802,13,15
openstack/puppet-trove,openstack/openstack-ansible-os_horizon,Non core,4.516129032258064,5.445544554455446,13,15
openstack/puppet-trove,openstack/heat-dashboard,Core,6.0,1.948051948051948,11,11
openstack/puppet-trove,openstack/heat-dashboard,Non core,5.0,5.194805194805195,11,11
openstack/puppet-trove,openstack/oslo.log,Core,4.3478260869565215,3.6101083032490973,13,23
openstack/puppet-trove,openstack/oslo.log,Non core,2.717391304347826,4.693140794223827,13,23
openstack/puppet-trove,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/openstack-ansible-lxc_container_create,Core,5.042016806722689,1.8518518518518516,13,16
openstack/puppet-trove,openstack/openstack-ansible-lxc_container_create,Non core,5.88235294117647,8.024691358024691,13,16
openstack/puppet-trove,openstack/openstack-ansible-ops,Core,4.026845637583892,1.0810810810810811,13,9
openstack/puppet-trove,openstack/openstack-ansible-ops,Non core,4.697986577181208,3.783783783783784,13,9
openstack/puppet-trove,openstack/openstack-ansible-os_sahara,Core,5.3097345132743365,2.484472049689441,13,15
openstack/puppet-trove,openstack/openstack-ansible-os_sahara,Non core,6.1946902654867255,6.832298136645963,13,15
openstack/puppet-trove,openstack/python-glanceclient,Core,3.6544850498338874,1.6096579476861168,16,23
openstack/puppet-trove,openstack/python-glanceclient,Non core,1.6611295681063125,3.0181086519114686,16,23
openstack/puppet-trove,openstack/charm-vault,Core,0.0,0.7407407407407408,0,5
openstack/puppet-trove,openstack/charm-vault,Non core,0.0,2.9629629629629632,0,5
openstack/puppet-trove,openstack/puppet-glance,Core,12.987012987012985,9.821428571428571,46,63
openstack/puppet-trove,openstack/puppet-glance,Non core,16.883116883116884,18.303571428571427,46,63
openstack/puppet-trove,openstack/ironic-tempest-plugin,Core,6.422018348623854,3.1055900621118013,10,12
openstack/puppet-trove,openstack/ironic-tempest-plugin,Non core,2.7522935779816518,4.3478260869565215,10,12
openstack/puppet-trove,openstack/oslo.utils,Core,4.41988950276243,3.308823529411765,13,23
openstack/puppet-trove,openstack/oslo.utils,Non core,2.7624309392265194,5.147058823529411,13,23
openstack/puppet-trove,openstack/charm-mysql-innodb-cluster,Core,1.0526315789473684,0.0,1,0
openstack/puppet-trove,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,1,0
openstack/puppet-trove,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/cinder-tempest-plugin,Core,2.857142857142857,2.73972602739726,4,9
openstack/puppet-trove,openstack/cinder-tempest-plugin,Non core,0.9523809523809524,3.4246575342465753,4,9
openstack/puppet-trove,openstack/barbican-tempest-plugin,Core,5.660377358490567,1.8292682926829267,7,13
openstack/puppet-trove,openstack/barbican-tempest-plugin,Non core,0.9433962264150944,6.097560975609756,7,13
openstack/puppet-trove,openstack/magnum-specs,Core,1.1904761904761905,1.5037593984962405,1,6
openstack/puppet-trove,openstack/magnum-specs,Non core,0.0,3.007518796992481,1,6
openstack/puppet-trove,openstack/charm-interface-mysql-router,Core,0.0,0.0,0,0
openstack/puppet-trove,openstack/charm-interface-mysql-router,Non core,0.0,0.0,0,0
openstack/puppet-trove,openstack/venus,Core,1.0526315789473684,0.0,2,1
openstack/puppet-trove,openstack/venus,Non core,1.0526315789473684,0.8620689655172413,2,1
openstack/puppet-trove,openstack/charm-neutron-api,Core,0.8064516129032258,1.2987012987012987,3,7
openstack/puppet-trove,openstack/charm-neutron-api,Non core,1.6129032258064515,3.2467532467532463,3,7
