projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/puppet-vitrage,openstack/puppet-magnum,Core,23.728813559322035,20.27027027027027,27,34
openstack/puppet-vitrage,openstack/puppet-magnum,Non core,22.033898305084744,25.675675675675674,27,34
openstack/puppet-vitrage,openstack/puppet-rally,Core,22.0,18.181818181818183,20,24
openstack/puppet-vitrage,openstack/puppet-rally,Non core,18.0,25.454545454545453,20,24
openstack/puppet-vitrage,openstack/puppet-watcher,Core,23.076923076923077,17.333333333333336,29,25
openstack/puppet-vitrage,openstack/puppet-watcher,Non core,32.69230769230769,16.0,29,25
openstack/puppet-vitrage,openstack/puppet-cloudkitty,Core,18.0,12.280701754385964,24,19
openstack/puppet-vitrage,openstack/puppet-cloudkitty,Non core,30.0,21.052631578947366,24,19
openstack/puppet-vitrage,openstack/puppet-placement,Core,10.204081632653061,9.090909090909092,8,9
openstack/puppet-vitrage,openstack/puppet-placement,Non core,6.122448979591836,4.545454545454546,8,9
openstack/puppet-vitrage,openstack/puppet-ceilometer,Core,10.344827586206897,8.860759493670885,29,32
openstack/puppet-vitrage,openstack/puppet-ceilometer,Non core,14.655172413793101,11.39240506329114,29,32
openstack/puppet-vitrage,openstack/puppet-heat,Core,10.434782608695652,8.588957055214724,28,33
openstack/puppet-vitrage,openstack/puppet-heat,Non core,13.91304347826087,11.65644171779141,28,33
openstack/puppet-vitrage,openstack/puppet-cinder,Core,6.349206349206349,5.818181818181818,29,35
openstack/puppet-vitrage,openstack/puppet-cinder,Non core,8.994708994708994,6.909090909090909,29,35
openstack/puppet-vitrage,openstack/puppet-barbican,Core,17.91044776119403,17.045454545454543,26,33
openstack/puppet-vitrage,openstack/puppet-barbican,Non core,20.8955223880597,20.454545454545457,26,33
openstack/puppet-vitrage,openstack/tenks,Core,7.017543859649122,1.5873015873015872,4,2
openstack/puppet-vitrage,openstack/tenks,Non core,0.0,1.5873015873015872,4,2
openstack/puppet-vitrage,openstack/charm-cinder-ceph,Core,1.4084507042253522,2.631578947368421,2,5
openstack/puppet-vitrage,openstack/charm-cinder-ceph,Non core,1.4084507042253522,3.9473684210526314,2,5
openstack/puppet-vitrage,openstack/charm-heat,Core,1.3513513513513513,2.4691358024691357,2,5
openstack/puppet-vitrage,openstack/charm-heat,Non core,1.3513513513513513,3.7037037037037033,2,5
openstack/puppet-vitrage,openstack/charm-neutron-api-plugin-ironic,Core,0.0,0.0,0,0
openstack/puppet-vitrage,openstack/charm-neutron-api-plugin-ironic,Non core,0.0,0.0,0,0
openstack/puppet-vitrage,openstack/charm-openstack-dashboard,Core,1.0204081632653061,2.247191011235955,2,6
