projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-adjutantclient,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/python-adjutantclient,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/python-adjutantclient,openstack/ansible-role-lunasa-hsm,Core,6.666666666666667,0.0,1,1
openstack/python-adjutantclient,openstack/ansible-role-lunasa-hsm,Non core,0.0,5.263157894736842,1,1
openstack/python-adjutantclient,openstack/monasca-thresh,Core,2.4390243902439024,1.694915254237288,1,2
openstack/python-adjutantclient,openstack/monasca-thresh,Non core,0.0,1.694915254237288,1,2
openstack/python-adjutantclient,openstack/heat-specs,Core,3.6585365853658534,1.5463917525773196,3,5
openstack/python-adjutantclient,openstack/heat-specs,Non core,0.0,1.0309278350515463,3,5
openstack/python-adjutantclient,openstack/watcher-dashboard,Core,6.666666666666667,2.666666666666667,4,7
openstack/python-adjutantclient,openstack/watcher-dashboard,Non core,0.0,6.666666666666667,4,7
openstack/python-adjutantclient,openstack/sahara-plugin-ambari,Core,18.181818181818183,11.538461538461538,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-ambari,Non core,0.0,3.8461538461538463,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-mapr,Core,19.047619047619047,10.344827586206897,4,6
openstack/python-adjutantclient,openstack/sahara-plugin-mapr,Non core,0.0,10.344827586206897,4,6
openstack/python-adjutantclient,openstack/sahara-plugin-spark,Core,20.0,14.285714285714285,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-spark,Non core,0.0,4.761904761904762,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-storm,Core,20.0,13.636363636363635,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-storm,Non core,0.0,4.545454545454546,4,4
openstack/python-adjutantclient,openstack/sahara-plugin-vanilla,Core,20.0,13.636363636363635,4,6
openstack/python-adjutantclient,openstack/sahara-plugin-vanilla,Non core,0.0,13.636363636363635,4,6
openstack/python-adjutantclient,openstack/sahara-specs,Core,3.1746031746031744,1.1627906976744187,2,2
openstack/python-adjutantclient,openstack/sahara-specs,Non core,0.0,1.1627906976744187,2,2
openstack/python-adjutantclient,openstack/venus-tempest-plugin,Core,5.0,10.526315789473683,1,2
openstack/python-adjutantclient,openstack/venus-tempest-plugin,Non core,0.0,0.0,1,2
openstack/python-adjutantclient,openstack/venus-specs,Core,5.88235294117647,5.0,1,1
openstack/python-adjutantclient,openstack/venus-specs,Non core,0.0,0.0,1,1
openstack/python-adjutantclient,openstack/ceilometermiddleware,Core,8.0,3.6585365853658534,4,7
openstack/python-adjutantclient,openstack/ceilometermiddleware,Non core,0.0,4.878048780487805,4,7
openstack/python-adjutantclient,openstack/trove-tempest-plugin,Core,12.0,4.761904761904762,3,3
openstack/python-adjutantclient,openstack/trove-tempest-plugin,Non core,0.0,2.380952380952381,3,3
openstack/python-adjutantclient,openstack/arch-design,Core,10.0,5.0,2,1
openstack/python-adjutantclient,openstack/arch-design,Non core,0.0,0.0,2,1
openstack/python-adjutantclient,openstack/monasca-common,Core,5.952380952380952,2.586206896551724,5,7
openstack/python-adjutantclient,openstack/monasca-common,Non core,0.0,3.4482758620689653,5,7
openstack/python-adjutantclient,openstack/monasca-statsd,Core,12.5,6.153846153846154,6,7
openstack/python-adjutantclient,openstack/monasca-statsd,Non core,0.0,4.615384615384616,6,7
openstack/python-adjutantclient,openstack/python-monascaclient,Core,5.1020408163265305,3.2,5,8
openstack/python-adjutantclient,openstack/python-monascaclient,Non core,0.0,3.2,5,8
