projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-cloudkittyclient,openstack/charm-interface-keystone,Core,2.631578947368421,1.1764705882352942,3,5
openstack/python-cloudkittyclient,openstack/charm-interface-keystone,Non core,1.3157894736842104,4.705882352941177,3,5
openstack/python-cloudkittyclient,openstack/cloudkitty-dashboard,Core,10.465116279069768,12.380952380952381,25,45
openstack/python-cloudkittyclient,openstack/cloudkitty-dashboard,Non core,18.6046511627907,30.476190476190478,25,45
openstack/python-cloudkittyclient,openstack/networking-hyperv,Core,6.796116504854369,3.571428571428571,14,13
openstack/python-cloudkittyclient,openstack/networking-hyperv,Non core,6.796116504854369,8.035714285714286,14,13
openstack/python-cloudkittyclient,openstack/i18n,Core,3.9603960396039604,3.8461538461538463,6,14
openstack/python-cloudkittyclient,openstack/i18n,Non core,1.9801980198019802,6.923076923076923,6,14
openstack/python-cloudkittyclient,openstack/sahara-tests,Core,4.081632653061225,4.6875,5,12
openstack/python-cloudkittyclient,openstack/sahara-tests,Non core,1.0204081632653061,4.6875,5,12
openstack/python-cloudkittyclient,openstack/python-zunclient,Core,3.007518796992481,3.75,15,17
openstack/python-cloudkittyclient,openstack/python-zunclient,Non core,8.270676691729323,6.875000000000001,15,17
openstack/python-cloudkittyclient,openstack/sahara-plugin-cdh,Core,4.166666666666666,7.317073170731707,5,13
openstack/python-cloudkittyclient,openstack/sahara-plugin-cdh,Non core,2.7777777777777777,8.536585365853659,5,13
openstack/python-cloudkittyclient,openstack/monasca-ui,Core,7.086614173228346,2.7777777777777777,14,24
openstack/python-cloudkittyclient,openstack/monasca-ui,Non core,3.937007874015748,10.555555555555555,14,24
openstack/python-cloudkittyclient,openstack/python-adjutantclient,Core,7.042253521126761,6.578947368421052,5,10
openstack/python-cloudkittyclient,openstack/python-adjutantclient,Non core,0.0,6.578947368421052,5,10
openstack/python-cloudkittyclient,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/python-cloudkittyclient,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/python-cloudkittyclient,openstack/ansible-role-lunasa-hsm,Core,1.5384615384615385,1.3157894736842104,1,2
openstack/python-cloudkittyclient,openstack/ansible-role-lunasa-hsm,Non core,0.0,1.3157894736842104,1,2
openstack/python-cloudkittyclient,openstack/monasca-thresh,Core,4.597701149425287,1.7543859649122806,5,5
openstack/python-cloudkittyclient,openstack/monasca-thresh,Non core,1.1494252873563218,2.631578947368421,5,5
openstack/python-cloudkittyclient,openstack/heat-specs,Core,3.937007874015748,1.6194331983805668,8,10
openstack/python-cloudkittyclient,openstack/heat-specs,Non core,2.3622047244094486,2.42914979757085,8,10
openstack/python-cloudkittyclient,openstack/watcher-dashboard,Core,7.142857142857142,4.918032786885246,16,18
openstack/python-cloudkittyclient,openstack/watcher-dashboard,Non core,9.183673469387756,9.836065573770492,16,18
openstack/python-cloudkittyclient,openstack/sahara-plugin-ambari,Core,4.225352112676056,3.75,5,8
openstack/python-cloudkittyclient,openstack/sahara-plugin-ambari,Non core,2.8169014084507045,6.25,5,8
openstack/python-cloudkittyclient,openstack/sahara-plugin-mapr,Core,4.285714285714286,4.938271604938271,5,12
openstack/python-cloudkittyclient,openstack/sahara-plugin-mapr,Non core,2.857142857142857,9.876543209876543,5,12
openstack/python-cloudkittyclient,openstack/sahara-plugin-spark,Core,4.3478260869565215,3.8461538461538463,5,5
openstack/python-cloudkittyclient,openstack/sahara-plugin-spark,Non core,2.898550724637681,2.564102564102564,5,5
