projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-fuelclient,openstack/neutron-interconnection,Core,0.0,0.6329113924050633,0,1
openstack/python-fuelclient,openstack/neutron-interconnection,Non core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/openstack-chef-repo,Core,1.8181818181818181,0.5050505050505051,2,4
openstack/python-fuelclient,openstack/openstack-chef-repo,Non core,0.0,1.5151515151515151,2,4
openstack/python-fuelclient,openstack/os-acc,Core,0.0,0.6060606060606061,0,1
openstack/python-fuelclient,openstack/os-acc,Non core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/openstack-ansible-os_zaqar,Core,1.9047619047619049,0.5154639175257731,2,2
openstack/python-fuelclient,openstack/openstack-ansible-os_zaqar,Non core,0.0,0.5154639175257731,2,2
openstack/python-fuelclient,openstack/openstack-ansible-os_watcher,Core,2.0,0.5405405405405406,2,3
openstack/python-fuelclient,openstack/openstack-ansible-os_watcher,Non core,0.0,1.0810810810810811,2,3
openstack/python-fuelclient,openstack/openstack-ansible-os_searchlight,Core,1.0752688172043012,0.0,1,1
openstack/python-fuelclient,openstack/openstack-ansible-os_searchlight,Non core,0.0,0.5617977528089888,1,1
openstack/python-fuelclient,openstack/xstatic-angular-vis,Core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/xstatic-angular-vis,Non core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/xstatic-font-awesome,Core,1.3333333333333335,0.0,2,3
openstack/python-fuelclient,openstack/xstatic-font-awesome,Non core,1.3333333333333335,1.89873417721519,2,3
openstack/python-fuelclient,openstack/xstatic-jasmine,Core,1.2658227848101267,0.0,2,3
openstack/python-fuelclient,openstack/xstatic-jasmine,Non core,1.2658227848101267,1.875,2,3
openstack/python-fuelclient,openstack/xstatic-angular-notify,Core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/xstatic-angular-notify,Non core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/xstatic-angular-material,Core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/xstatic-angular-material,Non core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/tempest-tripleo-ui,Core,1.36986301369863,1.2658227848101267,1,2
openstack/python-fuelclient,openstack/tempest-tripleo-ui,Non core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/docs-specs,Core,2.608695652173913,0.28653295128939826,3,5
openstack/python-fuelclient,openstack/docs-specs,Non core,0.0,1.146131805157593,3,5
openstack/python-fuelclient,openstack/release-schedule-generator,Core,1.36986301369863,0.6578947368421052,1,2
openstack/python-fuelclient,openstack/release-schedule-generator,Non core,0.0,0.6578947368421052,1,2
openstack/python-fuelclient,openstack-infra/opendev-website,Core,1.4084507042253522,0.6535947712418301,1,1
openstack/python-fuelclient,openstack-infra/opendev-website,Non core,0.0,0.0,1,1
openstack/python-fuelclient,openstack/castellan-ui,Core,1.3333333333333335,0.6024096385542169,1,2
openstack/python-fuelclient,openstack/castellan-ui,Non core,0.0,0.6024096385542169,1,2
openstack/python-fuelclient,openstack-attic/compute-api,Core,2.1739130434782608,0.5494505494505495,2,2
openstack/python-fuelclient,openstack-attic/compute-api,Non core,0.0,0.5494505494505495,2,2
openstack/python-fuelclient,openstack/charm-neutron-api-odl,Core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/charm-neutron-api-odl,Non core,0.0,0.6329113924050633,0,1
openstack/python-fuelclient,openstack/charm-manila-glusterfs,Core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/charm-manila-glusterfs,Non core,0.0,0.0,0,0
openstack/python-fuelclient,openstack/charm-murano,Core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/charm-murano,Non core,0.0,0.6666666666666667,0,1
openstack/python-fuelclient,openstack/charm-openvswitch-odl,Core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/charm-openvswitch-odl,Non core,0.0,0.641025641025641,0,1
openstack/python-fuelclient,openstack/charm-interface-odl-controller-api,Core,1.36986301369863,0.0,1,1
openstack/python-fuelclient,openstack/charm-interface-odl-controller-api,Non core,0.0,0.6666666666666667,1,1
openstack/python-fuelclient,openstack/charm-glusterfs,Core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/charm-glusterfs,Non core,0.0,0.6451612903225806,0,1
openstack/python-fuelclient,openstack/charm-trove,Core,0.0,0.0,0,1
openstack/python-fuelclient,openstack/charm-trove,Non core,0.0,0.6493506493506493,0,1
openstack/python-fuelclient,openstack/deb-python-positional,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-positional,Non core,1.4084507042253522,1.342281879194631,1,2
openstack/python-fuelclient,openstack/deb-python-requests-unixsocket,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-requests-unixsocket,Non core,1.3888888888888888,1.3513513513513513,1,2
openstack/python-fuelclient,openstack/deb-python-traceback2,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-traceback2,Non core,1.4084507042253522,1.3513513513513513,1,2
openstack/python-fuelclient,openstack/deb-ryu,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-ryu,Non core,1.4084507042253522,1.3513513513513513,1,2
openstack/python-fuelclient,openstack/deb-python-linecache2,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-linecache2,Non core,1.4084507042253522,1.3513513513513513,1,2
openstack/python-fuelclient,openstack/deb-python-gabbi,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-gabbi,Non core,1.4084507042253522,1.3513513513513513,1,2
openstack/python-fuelclient,openstack/deb-python-cotyledon,Core,0.0,0.0,1,2
openstack/python-fuelclient,openstack/deb-python-cotyledon,Non core,1.4084507042253522,1.3513513513513513,1,2
