projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-masakariclient,openstack/python-vitrageclient,Core,5.952380952380952,3.571428571428571,14,9
openstack/python-masakariclient,openstack/python-vitrageclient,Non core,10.714285714285714,7.142857142857142,14,9
openstack/python-masakariclient,openstack/python-blazarclient,Core,8.536585365853659,7.142857142857142,15,19
openstack/python-masakariclient,openstack/python-blazarclient,Non core,9.75609756097561,9.821428571428571,15,19
openstack/python-masakariclient,openstack/zaqar-tempest-plugin,Core,5.555555555555555,4.10958904109589,3,6
openstack/python-masakariclient,openstack/zaqar-tempest-plugin,Non core,0.0,4.10958904109589,3,6
openstack/python-masakariclient,openstack/tripleo-common-tempest-plugin,Core,5.454545454545454,3.9473684210526314,6,11
openstack/python-masakariclient,openstack/tripleo-common-tempest-plugin,Non core,5.454545454545454,10.526315789473683,6,11
openstack/python-masakariclient,openstack/mistral-tempest-plugin,Core,4.838709677419355,3.75,6,9
openstack/python-masakariclient,openstack/mistral-tempest-plugin,Non core,4.838709677419355,7.5,6,9
openstack/python-masakariclient,openstack/barbican-ui,Core,2.272727272727273,3.125,1,2
openstack/python-masakariclient,openstack/barbican-ui,Non core,0.0,0.0,1,2
openstack/python-masakariclient,openstack/liberasurecode,Core,1.8181818181818181,1.4285714285714286,1,4
openstack/python-masakariclient,openstack/liberasurecode,Non core,0.0,4.285714285714286,1,4
openstack/python-masakariclient,openstack/ansible-plugin-container-connection,Core,0.0,0.0,0,0
openstack/python-masakariclient,openstack/ansible-plugin-container-connection,Non core,0.0,0.0,0,0
openstack/python-masakariclient,openstack/os-client-config,Core,5.357142857142857,2.666666666666667,11,10
openstack/python-masakariclient,openstack/os-client-config,Non core,4.464285714285714,4.0,11,10
openstack/python-masakariclient,openstack/monasca-specs,Core,3.7037037037037033,2.5,2,4
openstack/python-masakariclient,openstack/monasca-specs,Non core,0.0,2.5,2,4
openstack/python-masakariclient,openstack/os-performance-tools,Core,6.896551724137931,7.575757575757576,5,9
openstack/python-masakariclient,openstack/os-performance-tools,Non core,1.7241379310344827,6.0606060606060606,5,9
openstack/python-masakariclient,openstack/trove-specs,Core,5.063291139240507,1.5151515151515151,5,6
openstack/python-masakariclient,openstack/trove-specs,Non core,1.2658227848101267,3.0303030303030303,5,6
openstack/python-masakariclient,openstack/manila-image-elements,Core,6.0606060606060606,2.127659574468085,5,6
openstack/python-masakariclient,openstack/manila-image-elements,Non core,1.5151515151515151,4.25531914893617,5,6
openstack/python-masakariclient,openstack/blazar-specs,Core,6.122448979591836,5.714285714285714,4,5
openstack/python-masakariclient,openstack/blazar-specs,Non core,2.0408163265306123,1.4285714285714286,4,5
openstack/python-masakariclient,openstack/molteniron,Core,7.6923076923076925,4.054054054054054,4,6
openstack/python-masakariclient,openstack/molteniron,Non core,0.0,4.054054054054054,4,6
openstack/python-masakariclient,openstack/solum-specs,Core,7.4074074074074066,0.0,6,1
