projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-solumclient,openstack/solum-tempest-plugin,Core,4.411764705882353,4.054054054054054,5,7
openstack/python-solumclient,openstack/solum-tempest-plugin,Non core,2.941176470588235,5.405405405405405,5,7
openstack/python-solumclient,openstack/murano-tempest-plugin,Core,4.166666666666666,3.79746835443038,5,6
openstack/python-solumclient,openstack/murano-tempest-plugin,Non core,2.7777777777777777,3.79746835443038,5,6
openstack/python-solumclient,openstack/heat-translator,Core,10.76923076923077,4.2682926829268295,21,18
openstack/python-solumclient,openstack/heat-translator,Non core,5.384615384615385,6.707317073170732,21,18
openstack/python-solumclient,openstack/tosca-parser,Core,11.214953271028037,2.2556390977443606,18,16
openstack/python-solumclient,openstack/tosca-parser,Non core,5.607476635514018,9.774436090225564,18,16
openstack/python-solumclient,openstack/tacker-horizon,Core,8.91089108910891,2.7777777777777777,11,19
openstack/python-solumclient,openstack/tacker-horizon,Non core,1.9801980198019802,10.416666666666668,11,19
openstack/python-solumclient,openstack/ironic-python-agent-builder,Core,2.1052631578947367,2.4,4,10
openstack/python-solumclient,openstack/ironic-python-agent-builder,Non core,2.1052631578947367,5.6000000000000005,4,10
openstack/python-solumclient,openstack/ansible-role-systemd_networkd,Core,3.79746835443038,2.1052631578947367,5,5
openstack/python-solumclient,openstack/ansible-role-systemd_networkd,Non core,2.5316455696202533,3.1578947368421053,5,5
openstack/python-solumclient,openstack/ansible-role-systemd_service,Core,3.6585365853658534,1.0526315789473684,4,4
openstack/python-solumclient,openstack/ansible-role-systemd_service,Non core,1.2195121951219512,3.1578947368421053,4,4
openstack/python-solumclient,openstack/openstack-ansible-os_keystone,Core,4.827586206896552,2.7624309392265194,10,12
openstack/python-solumclient,openstack/openstack-ansible-os_keystone,Non core,2.0689655172413794,3.867403314917127,10,12
openstack/python-solumclient,openstack/ansible-role-chrony,Core,4.285714285714286,3.571428571428571,5,6
openstack/python-solumclient,openstack/ansible-role-chrony,Non core,2.857142857142857,3.571428571428571,5,6
openstack/python-solumclient,openstack/cloudkitty-tempest-plugin,Core,3.8461538461538463,3.296703296703297,5,8
openstack/python-solumclient,openstack/cloudkitty-tempest-plugin,Non core,2.564102564102564,5.4945054945054945,5,8
openstack/python-solumclient,openstack/oslo.config,Core,6.666666666666667,4.093567251461988,23,33
openstack/python-solumclient,openstack/oslo.config,Non core,4.285714285714286,5.555555555555555,23,33
openstack/python-solumclient,openstack/senlin-tempest-plugin,Core,5.128205128205128,5.208333333333334,6,10
openstack/python-solumclient,openstack/senlin-tempest-plugin,Non core,2.564102564102564,5.208333333333334,6,10
openstack/python-solumclient,openstack/heat-tempest-plugin,Core,4.938271604938271,3.7735849056603774,5,7
openstack/python-solumclient,openstack/heat-tempest-plugin,Non core,1.2345679012345678,2.8301886792452833,5,7
openstack/python-solumclient,openstack/freezer-tempest-plugin,Core,6.578947368421052,3.260869565217391,7,6
openstack/python-solumclient,openstack/freezer-tempest-plugin,Non core,2.631578947368421,3.260869565217391,7,6
openstack/python-solumclient,openstack/monasca-tempest-plugin,Core,4.651162790697675,3.0,5,8
openstack/python-solumclient,openstack/monasca-tempest-plugin,Non core,1.1627906976744187,5.0,5,8
openstack/python-solumclient,openstack/stackviz,Core,7.142857142857142,6.185567010309279,9,12
openstack/python-solumclient,openstack/stackviz,Non core,3.571428571428571,6.185567010309279,9,12
openstack/python-solumclient,openstack/kayobe-config-dev,Core,2.898550724637681,1.1904761904761905,3,2
openstack/python-solumclient,openstack/kayobe-config-dev,Non core,1.4492753623188406,1.1904761904761905,3,2
openstack/python-solumclient,openstack/pbr,Core,5.960264900662252,6.1946902654867255,16,24
openstack/python-solumclient,openstack/pbr,Non core,4.635761589403973,4.424778761061947,16,24
openstack/python-solumclient,openstack/oslo.cache,Core,9.482758620689655,4.66321243523316,16,20
openstack/python-solumclient,openstack/oslo.cache,Non core,4.310344827586207,5.699481865284974,16,20
openstack/python-solumclient,openstack/charm-ceph-rbd-mirror,Core,1.3157894736842104,1.1494252873563218,2,2
openstack/python-solumclient,openstack/charm-ceph-rbd-mirror,Non core,1.3157894736842104,1.1494252873563218,2,2
openstack/python-solumclient,openstack/ansible-config_template,Core,3.4482758620689653,0.8547008547008548,5,4
openstack/python-solumclient,openstack/ansible-config_template,Non core,2.2988505747126435,2.564102564102564,5,4
openstack/python-solumclient,openstack/designate-dashboard,Core,10.377358490566039,3.870967741935484,18,22
openstack/python-solumclient,openstack/designate-dashboard,Non core,6.60377358490566,10.32258064516129,18,22
openstack/python-solumclient,openstack/charm-interface-cinder-backend,Core,1.5151515151515151,1.3157894736842104,1,1
openstack/python-solumclient,openstack/charm-interface-cinder-backend,Non core,0.0,0.0,1,1
openstack/python-solumclient,openstack/cyborg-specs,Core,2.4390243902439024,3.418803418803419,3,7
openstack/python-solumclient,openstack/cyborg-specs,Non core,1.2195121951219512,2.564102564102564,3,7
openstack/python-solumclient,openstack/python-mistralclient,Core,9.933774834437086,6.341463414634147,23,27
openstack/python-solumclient,openstack/python-mistralclient,Non core,5.298013245033113,6.829268292682928,23,27
openstack/python-solumclient,openstack/ha-guide,Core,3.508771929824561,4.878048780487805,4,14
openstack/python-solumclient,openstack/ha-guide,Non core,0.0,3.6585365853658534,4,14
openstack/python-solumclient,openstack/watcher,Core,6.074766355140187,2.877697841726619,23,23
openstack/python-solumclient,openstack/watcher,Non core,4.672897196261682,5.39568345323741,23,23
openstack/python-solumclient,openstack/openstack-ansible-os_cloudkitty,Core,5.88235294117647,4.3478260869565215,8,9
openstack/python-solumclient,openstack/openstack-ansible-os_cloudkitty,Non core,1.9607843137254901,3.4782608695652173,8,9
openstack/python-solumclient,openstack/openstack-ansible-os_cinder,Core,4.026845637583892,3.35195530726257,8,15
openstack/python-solumclient,openstack/openstack-ansible-os_cinder,Non core,1.342281879194631,5.027932960893855,8,15
openstack/python-solumclient,openstack/openstack-health,Core,6.185567010309279,3.4965034965034967,9,15
openstack/python-solumclient,openstack/openstack-health,Non core,3.0927835051546393,6.993006993006993,9,15
openstack/python-solumclient,openstack/openstack-ansible-os_swift,Core,5.970149253731343,4.545454545454546,10,13
openstack/python-solumclient,openstack/openstack-ansible-os_swift,Non core,1.4925373134328357,3.896103896103896,10,13
openstack/python-solumclient,openstack/masakari-specs,Core,5.128205128205128,3.9215686274509802,5,9
openstack/python-solumclient,openstack/masakari-specs,Non core,1.282051282051282,4.901960784313726,5,9
openstack/python-solumclient,openstack/telemetry-specs,Core,6.086956521739131,3.3707865168539324,8,8
openstack/python-solumclient,openstack/telemetry-specs,Non core,0.8695652173913043,1.1235955056179776,8,8
