projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-troveclient,openstack/release-test,Core,3.9735099337748347,2.643171806167401,8,10
openstack/python-troveclient,openstack/release-test,Non core,1.3245033112582782,1.762114537444934,8,10
openstack/python-troveclient,openstack/charm-layer-openstack,Core,1.2269938650306749,0.411522633744856,2,4
openstack/python-troveclient,openstack/charm-layer-openstack,Non core,0.0,1.2345679012345678,2,4
openstack/python-troveclient,openstack/charm-layer-openstack-api,Core,1.3157894736842104,0.0,3,2
openstack/python-troveclient,openstack/charm-layer-openstack-api,Non core,0.6578947368421052,0.847457627118644,3,2
openstack/python-troveclient,openstack/cliff,Core,7.2727272727272725,7.5,23,46
openstack/python-troveclient,openstack/cliff,Non core,3.1818181818181817,5.277777777777778,23,46
openstack/python-troveclient,openstack/virtualbmc,Core,3.932584269662921,1.858736059479554,10,13
openstack/python-troveclient,openstack/virtualbmc,Non core,1.6853932584269662,2.973977695167286,10,13
openstack/python-troveclient,openstack/watcher-tempest-plugin,Core,2.4691358024691357,1.9607843137254901,8,13
openstack/python-troveclient,openstack/watcher-tempest-plugin,Non core,2.4691358024691357,3.1372549019607843,8,13
openstack/python-troveclient,openstack/charm-nova-cloud-controller,Core,2.1164021164021163,1.1194029850746268,6,9
openstack/python-troveclient,openstack/charm-nova-cloud-controller,Non core,1.0582010582010581,2.2388059701492535,6,9
openstack/python-troveclient,openstack/devstack-gate,Core,5.244755244755245,5.923344947735192,18,57
openstack/python-troveclient,openstack/devstack-gate,Non core,1.048951048951049,4.006968641114982,18,57
openstack/python-troveclient,openstack/ansible-role-pki,Core,0.684931506849315,0.0,1,0
openstack/python-troveclient,openstack/ansible-role-pki,Non core,0.0,0.0,1,0
openstack/python-troveclient,openstack/charm-masakari-monitors,Core,0.6369426751592357,0.42016806722689076,1,2
openstack/python-troveclient,openstack/charm-masakari-monitors,Non core,0.0,0.42016806722689076,1,2
openstack/python-troveclient,openstack/networking-baremetal,Core,4.166666666666666,3.4482758620689653,12,19
openstack/python-troveclient,openstack/networking-baremetal,Non core,2.976190476190476,3.8314176245210727,12,19
openstack/python-troveclient,openstack/reno,Core,7.567567567567568,7.857142857142857,17,31
openstack/python-troveclient,openstack/reno,Non core,1.6216216216216217,3.214285714285714,17,31
openstack/python-troveclient,openstack/project-team-guide,Core,7.936507936507936,7.183908045977011,17,41
openstack/python-troveclient,openstack/project-team-guide,Non core,1.0582010582010581,4.597701149425287,17,41
openstack/python-troveclient,openstack/ui-cookiecutter,Core,4.054054054054054,2.083333333333333,8,10
openstack/python-troveclient,openstack/ui-cookiecutter,Non core,1.3513513513513513,2.083333333333333,8,10
openstack/python-troveclient,openstack/networking-odl,Core,4.797047970479705,5.032822757111598,18,51
openstack/python-troveclient,openstack/networking-odl,Non core,1.8450184501845017,6.12691466083151,18,51
openstack/python-troveclient,openstack/monasca-agent,Core,3.8834951456310676,2.6548672566371683,21,34
openstack/python-troveclient,openstack/monasca-agent,Non core,2.912621359223301,4.867256637168142,21,34
openstack/python-troveclient,openstack/shade,Core,4.782608695652174,4.788732394366197,19,31
openstack/python-troveclient,openstack/shade,Non core,3.4782608695652173,3.943661971830986,19,31
openstack/python-troveclient,openstack/python-freezerclient,Core,4.4692737430167595,3.3333333333333335,16,24
openstack/python-troveclient,openstack/python-freezerclient,Non core,4.4692737430167595,5.555555555555555,16,24
openstack/python-troveclient,openstack/js-openstack-lib,Core,1.9736842105263157,2.0408163265306123,4,7
openstack/python-troveclient,openstack/js-openstack-lib,Non core,0.6578947368421052,0.8163265306122449,4,7
openstack/python-troveclient,openstack/rally,Core,3.5269709543568464,4.141104294478527,33,62
openstack/python-troveclient,openstack/rally,Non core,3.319502074688797,5.368098159509203,33,62
openstack/python-troveclient,openstack/cinder-specs,Core,3.076923076923077,3.4693877551020407,11,32
openstack/python-troveclient,openstack/cinder-specs,Non core,1.153846153846154,3.061224489795918,11,32
openstack/python-troveclient,openstack/reviewday,Core,1.8404907975460123,2.380952380952381,3,8
openstack/python-troveclient,openstack/reviewday,Non core,0.0,0.7936507936507936,3,8
openstack/python-troveclient,openstack/freezer-api,Core,7.729468599033816,2.6936026936026933,22,30
