projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-venusclient,openstack/ansible-role-container-registry,Core,0.0,1.6666666666666667,0,2
openstack/python-venusclient,openstack/ansible-role-container-registry,Non core,0.0,1.6666666666666667,0,2
openstack/python-venusclient,openstack/puppet-ovn,Core,0.0,0.0,0,1
openstack/python-venusclient,openstack/puppet-ovn,Non core,0.0,1.5625,0,1
openstack/python-venusclient,openstack/charm-rabbitmq-server,Core,0.0,0.0,0,1
openstack/python-venusclient,openstack/charm-rabbitmq-server,Non core,0.0,1.5625,0,1
openstack/python-venusclient,openstack/senlin,Core,0.0,0.8771929824561403,3,4
openstack/python-venusclient,openstack/senlin,Non core,1.6304347826086956,0.8771929824561403,3,4
openstack/python-venusclient,openstack/python-designateclient,Core,0.0,1.5625,2,4
openstack/python-venusclient,openstack/python-designateclient,Non core,1.9230769230769231,1.5625,2,4
openstack/python-venusclient,openstack/puppet-horizon,Core,0.0,0.5882352941176471,0,1
openstack/python-venusclient,openstack/puppet-horizon,Non core,0.0,0.0,0,1
openstack/python-venusclient,openstack/openstack-ansible-lxc_hosts,Core,0.0,1.8018018018018018,1,4
openstack/python-venusclient,openstack/openstack-ansible-lxc_hosts,Non core,1.2987012987012987,1.8018018018018018,1,4
openstack/python-venusclient,openstack/keystone-tempest-plugin,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/keystone-tempest-plugin,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/python-barbicanclient,Core,0.847457627118644,0.0,1,2
openstack/python-venusclient,openstack/python-barbicanclient,Non core,0.0,1.1111111111111112,1,2
openstack/python-venusclient,openstack/openstack-ansible-os_ironic,Core,0.0,1.8691588785046727,1,3
openstack/python-venusclient,openstack/openstack-ansible-os_ironic,Non core,1.1904761904761905,0.9345794392523363,1,3
openstack/python-venusclient,openstack/charm-trilio-wlm,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-trilio-wlm,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-trilio-horizon-plugin,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-trilio-horizon-plugin,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/openstack-ansible-os_barbican,Core,0.0,1.1494252873563218,1,2
openstack/python-venusclient,openstack/openstack-ansible-os_barbican,Non core,1.5151515151515151,1.1494252873563218,1,2
openstack/python-venusclient,openstack/skyline-apiserver,Core,0.0,0.0,0,3
openstack/python-venusclient,openstack/skyline-apiserver,Non core,0.0,10.0,0,3
openstack/python-venusclient,openstack/oslo.policy,Core,0.8928571428571428,1.0471204188481675,2,4
openstack/python-venusclient,openstack/oslo.policy,Non core,0.8928571428571428,1.0471204188481675,2,4
openstack/python-venusclient,openstack/openstack-ansible-tests,Core,0.0,1.694915254237288,2,2
openstack/python-venusclient,openstack/openstack-ansible-tests,Non core,2.4390243902439024,0.0,2,2
openstack/python-venusclient,openstack/openstack-ansible-os_rally,Core,0.0,0.0,1,1
openstack/python-venusclient,openstack/openstack-ansible-os_rally,Non core,1.7543859649122806,1.282051282051282,1,1
openstack/python-venusclient,openstack/openstack-ansible-rabbitmq_server,Core,0.0,1.0,1,2
openstack/python-venusclient,openstack/openstack-ansible-rabbitmq_server,Non core,1.4285714285714286,1.0,1,2
openstack/python-venusclient,openstack/openstack-ansible-os_horizon,Core,0.0,0.7633587786259541,2,2
openstack/python-venusclient,openstack/openstack-ansible-os_horizon,Non core,1.9047619047619049,0.7633587786259541,2,2
openstack/python-venusclient,openstack/heat-dashboard,Core,0.0,2.5974025974025974,2,4
openstack/python-venusclient,openstack/heat-dashboard,Non core,4.166666666666666,2.5974025974025974,2,4
openstack/python-venusclient,openstack/oslo.log,Core,0.7462686567164178,0.4694835680751174,2,3
openstack/python-venusclient,openstack/oslo.log,Non core,0.7462686567164178,0.9389671361502347,2,3
openstack/python-venusclient,openstack/charm-ceph-dashboard,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-ceph-dashboard,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/openstack-ansible-lxc_container_create,Core,0.0,1.098901098901099,1,3
openstack/python-venusclient,openstack/openstack-ansible-lxc_container_create,Non core,1.4285714285714286,2.197802197802198,1,3
openstack/python-venusclient,openstack/openstack-ansible-ops,Core,0.0,0.0,1,1
openstack/python-venusclient,openstack/openstack-ansible-ops,Non core,1.0,0.9174311926605505,1,1
openstack/python-venusclient,openstack/openstack-ansible-os_sahara,Core,0.0,2.247191011235955,1,3
openstack/python-venusclient,openstack/openstack-ansible-os_sahara,Non core,1.5625,1.1235955056179776,1,3
openstack/python-venusclient,openstack/python-glanceclient,Core,0.39370078740157477,0.4629629629629629,2,4
openstack/python-venusclient,openstack/python-glanceclient,Non core,0.39370078740157477,0.4629629629629629,2,4
openstack/python-venusclient,openstack/charm-vault,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-vault,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/puppet-glance,Core,0.0,1.0,0,3
openstack/python-venusclient,openstack/puppet-glance,Non core,0.0,0.5,0,3
openstack/python-venusclient,openstack/ironic-tempest-plugin,Core,1.8181818181818181,2.3255813953488373,3,3
openstack/python-venusclient,openstack/ironic-tempest-plugin,Non core,3.6363636363636362,1.1627906976744187,3,3
openstack/python-venusclient,openstack/oslo.utils,Core,0.7692307692307693,0.966183574879227,3,4
openstack/python-venusclient,openstack/oslo.utils,Non core,1.5384615384615385,0.966183574879227,3,4
openstack/python-venusclient,openstack/charm-mysql-innodb-cluster,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-mysql-innodb-cluster,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-trilio-dm-api,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-trilio-dm-api,Non core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-cinder-lvm,Core,0.0,0.0,0,0
openstack/python-venusclient,openstack/charm-cinder-lvm,Non core,0.0,0.0,0,0
