projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/python-zunclient,openstack/sahara-plugin-cdh,Core,4.3478260869565215,3.3333333333333335,7,8
openstack/python-zunclient,openstack/sahara-plugin-cdh,Non core,3.260869565217391,3.3333333333333335,7,8
openstack/python-zunclient,openstack/monasca-ui,Core,6.122448979591836,3.65296803652968,16,18
openstack/python-zunclient,openstack/monasca-ui,Non core,4.761904761904762,4.5662100456621,16,18
openstack/python-zunclient,openstack/python-adjutantclient,Core,5.434782608695652,3.571428571428571,6,7
openstack/python-zunclient,openstack/python-adjutantclient,Non core,1.0869565217391304,2.6785714285714284,6,7
openstack/python-zunclient,openstack/charm-ceph-nfs,Core,0.0,0.0,0,0
openstack/python-zunclient,openstack/charm-ceph-nfs,Non core,0.0,0.0,0,0
openstack/python-zunclient,openstack/ansible-role-lunasa-hsm,Core,1.1494252873563218,0.0,1,1
openstack/python-zunclient,openstack/ansible-role-lunasa-hsm,Non core,0.0,0.9090909090909091,1,1
openstack/python-zunclient,openstack/monasca-thresh,Core,1.8181818181818181,1.3513513513513513,4,4
openstack/python-zunclient,openstack/monasca-thresh,Non core,1.8181818181818181,1.3513513513513513,4,4
openstack/python-zunclient,openstack/heat-specs,Core,4.72972972972973,3.985507246376811,9,14
openstack/python-zunclient,openstack/heat-specs,Non core,1.3513513513513513,1.0869565217391304,9,14
openstack/python-zunclient,openstack/watcher-dashboard,Core,7.82608695652174,4.430379746835443,21,15
openstack/python-zunclient,openstack/watcher-dashboard,Non core,10.434782608695652,5.063291139240507,21,15
openstack/python-zunclient,openstack/sahara-plugin-ambari,Core,4.395604395604396,2.631578947368421,7,7
openstack/python-zunclient,openstack/sahara-plugin-ambari,Non core,3.296703296703297,3.508771929824561,7,7
openstack/python-zunclient,openstack/sahara-plugin-mapr,Core,4.444444444444445,2.5210084033613445,7,7
openstack/python-zunclient,openstack/sahara-plugin-mapr,Non core,3.3333333333333335,3.361344537815126,7,7
openstack/python-zunclient,openstack/sahara-plugin-spark,Core,4.49438202247191,2.7027027027027026,7,5
openstack/python-zunclient,openstack/sahara-plugin-spark,Non core,3.3707865168539324,1.8018018018018018,7,5
openstack/python-zunclient,openstack/sahara-plugin-storm,Core,4.49438202247191,2.7027027027027026,7,6
openstack/python-zunclient,openstack/sahara-plugin-storm,Non core,3.3707865168539324,2.7027027027027026,7,6
openstack/python-zunclient,openstack/sahara-plugin-vanilla,Core,4.49438202247191,2.631578947368421,7,5
openstack/python-zunclient,openstack/sahara-plugin-vanilla,Non core,3.3707865168539324,1.7543859649122806,7,5
openstack/python-zunclient,openstack/sahara-specs,Core,2.2388059701492535,1.7142857142857144,3,4
openstack/python-zunclient,openstack/sahara-specs,Non core,0.0,0.5714285714285714,3,4
openstack/python-zunclient,openstack/venus-tempest-plugin,Core,0.0,0.9009009009009009,0,1
openstack/python-zunclient,openstack/venus-tempest-plugin,Non core,0.0,0.0,0,1
openstack/python-zunclient,openstack/venus-specs,Core,0.0,0.0,0,0
openstack/python-zunclient,openstack/venus-specs,Non core,0.0,0.0,0,0
openstack/python-zunclient,openstack/ceilometermiddleware,Core,6.956521739130435,2.3529411764705883,11,10
openstack/python-zunclient,openstack/ceilometermiddleware,Non core,2.608695652173913,3.5294117647058822,11,10
openstack/python-zunclient,openstack/trove-tempest-plugin,Core,4.3478260869565215,2.272727272727273,8,4
openstack/python-zunclient,openstack/trove-tempest-plugin,Non core,4.3478260869565215,0.7575757575757576,8,4
openstack/python-zunclient,openstack/arch-design,Core,2.197802197802198,0.9090909090909091,3,2
openstack/python-zunclient,openstack/arch-design,Non core,1.098901098901099,0.9090909090909091,3,2
openstack/python-zunclient,openstack/monasca-common,Core,6.8493150684931505,4.081632653061225,15,18
openstack/python-zunclient,openstack/monasca-common,Non core,3.4246575342465753,5.1020408163265305,15,18
openstack/python-zunclient,openstack/monasca-statsd,Core,8.181818181818182,3.3112582781456954,16,12
openstack/python-zunclient,openstack/monasca-statsd,Non core,6.363636363636363,4.635761589403973,16,12
openstack/python-zunclient,openstack/python-monascaclient,Core,5.921052631578947,3.8095238095238098,23,14
openstack/python-zunclient,openstack/python-monascaclient,Non core,9.210526315789473,2.857142857142857,23,14
openstack/python-zunclient,openstack/renderspec,Core,5.208333333333334,2.34375,14,6
openstack/python-zunclient,openstack/renderspec,Non core,9.375,2.34375,14,6
openstack/python-zunclient,openstack/os-service-types,Core,6.382978723404255,2.2222222222222223,14,6
openstack/python-zunclient,openstack/os-service-types,Non core,8.51063829787234,2.2222222222222223,14,6
openstack/python-zunclient,openstack/masakari-dashboard,Core,4.901960784313726,4.195804195804196,11,11
openstack/python-zunclient,openstack/masakari-dashboard,Non core,5.88235294117647,3.4965034965034967,11,11
openstack/python-zunclient,openstack/freezer-dr,Core,5.0,3.731343283582089,11,10
openstack/python-zunclient,openstack/freezer-dr,Non core,6.0,3.731343283582089,11,10
openstack/python-zunclient,openstack/tempest-stress,Core,4.166666666666666,2.564102564102564,10,6
openstack/python-zunclient,openstack/tempest-stress,Non core,6.25,2.564102564102564,10,6
openstack/python-zunclient,openstack/charm-neutron-api-genericswitch,Core,2.2988505747126435,0.9090909090909091,3,1
openstack/python-zunclient,openstack/charm-neutron-api-genericswitch,Non core,1.1494252873563218,0.0,3,1
openstack/python-zunclient,openstack/charm-neutron-dynamic-routing,Core,3.061224489795918,1.6666666666666667,4,4
openstack/python-zunclient,openstack/charm-neutron-dynamic-routing,Non core,1.0204081632653061,1.6666666666666667,4,4
openstack/python-zunclient,openstack/charm-interface-ceph-client,Core,2.1739130434782608,0.8695652173913043,2,2
openstack/python-zunclient,openstack/charm-interface-ceph-client,Non core,0.0,0.8695652173913043,2,2
