projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/qa-specs,openstack/zaqar-specs,Core,5.0,2.9940119760479043,6,11
openstack/qa-specs,openstack/zaqar-specs,Non core,2.5,3.592814371257485,6,11
openstack/qa-specs,openstack/swift-bench,Core,1.4925373134328357,2.083333333333333,1,6
openstack/qa-specs,openstack/swift-bench,Non core,0.0,2.083333333333333,1,6
openstack/qa-specs,openstack/whereto,Core,4.838709677419355,2.307692307692308,5,5
openstack/qa-specs,openstack/whereto,Non core,3.225806451612903,1.5384615384615385,5,5
openstack/qa-specs,openstack/murano-specs,Core,5.88235294117647,1.1904761904761905,7,7
openstack/qa-specs,openstack/murano-specs,Non core,2.3529411764705883,2.976190476190476,7,7
openstack/qa-specs,openstack/ansible-role-tripleo-modify-image,Core,6.8493150684931505,2.366863905325444,6,7
openstack/qa-specs,openstack/ansible-role-tripleo-modify-image,Non core,1.36986301369863,1.7751479289940828,6,7
openstack/qa-specs,openstack/requestsexceptions,Core,3.6363636363636362,1.6129032258064515,2,6
openstack/qa-specs,openstack/requestsexceptions,Non core,0.0,3.225806451612903,2,6
openstack/qa-specs,openstack/panko,Core,4.3478260869565215,2.9268292682926833,7,10
openstack/qa-specs,openstack/panko,Non core,1.7391304347826086,1.951219512195122,7,10
openstack/qa-specs,openstack/api-sig,Core,4.3478260869565215,4.98220640569395,9,27
openstack/qa-specs,openstack/api-sig,Non core,5.434782608695652,4.6263345195729535,9,27
openstack/qa-specs,openstack/openstack-chef-specs,Core,4.545454545454546,2.112676056338028,7,6
openstack/qa-specs,openstack/openstack-chef-specs,Non core,6.0606060606060606,2.112676056338028,7,6
openstack/qa-specs,openstack/freezer-specs,Core,6.0606060606060606,2.2222222222222223,5,5
openstack/qa-specs,openstack/freezer-specs,Non core,1.5151515151515151,1.4814814814814816,5,5
openstack/qa-specs,openstack/oslo.tools,Core,8.108108108108109,2.2388059701492535,8,8
openstack/qa-specs,openstack/oslo.tools,Non core,2.7027027027027026,3.731343283582089,8,8
openstack/qa-specs,openstack/microversion-parse,Core,3.6363636363636362,4.098360655737705,4,6
openstack/qa-specs,openstack/microversion-parse,Non core,3.6363636363636362,0.819672131147541,4,6
openstack/qa-specs,openstack/openstackclient,Core,7.462686567164178,3.546099290780142,7,7
openstack/qa-specs,openstack/openstackclient,Non core,2.9850746268656714,1.4184397163120568,7,7
openstack/qa-specs,openstack/ossa,Core,2.9850746268656714,3.6363636363636362,4,9
openstack/qa-specs,openstack/ossa,Non core,2.9850746268656714,1.8181818181818181,4,9
openstack/qa-specs,openstack/reviewstats,Core,6.837606837606838,6.5420560747663545,10,20
openstack/qa-specs,openstack/reviewstats,Non core,1.7094017094017095,2.803738317757009,10,20
openstack/qa-specs,openstack/oslo-cookiecutter,Core,5.970149253731343,2.158273381294964,5,6
openstack/qa-specs,openstack/oslo-cookiecutter,Non core,1.4925373134328357,2.158273381294964,5,6
openstack/qa-specs,openstack/openstack-helm-deployments,Core,0.0,0.7407407407407408,0,2
openstack/qa-specs,openstack/openstack-helm-deployments,Non core,0.0,0.7407407407407408,0,2
openstack/qa-specs,openstack/security-analysis,Core,3.6363636363636362,2.272727272727273,3,5
openstack/qa-specs,openstack/security-analysis,Non core,1.8181818181818181,1.5151515151515151,3,5
openstack/qa-specs,openstack/charm-cinder-ibm-storwize-svc,Core,0.0,0.0,0,0
openstack/qa-specs,openstack/charm-cinder-ibm-storwize-svc,Non core,0.0,0.0,0,0
openstack/qa-specs,openstack/ansible-role-tripleo-keystone,Core,3.7735849056603774,0.8547008547008548,3,1
openstack/qa-specs,openstack/ansible-role-tripleo-keystone,Non core,1.8867924528301887,0.0,3,1
openstack/qa-specs,openstack/openstack-ansible-apt_package_pinning,Core,5.0,0.6666666666666667,6,6
openstack/qa-specs,openstack/openstack-ansible-apt_package_pinning,Non core,2.5,3.3333333333333335,6,6
openstack/qa-specs,openstack/ansible-role-qdrouterd,Core,3.4482758620689653,1.4388489208633095,4,4
openstack/qa-specs,openstack/ansible-role-qdrouterd,Non core,3.4482758620689653,1.4388489208633095,4,4
openstack/qa-specs,openstack/openstack-ansible-openstack_openrc,Core,4.444444444444445,0.628930817610063,7,6
openstack/qa-specs,openstack/openstack-ansible-openstack_openrc,Non core,3.3333333333333335,3.1446540880503147,7,6
openstack/qa-specs,openstack/openstack-ansible-nspawn_container_create,Core,4.545454545454546,1.4285714285714286,5,5
openstack/qa-specs,openstack/openstack-ansible-nspawn_container_create,Non core,3.0303030303030303,2.142857142857143,5,5
openstack/qa-specs,openstack/devstack-tools,Core,8.47457627118644,5.88235294117647,8,11
openstack/qa-specs,openstack/devstack-tools,Non core,5.084745762711865,3.361344537815126,8,11
openstack/qa-specs,openstack/coverage2sql,Core,10.76923076923077,5.737704918032787,9,11
openstack/qa-specs,openstack/coverage2sql,Non core,3.076923076923077,3.278688524590164,9,11
openstack/qa-specs,openstack/bashate,Core,8.98876404494382,6.535947712418301,10,15
openstack/qa-specs,openstack/bashate,Non core,2.247191011235955,3.2679738562091507,10,15
openstack/qa-specs,openstack/hacking,Core,7.03125,7.851239669421488,9,27
openstack/qa-specs,openstack/hacking,Non core,0.0,3.3057851239669422,9,27
openstack/qa-specs,openstack/xstatic-mdi,Core,1.8181818181818181,0.819672131147541,1,3
