projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/sahara,openstack/ironic-ui,Core,4.934210526315789,2.112676056338028,24,19
openstack/sahara,openstack/ironic-ui,Non core,2.9605263157894735,2.3474178403755865,24,19
openstack/sahara,openstack/oslo.serialization,Core,5.863192182410423,4.750593824228028,29,40
openstack/sahara,openstack/oslo.serialization,Non core,3.5830618892508146,4.750593824228028,29,40
openstack/sahara,openstack/oslo.context,Core,4.318936877076411,4.0,25,39
openstack/sahara,openstack/oslo.context,Non core,3.9867109634551494,5.176470588235294,25,39
openstack/sahara,openstack/oslo.limit,Core,2.422145328719723,3.0848329048843186,14,22
openstack/sahara,openstack/oslo.limit,Non core,2.422145328719723,2.570694087403599,14,22
openstack/sahara,openstack/oslo.middleware,Core,4.672897196261682,5.542725173210162,30,54
openstack/sahara,openstack/oslo.middleware,Non core,4.672897196261682,6.928406466512701,30,54
openstack/sahara,openstack/oslo.reports,Core,3.389830508474576,3.6855036855036856,18,37
openstack/sahara,openstack/oslo.reports,Non core,2.711864406779661,5.405405405405405,18,37
openstack/sahara,openstack/futurist,Core,3.4013605442176873,3.258145363408521,19,27
openstack/sahara,openstack/futurist,Non core,3.061224489795918,3.508771929824561,19,27
openstack/sahara,openstack/oslo.i18n,Core,4.9504950495049505,5.011933174224343,27,46
openstack/sahara,openstack/oslo.i18n,Non core,3.9603960396039604,5.966587112171838,27,46
openstack/sahara,openstack/sushy-oem-idrac,Core,0.0,0.5181347150259068,0,2
openstack/sahara,openstack/sushy-oem-idrac,Non core,0.0,0.0,0,2
openstack/sahara,openstack/python-dracclient,Core,1.3289036544850499,0.9592326139088728,7,15
openstack/sahara,openstack/python-dracclient,Non core,0.9966777408637874,2.6378896882494005,7,15
openstack/sahara,openstack/openstack-ansible-os_adjutant,Core,0.36363636363636365,0.267379679144385,1,1
openstack/sahara,openstack/openstack-ansible-os_adjutant,Non core,0.0,0.0,1,1
openstack/sahara,openstack/openstack-ansible-os_masakari,Core,2.768166089965398,2.5380710659898478,13,21
openstack/sahara,openstack/openstack-ansible-os_masakari,Non core,1.7301038062283738,2.7918781725888326,13,21
openstack/sahara,openstack/ansible-role-systemd_mount,Core,2.1505376344086025,1.58311345646438,10,11
openstack/sahara,openstack/ansible-role-systemd_mount,Non core,1.4336917562724014,1.3192612137203166,10,11
openstack/sahara,openstack/python-senlinclient,Core,4.9079754601226995,3.009259259259259,35,38
openstack/sahara,openstack/python-senlinclient,Non core,5.828220858895705,5.787037037037037,35,38
openstack/sahara,openstack/senlin-dashboard,Core,4.333333333333334,3.8461538461538463,26,39
openstack/sahara,openstack/senlin-dashboard,Non core,4.333333333333334,5.528846153846153,26,39
openstack/sahara,openstack/networking-generic-switch,Core,2.5,2.863961813842482,13,24
openstack/sahara,openstack/networking-generic-switch,Non core,1.5625,2.863961813842482,13,24
openstack/sahara,openstack/sahara-image-elements,Core,7.553956834532374,4.473684210526316,58,69
openstack/sahara,openstack/sahara-image-elements,Non core,13.309352517985612,13.684210526315791,58,69
openstack/sahara,openstack/ansible-role-thales-hsm,Core,0.0,1.0666666666666667,1,5
openstack/sahara,openstack/ansible-role-thales-hsm,Non core,0.3663003663003663,0.26666666666666666,1,5
openstack/sahara,openstack/ansible-role-atos-hsm,Core,0.0,1.6172506738544474,1,7
openstack/sahara,openstack/ansible-role-atos-hsm,Non core,0.3676470588235294,0.2695417789757413,1,7
openstack/sahara,openstack/adjutant-ui,Core,1.444043321299639,1.0666666666666667,4,8
openstack/sahara,openstack/adjutant-ui,Non core,0.0,1.0666666666666667,4,8
openstack/sahara,openstack/sahara-extra,Core,4.676258992805756,5.149051490514905,33,52
openstack/sahara,openstack/sahara-extra,Non core,7.194244604316546,8.94308943089431,33,52
openstack/sahara,openstack/blazar-nova,Core,3.5211267605633805,3.5443037974683547,18,27
openstack/sahara,openstack/blazar-nova,Non core,2.8169014084507045,3.2911392405063293,18,27
openstack/sahara,openstack/oslo.service,Core,4.804804804804805,5.240174672489083,29,49
openstack/sahara,openstack/oslo.service,Non core,3.903903903903904,5.458515283842795,29,49
openstack/sahara,openstack/blazar-dashboard,Core,1.76678445229682,2.5380710659898478,11,23
openstack/sahara,openstack/blazar-dashboard,Non core,2.1201413427561837,3.2994923857868024,11,23
openstack/sahara,openstack/paunch,Core,3.9735099337748347,3.5955056179775284,16,29
openstack/sahara,openstack/paunch,Non core,1.3245033112582782,2.9213483146067416,16,29
openstack/sahara,openstack/service-types-authority,Core,2.4822695035460995,4.878048780487805,9,21
openstack/sahara,openstack/service-types-authority,Non core,0.7092198581560284,0.24390243902439024,9,21
openstack/sahara,openstack/python-ironic-inspector-client,Core,4.026845637583892,2.3980815347721824,20,31
openstack/sahara,openstack/python-ironic-inspector-client,Non core,2.684563758389262,5.0359712230215825,20,31
openstack/sahara,openstack/openstack-ansible-memcached_server,Core,4.040404040404041,1.477832512315271,20,19
openstack/sahara,openstack/openstack-ansible-memcached_server,Non core,2.6936026936026933,3.201970443349754,20,19
openstack/sahara,openstack/os-testr,Core,3.642384105960265,4.07673860911271,17,32
openstack/sahara,openstack/os-testr,Non core,1.9867549668874174,3.597122302158273,17,32
openstack/sahara,openstack/openstack-ansible-ceph_client,Core,3.9603960396039604,1.9184652278177456,19,20
openstack/sahara,openstack/openstack-ansible-ceph_client,Non core,2.31023102310231,2.877697841726619,19,20
openstack/sahara,openstack/openstack-ansible-os_magnum,Core,3.908794788273615,2.3529411764705883,19,20
openstack/sahara,openstack/openstack-ansible-os_magnum,Non core,2.2801302931596092,2.3529411764705883,19,20
openstack/sahara,openstack/openstack-ansible-os_blazar,Core,2.430555555555556,2.3017902813299234,12,17
openstack/sahara,openstack/openstack-ansible-os_blazar,Non core,1.7361111111111112,2.0460358056265986,12,17
openstack/sahara,openstack/openstack-ansible-os_designate,Core,4.193548387096775,2.576112412177986,21,25
openstack/sahara,openstack/openstack-ansible-os_designate,Non core,2.5806451612903225,3.278688524590164,21,25
openstack/sahara,openstack/openstack-ansible-os_gnocchi,Core,3.536977491961415,2.657004830917874,18,22
openstack/sahara,openstack/openstack-ansible-os_gnocchi,Non core,2.2508038585209005,2.657004830917874,18,22
openstack/sahara,openstack/openstack-ansible-os_senlin,Core,0.3663003663003663,0.2680965147453083,1,3
openstack/sahara,openstack/openstack-ansible-os_senlin,Non core,0.0,0.5361930294906166,1,3
openstack/sahara,openstack/ptgbot,Core,3.260869565217391,3.9893617021276597,9,17
openstack/sahara,openstack/ptgbot,Non core,0.0,0.5319148936170213,9,17
openstack/sahara,openstack/openstack-ansible-os_zun,Core,3.169014084507042,2.0618556701030926,15,16
openstack/sahara,openstack/openstack-ansible-os_zun,Non core,2.112676056338028,2.0618556701030926,15,16
openstack/sahara,openstack/openstack-ansible-repo_server,Core,3.5830618892508146,2.8503562945368173,20,21
openstack/sahara,openstack/openstack-ansible-repo_server,Non core,2.9315960912052117,2.137767220902613,20,21
openstack/sahara,openstack/python-watcherclient,Core,4.968944099378882,2.8503562945368173,32,26
openstack/sahara,openstack/python-watcherclient,Non core,4.968944099378882,3.32541567695962,32,26
openstack/sahara,openstack/heat-agents,Core,2.7027027027027026,2.843601895734597,12,30
openstack/sahara,openstack/heat-agents,Non core,1.3513513513513513,4.265402843601896,12,30
openstack/sahara,openstack/oslo.rootwrap,Core,5.7324840764331215,5.287356321839081,29,48
openstack/sahara,openstack/oslo.rootwrap,Non core,3.5031847133757963,5.747126436781609,29,48
openstack/sahara,openstack/automaton,Core,2.8268551236749118,2.051282051282051,19,19
openstack/sahara,openstack/automaton,Non core,3.8869257950530036,2.8205128205128207,19,19
openstack/sahara,openstack/debtcollector,Core,4.844290657439446,3.6363636363636362,25,23
openstack/sahara,openstack/debtcollector,Non core,3.8062283737024223,2.3376623376623376,25,23
openstack/sahara,openstack/vitrage-dashboard,Core,3.1948881789137378,0.9569377990430622,24,16
openstack/sahara,openstack/vitrage-dashboard,Non core,4.472843450479233,2.8708133971291865,24,16
openstack/sahara,openstack/oslotest,Core,5.647840531561462,4.578313253012048,30,39
openstack/sahara,openstack/oslotest,Non core,4.318936877076411,4.819277108433735,30,39
openstack/sahara,openstack/kayobe-config,Core,0.7220216606498195,0.2688172043010753,4,1
openstack/sahara,openstack/kayobe-config,Non core,0.7220216606498195,0.0,4,1
