projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/salt-formula-heat,openstack/salt-formula-glance,Core,20.833333333333336,31.25,17,10
openstack/salt-formula-heat,openstack/salt-formula-glance,Non core,50.0,31.25,17,10
openstack/salt-formula-heat,openstack/salt-formula-cinder,Core,21.73913043478261,38.46153846153847,17,10
openstack/salt-formula-heat,openstack/salt-formula-cinder,Non core,52.17391304347826,38.46153846153847,17,10
openstack/salt-formula-heat,openstack/salt-formula-ceilometer,Core,13.043478260869565,31.25,9,9
openstack/salt-formula-heat,openstack/salt-formula-ceilometer,Non core,26.08695652173913,25.0,9,9
openstack/salt-formula-heat,openstack/deb-python-pygit2,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-pygit2,Non core,4.761904761904762,16.666666666666664,1,2
openstack/salt-formula-heat,openstack/deb-libisal,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-libisal,Non core,4.761904761904762,16.666666666666664,1,2
openstack/salt-formula-heat,openstack/deb-python-xvfbwrapper,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-xvfbwrapper,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-testresources,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-testresources,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-python-django-compressor,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-django-compressor,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-python-sqlalchemy-utils,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-sqlalchemy-utils,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-python-pykmip,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-pykmip,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-python-xstatic-jquery,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-xstatic-jquery,Non core,4.545454545454546,15.384615384615385,1,2
openstack/salt-formula-heat,openstack/deb-python-coffin,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-coffin,Non core,4.545454545454546,14.285714285714285,1,2
openstack/salt-formula-heat,openstack/deb-python-txaio,Core,0.0,0.0,1,2
openstack/salt-formula-heat,openstack/deb-python-txaio,Non core,4.545454545454546,15.384615384615385,1,2
