projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/salt-formula-keystone,openstack/salt-formula-horizon,Core,18.181818181818183,33.33333333333333,11,10
openstack/salt-formula-keystone,openstack/salt-formula-horizon,Non core,31.818181818181817,33.33333333333333,11,10
openstack/salt-formula-keystone,openstack/salt-formula-heat,Core,22.727272727272727,33.33333333333333,18,11
openstack/salt-formula-keystone,openstack/salt-formula-heat,Non core,59.09090909090909,40.0,18,11
openstack/salt-formula-keystone,openstack/salt-formula-glance,Core,21.73913043478261,29.411764705882355,16,11
openstack/salt-formula-keystone,openstack/salt-formula-glance,Non core,47.82608695652174,35.294117647058826,16,11
openstack/salt-formula-keystone,openstack/salt-formula-cinder,Core,22.727272727272727,33.33333333333333,16,10
openstack/salt-formula-keystone,openstack/salt-formula-cinder,Non core,50.0,33.33333333333333,16,10
openstack/salt-formula-keystone,openstack/salt-formula-ceilometer,Core,13.636363636363635,29.411764705882355,8,10
openstack/salt-formula-keystone,openstack/salt-formula-ceilometer,Non core,22.727272727272727,29.411764705882355,8,10
openstack/salt-formula-keystone,openstack/deb-python-pygit2,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-pygit2,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-libisal,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-libisal,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-xvfbwrapper,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-xvfbwrapper,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-testresources,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-testresources,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-compressor,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-compressor,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-sqlalchemy-utils,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-sqlalchemy-utils,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-pykmip,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-pykmip,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-xstatic-jquery,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-xstatic-jquery,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-coffin,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-coffin,Non core,5.0,12.5,1,2
openstack/salt-formula-keystone,openstack/deb-python-txaio,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-txaio,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-hplefthandclient,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-hplefthandclient,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-overextends,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-overextends,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-pytimeparse,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-pytimeparse,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-nose-timer,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-nose-timer,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-retrying,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-retrying,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-discover-runner,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-django-discover-runner,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-lesscpy,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-lesscpy,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-happybase,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-happybase,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-extras,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-extras,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-functools32,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-functools32,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-pydot-ng,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-pydot-ng,Non core,5.263157894736842,14.285714285714285,1,2
openstack/salt-formula-keystone,openstack/deb-python-jsonschema,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-jsonschema,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-kafka,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-kafka,Non core,5.0,13.333333333333334,1,2
openstack/salt-formula-keystone,openstack/deb-python-rcssmin,Core,0.0,0.0,1,2
openstack/salt-formula-keystone,openstack/deb-python-rcssmin,Non core,5.263157894736842,14.285714285714285,1,2
