projectA,projectB,developer,intersect_dev,intersect_rev,devAB_count,revAB_count
openstack/searchlight,openstack/searchlight-ui,Core,11.194029850746269,7.547169811320755,30,31
openstack/searchlight,openstack/searchlight-ui,Non core,11.194029850746269,11.949685534591195,30,31
openstack/searchlight,openstack/searchlight-specs,Core,8.19672131147541,6.802721088435375,20,27
openstack/searchlight,openstack/searchlight-specs,Non core,8.19672131147541,11.564625850340136,20,27
openstack/searchlight,openstack/python-searchlightclient,Core,9.090909090909092,7.9470198675496695,31,42
openstack/searchlight,openstack/python-searchlightclient,Non core,14.393939393939394,19.867549668874172,31,42
openstack/searchlight,openstack/charm-tempest,Core,2.2222222222222223,1.2738853503184715,5,6
openstack/searchlight,openstack/charm-tempest,Non core,1.4814814814814816,2.547770700636943,5,6
openstack/searchlight,openstack/charm-barbican-softhsm,Core,2.2556390977443606,1.3071895424836601,4,5
openstack/searchlight,openstack/charm-barbican-softhsm,Non core,0.7518796992481203,1.9607843137254901,4,5
openstack/searchlight,openstack/cookbook-openstack-client,Core,0.8,0.0,1,3
openstack/searchlight,openstack/cookbook-openstack-client,Non core,0.0,2.0,1,3
openstack/searchlight,openstack/instack-undercloud,Core,2.8846153846153846,2.8662420382165608,12,29
openstack/searchlight,openstack/instack-undercloud,Non core,2.8846153846153846,6.369426751592357,12,29
openstack/searchlight,openstack/publiccloud-sig,Core,1.6260162601626018,1.3793103448275863,2,3
openstack/searchlight,openstack/publiccloud-sig,Non core,0.0,0.6896551724137931,2,3
openstack/searchlight,openstack/ideas,Core,1.6528925619834711,3.067484662576687,2,5
openstack/searchlight,openstack/ideas,Non core,0.0,0.0,2,5
openstack/searchlight,openstack/uc-recognition,Core,0.8333333333333334,0.684931506849315,1,2
openstack/searchlight,openstack/uc-recognition,Non core,0.0,0.684931506849315,1,2
openstack/searchlight,openstack/ops-tags-team,Core,0.7874015748031495,3.0864197530864197,1,9
openstack/searchlight,openstack/ops-tags-team,Non core,0.0,2.4691358024691357,1,9
openstack/searchlight,openstack/enterprise-wg,Core,0.847457627118644,0.7246376811594203,1,1
openstack/searchlight,openstack/enterprise-wg,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/governance-uc,Core,3.731343283582089,1.639344262295082,6,10
openstack/searchlight,openstack/governance-uc,Non core,0.7462686567164178,3.825136612021858,6,10
openstack/searchlight,openstack/workload-ref-archs,Core,2.3622047244094486,2.73972602739726,4,8
openstack/searchlight,openstack/workload-ref-archs,Non core,0.7874015748031495,2.73972602739726,4,8
openstack/searchlight,openstack/arch-wg,Core,1.6666666666666667,1.9867549668874174,2,4
openstack/searchlight,openstack/arch-wg,Non core,0.0,0.6622516556291391,2,4
openstack/searchlight,openstack/project-navigator-data,Core,4.580152671755725,5.844155844155844,6,10
openstack/searchlight,openstack/project-navigator-data,Non core,0.0,0.6493506493506493,6,10
openstack/searchlight,openstack/openstack-specs,Core,2.9850746268656714,6.081081081081082,4,24
openstack/searchlight,openstack/openstack-specs,Non core,0.0,2.027027027027027,4,24
openstack/searchlight,openstack/openstack-ansible-os_monasca,Core,3.4246575342465753,2.2857142857142856,9,17
openstack/searchlight,openstack/openstack-ansible-os_monasca,Non core,2.73972602739726,7.428571428571429,9,17
openstack/searchlight,openstack/openstack-ansible-os_monasca-agent,Core,1.4598540145985401,1.8292682926829267,6,10
openstack/searchlight,openstack/openstack-ansible-os_monasca-agent,Non core,2.9197080291970803,4.2682926829268295,6,10
openstack/searchlight,openstack/ironic-inspector-specs,Core,2.1739130434782608,0.546448087431694,5,2
openstack/searchlight,openstack/ironic-inspector-specs,Non core,1.4492753623188406,0.546448087431694,5,2
openstack/searchlight,openstack/sushy-cli,Core,2.4390243902439024,0.6756756756756757,4,1
openstack/searchlight,openstack/sushy-cli,Non core,0.8130081300813009,0.0,4,1
openstack/searchlight,openstack/puppet-glare,Core,2.8368794326241136,1.257861635220126,7,9
openstack/searchlight,openstack/puppet-glare,Non core,2.127659574468085,4.40251572327044,7,9
openstack/searchlight,openstack/xstatic-bootstrap-scss,Core,0.8130081300813009,0.6711409395973155,2,4
openstack/searchlight,openstack/xstatic-bootstrap-scss,Non core,0.8130081300813009,2.013422818791946,2,4
openstack/searchlight,openstack/openstack-planet,Core,3.3639143730886847,3.8461538461538463,14,12
openstack/searchlight,openstack/openstack-planet,Non core,0.9174311926605505,1.282051282051282,14,12
openstack/searchlight,openstack/charm-interface-keystone-credentials,Core,2.4193548387096775,0.6896551724137931,4,2
openstack/searchlight,openstack/charm-interface-keystone-credentials,Non core,0.8064516129032258,0.6896551724137931,4,2
openstack/searchlight,openstack/monasca-kibana-plugin,Core,2.380952380952381,1.2903225806451613,3,3
openstack/searchlight,openstack/monasca-kibana-plugin,Non core,0.0,0.6451612903225806,3,3
openstack/searchlight,openstack/charm-interface-keystone-domain-backend,Core,2.459016393442623,0.7042253521126761,3,1
openstack/searchlight,openstack/charm-interface-keystone-domain-backend,Non core,0.0,0.0,3,1
openstack/searchlight,openstack/devstack-plugin-amqp1,Core,3.1746031746031744,4.026845637583892,4,10
openstack/searchlight,openstack/devstack-plugin-amqp1,Non core,0.0,2.684563758389262,4,10
openstack/searchlight,openstack/devstack-plugin-kafka,Core,1.6129032258064515,3.4013605442176873,2,8
openstack/searchlight,openstack/devstack-plugin-kafka,Non core,0.0,2.0408163265306123,2,8
openstack/searchlight,openstack/tripleo-ipsec,Core,2.380952380952381,2.6490066225165565,4,7
openstack/searchlight,openstack/tripleo-ipsec,Non core,0.7936507936507936,1.9867549668874174,4,7
openstack/searchlight,openstack/monasca-grafana-datasource,Core,0.78125,0.0,1,1
openstack/searchlight,openstack/monasca-grafana-datasource,Non core,0.0,0.6211180124223602,1,1
openstack/searchlight,openstack/charm-interface-bind-rndc,Core,2.4390243902439024,0.6993006993006993,4,3
openstack/searchlight,openstack/charm-interface-bind-rndc,Non core,0.8130081300813009,1.3986013986013985,4,3
openstack/searchlight,openstack/charm-interface-rabbitmq,Core,2.4390243902439024,0.6896551724137931,3,2
openstack/searchlight,openstack/charm-interface-rabbitmq,Non core,0.0,0.6896551724137931,3,2
openstack/searchlight,openstack/charm-interface-openstack-ha,Core,1.6260162601626018,1.3888888888888888,2,3
openstack/searchlight,openstack/charm-interface-openstack-ha,Non core,0.0,0.6944444444444444,2,3
openstack/searchlight,openstack/charm-interface-gnocchi,Core,2.5,1.3245033112582782,4,2
openstack/searchlight,openstack/charm-interface-gnocchi,Non core,0.8333333333333334,0.0,4,2
openstack/searchlight,openstack/charm-interface-bgp,Core,2.459016393442623,0.6896551724137931,4,1
openstack/searchlight,openstack/charm-interface-bgp,Non core,0.819672131147541,0.0,4,1
openstack/searchlight,openstack/charm-interface-websso-fid-service-provider,Core,0.0,0.7092198581560284,0,1
openstack/searchlight,openstack/charm-interface-websso-fid-service-provider,Non core,0.0,0.0,0,1
openstack/searchlight,openstack/charm-interface-designate,Core,0.8264462809917356,0.7042253521126761,1,1
openstack/searchlight,openstack/charm-interface-designate,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/tempest-horizon,Core,3.787878787878788,1.948051948051948,7,6
openstack/searchlight,openstack/tempest-horizon,Non core,1.5151515151515151,1.948051948051948,7,6
openstack/searchlight,openstack/logstash-filters,Core,0.0,0.0,0,1
openstack/searchlight,openstack/logstash-filters,Non core,0.0,0.7042253521126761,0,1
openstack/searchlight,openstack/xstatic-jquery-migrate,Core,0.8264462809917356,0.0,1,1
openstack/searchlight,openstack/xstatic-jquery-migrate,Non core,0.0,0.6993006993006993,1,1
openstack/searchlight,openstack/qinling-dashboard,Core,2.459016393442623,2.7210884353741496,4,7
openstack/searchlight,openstack/qinling-dashboard,Non core,0.819672131147541,2.0408163265306123,4,7
openstack/searchlight,openstack/python-qinlingclient,Core,3.731343283582089,3.3112582781456954,15,13
openstack/searchlight,openstack/python-qinlingclient,Non core,7.462686567164178,5.298013245033113,15,13
openstack/searchlight,openstack/qinling,Core,3.3557046979865772,3.1055900621118013,14,14
openstack/searchlight,openstack/qinling,Non core,6.0402684563758395,5.590062111801243,14,14
openstack/searchlight,openstack/monasca-analytics,Core,4.444444444444445,3.571428571428571,9,12
openstack/searchlight,openstack/monasca-analytics,Non core,2.2222222222222223,3.571428571428571,9,12
openstack/searchlight,openstack/oslo-incubator,Core,2.6881720430107525,3.339517625231911,18,28
openstack/searchlight,openstack/oslo-incubator,Non core,2.1505376344086025,1.855287569573284,18,28
openstack/searchlight,openstack/puppet-congress,Core,2.877697841726619,0.641025641025641,9,6
openstack/searchlight,openstack/puppet-congress,Non core,3.597122302158273,3.205128205128205,9,6
openstack/searchlight,openstack/openstack-ansible-os_monasca-ui,Core,2.4,1.9867549668874174,6,6
openstack/searchlight,openstack/openstack-ansible-os_monasca-ui,Non core,2.4,1.9867549668874174,6,6
openstack/searchlight,openstack/auto-scaling-sig,Core,0.8130081300813009,0.6535947712418301,1,1
openstack/searchlight,openstack/auto-scaling-sig,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/os-loganalyze,Core,0.684931506849315,3.3707865168539324,1,11
openstack/searchlight,openstack/os-loganalyze,Non core,0.0,2.8089887640449436,1,11
openstack/searchlight,openstack/devstack-plugin-pika,Core,1.6528925619834711,2.7777777777777777,2,5
openstack/searchlight,openstack/devstack-plugin-pika,Non core,0.0,0.6944444444444444,2,5
openstack/searchlight,openstack/devstack-plugin-zmq,Core,3.2520325203252036,4.895104895104895,5,9
openstack/searchlight,openstack/devstack-plugin-zmq,Non core,0.8130081300813009,1.3986013986013985,5,9
openstack/searchlight,openstack/networking-l2gw,Core,2.2598870056497176,3.3834586466165413,9,23
openstack/searchlight,openstack/networking-l2gw,Non core,2.824858757062147,5.263157894736842,9,23
openstack/searchlight,openstack/networking-l2gw-tempest-plugin,Core,0.7751937984496124,1.2738853503184715,1,4
openstack/searchlight,openstack/networking-l2gw-tempest-plugin,Non core,0.0,1.2738853503184715,1,4
openstack/searchlight,openstack/charm-interface-ceph-mds,Core,2.4390243902439024,0.0,3,1
openstack/searchlight,openstack/charm-interface-ceph-mds,Non core,0.0,0.6993006993006993,3,1
openstack/searchlight,openstack/xstatic-angular-ui-router,Core,0.8333333333333334,0.6993006993006993,1,2
openstack/searchlight,openstack/xstatic-angular-ui-router,Non core,0.0,0.6993006993006993,1,2
openstack/searchlight,openstack/xstatic-vis,Core,1.6666666666666667,0.7042253521126761,2,1
openstack/searchlight,openstack/xstatic-vis,Non core,0.0,0.0,2,1
openstack/searchlight,openstack/cookbook-openstack-database,Core,0.7936507936507936,1.2738853503184715,1,4
openstack/searchlight,openstack/cookbook-openstack-database,Non core,0.0,1.2738853503184715,1,4
openstack/searchlight,openstack/cookbook-openstack-data-processing,Core,0.8130081300813009,1.3333333333333335,1,5
openstack/searchlight,openstack/cookbook-openstack-data-processing,Non core,0.0,2.0,1,5
openstack/searchlight,openstack/trove-integration,Core,2.2222222222222223,3.524229074889868,4,12
openstack/searchlight,openstack/trove-integration,Non core,0.0,1.762114537444934,4,12
openstack/searchlight,openstack/ansible-role-tripleo-sensu,Core,1.639344262295082,0.6993006993006993,3,1
openstack/searchlight,openstack/ansible-role-tripleo-sensu,Non core,0.819672131147541,0.0,3,1
openstack/searchlight,openstack/python-ceilometerclient,Core,1.809954751131222,4.026845637583892,12,24
openstack/searchlight,openstack/python-ceilometerclient,Non core,3.619909502262444,4.026845637583892,12,24
openstack/searchlight,openstack/keystoneauth-saml2,Core,1.5625,3.067484662576687,3,8
openstack/searchlight,openstack/keystoneauth-saml2,Non core,0.78125,1.8404907975460123,3,8
openstack/searchlight,openstack/murano-deployment,Core,2.054794520547945,1.8072289156626504,8,8
openstack/searchlight,openstack/murano-deployment,Non core,3.4246575342465753,3.0120481927710845,8,8
openstack/searchlight,openstack/python-keystoneclient-kerberos,Core,1.550387596899225,3.1055900621118013,2,8
openstack/searchlight,openstack/python-keystoneclient-kerberos,Non core,0.0,1.8633540372670807,2,8
openstack/searchlight,openstack/python-wsmanclient,Core,0.8264462809917356,0.7042253521126761,1,4
openstack/searchlight,openstack/python-wsmanclient,Non core,0.0,2.112676056338028,1,4
openstack/searchlight,openstack/fuel-upgrade,Core,1.6129032258064515,0.625,4,4
openstack/searchlight,openstack/fuel-upgrade,Non core,1.6129032258064515,1.875,4,4
openstack/searchlight,openstack/cookbook-openstack-object-storage,Core,1.3888888888888888,1.1428571428571428,2,5
openstack/searchlight,openstack/cookbook-openstack-object-storage,Non core,0.0,1.7142857142857144,2,5
openstack/searchlight,openstack/fairy-slipper,Core,2.459016393442623,2.7027027027027026,4,6
openstack/searchlight,openstack/fairy-slipper,Non core,0.819672131147541,1.3513513513513513,4,6
openstack/searchlight,openstack/django-openstack-auth-kerberos,Core,1.639344262295082,2.027027027027027,2,6
openstack/searchlight,openstack/django-openstack-auth-kerberos,Non core,0.0,2.027027027027027,2,6
openstack/searchlight,openstack/horizon-cisco-ui,Core,3.2,1.3793103448275863,6,6
openstack/searchlight,openstack/horizon-cisco-ui,Non core,1.6,2.7586206896551726,6,6
openstack/searchlight,openstack/zuul-packaging,Core,1.680672268907563,1.3888888888888888,2,4
openstack/searchlight,openstack/zuul-packaging,Non core,0.0,1.3888888888888888,2,4
openstack/searchlight,openstack/networking-generic-switch-tempest-plugin,Core,0.8403361344537815,0.7246376811594203,1,1
openstack/searchlight,openstack/networking-generic-switch-tempest-plugin,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/tripleo-incubator,Core,1.9047619047619049,1.7241379310344827,5,10
openstack/searchlight,openstack/tripleo-incubator,Non core,0.4761904761904762,1.7241379310344827,5,10
openstack/searchlight,openstack/ironic-webclient,Core,1.6260162601626018,1.25,2,8
openstack/searchlight,openstack/ironic-webclient,Non core,0.0,3.75,2,8
openstack/searchlight,openstack/puppet-crane,Core,0.8403361344537815,1.4492753623188406,1,3
openstack/searchlight,openstack/puppet-crane,Non core,0.0,0.7246376811594203,1,3
openstack/searchlight,openstack/release-tools,Core,4.827586206896552,5.7894736842105265,7,20
openstack/searchlight,openstack/release-tools,Non core,0.0,4.736842105263158,7,20
openstack/searchlight,openstack/gnocchi,Core,2.272727272727273,2.0,11,17
openstack/searchlight,openstack/gnocchi,Non core,3.977272727272727,4.8,11,17
openstack/searchlight,openstack/networking-ofagent,Core,0.7874015748031495,1.910828025477707,2,6
openstack/searchlight,openstack/networking-ofagent,Non core,0.7874015748031495,1.910828025477707,2,6
openstack/searchlight,openstack/python-neutron-pd-driver,Core,0.8333333333333334,1.4388489208633095,1,3
openstack/searchlight,openstack/python-neutron-pd-driver,Non core,0.0,0.7194244604316548,1,3
openstack/searchlight,openstack/charm-ceph,Core,0.7462686567164178,1.3245033112582782,4,6
openstack/searchlight,openstack/charm-ceph,Non core,2.2388059701492535,2.6490066225165565,4,6
openstack/searchlight,openstack/openstack-ansible-os_freezer,Core,0.8403361344537815,0.7194244604316548,1,1
openstack/searchlight,openstack/openstack-ansible-os_freezer,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/openstack-ansible-pip_lock_down,Core,3.937007874015748,1.342281879194631,5,4
openstack/searchlight,openstack/openstack-ansible-pip_lock_down,Non core,0.0,1.342281879194631,5,4
openstack/searchlight,openstack/openstack-ansible-security,Core,2.6490066225165565,2.030456852791878,6,10
openstack/searchlight,openstack/openstack-ansible-security,Non core,1.3245033112582782,3.0456852791878175,6,10
openstack/searchlight,openstack/oslosphinx,Core,5.228758169934641,6.451612903225806,12,21
openstack/searchlight,openstack/oslosphinx,Non core,2.6143790849673203,4.838709677419355,12,21
openstack/searchlight,openstack/python-gnocchiclient,Core,0.6944444444444444,1.8292682926829267,5,6
openstack/searchlight,openstack/python-gnocchiclient,Non core,2.7777777777777777,1.8292682926829267,5,6
openstack/searchlight,openstack/ansible-role-k8s-cinder,Core,0.8333333333333334,1.4388489208633095,1,2
openstack/searchlight,openstack/ansible-role-k8s-cinder,Non core,0.0,0.0,1,2
openstack/searchlight,openstack/ansible-role-k8s-cookiecutter,Core,1.680672268907563,2.158273381294964,2,3
openstack/searchlight,openstack/ansible-role-k8s-cookiecutter,Non core,0.0,0.0,2,3
openstack/searchlight,openstack/ansible-role-k8s-glance,Core,2.5210084033613445,2.158273381294964,3,3
openstack/searchlight,openstack/ansible-role-k8s-glance,Non core,0.0,0.0,3,3
openstack/searchlight,openstack/ansible-role-k8s-keystone,Core,2.5210084033613445,1.4084507042253522,3,2
openstack/searchlight,openstack/ansible-role-k8s-keystone,Non core,0.0,0.0,3,2
openstack/searchlight,openstack/ansible-role-k8s-mariadb,Core,2.5,2.127659574468085,3,3
openstack/searchlight,openstack/ansible-role-k8s-mariadb,Non core,0.0,0.0,3,3
openstack/searchlight,openstack/ansible-role-k8s-rabbitmq,Core,0.8403361344537815,0.7246376811594203,1,1
openstack/searchlight,openstack/ansible-role-k8s-rabbitmq,Non core,0.0,0.0,1,1
openstack/searchlight,openstack/ansible-role-k8s-tripleo,Core,2.5210084033613445,2.142857142857143,3,3
openstack/searchlight,openstack/ansible-role-k8s-tripleo,Non core,0.0,0.0,3,3
openstack/searchlight,openstack/ansible-role-tripleo-ui,Core,1.639344262295082,1.3986013986013985,3,2
openstack/searchlight,openstack/ansible-role-tripleo-ui,Non core,0.819672131147541,0.0,3,2
openstack/searchlight,openstack/ansible-role-tripleo-aodh,Core,1.639344262295082,0.7042253521126761,3,3
openstack/searchlight,openstack/ansible-role-tripleo-aodh,Non core,0.819672131147541,1.4084507042253522,3,3
